,,ARPA Puglia,,,,
,,Via Garilliano,,,,
Parm,SO2,NO2,CO,,PM10,Benzene
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
12/01/2008 16.00,"0,79085898","19,80649737","0,3533467",,"23,00893974",
12/01/2008 17.00,"0,58843201","24,33229623","0,38346865",,"23,00893974",
12/01/2008 18.00,"0,356949","30,876615","0,45249855",,"23,00893974",
12/01/2008 19.00,"0,57027102","31,98540807","0,43837885",,"23,00893974",
12/01/2008 20.00,"0,168531","30,14294976","0,43249545",,"23,00893974",
12/01/2008 21.00,"0,871189","26,08798401","0,3873913",,"23,00893974",
12/01/2008 22.00,"0,49867401","21,04671591","0,34648235",,"23,00893974",
12/01/2008 23.00,"0,89280599","18,59691844","0,3333827",,"23,00893974",
13/01/2008 0.00,"0,686055","13,53268709","0,29529815",,"23,00893974",
13/01/2008 1.00,"0,481814","13,65134998","0,27494315",,"13,64048004",
13/01/2008 2.00,"0,63322401","12,13680075","0,2383099",,"13,64048004",
13/01/2008 3.00,"0,410474","7,85855278","0,20144205",,"13,64048004",
13/01/2008 4.00,"0,97028297","6,11943849","0,18688995",,"13,64048004",
13/01/2008 5.00,"0,09036","4,2910068","0,1721044",,"13,64048004",
13/01/2008 6.00,"0,16524599","6,50987766","0,170614",,"13,64048004",
13/01/2008 7.00,"0,31112099","10,37216694","0,19496985",,"13,64048004",
13/01/2008 8.00,"0,40710199","13,35022633","0,25066435",,"13,64048004",
13/01/2008 9.00,"0,31336901","27,13299237","0,37601665",,"13,64048004",
13/01/2008 10.00,"0,219634","26,14669002","0,39692135",,"13,64048004",
13/01/2008 11.00,"0,082148","28,68453522","0,42143475",,"13,64048004",
13/01/2008 12.00,"0,27843499","38,08953522","0,4996428",,"13,64048004",
13/01/2008 13.00,"0,083789","37,57020993","0,4500272",,"13,64048004",
13/01/2008 14.00,"0,189284","31,9777524","0,43159385",,"13,64048004",
13/01/2008 15.00,"0,350896","16,7863506","0,3295785",,"13,64048004",
13/01/2008 16.00,"0,38401601","31,27341195","0,44736035",,"13,64048004",
13/01/2008 17.00,"0,76240897","52,19895384","0,5864011",,"13,64048004",
13/01/2008 18.00,"0,93016201","65,88345456","0,7803509",,"13,64048004",
13/01/2008 19.00,"0,440395","56,22073875","0,6431145",,"13,64048004",
13/01/2008 20.00,"0,63348299","65,45475585","0,85424415",,"13,64048004",
13/01/2008 21.00,"1,18490398","63,86621373","0,73152075",,"13,64048004",
13/01/2008 22.00,"0,427163","41,99902443","0,5174885",,"13,64048004",
13/01/2008 23.00,"0,027929","24,28124589","0,32393085",,"13,64048004",
14/01/2008 0.00,"0,31285101","17,60040226","0,2531357",,"13,64048004",
14/01/2008 1.00,"0,304636","11,34698954","0,2263085",,"17,37634087",
14/01/2008 2.00,"0,032859",,"0,23117185",,"17,37634087",
14/01/2008 3.00,,"14,27911492","0,24678195",,"17,37634087",
14/01/2008 4.00,"0,10057","18,34045349",,,"17,37634087",
14/01/2008 5.00,"0,051881","24,68445705","0,29266925",,"17,37634087",
14/01/2008 6.00,"0,037513","25,48702332","0,30569415",,"17,37634087",
14/01/2008 7.00,"0,188255","35,88342318","0,37329",,"17,37634087",
14/01/2008 8.00,"2,38425994","97,36104906","1,16122055",,"17,37634087",
14/01/2008 9.00,"0,309351","68,51828412","0,7869887",,"17,37634087",
14/01/2008 10.00,"0,456783","50,24675799","0,605935",,"17,37634087",
14/01/2008 11.00,"0,744012","46,86167277","0,6483838",,"17,37634087",
14/01/2008 12.00,"4,44696903","44,6453469","0,6238244",,"17,37634087",
14/01/2008 13.00,"5,41504002","33,38895384","0,53053065",,"17,37634087",
