, Brindisi,,,
,P.za San Giusto Casale,,,
Parm,SO2,NO2,NOX,PM10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,,
14/01/2009 7.00,"0,4","11,2","13,9",
14/01/2009 8.00,"0,5","20,5","25,0","58,6"
14/01/2009 9.00,"0,6","44,6","56,2",
14/01/2009 10.00,"0,6","24,4","32,6","96,7"
14/01/2009 11.00,"0,5","12,7","17,7",
14/01/2009 12.00,"0,6","11,6","17,2","107,9"
14/01/2009 13.00,"0,3","15,3","21,9",
14/01/2009 14.00,"0,2","16,6","22,8","106,0"
14/01/2009 15.00,"0,3","11,8","15,6",
14/01/2009 16.00,"0,1","13,5","17,3","69,8"
14/01/2009 17.00,"0,3","15,8","20,6",
14/01/2009 18.00,"0,2","20,6","24,9","53,2"
14/01/2009 19.00,"0,1","18,1","22,3",
14/01/2009 20.00,"0,1","19,6","24,3","47,9"
14/01/2009 21.00,"0,0","23,7","27,9",
14/01/2009 22.00,"0,2","25,2","29,9","30,8"
14/01/2009 23.00,"0,0","22,3","25,7",
15/01/2009 0.00,"0,0","18,6","21,3","24,9"
15/01/2009 1.00,"0,0","10,9","13,1",
15/01/2009 2.00,"0,1","14,9","17,6","13,7"
15/01/2009 3.00,"0,0","6,9","9,0",
15/01/2009 4.00,"0,0","4,1","5,6","13,7"
15/01/2009 5.00,"0,0","4,5","6,8",
15/01/2009 6.00,"0,0","8,0","10,1","10,3"
15/01/2009 7.00,"0,0","26,9","32,2",
15/01/2009 8.00,"0,1","54,7","70,5","7,3"
15/01/2009 9.00,"0,2","66,2","119,7",
15/01/2009 10.00,"0,0","49,8","85,2","20,0"
15/01/2009 11.00,"0,1","32,1","50,2",
15/01/2009 12.00,,,,"2,4"
15/01/2009 13.00,"6,7","18,9","26,9",
15/01/2009 14.00,"0,6","15,0","20,8","6,8"
15/01/2009 15.00,"2,8","24,5","31,4",
15/01/2009 16.00,"4,7","37,7","47,5","17,6"
15/01/2009 17.00,"0,4","41,4","49,9",
15/01/2009 18.00,"0,0","41,5","49,2","19,0"
15/01/2009 19.00,"0,9","71,1","169,3",
15/01/2009 20.00,"0,9","79,4","183,0","32,2"
15/01/2009 21.00,"0,3","83,4","152,8",
15/01/2009 22.00,"0,0","51,7","59,8","54,7"
15/01/2009 23.00,,"49,9","57,4",
16/01/2009 0.00,,"27,4","30,9","43,5"
16/01/2009 1.00,,"21,3","23,7",
16/01/2009 2.00,,,,"28,8"
16/01/2009 3.00,,"32,0","34,3",
16/01/2009 4.00,,"22,6","24,8","26,4"
16/01/2009 5.00,,"26,7","28,3",
16/01/2009 6.00,,"28,5","31,3","26,4"
16/01/2009 7.00,,"22,7","26,2",
16/01/2009 8.00,,"20,0","22,6","21,5"
16/01/2009 9.00,,"16,7","26,8",
16/01/2009 10.00,,"14,4","19,0","19,0"
16/01/2009 11.00,,"15,1","21,8",
16/01/2009 12.00,,"13,3","19,0","21,0"
16/01/2009 13.00,,"10,0","14,0",
16/01/2009 14.00,,"9,7","13,8","21,5"
16/01/2009 15.00,,"8,1","11,9",
16/01/2009 16.00,,"6,0","9,1","25,9"
16/01/2009 17.00,,"4,7","7,3",
16/01/2009 18.00,,"5,0","7,6","16,1"
16/01/2009 19.00,,"4,0","6,5",
16/01/2009 20.00,,"3,3","5,5","18,6"
16/01/2009 21.00,,"5,1","7,6",
16/01/2009 22.00,,"10,3","12,7","20,5"
16/01/2009 23.00,,"13,4","15,9",
17/01/2009 0.00,,"16,9","18,9","17,6"
17/01/2009 1.00,,"14,9","16,5",
17/01/2009 2.00,,"12,0","14,3","19,0"
17/01/2009 3.00,,"9,8","11,6",
17/01/2009 4.00,,"8,0","9,9","12,2"
17/01/2009 5.00,,"6,9","9,4",
17/01/2009 6.00,,"6,9","9,1","15,6"
17/01/2009 7.00,,"8,3","11,2",
17/01/2009 8.00,,"8,2","12,0","18,1"
17/01/2009 9.00,,"8,6","12,2",
17/01/2009 10.00,,"8,3","12,1","20,5"
17/01/2009 11.00,,"7,9","12,0",
17/01/2009 12.00,,"7,5","11,5","20,5"
17/01/2009 13.00,,"6,1","9,5",
17/01/2009 14.00,,"4,9","7,8","18,6"
17/01/2009 15.00,,"4,2","6,7",
17/01/2009 16.00,,"4,4","6,9","16,6"
17/01/2009 17.00,,"6,7","8,5",
17/01/2009 18.00,,"15,6","18,4","27,8"
17/01/2009 19.00,,"50,2","57,1",
17/01/2009 20.00,,"57,9","66,5","36,6"
17/01/2009 21.00,,"77,2","109,7",
17/01/2009 22.00,,"69,3","89,5","80,6"
17/01/2009 23.00,,"58,1","73,6",
18/01/2009 0.00,,"39,9","48,5","101,6"
18/01/2009 1.00,,"29,8","33,9",
18/01/2009 2.00,,,,"66,4"
18/01/2009 3.00,"0,1","55,0","68,9",
18/01/2009 4.00,"0,0","42,0","47,1","52,3"
18/01/2009 5.00,"0,0","39,6","48,3",
18/01/2009 6.00,"0,0","35,0","39,9","52,3"
18/01/2009 7.00,"0,6","52,2","79,0",
18/01/2009 8.00,"0,5","59,0","91,2","38,6"
18/01/2009 9.00,"0,1","44,1","55,0",
18/01/2009 10.00,"0,1","29,8","37,8","32,7"
18/01/2009 11.00,"0,3","27,8","36,1",
18/01/2009 12.00,"0,2","17,3","21,8","26,4"
18/01/2009 13.00,"0,1","17,7","22,6",
18/01/2009 14.00,"0,1","20,7","25,1","23,4"
18/01/2009 15.00,"0,2","14,5","17,7",
18/01/2009 16.00,"0,1","12,2","14,9","10,3"
18/01/2009 17.00,"0,1","15,5","18,3",
18/01/2009 18.00,"0,2","42,1","47,0","15,1"
18/01/2009 19.00,"0,2","48,4","55,0",
18/01/2009 20.00,"0,2","49,9","55,9","26,9"
18/01/2009 21.00,"0,1","43,8","49,1",
18/01/2009 22.00,"0,0","24,7","27,6","25,9"
18/01/2009 23.00,"0,3","56,1","62,8",
19/01/2009 0.00,"0,5","33,7","37,2","26,4"
19/01/2009 1.00,"0,3","23,6","26,3",
19/01/2009 2.00,"0,4","18,3","20,8","23,9"
19/01/2009 3.00,"0,8","25,1","28,1",
19/01/2009 4.00,"0,3","6,7","8,6","13,2"
19/01/2009 5.00,"0,4","6,6","8,3",
19/01/2009 6.00,"0,6","12,3","15,0","16,1"
19/01/2009 7.00,"0,6","32,0","36,6",
19/01/2009 8.00,"1,5","53,1","66,1","17,6"
19/01/2009 9.00,"2,0","67,2","104,9",
19/01/2009 10.00,"1,3","46,7","71,8","27,4"
19/01/2009 11.00,"2,4","32,8","49,0",
19/01/2009 12.00,"2,2","37,0","55,1","30,3"
19/01/2009 13.00,"1,1","18,8","25,1",
19/01/2009 14.00,"1,8","24,0","30,9","22,5"
19/01/2009 15.00,"1,4","26,3","32,6",
19/01/2009 16.00,"2,0","36,1","43,9","23,0"
19/01/2009 17.00,"1,2","36,5","42,2",
19/01/2009 18.00,"1,5","77,4","97,5","31,3"
19/01/2009 19.00,"0,8","64,2","74,5",
19/01/2009 20.00,"0,5","63,3","71,7","41,5"
19/01/2009 21.00,"0,5","51,8","58,1",
19/01/2009 22.00,"0,3","43,1","48,3","47,9"
19/01/2009 23.00,"0,5","32,4","35,6",
20/01/2009 0.00,"0,4","26,2","28,5","53,7"
20/01/2009 1.00,,"28,6","31,4",
20/01/2009 2.00,"0,1",,,"43,0"
20/01/2009 3.00,"0,1","26,5","28,6",
20/01/2009 4.00,"0,0","12,0","14,2","33,7"
20/01/2009 5.00,"0,0","10,4","12,5",
20/01/2009 6.00,"0,1","12,9","15,4","28,3"
20/01/2009 7.00,"0,1","23,2","26,1",
20/01/2009 8.00,"0,2","39,0","45,5","18,1"
20/01/2009 9.00,"0,1","39,5","48,7",
20/01/2009 10.00,,"34,8","44,6","23,4"
20/01/2009 11.00,,"33,2","43,4",
20/01/2009 12.00,"0,3","21,7","27,8","25,4"
20/01/2009 13.00,"0,2","22,3","27,5",
20/01/2009 14.00,"0,4","24,1","29,5","35,2"
20/01/2009 15.00,"0,4","22,5","27,1",
20/01/2009 16.00,"0,1","21,2","24,9","36,6"
20/01/2009 17.00,"0,1","25,4","29,4",
20/01/2009 18.00,"0,1","16,7","20,2","32,7"
20/01/2009 19.00,"0,2","19,8","23,1",
20/01/2009 20.00,"0,1","18,9","21,8","23,4"
20/01/2009 21.00,"0,2","21,2","24,7",
20/01/2009 22.00,"0,2","32,6","38,0","13,2"
20/01/2009 23.00,"0,1","11,2","13,4",
21/01/2009 0.00,"0,1","8,6","10,7","13,2"
21/01/2009 1.00,"0,2","17,5","23,5",
21/01/2009 2.00,"0,4","15,0","17,4","7,8"
21/01/2009 3.00,"0,3","6,9","9,4",
21/01/2009 4.00,"0,5","4,9","6,7","6,3"
21/01/2009 5.00,"0,4","4,1","5,9",
21/01/2009 6.00,"0,5","3,9","5,9","4,9"
21/01/2009 7.00,"0,3","8,5","11,8",
21/01/2009 8.00,"0,3","20,7","24,7","10,3"
21/01/2009 9.00,"0,1","27,0","31,7",
21/01/2009 10.00,"0,1","13,9","18,0","10,3"
21/01/2009 11.00,"0,5","10,9","14,4",
21/01/2009 12.00,"0,8","8,8","11,7","18,1"
21/01/2009 13.00,"3,3","10,2","13,9",
21/01/2009 14.00,"1,0","11,5","15,8","19,5"
21/01/2009 15.00,"0,1","8,8","12,7",
21/01/2009 16.00,"0,4","12,4","16,1","19,5"
21/01/2009 17.00,"0,3","14,8","18,8",
21/01/2009 18.00,"0,2","16,3","19,8","75,2"
21/01/2009 19.00,"0,5","20,8","24,4",
21/01/2009 20.00,"0,3","17,0","20,2","115,3"
21/01/2009 21.00,"0,4","16,3","19,4",
21/01/2009 22.00,"0,0","17,7","21,2","146,5"
21/01/2009 23.00,"0,1","13,7","16,5",
22/01/2009 0.00,"0,1","12,3","14,8","136,8"
22/01/2009 1.00,,"7,1","8,7",
22/01/2009 2.00,"0,0",,,"112,8"
22/01/2009 3.00,"0,2","7,3","9,7",
22/01/2009 4.00,"0,1","6,8","8,5","75,7"
22/01/2009 5.00,"0,2","9,6","11,6",
22/01/2009 6.00,"0,0","14,4","16,5","61,1"
22/01/2009 7.00,"0,0","15,1","18,9",
22/01/2009 8.00,"0,0","24,1","28,3","53,7"
22/01/2009 9.00,"0,3","35,8","44,2",
22/01/2009 10.00,"0,0","31,2","37,3","60,1"
