,Foggia,,,
,Monte Sant'Angelo - Suolo Giuffreda,,,
Parm,SO2,NO2,PM10,O3



14/01/2010 13.00,"6,58673169","22,58037584","19,89999962","39,62877975"
14/01/2010 14.00,"6,41696083","11,58739302","19,89999962","55,2682431"
14/01/2010 15.00,"5,62048508","9,81320998","19,89999962","56,7667275"
14/01/2010 16.00,"4,97933065","14,18573984","19,89999962","54,021807"
14/01/2010 17.00,"5,94557726","10,90990833","19,89999962","52,7602887"
14/01/2010 18.00,"6,39528856","12,4154439","19,89999962","35,26348035"
14/01/2010 19.00,"6,16230607","9,97674334","19,89999962","47,8416162"
14/01/2010 20.00,"6,42057322","6,76970177","19,89999962","56,96122005"
14/01/2010 21.00,"5,99253521","4,40108558","19,89999962","59,6787492"
14/01/2010 22.00,"5,60242418","3,46402011","19,89999962","57,49268805"
14/01/2010 23.00,"5,74691038","3,4406593","19,89999962","53,37939705"
15/01/2010 0.00,"5,94196488","3,26285094","19,89999962","48,88398375"
15/01/2010 1.00,"5,68369773","4,07921185","15,19999981","50,1578112"
15/01/2010 2.00,"5,53560016","3,66648944","15,19999981","50,1441255"
15/01/2010 3.00,"5,80109207","3,37446777","15,19999981","52,70412945"
15/01/2010 4.00,"5,7234309","3,10840341","15,19999981","52,18227735"
15/01/2010 5.00,"5,37124787","2,71904182","15,19999981","56,02297155"
15/01/2010 6.00,"4,12325463","2,90983074","15,19999981","58,10495355"
15/01/2010 7.00,"5,47058131","3,64053022","15,19999981","57,6241785"
15/01/2010 8.00,"5,64396354","10,98648202","15,19999981","35,4086565"
15/01/2010 9.00,"5,80109207","11,11237957","15,19999981","33,27737805"
15/01/2010 10.00,"6,08103251","4,81510623","15,19999981","50,2194567"
15/01/2010 11.00,"5,7758064","3,74695596","15,19999981","55,7175171"
15/01/2010 12.00,"5,85888615","6,30636107","15,19999981","57,6652755"
15/01/2010 13.00,"6,07742013","5,23172338","15,19999981","58,8610386"
15/01/2010 14.00,"6,20384441","4,23755222","15,19999981","60,76221375"
15/01/2010 15.00,"6,38445141","3,28102068","15,19999981","67,65190635"
15/01/2010 16.00,"6,23996622","2,88776434","15,19999981","68,20527945"
15/01/2010 17.00,"6,68425894","2,73591522","15,19999981","66,0054927"
15/01/2010 18.00,"6,67161662","2,27646735","15,19999981","70,6735134"
15/01/2010 19.00,"6,32665733","2,01429774","15,19999981","74,7182961"
15/01/2010 20.00,"5,9943414","2,1298093","15,19999981","73,04997735"
15/01/2010 21.00,"5,85346757","2,03376572","15,19999981","72,93630225"
15/01/2010 22.00,"5,20147701","1,82610531","15,19999981","71,78434935"
15/01/2010 23.00,"5,96183198","1,78716934","15,19999981","69,4202145"
16/01/2010 0.00,"5,59158804","2,11812698","15,19999981","69,27228525"
16/01/2010 1.00,,"1,87801994","35,90000153","70,22286285"
16/01/2010 2.00,"5,84624382",,"35,90000153","67,35329475"
16/01/2010 3.00,"5,80650963","17,0747967","35,90000153",
16/01/2010 4.00,"5,47058131","7,18631892","35,90000153","61,59229335"
16/01/2010 5.00,"6,00517753","6,19214775","35,90000153","57,6078594"
16/01/2010 6.00,"5,79025594","7,61850931","35,90000153","46,56268155"
16/01/2010 7.00,"5,62048508","10,68927118","35,90000153","38,28973575"
16/01/2010 8.00,"5,63854598","23,88342296","35,90000153","26,28438435"
16/01/2010 9.00,"5,50670312","16,95020313","35,90000153","33,5958"
16/01/2010 10.00,"5,35138078","10,07019043","35,90000153","34,4860887"
16/01/2010 11.00,"5,73065465","14,2765847","35,90000153","29,24839575"
16/01/2010 12.00,"5,73787942","19,19292368","35,90000153","30,9454425"
16/01/2010 13.00,"6,21287537","11,79116634","35,90000153","37,3610832"
16/01/2010 14.00,"6,46030639","8,27523351","35,90000153","40,71681285"
16/01/2010 15.00,"6,24177241","5,04872204","35,90000153","55,34104065"
16/01/2010 16.00,"6,17133601","3,69244675","35,90000153","66,53961405"
16/01/2010 17.00,"6,50004058","3,38744642","35,90000153","69,8159427"
16/01/2010 18.00,"6,40793089","2,82806406","35,90000153","68,52021015"
16/01/2010 19.00,"6,1352142","2,37510552","35,90000153","68,1969603"
16/01/2010 20.00,"6,07380876","2,1298093","35,90000153","67,9818993"
16/01/2010 21.00,"5,65841308","2,17004161","35,90000153","65,94107415"
