,Lecce,,,,,
,Galatina,,,,,
Parm,NOX,NO2,O3,CO,SO2,PM2.5
,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
09/01/2010 7.00,"22,52844592","18,73479892","76,14777345","0,14039415","1,51709856","9,19999981"
09/01/2010 8.00,"27,78701952","23,20999744","70,46134515","0,15169582","1,23806021","9,19999981"
09/01/2010 9.00,"28,65405416","23,60752136","67,54976235","0,18054355","1,31572036","9,19999981"
09/01/2010 10.00,"19,82684728","15,92879361","72,2766954","0,15262782","1,09718638","9,19999981"
09/01/2010 11.00,"14,24207883","10,61314298","74,62399245","0,14941591","1,01771902","9,19999981"
09/01/2010 12.00,"13,0125462","9,47050884","80,09428245","0,15112031","0,73236001","9,19999981"
09/01/2010 13.00,"14,20900697","10,84724826","86,0716017","0,15474928","0,70165779","9,19999981"
09/01/2010 14.00,"16,72189503","12,81021836","90,39047745","0,15500675","0,97347037","9,19999981"
09/01/2010 15.00,"16,90152552","13,7109673","90,5628255","0,14778957","1,11795657","9,19999981"
09/01/2010 16.00,"22,64062296","18,87162929","81,5945025","0,15373806","0,73687549","9,19999981"
09/01/2010 17.00,"39,43450288","33,31925768","69,5832858","0,17889857","0,92199898","9,19999981"
09/01/2010 18.00,"50,97109024","42,0440196","56,34927375","0,21539918","0,93644648","9,19999981"
09/01/2010 19.00,"46,42324528","37,73806176","60,02238795","0,22430211","0,78293135","9,19999981"
09/01/2010 20.00,"47,71179944","40,1186356","58,41780945","0,25572682","0,86149358","9,19999981"
09/01/2010 21.00,"49,28243096","41,53429952","58,45483665","0,23586008","0,56349326","9,19999981"
09/01/2010 22.00,"51,6520108","43,50052384","56,2489452","0,22222026","0,32238392","9,19999981"
09/01/2010 23.00,"63,40909","53,49047528","39,88250385","0,28844119","0,65289468","9,19999981"
10/01/2010 0.00,"80,91434864","66,92323128","18,56627598","0,43761944","1,23083645","9,19999981"
10/01/2010 1.00,"80,79827112","64,2469284","15,42105873","0,39290907","1,24347776","6,5999999"
10/01/2010 2.00,,,"22,7167857","0,28871962","1,25160359","6,5999999"
10/01/2010 3.00,"65,65091","51,87961528","23,092524",,"1,2209024","6,5999999"
10/01/2010 4.00,"69,78241696","56,7134572","30,13441515","0,25401427",,"6,5999999"
10/01/2010 5.00,"74,56824856","58,81778528",,"0,23531602","0,69894749","6,5999999"
10/01/2010 6.00,"52,59101312","41,42470368","49,60601415","0,18737977","0,56891082","6,5999999"
10/01/2010 7.00,"42,22105168","37,68163864","68,96912505","0,15522344","1,24347776","6,5999999"
10/01/2010 8.00,"66,92323128","59,40532376","44,1432453","0,16639928","0,51292395","6,5999999"
10/01/2010 9.00,"75,4203696","63,31828912","39,37784865","0,20165102","1,22993132","6,5999999"
10/01/2010 10.00,"70,7142684","58,28278856","44,87295645","0,20881693","1,24167259","6,5999999"
10/01/2010 11.00,"37,76205736","31,6701768","73,2161808","0,17086473","0,97166519","6,5999999"
10/01/2010 12.00,"29,45233328","24,65223816","76,92534465","0,17548978","0,72784656","6,5999999"
10/01/2010 13.00,"30,37644112","25,94467368","78,14313255","0,16300447","0,58968101","6,5999999"
10/01/2010 14.00,"25,72613208","21,77553856","81,0411294","0,16993156","0,55085093","6,5999999"
10/01/2010 15.00,"26,27086088","22,41754992","79,97955","0,1777126","0,40094717","6,5999999"
10/01/2010 16.00,"35,89829712","31,01195168","74,9165991","0,17108375","0,4858331","6,5999999"
10/01/2010 17.00,"55,98519552","48,61902432","57,892107","0,19498256","0,35127994","6,5999999"
10/01/2010 18.00,"65,2189892","55,43073464","49,401387","0,22606592","0,49847441","6,5999999"
10/01/2010 19.00,"79,95521296","67,08598072","31,63637085","0,30717206","0,86871937","6,5999999"
10/01/2010 20.00,"82,07707408","69,01849648","39,39600315","0,41485534","1,16040005","6,5999999"
10/01/2010 21.00,"63,74175888","53,60135216","51,99913635","0,29375359","1,0962843","6,5999999"
10/01/2010 22.00,"49,56517752","42,53687584","53,1206655","0,27455905","0,82537381","6,5999999"
10/01/2010 23.00,"52,1934892","45,29420928","44,7241893","0,38891195","1,90179102","6,5999999"
11/01/2010 0.00,"65,12562624","55,06431896","37,1469399","0,40830454","1,45478799","6,5999999"
11/01/2010 1.00,"77,03119136","63,96938248","31,7285997","0,35193252","0,97798686","23,10000038"
11/01/2010 2.00,"84,14251208","67,95949704","16,33182411","0,37668528","0,46235464","23,10000038"
11/01/2010 3.00,"77,84568424","60,5058136","11,9265888","0,40822532","0,65289468","23,10000038"
11/01/2010 4.00,"79,93253664","60,38323528","6,80980881","0,40580445","0,81995625","23,10000038"
11/01/2010 5.00,"78,0331176","58,01367456","8,67786098","0,34851791","0,85156258","23,10000038"
11/01/2010 6.00,"79,35408016","59,67183744","9,46614533","0,32608816","1,15317427","23,10000038"
11/01/2010 7.00,"92,019302","67,41381224","2,74710702","0,34575453","1,06196767","23,10000038"
11/01/2010 8.00,"120,3650844","74,86007712","0,11558432","0,41322783","1,15498148","23,10000038"
11/01/2010 9.00,"157,350908","82,178238","1,00821315","0,56072965","2,50411334","23,10000038"
11/01/2010 10.00,"157,56166776","86,0425812","2,02665467","0,56839185","2,5971251","23,10000038"
11/01/2010 11.00,"92,80500016","67,99324384","33,8403471","0,39965092","1,40782903","23,10000038"
11/01/2010 12.00,"76,48323128","58,12975208","45,7810605","0,30596046","1,19923013","23,10000038"
11/01/2010 13.00,"43,60231872","37,34895064","66,39964485","0,22181833","0,53188592","23,10000038"
11/01/2010 14.00,"41,48177688","36,147316","66,3208623","0,23513778","0,60954912","23,10000038"
11/01/2010 15.00,"52,5404216","46,3538588","57,03986295","0,24532104","0,33683142","23,10000038"
11/01/2010 16.00,"64,5484508","56,39958328","54,60500535","0,23593114","0,38017697","23,10000038"
11/01/2010 17.00,"86,2993628","72,63252064","29,8127613","0,42714259","0,7179125","23,10000038"
11/01/2010 18.00,"130,50740312","95,6687364","5,50587482","0,71196296","1,3969929","23,10000038"
11/01/2010 19.00,"129,39720032","96,31462912","4,84037873","0,63929375","1,45930347","23,10000038"
11/01/2010 20.00,"139,1374828","99,80932536","2,25088868","0,7783598","1,54870286","23,10000038"
11/01/2010 21.00,"153,76412984","98,85667136","2,97575996","1,32587019","2,17089532","23,10000038"
11/01/2010 22.00,"141,0323704","95,98452232","4,28231738","0,8175038","1,65435899","23,10000038"
11/01/2010 23.00,"111,46457144","84,05624264","7,84514798","0,81625259","1,24257569","23,10000038"
12/01/2010 0.00,"96,72576648","74,39249752","10,26789194","0,68121628","0,83440274","23,10000038"
12/01/2010 1.00,"97,19137672","74,73034792","3,82833119","0,70114477","1,62004439","18,60000038"
12/01/2010 2.00,,,"6,55555205","0,61085028","1,80606793","18,60000038"
12/01/2010 3.00,"93,4353292","72,43407416","9,70983458",,"1,87379708","18,60000038"
12/01/2010 4.00,"85,1087604","66,6048068","16,91411673","0,54197082",,"18,60000038"
12/01/2010 5.00,"73,08516752","57,97474624",,"0,37893606","0,81363254","18,60000038"
12/01/2010 6.00,"66,63142184","53,989144","38,82998175","0,28409224","0,58968101","18,60000038"
12/01/2010 7.00,"71,5501948","58,98640456","30,9238566","0,36879939","0,26368674","18,60000038"
12/01/2010 8.00,"91,30700552","71,6189312","17,589915","0,42125002","0,84885227","18,60000038"
12/01/2010 9.00,"115,30361888","82,2469744","15,21867396","0,58559541","1,4349209","18,60000038"
12/01/2010 10.00,"83,6276296","62,8792748","30,0532386","0,38370557","0,90303396","18,60000038"
12/01/2010 11.00,"78,59731056","60,01033792","41,08265595","0,32489637","0,92109385","18,60000038"
12/01/2010 12.00,"65,74169176","52,43925768","49,525875","0,28852507","1,29404707","18,60000038"
12/01/2010 13.00,"55,58507128","44,70213936","57,9906201","0,28971686","1,24709117","18,60000038"
12/01/2010 14.00,"58,47668448","46,0789132","55,31414805","0,32575031","1,15317427","18,60000038"
12/01/2010 15.00,"51,28431408","43,00053584","57,5715105","0,27970019","0,68720927","18,60000038"
12/01/2010 16.00,"53,9923944","45,689152","53,5789968","0,30037079","1,02133242","18,60000038"
12/01/2010 17.00,"38,43429744","33,0395512","51,98571","0,30969545","0,38080751","18,60000038"
12/01/2010 18.00,"37,48969296","32,56701952","46,637115","0,34246573","2,8039229","18,60000038"
12/01/2010 19.00,"69,16247008","58,7996404","32,73581535","0,46408008","1,03397373","18,60000038"
12/01/2010 20.00,"77,5305484","64,4440556","29,0782023","0,53998333","1,44666216","18,60000038"
12/01/2010 21.00,"78,84177888","64,85129248","25,56075795","0,53254946","1,40421868","18,60000038"
