,Regione Puglia,,,
,Scuola Elementare G.Ungaretti Via Ca del Fico,,,
Parm,SO2,NOX,NO,NO2



15/01/2006 16.00,4,"30,58265032","0,42073406","30,00029336"
15/01/2006 17.00,4,"37,4138248","0,70967269","36,37545584"
15/01/2006 18.00,4,"28,93550056","0,23571293","28,91399056"
15/01/2006 19.00,4,"76,37363544","8,93089803","62,70797872"
15/01/2006 20.00,3,"64,03033704","6,13529362","54,64949144"
15/01/2006 21.00,4,"100,7658416","14,7670987","78,15005552"
15/01/2006 22.00,4,"90,00483792","15,14981547","66,79367416"
15/01/2006 23.00,4,"95,58313616","11,34716005","78,21754912"
16/01/2006 0.00,4,"67,76301992","4,19383059","61,51523488"
16/01/2006 1.00,,"36,30100256","0,01774232","36,9581952"
16/01/2006 2.00,3,,,
16/01/2006 3.00,3,"19,02661792",0,"19,67832312"
16/01/2006 4.00,3,"23,66589472","0,01098233","24,14819672"
16/01/2006 5.00,3,"15,89961266",0,"16,4258639"
16/01/2006 6.00,3,"11,97885782","0,00929264","12,52705881"
16/01/2006 7.00,3,"31,59170832","0,47649491","31,16839152"
16/01/2006 8.00,4,"104,70735312","18,77252505","75,94108368"
16/01/2006 9.00,5,"212,5090488","75,56666619","96,56946048"
16/01/2006 10.00,5,"236,8572216","91,93983854","95,78164"
16/01/2006 11.00,4,"133,62210848","34,70806275","80,39537448"
16/01/2006 12.00,4,"92,41462712","13,44997989","71,8164408"
16/01/2006 13.00,4,"57,68683728","3,14030264","52,9025544"
16/01/2006 14.00,4,"57,19658136","3,8558911","51,31266904"
16/01/2006 15.00,4,"36,50851192","1,24277267","34,62461832"
16/01/2006 16.00,4,"23,88118592","0,39031973","23,2981024"
16/01/2006 17.00,4,"27,26888664","0,33456012","26,77379336"
16/01/2006 18.00,4,"36,19725744","1,06704418","34,58699016"
16/01/2006 19.00,4,"108,04316216","18,88320877","79,1091912"
16/01/2006 20.00,4,"107,078214","20,13105673","76,22662176"
16/01/2006 21.00,4,"108,6047548","19,94772279","78,03583264"
16/01/2006 22.00,4,"94,27964928","14,47394147","72,10976072"
16/01/2006 23.00,3,"43,96743424","2,64437698","39,93550424"
17/01/2006 0.00,3,"32,92498416","0,46044228","32,2404308"
17/01/2006 1.00,3,"26,13143784","0,10391625","26,10279608"
17/01/2006 2.00,3,"19,58561024","0,10898531","19,68610496"
17/01/2006 3.00,3,"15,99688566","0,08786487","16,3492883"
17/01/2006 4.00,3,"18,6466041","0,01605263","19,16437752"
17/01/2006 5.00,3,"12,87766034",0,"13,49267234"
17/01/2006 6.00,3,"17,78541253","0,01858654","18,25846236"
17/01/2006 7.00,4,"99,94356688","24,62394785","62,18753232"
17/01/2006 8.00,4,"139,17442264","35,32734789","85,00023528"
17/01/2006 9.00,5,"238,28778","87,95635939","103,33266336"
17/01/2006 10.00,4,"214,4273584","65,83652471","113,43655088"
