,Provincia di TARANTO,,,,,
,MARTINA FRANCA,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene
,,,,,,,
,,,,,,
,,,,,,
,,,,,
,,,,
11/01/2008 5.00,"53,292677","15,677658","29,274784","0,623432","3,902561","0,892152"
11/01/2008 6.00,"85,452461","32,622454","35,457849","0,409799","5,213344","0,484588"
11/01/2008 7.00,"206,947605","101,809159","50,881759","0,791698","4,622949","0,565573"
11/01/2008 8.00,"213,26926","93,033988","70,671725","1,376955","4,927626","0,98326"
11/01/2008 9.00,"159,099847","66,138188","57,731941","1,252632","6,858593","1,480171"
11/01/2008 10.00,"96,821728","28,888713","52,563803","1,695468","8,506554","1,209049"
11/01/2008 11.00,"73,341299","18,682241","44,727261","1,633346","15,469411","0,922081"
11/01/2008 12.00,"79,857317","21,197915","47,387886","1,244808","17,75786","0,439254"
11/01/2008 13.00,"66,021188","17,998761","38,450739","0,742854","28,845347","0,966095"
11/01/2008 14.00,"50,592359","13,999408","29,147598","0,530012","37,185345","0,700694"
11/01/2008 15.00,"40,312529","8,316759","27,579757","0,576326","36,505588","0,481947"
11/01/2008 16.00,"49,080101","10,079587","33,648618","0,62604","31,938154","0,510996"
11/01/2008 17.00,"42,950574","7,491173","31,486356","0,628885","31,040384","0,698053"
11/01/2008 18.00,"46,672914","9,998381","31,364351","0,536571","31,873157","0,533883"
11/01/2008 19.00,"37,417685","8,717708","24,06772","0,491364","36,638274","0,375435"
11/01/2008 20.00,"19,981183","3,72021","14,28697","0,348546","47,918063","0,58978"
11/01/2008 21.00,"19,867057","3,508738","14,497231","0,317012","50,076537","0,266721"
11/01/2008 22.00,"11,859535","1,143639","10,113021","0,291166","55,085403","0,36091"
11/01/2008 23.00,"4,95963","0,038911","5,004595","0,19253","59,90199","0,248235"
12/01/2008 0.00,"4,614635","0,121807","4,693105","0,164236","60,879661","0,141283"
12/01/2008 1.00,"2,435718",0,"3,312169","0,148113","60,807881","0,023327"
12/01/2008 2.00,"0,141315","59,513365","0,22887",,,
12/01/2008 3.00,"12,178591",0,"13,012458","62,078055","0,188378",
12/01/2008 4.00,"5,156771",0,"6,099999","0,153814","0,029929",
12/01/2008 5.00,"5,470639","0,24869","5,767743","0,174048","59,335969","0,009242"
12/01/2008 6.00,"14,622093","2,157012","11,452422","0,148676","55,459145","0,044893"
12/01/2008 7.00,"15,890533","2,579954","12,005314","0,189935","52,66018","0,048855"
12/01/2008 8.00,"22,738556","4,858773","15,299311","0,235068","50,699415","0,108713"
12/01/2008 9.00,"31,835506","8,582366","18,68935","0,33213","50,252556","0,258359"
12/01/2008 10.00,"21,132895","4,283571","14,575097","0,310631","55,069143","0,304133"
12/01/2008 11.00,"16,730973","3,398773","11,527696","0,28265","57,734042","0,10035"
12/01/2008 12.00,"16,398948","3,331102","11,299266","0,282413","60,329896","0,211264"
12/01/2008 13.00,"26,72735","7,03663","15,949302","0,32194","58,030939","0,39254"
12/01/2008 14.00,"21,734698","5,396758","13,469315","0,262416","60,367803","0,407124"
12/01/2008 15.00,"13,231735","2,248367","9,791147","0,189382","63,062488","0,026408"
12/01/2008 16.00,"15,293925","3,190684","10,408924","0,212383","62,210764","0,079224"
12/01/2008 17.00,"13,319928","2,549503","9,41736","0,249533","61,617649","0,16417"
12/01/2008 18.00,"26,875893","6,355994","17,142285","0,313397","58,083409","0,202461"
12/01/2008 19.00,"18,087609","4,039956","11,901481","0,293321","58,925658","0,141283"
12/01/2008 20.00,"15,387308","3,133165","10,590634","0,259808","62,302833","0,073943"
12/01/2008 21.00,"13,576731","2,664544","9,497829","0,247399","63,556752","0,266281"
12/01/2008 22.00,"9,890728","1,634253","7,390084","0,202029","65,885814","0,170332"
12/01/2008 23.00,"5,584772","0,306211","5,118808","0,177051","67,147849","0,014084"
13/01/2008 0.00,"9,607987","1,862643","6,756723","0,172468","66,194557","0,045774"
13/01/2008 1.00,"4,682079","0,323129","4,220681","0,140376","66,687463","0,040492"
13/01/2008 2.00,"3,076423","0,033836","3,361489","0,158398","66,833695","0,020246"
13/01/2008 3.00,"1,75351",0,"2,395872","0,145831","67,961689","0,113115"
13/01/2008 4.00,"5,478421",0,"6,146722","0,220128","60,925704","0,071302"
13/01/2008 5.00,"6,062059",0,"6,725575","0,26036","53,984501","0,090668"
13/01/2008 6.00,"10,977592","0,49569","10,764543","0,342879","46,712904","0,045334"
13/01/2008 7.00,"6,694982","0,40095","6,325829","0,216098","51,21127","0,011443"
13/01/2008 8.00,"8,39402","0,023686","8,685359","0,221078","47,226118","0,005281"
13/01/2008 9.00,"16,347067","1,175783","14,554337","0,32968","42,775134","0,077464"
13/01/2008 10.00,"17,589569","3,875853","11,654885","0,230958","52,174059","0,273324"
13/01/2008 11.00,"40,616042","9,798753","25,609595","0,872769","35,640317","0,312936"
13/01/2008 12.00,"21,835862","4,743733","14,572503","0,439468","57,247921","0,648757"
13/01/2008 13.00,"18,424822","3,87247","12,495912","0,36762","60,874231","0,423849"
