SIMAGE Brindisi,,,,,,,
,Torchiarolo,,,,,,,
Parm,SO2,NO2,CO,PM10,O3,BENZENE,NOX



09/01/2010 8.00,"0,87951279","9,33819079","0,07421633","68,69998169","69,83878545","0,42103698","16,4482343"
09/01/2010 9.00,"1,15538014","15,25128979","0,05347816","68,69998169","65,49076275","0,49090183","24,03034104"
09/01/2010 10.00,"1,74464621","13,43686871","0,03658333","68,69998169","66,17620485","0,69292888","23,73333096"
09/01/2010 11.00,"1,23567941","12,9800097","0,03134549","68,69998169","64,3536726","0,88109321","23,92009512"
09/01/2010 12.00,"0,74633054","11,89239718","0,07464505","68,69998169","68,30115915","0,88864748","22,14323528"
09/01/2010 13.00,"0,77740192","8,64382887","0,08156398","68,69998169","76,92199305","0,81605402","18,11614264"
09/01/2010 14.00,"1,10517797","10,35961178","0,09278643","68,69998169","78,88164165","1,11895323","20,27171232"
09/01/2010 15.00,"3,14482334","13,41090949","0,26031226","68,69998169","69,03368325","2,35417906","23,88896776"
09/01/2010 16.00,"2,48646839","15,55109522","0,09126727","68,69998169","64,9007016","2,64358675","26,04971896"
09/01/2010 17.00,"4,53415517","22,34674856","0,24122024","68,69998169","57,5177652","3,28199426","35,13112624"
09/01/2010 18.00,"3,93404483","25,76924768","0,17122355","68,69998169","53,45333175","4,2041163","42,85333096"
09/01/2010 19.00,"4,74946322","32,95555704","0,28657486","68,69998169","39,82991565","3,91130674","50,9360624"
09/01/2010 20.00,"5,15644222","48,42619912","0,3506685","68,69998169","20,9216448","5,41139191","84,29942992"
09/01/2010 21.00,"6,18144296","41,90308608","0,15174591","68,69998169","13,32368331","5,1082415","70,9094836"
09/01/2010 22.00,"6,33899456","47,07770376","0,28975065","68,69998169","12,70138296","4,85925549","76,67324584"
09/01/2010 23.00,"2,02770375","22,58295704","0,0034985","68,69998169","44,7841191","4,02826378","39,45136672"
10/01/2010 0.00,"0,84222652","11,61335225",,"68,69998169","62,6641869","1,27748624","23,76833968"
10/01/2010 1.00,,"10,46863402",,"69,19998169","53,9250894","0,96658426","20,17961128"
10/01/2010 2.00,"1,11397095",,,"69,19998169","21,6030969","1,0527984",
10/01/2010 3.00,"0,81820396","19,18512272",,"69,19998169","35,1256857","1,10292735","27,77210592"
10/01/2010 4.00,"0,76341614","10,15584994","0,09198141","69,19998169",,"0,56694496","17,7711471"
