"NetC","SIMAGE Brindisi","","","","",""
"Stat","MESAGNE 2","","","","",""
"Parm","NOX","NO2","CO","O3","BENZENE","TOLUENE"
"PtId","1","3","4","5","6","7"
"Unit","ug/m3 293K","ug/m3 293K","mg/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K"
"Field","Aver","Aver","Aver","Aver","Aver","Aver"
"2013-01-08 11:00:00","21.97138472","17.94931873","0.48085259","58.7541864","0.45729405","2.4989724"
"2013-01-08 12:00:00","19.38393248","15.18433155","0.51595986","60.4001013","0.46726065","2.2243824"
"2013-01-08 13:00:00","19.48574648","14.75146622","0.48118927","62.88505335","0.4610061","2.54316105"
"2013-01-08 14:00:00","20.31515296","15.6998775","0.5204055","62.7962559","0.52665345","2.4658182"
"2013-01-08 15:00:00","18.16153734","13.74549993","0.53528255","64.12753935","0.4818546","2.2838769"
"2013-01-08 16:00:00","18.81067282","14.60879852","0.57817319","61.7804418","0.5462307","2.8579734"
"2013-01-08 17:00:00","27.76302392","24.08724216","0.70791458","52.14680625","0.63516735","3.4256628"
"2013-01-08 18:00:00","38.9578604","36.94188584","0.97614768","40.9188465","1.0216782","4.62445155"
"2013-01-08 19:00:00","53.75115736","52.2170068","1.41750793","30.05118375","1.7495451","6.6488409"
"2013-01-08 20:00:00","58.91374856","57.42516096","1.49104156","23.50977825","2.1525822","8.0108073"
"2013-01-08 21:00:00","66.27731944","60.92375768","1.69528354","21.7412307","2.0419326","7.4350836"
"2013-01-08 22:00:00","56.60126104","52.645008","1.63293274","19.17085076","1.9349442","7.15312035"
"2013-01-08 23:00:00","44.10943848","42.20598512","1.47748795","21.5407731","1.37839095","5.68558935"
"2013-01-09 00:00:00","30.59949504","28.85280656","1.09488448","29.21807175","1.04573025","4.2263469"
"2013-01-09 01:00:00","26.16516552","22.8429508","1.02435421","26.8143162","0.8641449","3.4988868"
"2013-01-09 02:00:00","20.52138128","16.68963194","0.82364801","29.2544406","0.77022495","2.8214631"
"2013-01-09 03:00:00","19.76977408","15.63989232","0.69123994","28.4120319","0.6372522","2.3824242"
"2013-01-09 04:00:00","19.12518152","14.67851004","0.62311889","28.97025285","0.5101272","2.068578"
"2013-01-09 05:00:00","21.16792408","17.10223198","0.54486351","26.7838725","0.42576705","1.77003765"
"2013-01-09 06:00:00","22.40198624","18.6318511","0.52407991","25.5278604","0.43858125","1.7923608"
"2013-01-09 07:00:00","28.44782584","23.26204208","0.57416326","20.02678755","0.4874481","2.19717765"
"2013-01-09 08:00:00","50.57874784","36.33635544","0.76250182","11.36498433","0.8245836","4.3285554"
"2013-01-09 09:00:00","73.25051728","43.52402232","1.02725739","11.94351039","1.1005974","7.9553808"
"2013-01-09 10:00:00","65.73909144","39.83168264","0.91369785","17.72369172","1.0583919","7.43828715"
"2013-01-09 11:00:00","55.04684328","38.59957072","0.82220574","28.9719486","1.0052028","6.2212941"
"2013-01-09 12:00:00","55.05848736","40.12190512","0.76953493","31.96945605","0.80063325","4.6323333"
"2013-01-09 13:00:00","44.25406216","32.91477408","0.70192765","38.5810257","0.68215275","4.2212619"
"2013-01-09 14:00:00","42.69834424","32.20144512","0.66393583","43.7353476","0.6260652","3.83363235"
"2013-01-09 15:00:00","40.50386536","31.9760968","0.65548026","45.5318052","0.6617619","3.289995"
"2013-01-09 16:00:00","39.43515296","31.58698568","0.73181922","45.8075541","0.7509528","3.15203895"
"2013-01-09 17:00:00","67.4193188","50.25776128","0.90439183","25.56339135","1.101411","4.76713665"
"2013-01-09 18:00:00","129.92764648","66.24781728","1.07390283","10.44052727","0.9562851","6.92500725"
"2013-01-09 19:00:00","115.0578504","59.27335752","1.35600525","16.79415938","1.69437285","9.06111405"
"2013-01-09 20:00:00","122.6684708","67.51402016","1.98633549","22.33835415","2.16056565","8.8135254"
"2013-01-09 21:00:00","123.16459656","59.46059968","2.12504621","15.47133273","2.74401855","12.03319485"
"2013-01-09 22:00:00","96.44106968","50.10860616","1.87099816","13.50992853","2.2834701","9.77199705"
"2013-01-09 23:00:00","92.7862052","53.80985576","1.84566989","9.80702499","1.85556735","7.9067682"
"2013-01-10 00:00:00","77.82233872","49.09534176","1.6553753","10.03031537","1.85444865","7.38875925"
"2013-01-10 01:00:00","65.6774868","41.07679616","1.42238695","10.96323123","1.35428805","6.47945955"
"2013-01-10 02:00:00","51.63902832","30.12466896","1.15162464","11.95788836","1.07237565","4.9555359"
"2013-01-10 03:00:00","47.90762648","27.81524064","1.03522017","12.77577452","1.0531035","4.7494917"
"2013-01-10 04:00:00","50.10923712","24.50633344","0.86003912","","0.7846155","4.0013865"
"2013-01-10 05:00:00","41.13870672","21.60030376","0.79895234","18.86467212","0.707832","3.07311975"
"2013-01-10 06:00:00","37.1894516","22.03478664","0.78075621","23.39307075","0.7484103","3.00915045"
"2013-01-10 07:00:00","35.10388024","21.22254992","0.64694547","33.2838219","0.71113725","2.9524527"
"2013-01-10 08:00:00","31.6669264","17.99147068","0.58457487","46.20338205","0.6736608","2.69672805"
"2013-01-10 09:00:00","43.77613864","25.63955672","0.66304694","47.96600445","0.60384375","3.34516725"
"2013-01-10 10:00:00","31.77327184","19.49352832","0.5472937","60.2977578","0.5008725","2.51204085"
"2013-01-10 11:00:00","35.06045872","23.20449088","0.60923093","57.0211299","0.6046065","3.0495762"
"2013-01-10 12:00:00","45.6684068","30.01442304","0.64014886","46.64319975","0.82605825","3.98719935"
"2013-01-10 13:00:00","27.27796864","14.64689703","0.48994075","66.58202775","0.6009453","3.6993375"
"2013-01-10 14:00:00","25.4680312","14.06731056","0.50092554","81.74973345","0.4664979","1.70952615"
"2013-01-10 15:00:00","18.99743698","9.75568173","0.4702441","87.2685618","0.3027609","1.70118675"
"2013-01-10 16:00:00","","","0.46542333","85.51944555","0.35233965","1.4891931"
"2013-01-10 17:00:00","17.66435998","4.89245619","","","",""
"2013-01-10 18:00:00","15.89377533","9.75649242","","","",""
"2013-01-10 19:00:00","15.30365374","9.98832624","0.35057879","79.8382242","0.36495045","7.67148525"
"2013-01-10 20:00:00","17.72640247","12.39259358","0.4176327","68.66608455","0.47010825","2.65482765"
"2013-01-10 21:00:00","20.09077976","14.6493291","0.38677301","62.56872615","0.49288905","2.3854752"
"2013-01-10 22:00:00","16.45731247","13.52177107","0.40805057","62.71926885","0.3280842","1.69986465"
"2013-01-10 23:00:00","15.73619402","13.79332478","0.43163949","51.85753125","0.6415236","2.28291075"
"2013-01-11 00:00:00","19.19974952","17.36162729","0.51479486","44.13708075","0.52044975","1.95838605"
"2013-01-11 01:00:00","15.79131507","15.0311249","0.49108711","39.22471245","0.40064715","1.81804005"
"2013-01-11 02:00:00","17.54482557","17.26192222","0.54059612","34.15074915","0.5383998","2.10808845"
"2013-01-11 03:00:00","14.01770181","12.85302039","0.43410929","34.4510166","0.41549535","1.78620795"
"2013-01-11 04:00:00","12.9023041","11.45877087","0.37335804","37.8595938","0.42637725","1.68725385"
"2013-01-11 05:00:00","12.94315781","11.50984039","0.34785269","33.9164763","0.3594078","1.57050225"
"2013-01-11 06:00:00","14.90288706","13.78440913","0.34405945","32.1090063","0.32772825","1.4784129"
"2013-01-11 07:00:00","20.65042216","19.2819464","0.37070999","30.85975725","0.51577155","1.67972805"
"2013-01-11 08:00:00","52.23109824","39.84059256","0.59083674","18.34027839","0.66689775","3.0800862"
"2013-01-11 09:00:00","56.33214704","42.84067352","0.87768188","13.58858739","0.7592922","6.35202945"
"2013-01-11 10:00:00","34.5643712","30.76180472","0.73261025","22.87712385","0.954963","5.68030095"
"2013-01-11 11:00:00","45.60680216","34.24982808","0.72071677","36.23057655","0.81405765","4.62221415"
"2013-01-11 12:00:00","46.98546888","38.86222216","0.75949845","37.5906279","0.89673975","4.8721419"
"2013-01-11 13:00:00","38.63945504","31.06902488","0.73436824","46.78021635","0.78629355","4.90422825"
"2013-01-11 14:00:00","32.45224216","22.92727","0.66363992","64.65785025","0.8155323","4.0694238"
"2013-01-11 15:00:00","27.76757448","19.1838608","0.59696231","72.7174308","0.7114932","3.40344135"
"2013-01-11 16:00:00","24.19375968","19.20495016","0.65662662","70.5589605","0.56560455","2.31870915"
"2013-01-11 17:00:00","44.77479536","33.75213448","0.81550816","50.051757","1.00515195","4.03703235"
"2013-01-11 18:00:00","39.62061696","26.32208336","0.67683704","52.2855186","1.1255139","4.31223255"
"2013-01-11 19:00:00","23.39936192","16.63288952","0.52026687","64.15714515","0.5798934","2.3921874"
"2013-01-11 20:00:00","19.87483848","13.2672399","0.46824845","67.98774465","0.31430385","1.64230245"
"2013-01-11 21:00:00","17.30293845","12.81573066","0.51279922","69.96862005","0.4293774","1.6944237"
"2013-01-11 22:00:00","17.83080723","16.12058442","0.58190702","65.80812735","0.6041997","1.96245405"
"2013-01-11 23:00:00","16.2835155","15.14055822","0.59577634","60.90589365","0.52726365","1.87143255"
"2013-01-12 00:00:00","16.33020845","15.32699734","0.60474568","50.8510338","0.5479596","1.70077995"
"2013-01-12 01:00:00","13.00671078","11.06562543","0.53751469","56.65997505","0.4056813","1.3679667"
"2013-01-12 02:00:00","12.54693214","11.01455782","0.53382048","52.18910025","0.3472038","1.16105805"
"2013-01-12 03:00:00","13.7972157","12.55714604","0.55501882","47.05764105","0.39840975","1.3148793"
"2013-01-12 04:00:00","12.8504239","11.29016498","0.53275334","","0.3694761","1.31472675"
"2013-01-12 05:00:00","10.62027666","8.59326794","0.4659569","47.7435819","0.3146598","1.1505321"
"2013-01-12 06:00:00","13.25897241","11.70276502","0.47490643","43.6203159","0.28898055","1.13085315"
"2013-01-12 07:00:00","14.23948425","12.88301202","0.46340788","42.42944055","0.36281475","1.4630562"
"2013-01-12 08:00:00","16.92616738","15.93738614","0.49685619","43.96878255","0.35569575","1.72020465"
"2013-01-12 09:00:00","19.23412728","17.87555377","0.55332025","43.51460085","0.39871485","2.1935673"
"2013-01-12 10:00:00","18.0240569","16.0176366","0.53202172","53.71152465","0.44661555","2.47075065"
"2013-01-12 11:00:00","17.60967296","15.33186147","0.58680701","53.39096805","0.483075","2.1052917"
