"NetC","ARPA Puglia","","",""
"Stat","ASM","","",""
"Parm","SO2","NOX","NO2","PM10"
"PtId","1","2","4","7"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Field","Aver","Aver","Aver","Aver"
"2013-01-13 01:00:00","5.32609612","12.77649833","10.47512335","11.30000019"
"2013-01-13 02:00:00","5.45974518","12.46522282","9.85214786","11.30000019"
"2013-01-13 03:00:00","5.98169907","7.66252546","5.3147864","11.30000019"
"2013-01-13 04:00:00","5.94196488","7.34347002","4.96176619","11.30000019"
"2013-01-13 05:00:00","6.6571681","8.45886964","5.5821471","11.30000019"
"2013-01-13 06:00:00","6.58311931","7.48613773","4.9565732","11.30000019"
"2013-01-13 07:00:00","6.89556917","6.27476336","3.80665816","11.30000019"
"2013-01-13 08:00:00","7.05630907","6.08929554","3.65870186","11.30000019"
"2013-01-13 09:00:00","6.77456244","8.77662683","6.33491488","11.30000019"
"2013-01-13 10:00:00","6.637301","7.74553303","5.15774428","11.30000019"
"2013-01-13 11:00:00","7.27665026","7.12817309","4.02210614","11.30000019"
"2013-01-13 12:00:00","7.7155244","7.36551921","4.20510558","11.30000019"
"2013-01-13 13:00:00","7.72997292","7.01533641","4.06493686","11.30000019"
"2013-01-13 14:00:00","8.24470205","9.93223198","5.88585109","11.30000019"
"2013-01-13 15:00:00","8.42530904","4.8169647","2.60742499","11.30000019"
"2013-01-13 16:00:00","8.76123838","4.82863746","2.75019021","11.30000019"
"2013-01-13 17:00:00","8.1471748","4.95055231","2.7839351","11.30000019"
"2013-01-13 18:00:00","8.53006106","5.04004347","2.92670222","11.30000019"
"2013-01-13 19:00:00","8.10744162","5.02318346","2.994192","11.30000019"
"2013-01-13 20:00:00","7.86000959","4.80918286","2.91631815","11.30000019"
"2013-01-13 21:00:00","8.70524948","5.21513487","3.20963807","11.30000019"
"2013-01-13 22:00:00","8.20135649","5.09322002","3.07595677","11.30000019"
"2013-01-13 23:00:00","8.28262903","5.43173006","3.38614818","11.30000019"
"2013-01-14 00:00:00","8.31152708","6.61457165","4.42704289","11.30000019"
"2013-01-14 01:00:00","","5.55105224","3.42768064","17.39999962"
"2013-01-14 02:00:00","9.08813676","","","17.39999962"
"2013-01-14 03:00:00","9.00505701","10.046365","6.70480658","17.39999962"
"2013-01-14 04:00:00","9.26513137","10.48474262","6.98774434","17.39999962"
"2013-01-14 05:00:00","8.92197828","11.7479972","8.62306264","17.39999962"
"2013-01-14 06:00:00","9.26332518","12.47559924","8.94233987","17.39999962"
"2013-01-14 07:00:00","9.43128985","21.78138928","13.31227323","17.39999962"
"2013-01-14 08:00:00","9.76179959","30.41923168","19.213688","17.39999962"
"2013-01-14 09:00:00","9.95324272","37.09476936","24.61673232","17.39999962"
"2013-01-14 10:00:00","11.29695804","53.73234328","34.9529852","17.39999962"
"2013-01-14 11:00:00","12.63163833","55.06691928","34.17426584","17.39999962"
"2013-01-14 12:00:00","13.66109658","44.04785296","28.98148416","17.39999962"
"2013-01-14 13:00:00","18.47969343","38.01042616","26.33510408","17.39999962"
"2013-01-14 14:00:00","38.50175889","56.66351576","34.98413168","17.39999962"
"2013-01-14 15:00:00","57.01395564","36.86779584","25.52133776","17.39999962"
"2013-01-14 16:00:00","41.38062147","35.8211288","24.96974488","17.39999962"
"2013-01-14 17:00:00","39.75517071","27.20921312","19.92491376","17.39999962"
"2013-01-14 18:00:00","19.00163817","12.60918686","9.47446668","17.39999962"
"2013-01-14 19:00:00","15.29739873","60.45197168","36.23398696","17.39999962"
"2013-01-14 20:00:00","14.06023857","66.45565168","42.82327432","17.39999962"
"2013-01-14 21:00:00","13.27820625","49.5171672","31.23716616","17.39999962"
"2013-01-14 22:00:00","19.60305129","47.43425352","26.90357992","17.39999962"
"2013-01-14 23:00:00","15.23418201","14.70120739","11.53028923","17.39999962"
"2013-01-15 00:00:00","13.18971708","7.94786087","6.09480783","17.39999962"
"2013-01-15 01:00:00","12.06994923","8.6456338","5.79759508","10.69999981"
"2013-01-15 02:00:00","10.84724064","12.95677698","7.30312682","10.69999981"
"2013-01-15 03:00:00","11.02784967","15.85032704","9.69770033","10.69999981"
"2013-01-15 04:00:00","10.57814244","3.87276556","1.88970226","10.69999981"
"2013-01-15 05:00:00","10.26929988","3.28653298","1.31733932","10.69999981"
"2013-01-15 06:00:00","10.28917206","5.87529494","3.44844687","10.69999981"
"2013-01-15 07:00:00","10.25665857","4.36172514","2.33616955","10.69999981"
"2013-01-15 08:00:00","10.26387927","10.65075585","6.9527012","10.69999981"
"2013-01-15 09:00:00","11.37641625","34.88082632","22.28055512","10.69999981"
"2013-01-15 10:00:00","10.51673598","15.4210295","11.8339894","10.69999981"
"2013-01-15 11:00:00","13.45701519","11.77393539","8.08833934","10.69999981"
"2013-01-15 12:00:00","14.63636907","24.98750736","16.36616552","10.69999981"
"2013-01-15 13:00:00","14.46119082","22.72817344","14.39470041","10.69999981"
"2013-01-15 14:00:00","","","","10.69999981"
"2013-01-15 15:00:00","6.97995373","","","10.69999981"
"2013-01-15 16:00:00","6.67884138","53.77515296","32.50000392","10.69999981"
"2013-01-15 17:00:00","6.32304597","38.7898912","24.87240496","10.69999981"
"2013-01-15 18:00:00","6.52171285","28.68128104","19.89766776","10.69999981"
"2013-01-15 19:00:00","7.48795946","90.1760384","48.78051184","10.69999981"
"2013-01-15 20:00:00","5.56810856","44.22421584","31.59537936","10.69999981"
"2013-01-15 21:00:00","3.20215976","25.56466368","17.98460851","10.69999981"
"2013-01-15 22:00:00","5.12020447","41.5978544","30.08336976","10.69999981"
