"NetC","SIMAGE Brindisi","","","",""
"Stat","P.za San Giusto Casale","","","",""
"Parm","SO2","NOX","NO","NO2","PM10"
"PtId","1","2","3","4","5"
"Unit","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3 293K","ug/m3"
"Arch","2","2","2","2","4"
"Field","Aver","Aver","Aver","Aver","Aver"
"2013-01-08 18:00:00","2.584396","6.61068","0.403317","6.928296",""
"2013-01-08 19:00:00","2.301052","5.654809","0.70781","5.504229",""
"2013-01-08 20:00:00","1.959954","4.357186","0.405428","4.670549",""
"2013-01-08 21:00:00","1.983416","6.234558","0.426967","6.515673",""
"2013-01-08 22:00:00","1.940102","4.154858","0.39656","4.481756",""
"2013-01-08 23:00:00","1.774066","28.801908","1.565123","27.344659",""
"2013-01-09 00:00:00","1.400483","23.973917","1.067205","23.279422",""
"2013-01-09 01:00:00","1.453723","19.413759","0.695563","19.288159",""
"2013-01-09 02:00:00","1.525913","14.568268","0.372065","14.937448","3.418803"
"2013-01-09 03:00:00","1.629686","17.77763","0.36742","18.155391",""
"2013-01-09 04:00:00","1.739776","14.902886","0.50932","15.06137","15.87301"
"2013-01-09 05:00:00","1.804746","12.975583","0.502985","13.142933",""
"2013-01-09 06:00:00","1.599005","23.309211","1.543584","21.882609","21.001221"
"2013-01-09 07:00:00","1.642319","39.614785","4.099051","34.269713",""
"2013-01-09 08:00:00","1.990635","63.357849","15.035902","41.222032","22.22221"
"2013-01-09 09:00:00","3.34239","130.80443","51.813747","52.199989",""
"2013-01-09 10:00:00","3.262981","99.891654","33.847346","48.873701","25.15262"
"2013-01-09 11:00:00","5.143527","57.575939","13.626181","37.603131",""
"2013-01-09 12:00:00","5.240081","37.909911","6.131682","29.441511","36.38583"
"2013-01-09 13:00:00","7.914715","20.022693","2.546176","17.054412",""
"2013-01-09 14:00:00","2.698096","12.65069","1.399151","11.441194","32.47863"
"2013-01-09 15:00:00","1.949126","9.626795","1.047358","8.956376",""
"2013-01-09 16:00:00","","","","",""
"2013-01-09 17:00:00","","","","",""
"2013-01-09 18:00:00","","","","",""
"2013-01-09 19:00:00","","","","",""
"2013-01-09 20:00:00","","","","",""
"2013-01-09 21:00:00","","","","",""
"2013-01-09 22:00:00","","","","",""
"2013-01-09 23:00:00","","","","",""
"2013-01-10 00:00:00","","","","",""
"2013-01-10 01:00:00","","","","",""
"2013-01-10 02:00:00","","","","",""
"2013-01-10 03:00:00","","","","",""
"2013-01-10 04:00:00","","","","",""
"2013-01-10 05:00:00","","","","",""
"2013-01-10 06:00:00","","","","",""
"2013-01-10 07:00:00","","","","",""
"2013-01-10 08:00:00","","","","",""
"2013-01-10 09:00:00","","","","",""
"2013-01-10 10:00:00","","","","",""
"2013-01-10 11:00:00","","","","",""
"2013-01-10 12:00:00","","","","",""
"2013-01-10 13:00:00","","","","",""
"2013-01-10 14:00:00","","","","",""
"2013-01-10 15:00:00","","","","",""
"2013-01-10 16:00:00","","","","",""
"2013-01-10 17:00:00","","","","",""
"2013-01-10 18:00:00","","","","",""
"2013-01-10 19:00:00","","","","",""
"2013-01-10 20:00:00","","","","",""
"2013-01-10 21:00:00","","","","",""
"2013-01-10 22:00:00","","","","",""
"2013-01-10 23:00:00","","","","",""
"2013-01-11 00:00:00","","","","",""
"2013-01-11 01:00:00","","","","",""
"2013-01-11 02:00:00","","","","",""
"2013-01-11 03:00:00","","","","",""
"2013-01-11 04:00:00","","","","",""
"2013-01-11 05:00:00","","","","",""
"2013-01-11 06:00:00","","","","",""
"2013-01-11 07:00:00","","","","",""
"2013-01-11 08:00:00","","","","",""
"2013-01-11 09:00:00","","","","",""
"2013-01-11 10:00:00","","","","",""
"2013-01-11 11:00:00","","","","",""
"2013-01-11 12:00:00","","","","",""
"2013-01-11 13:00:00","","","","",""
"2013-01-11 14:00:00","2.917578","27.38286","3.861838","22.396727","19.53602"
"2013-01-11 15:00:00","2.474307","26.468006","3.738811","21.670453",""
"2013-01-11 16:00:00","1.952736","22.025206","1.851457","20.12506","13.67521"
"2013-01-11 17:00:00","2.385875","28.72539","2.135257","26.392271",""
"2013-01-11 18:00:00","2.120577","34.886658","2.889099","31.398212","7.326007"
"2013-01-11 19:00:00","1.994244","25.396043","1.714625","23.707613",""
"2013-01-11 20:00:00","1.949126","22.075799","1.742075","20.343718","13.91941"
"2013-01-11 21:00:00","1.974392","21.290483","1.649165","19.700769",""
"2013-01-11 22:00:00","1.949126","18.077881","1.174054","17.216612","10.98901"
"2013-01-11 23:00:00","1.88957","14.124702","0.797765","13.839723",""
"2013-01-12 00:00:00","1.949126","7.68198","0.401628","8.002672","16.60561"
"2013-01-12 01:00:00","1.949126","6.595115","0.361929","6.976305",""
"2013-01-12 02:00:00","","9.601504","0.358973","9.98858","11.72161"
"2013-01-12 03:00:00","1.95093","","","",""
"2013-01-12 04:00:00","1.925664","4.228137","0.363618","4.605671","6.593407"
"2013-01-12 05:00:00","1.949126","4.071853","0.318853","4.518086",""
"2013-01-12 06:00:00","1.949126","4.840958","0.342503","5.251207","7.081807"
"2013-01-12 07:00:00","1.849865","5.20411","0.364463","5.580786",""
"2013-01-12 08:00:00","1.638709","8.46211","1.038065","7.805443","10.01221"
"2013-01-12 09:00:00","1.718119","3.888979","0.563376","3.95949",""
"2013-01-12 10:00:00","1.535168","3.9514","0.537337","4.06194","11.96581"
"2013-01-12 11:00:00","1.579153","4.502446","0.68754","4.382493",""
"2013-01-12 12:00:00","2.315489","3.57122","0.626302","3.544921","8.302809"
"2013-01-12 13:00:00","2.816307","3.990143","0.737795","3.792754",""
"2013-01-12 14:00:00","2.270371","3.743069","0.533392","3.859579","5.128205"
"2013-01-12 15:00:00","1.949126","7.147627","1.244581","6.17312",""
"2013-01-12 16:00:00","1.745189","5.904477","0.777072","5.647608","3.174603"
"2013-01-12 17:00:00","1.932883","25.8876","2.519991","22.962182",""
"2013-01-12 18:00:00","2.293832","92.554031","17.354012","66.870153","1.465201"
"2013-01-12 19:00:00","2.728777","133.504734","36.955218","77.727447",""
"2013-01-12 20:00:00","2.755847","118.19263","26.76587","78.061564","0.732601"
"2013-01-12 21:00:00","2.106139","99.040873","18.538625","71.54004",""
"2013-01-12 22:00:00","1.956345","78.33596","11.896784","61.029204","15.38461"
"2013-01-12 23:00:00","2.230666","86.562664","16.524994","62.149633",""
"2013-01-13 00:00:00","1.808356","33.002151","1.514867","31.623999","26.617821"
"2013-01-13 01:00:00","1.932883","22.010293","0.492849","22.197268",""
"2013-01-13 02:00:00","1.949126","16.426184","0.539304","16.53928","34.432232"
"2013-01-13 03:00:00","1.949126","13.319281","0.375866","13.682071",""
"2013-01-13 04:00:00","1.949126","11.317401","0.373755","11.682532","30.28083"
"2013-01-13 05:00:00","1.949126","9.593721","0.310828","10.054754",""
"2013-01-13 06:00:00","1.885959","12.515157","0.399938","12.840605","17.094"
"2013-01-13 07:00:00","1.943712","20.619294","1.161383","19.778626",""
"2013-01-13 08:00:00","1.914836","28.183893","3.164453","24.269454","15.38461"
