"NetC","SIMAGE Brindisi","","","","","","","","","","",""
"Stat","valzani_sanpietrovernotico","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3
11/01/2012 3.00,"0,333053","8,401331","11,026716","0,166657","46,649187"
11/01/2012 4.00,"0,366968","9,547042","12,540933","0,16715","45,025593"
11/01/2012 5.00,"0,378102","9,977605","11,99053","0,166435","45,823733"
11/01/2012 6.00,"0,380019","10,487721","13,178074","0,166165","47,568521"
11/01/2012 7.00,"0,278623","11,703143","14,748223","0,168111","46,490382"
11/01/2012 8.00,"1,103974","22,974075","38,086466","0,187197","38,336658"
11/01/2012 9.00,"1,01581","27,644671","38,149696","0,234138","33,650344"
11/01/2012 10.00,"0,961596","19,450833","25,391512","0,209214","38,840316"
11/01/2012 11.00,"1,007048","15,334643","19,825049","0,195866","41,89879"
11/01/2012 12.00,"0,984594","13,219549","17,881228","0,173528","47,120384"
11/01/2012 13.00,"0,743175","15,545415","20,743479","0,206875","48,219828"
11/01/2012 14.00,"0,962144","17,421854","24,65629","0,2317","45,54972"
11/01/2012 15.00,"0,945714","16,108839","20,4549","0,204609","47,53265"
11/01/2012 16.00,"0,649771","15,906269","20,428954","0,211752","49,003424"
11/01/2012 17.00,"0,68834","18,12634","22,278775","0,233891","50,299237"
11/01/2012 18.00,"0,682864","28,279435","33,945876","0,354396","43,688844"
11/01/2012 19.00,"0,786946","27,898087","32,093626","0,404637","41,811728"
11/01/2012 20.00,"0,477859","28,367196","33,602175","0,405992","40,060098"
11/01/2012 21.00,"0,739268","36,35601","43,727477","0,572969","33,422414"
11/01/2012 22.00,"0,679908","31,926498","35,464118","0,446824","31,590566"
11/01/2012 23.00,"0,437865","21,126338","24,204792","0,32339","39,77244"
12/01/2012 0.00,"0,41837","14,407086","16,880126","0,252165","43,629952"
12/01/2012 1.00,"0,329147","11,00768","13,846015","0,212687","44,90352"
12/01/2012 2.00,"0,521284",,,"0,188059","45,405462"
12/01/2012 3.00,"0,617698","17,555357","20,268404",,"45,986784"
12/01/2012 4.00,,"13,09653","15,553969","0,165253","46,166894"
12/01/2012 5.00,"0,768107","11,567003","14,132159","0,16518",
12/01/2012 6.00,"0,65963","12,265748","15,353747","0,164934","42,006362"
12/01/2012 7.00,"0,401038","24,201789","30,709913","0,274355","34,891492"
12/01/2012 8.00,"1,139304","48,329164","70,532991","0,406397","21,734986"
12/01/2012 9.00,"1,743854","60,677549","95,398129","0,75987","11,192594"
12/01/2012 10.00,"0,956024","30,70127","35,986993","0,290585","32,77368"
12/01/2012 11.00,"1,456771","18,657779","23,875678","0,210076","44,096023"
12/01/2012 12.00,"1,679753","15,414196","20,185786","0,204388","49,545466"
12/01/2012 13.00,"1,427189","17,102828","22,453859","0,236108","54,438423"
