NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
15/01/2009 20.00,"1,9","37,7","45,1","0,5","10,5",,"2,4"
15/01/2009 21.00,"1,9","32,4","43,8","0,5","5,8",,"4,6"
15/01/2009 22.00,"1,8","18,5","25,7","0,2","4,8",,"4,4"
15/01/2009 23.00,"1,9","15,6","22,5","0,1","6,6",,"3,0"
16/01/2009 0.00,"1,6","13,5","19,1","0,2","7,5",,"3,3"
16/01/2009 1.00,,"13,6","19,2","0,1","11,7",,"2,8"
16/01/2009 2.00,"1,0",,,"0,1","16,7",,"2,4"
16/01/2009 3.00,"1,1","11,8","15,2",,"21,9",,"2,7"
16/01/2009 4.00,"1,1","13,4","17,3","0,7",,,"2,1"
16/01/2009 5.00,"1,3","14,2","18,4","0,6","22,6",,"1,6"
16/01/2009 6.00,"1,0","19,6","24,1","0,6","20,7",,"1,6"
16/01/2009 7.00,"1,2","17,6","22,4","0,6","21,7",,"1,5"
16/01/2009 8.00,"0,9","16,0","21,4","0,5","25,0",,"1,4"
16/01/2009 9.00,"0,8","15,1","22,4","0,5","28,5",,"1,4"
16/01/2009 10.00,"0,9","12,6","20,2","0,6","35,2",,"1,6"
16/01/2009 11.00,"0,9","11,3","18,8","0,7","42,5",,"1,5"
16/01/2009 12.00,"1,0","11,8","19,8","0,7","45,0",,"1,5"
16/01/2009 13.00,"1,6","12,4","20,8","0,8","48,6",,"1,3"
16/01/2009 14.00,"4,5","13,4","22,0","0,8","50,1",,"1,8"
16/01/2009 15.00,"6,5","10,4","17,9","0,8","56,8",,"1,1"
16/01/2009 16.00,"6,7","7,4","14,2","0,8","61,5",,"1,1"
16/01/2009 17.00,"5,3","8,5","14,5","0,6","60,2",,"1,3"
16/01/2009 18.00,"3,8","7,3","12,8","0,5","61,2",,"1,3"
16/01/2009 19.00,"3,0","9,4","14,9","0,4","58,7",,"1,1"
16/01/2009 20.00,"2,5","10,9","16,3","0,4","58,1",,"1,2"
16/01/2009 21.00,"2,8","6,4","11,6","0,4","62,5",,"0,9"
16/01/2009 22.00,"2,4","9,7","15,2","0,5","52,4",,"1,0"
16/01/2009 23.00,"2,2","12,7","18,0","0,5","41,8",,"1,2"
17/01/2009 0.00,"2,2","12,0","17,1","0,5","42,7",,"1,4"
17/01/2009 1.00,"2,1","10,6","15,4","0,4","43,9",,"1,4"
17/01/2009 2.00,"1,8","9,2","14,0","0,4","46,4",,"1,3"
17/01/2009 3.00,"1,2","7,3","12,2","0,4","49,1",,"1,2"
17/01/2009 4.00,"1,3","6,5","11,3","0,3","50,8",,"1,3"
17/01/2009 5.00,"1,1","6,1","10,8","0,3","49,4",,"1,2"
17/01/2009 6.00,"1,1","5,8","10,6","0,3","46,4",,"1,2"
17/01/2009 7.00,"1,3","6,7","11,5","0,3","45,1",,"1,2"
17/01/2009 8.00,"1,2","7,9","13,1","0,3","44,4",,"1,3"
17/01/2009 9.00,"1,2","9,8","16,1","0,3","42,6",,"1,3"
17/01/2009 10.00,"1,2","8,7","15,4","0,4","48,0",,"1,6"
17/01/2009 11.00,"2,9","9,7","17,1","0,5","51,2",,"1,5"
17/01/2009 12.00,"5,5","12,3","21,0","0,7","50,8",,"1,4"
17/01/2009 13.00,"5,5","9,3","16,5","0,6","57,3",,"1,2"
17/01/2009 14.00,"5,7","7,5","14,4","0,6","61,1",,"1,4"
17/01/2009 15.00,"7,2","9,7","17,1","0,7","59,7",,"1,0"
17/01/2009 16.00,"6,5","7,0","14,2","0,8","63,7",,"0,9"
17/01/2009 17.00,"3,7","5,9","12,5","0,6","63,7",,"0,9"
17/01/2009 18.00,"2,5","11,3","17,7","0,6","45,6",,"1,0"
17/01/2009 19.00,"2,8","12,5","18,5","0,5","25,5",,"1,4"
17/01/2009 20.00,"2,5","10,3","15,8","0,5","25,2",,"2,5"
17/01/2009 21.00,"2,0","15,1","20,2","0,4","17,8",,"2,5"
17/01/2009 22.00,"1,6","19,5","24,4","0,5","14,2",,"4,3"
17/01/2009 23.00,"2,0","34,5","42,8","0,9","9,3",,"4,5"
18/01/2009 0.00,"1,7","23,8","29,0","0,9","11,2",,"6,5"
18/01/2009 1.00,,"15,4","20,1","0,7","10,1",,"5,3"
18/01/2009 2.00,"0,2",,,"0,7","9,5",,"4,4"
18/01/2009 3.00,"0,2","17,3","23,2",,"4,6",,"4,8"
18/01/2009 4.00,"0,2","14,6","25,7","1,1",,,"5,4"
18/01/2009 5.00,"0,5","17,1","22,3","0,9","7,3",,"5,2"
18/01/2009 6.00,"0,3","10,9","14,5","0,8","12,4",,"5,3"
18/01/2009 7.00,"0,3","9,8","13,2","0,4","17,6",,"4,4"
18/01/2009 8.00,"0,2","14,4","18,9","0,4","19,6",,"2,9"
18/01/2009 9.00,"0,3","14,5","20,8","0,6","21,9",,"2,2"
18/01/2009 10.00,"0,2","13,8","20,2","0,6","27,6",,"2,5"
18/01/2009 11.00,"0,9","9,8","15,5","0,8","47,6",,"2,5"
18/01/2009 12.00,"0,7","9,9","15,9","0,9","53,6",,"1,3"
18/01/2009 13.00,"0,6","7,8","13,7","0,9","58,8",,"1,7"
18/01/2009 14.00,"0,5","6,3","12,2","1,0","61,1",,"1,3"
18/01/2009 15.00,"0,7","4,6","10,3","0,9","63,8",,"1,3"
18/01/2009 16.00,"0,5","4,4","9,9","0,8","58,6",,"1,3"
18/01/2009 17.00,"0,4","6,5","12,2","0,9","50,2",,"1,7"
18/01/2009 18.00,"0,3","17,0","23,1","0,9","34,1",,"1,9"
18/01/2009 19.00,"0,3","24,1","31,6","0,9","21,0",,"1,8"
18/01/2009 20.00,"0,2","10,5","15,5","0,8","20,4",,"3,1"
18/01/2009 21.00,"0,2","20,1","25,3","0,8","18,4",,"3,0"
18/01/2009 22.00,"0,3","23,2","28,1","1,2","28,3",,"4,0"
18/01/2009 23.00,"0,2","14,1","19,0","0,9","33,4",,"5,7"
19/01/2009 0.00,"0,3","10,6","15,5","0,7","39,1",,"2,9"
19/01/2009 1.00,"0,1","8,3","13,2","0,8","44,4",,"2,1"
19/01/2009 2.00,"0,2","7,2","12,3","0,7","43,9",,"1,7"
19/01/2009 3.00,"0,1","5,7","10,5","0,6","40,8",,"1,5"
19/01/2009 4.00,"0,1","4,2","8,9","0,5","46,3",,"1,4"
19/01/2009 5.00,"0,2","3,9","8,8","0,5","49,1",,"1,1"
19/01/2009 6.00,"0,2","5,8","10,8","0,6","41,5",,"0,8"
19/01/2009 7.00,"0,2","8,6","13,6","0,5","44,0",,"0,8"
19/01/2009 8.00,"0,2","17,4","23,0","0,6","34,5",,"0,9"
19/01/2009 9.00,"0,1","24,7","36,7","0,7","27,5",,"1,6"
19/01/2009 10.00,"0,1","15,7","21,8","0,5","43,2",,
19/01/2009 11.00,"0,3","11,7","18,5","0,8","54,7",,
19/01/2009 12.00,"21,2","11,3","19,3","1,0","60,3",,
19/01/2009 13.00,"9,4","7,4","14,8","1,0","64,4",,
19/01/2009 14.00,"2,6","7,2","15,0","1,2","65,6",,
19/01/2009 15.00,"1,0","5,0","12,5","1,1","67,4",,
19/01/2009 16.00,"3,7","7,0","14,5","1,1","57,3",,
19/01/2009 17.00,"1,6","8,2","15,4","1,0","42,9",,
19/01/2009 18.00,"0,9","16,9","23,5","0,9","24,2",,
19/01/2009 19.00,"0,9","35,2","41,8","1,0","13,5",,
19/01/2009 20.00,"0,6","26,5","33,0","1,0","17,9",,
19/01/2009 21.00,"0,5","23,3","29,1","1,0","30,6",,
19/01/2009 22.00,"0,2","17,3","23,1","1,0","37,7",,
19/01/2009 23.00,"0,2","15,4","21,0","0,9","32,7",,
20/01/2009 0.00,"0,3","12,2","17,7","0,8","31,3",,
20/01/2009 1.00,,"8,5","13,7","0,8","38,5",,
20/01/2009 2.00,"0,5",,,"0,8","52,9",,
20/01/2009 3.00,"0,8","5,1","8,7",,"47,3",,
20/01/2009 4.00,"0,7","3,7","7,7","0,3",,,
20/01/2009 5.00,"0,5","3,1","7,1","0,2","43,8",,
20/01/2009 6.00,"0,5","5,1","9,3","0,1","33,8",,
20/01/2009 7.00,"0,7","7,3","11,5","0,1","42,8",,
20/01/2009 8.00,"0,9","8,6","13,2","0,1","40,1",,
20/01/2009 9.00,"0,8","17,4","23,6","0,3","36,3",,
20/01/2009 10.00,"0,8","16,5","24,0","0,5","44,0",,
20/01/2009 11.00,"1,2","7,9","14,0","0,6","60,4",,
20/01/2009 12.00,"1,0","9,4","15,9","0,6","58,5",,
20/01/2009 13.00,"0,8","10,3","17,0","0,7","55,6",,
20/01/2009 14.00,"1,0","12,5","19,1","0,7","49,1",,
20/01/2009 15.00,"0,9","12,5","18,9","0,7","49,3",,
20/01/2009 16.00,"0,8","7,2","13,3","0,6","53,3",,
20/01/2009 17.00,"0,4","5,9","11,6","0,6","56,5",,
20/01/2009 18.00,"0,4","6,1","11,8","0,6","57,8",,
20/01/2009 19.00,"0,3","6,1","11,8","0,6","57,2",,
20/01/2009 20.00,"0,4","7,9","13,8","0,7","54,3",,
20/01/2009 21.00,"0,4","5,6","11,5","0,7","60,1",,
20/01/2009 22.00,"0,2","4,5","10,5","0,6","62,9",,
20/01/2009 23.00,"0,3","3,7","9,5","0,6","61,4",,
21/01/2009 0.00,"0,3","4,7","10,5","0,6","54,3",,
21/01/2009 1.00,"0,5","4,2","10,1","0,7","51,7",,
21/01/2009 2.00,"0,4","3,2","9,1","0,7","57,5",,
21/01/2009 3.00,"0,2","4,3","10,2","0,7","57,9",,
21/01/2009 4.00,"0,2","2,4","8,4","0,7","61,9",,
21/01/2009 5.00,"0,2","2,6","8,5","0,7","62,7",,
21/01/2009 6.00,"0,1","3,0","9,0","0,6","63,9",,
21/01/2009 7.00,"0,1","3,6","9,3","0,6","61,3",,
21/01/2009 8.00,"0,1","4,1","9,9","0,6","56,3",,
21/01/2009 9.00,"0,3","4,1","9,9","0,6","58,4",,
21/01/2009 10.00,"0,2","2,9","8,5","0,6","59,7",,
21/01/2009 11.00,"0,3","2,5","6,6","0,4","61,3",,
21/01/2009 12.00,,"3,2","7,7","0,4","62,5",,
21/01/2009 13.00,"0,5","3,2","8,5","0,7","61,0",,
21/01/2009 14.00,,"3,6","10,1","0,8",,,
21/01/2009 15.00,"0,1","4,1","10,5","0,5","61,5",,
21/01/2009 16.00,"0,1","5,5","12,0","0,7","55,8",,"0,6"
21/01/2009 17.00,"0,1","5,7","12,2","0,7","56,9",,"0,6"
21/01/2009 18.00,"0,0","5,9","12,3","0,6","56,6",,"0,7"
21/01/2009 19.00,"0,1","7,3","13,6","0,6","55,8",,"0,6"
21/01/2009 20.00,"0,1","6,5","12,8","0,6","55,6",,"0,7"
21/01/2009 21.00,"0,1","6,0","12,1","0,6","56,1",,"0,8"
21/01/2009 22.00,"0,1","4,4","10,4","0,6","56,7",,"0,7"
21/01/2009 23.00,"0,1","6,0","11,9","0,6","50,2",,"0,6"
22/01/2009 0.00,"0,1","5,2","11,0","0,6","54,3",,"0,6"
22/01/2009 1.00,,"3,8","9,6","0,5","55,8",,"0,5"
22/01/2009 2.00,"1,0",,,"0,6","57,3",,"0,4"
22/01/2009 3.00,"0,8","2,1","6,0",,"57,7",,"0,5"
22/01/2009 4.00,"1,1","2,9","7,2","0,4",,,"0,4"
22/01/2009 5.00,"1,2","2,7","7,4","0,3","55,3",,"0,4"
22/01/2009 6.00,"1,4","2,7","7,5","0,3","51,6",,"0,4"
22/01/2009 7.00,"0,8","4,4","9,2","0,3","49,6",,"0,4"
22/01/2009 8.00,"0,9","7,6","12,5","0,3","46,4",,"0,5"
22/01/2009 9.00,"1,3","7,3","12,3","0,3","46,6",,"0,5"
22/01/2009 10.00,"1,1","8,6","14,0","0,4","44,6",,"0,6"
22/01/2009 11.00,"1,1","10,0","16,2","0,4","44,1",,"0,7"
22/01/2009 12.00,"1,1","9,8","15,9","0,4","44,2",,"0,6"
22/01/2009 13.00,"1,4","6,9","12,9","0,4","51,6",,"0,6"
22/01/2009 14.00,"1,2","6,1","12,5","0,5","49,7",,"0,6"
22/01/2009 15.00,"1,2","9,6","16,5","0,6","46,1",,"0,6"
22/01/2009 16.00,"1,0","5,9","12,3","0,6","55,9",,"0,7"
22/01/2009 17.00,"1,1","8,1","14,5","0,6","51,8",,"0,9"
22/01/2009 18.00,"1,0","4,5","10,5","0,4","49,0",,"0,8"
22/01/2009 19.00,"1,1","4,4","10,3","0,5","35,7",,"0,6"
22/01/2009 20.00,"1,0","4,5","10,3","0,4","28,7",,"0,9"
22/01/2009 21.00,"1,0","4,0","9,7","0,3","31,4",,"0,8"
22/01/2009 22.00,"1,1","7,6","13,4","0,5","40,5",,"0,8"
22/01/2009 23.00,"0,9","6,5","12,1","0,4","45,8",,"1,0"
23/01/2009 0.00,"0,7","3,6","9,2","0,3","55,2",,"0,8"
23/01/2009 1.00,"0,9","3,6","9,2","0,4","47,4",,"0,5"
23/01/2009 2.00,"1,0","3,8","9,5","0,4","38,2",,"0,5"
23/01/2009 3.00,"1,0","3,1","8,9","0,4","33,3",,"0,5"
23/01/2009 4.00,"1,1","2,3","8,0","0,3","40,8",,"0,4"
23/01/2009 5.00,"1,0","4,6","10,3",,"60,3",,"0,5"
23/01/2009 6.00,"0,7","5,3","11,1",,"63,4",,"0,4"
23/01/2009 7.00,"1,0","5,6","11,1",,"56,0",,"0,6"
23/01/2009 8.00,"1,2","4,9","10,1",,"56,3",,"0,8"
23/01/2009 9.00,"0,8","5,5","10,7",,"55,5",,"0,9"
23/01/2009 10.00,"1,3","8,1","14,2",,"51,3",,"0,9"
23/01/2009 11.00,"1,3","12,1","19,3",,"46,8",,"1,0"
23/01/2009 12.00,"1,4","14,6","22,2",,"41,8",,"1,0"
23/01/2009 13.00,"1,3","14,6","21,9",,"39,8",,"1,1"
23/01/2009 14.00,"1,4","13,2","20,5",,"40,6",,"1,2"
23/01/2009 15.00,"1,4","12,6","20,2",,"37,1",,"0,6"
23/01/2009 16.00,"1,6","12,5","19,0","0,5","33,7",,"1,5"
23/01/2009 17.00,"1,2","10,9","16,9","0,3","35,9",,"1,4"
23/01/2009 18.00,"0,7","12,3","18,1","0,3","34,9",,"1,3"
23/01/2009 19.00,"1,1","10,3","16,1","0,3","34,6",,"1,3"
23/01/2009 20.00,"1,2","10,1","15,9","0,3","36,8",,"1,5"
23/01/2009 21.00,"1,6","14,9","20,9","0,3","26,1",,"1,7"
23/01/2009 22.00,"1,8","20,1","26,1","0,4","17,6",,"2,0"
23/01/2009 23.00,"1,5","24,1","29,7","0,5","16,1",,"5,5"
24/01/2009 0.00,"1,9","17,2","22,7","0,4","23,2",,"3,2"
24/01/2009 1.00,,"4,7","10,0","0,1","56,7",,"1,9"
24/01/2009 2.00,"1,2",,,"0,1","65,6",,"0,8"
24/01/2009 3.00,"1,0","3,2","7,0",,"49,6",,"0,7"
24/01/2009 4.00,"1,1","3,3","7,9","0,5",,,"0,9"
24/01/2009 5.00,"0,9","3,9","8,6","0,3","37,5",,"0,8"
24/01/2009 6.00,"1,0","8,5","13,2","0,2","41,0",,"0,8"
24/01/2009 7.00,"1,4","4,3","8,9","0,2","53,5",,"0,7"
24/01/2009 8.00,"2,7","6,3","11,2","0,2","48,8",,"0,7"
24/01/2009 9.00,"2,3","9,8","16,0","0,3","38,4",,"0,7"
24/01/2009 10.00,"2,5","8,3","15,3","0,4","37,3",,"1,1"
24/01/2009 11.00,"1,4","7,2","14,0","0,6","41,0",,"1,1"
24/01/2009 12.00,"1,7","5,3","11,9","0,6","46,6",,"0,9"
24/01/2009 13.00,"1,5","4,0","10,6","0,7","36,1",,"0,8"
24/01/2009 14.00,"1,8","5,3","12,0","0,6","38,2",,"0,9"
24/01/2009 15.00,"1,1","7,4","14,1","0,6","31,9",,"1,2"
24/01/2009 16.00,"0,7","7,0","13,3","0,5","35,5",,"0,8"
24/01/2009 17.00,"0,8","4,2","9,9","0,4","52,2",,"0,9"
24/01/2009 18.00,"1,0","3,2","8,8","0,3","45,6",,"0,5"
24/01/2009 19.00,"0,6","11,6","17,1","0,4","26,9",,"0,9"
24/01/2009 20.00,"0,9","12,7","18,3","0,4","27,8",,"1,3"
24/01/2009 21.00,"0,9","12,3","17,9","0,5","25,4",,"1,4"
24/01/2009 22.00,"0,8","15,4","21,1","0,5","22,0",,"1,5"
24/01/2009 23.00,"0,5","9,1","14,9","0,5","32,6",,"1,5"
25/01/2009 0.00,"0,6","3,3","9,0","0,4","44,4",,"1,0"
25/01/2009 1.00,"0,5","2,6","8,4","0,3","49,5",,"0,5"
25/01/2009 2.00,"0,3","2,1","7,7","0,3","62,4",,"0,4"
25/01/2009 3.00,"0,7","1,9","7,6","0,2","64,6",,"0,4"
25/01/2009 4.00,"0,6","2,0","7,7","0,2","64,2",,"0,5"
25/01/2009 5.00,"0,5","3,0","8,8","0,2","60,5",,"0,5"
25/01/2009 6.00,"0,6","3,5","9,2","0,2","51,1",,"0,5"
25/01/2009 7.00,"0,7","3,1","8,7","0,2","42,6",,"0,4"
25/01/2009 8.00,"0,5","4,3","9,9","0,2","45,1",,"0,5"
25/01/2009 9.00,"0,7","4,1","10,1","0,2","55,7",,"0,5"
25/01/2009 10.00,"0,7","3,2","9,4","0,2","60,4",,"0,6"
25/01/2009 11.00,"0,6","2,5","8,9","0,4","63,5",,"0,6"
25/01/2009 12.00,"0,9","3,3","10,0","0,5","62,9",,"0,6"
25/01/2009 13.00,"0,6","3,7","10,4","0,4","59,9",,"0,6"
25/01/2009 14.00,"0,8","3,8","10,5","0,4","59,9",,"0,7"
25/01/2009 15.00,"1,0","4,5","11,2","0,4","47,5",,"0,6"
25/01/2009 16.00,"0,9","3,5","10,2","0,5","49,2",,"0,6"
25/01/2009 17.00,"0,9","2,6","9,2","0,4","48,5",,"0,6"
25/01/2009 18.00,"0,8","2,9","9,1","0,4","44,6",,"0,6"
25/01/2009 19.00,"1,5","3,9","10,1","0,4","30,0",,"0,7"
25/01/2009 20.00,"1,6","16,4","22,7","0,5","18,2",,"1,0"
25/01/2009 21.00,"1,7","15,8","21,7","0,5","23,3",,"2,8"
25/01/2009 22.00,"1,8","9,3","14,9","0,4","27,0",,"2,1"
25/01/2009 23.00,"1,4","12,0","17,6","0,5","28,2",,"2,3"
26/01/2009 0.00,"1,3","9,4","15,0","0,4","35,3",,"2,6"
26/01/2009 1.00,,"5,1","10,7","0,2","47,3",,"1,3"
26/01/2009 2.00,"0,2",,,"0,3","40,5",,"0,9"
26/01/2009 3.00,"0,2","4,6","8,3",,"34,0",,"1,0"
26/01/2009 4.00,"0,2","5,4","9,8","0,5",,,"1,0"
26/01/2009 5.00,"0,4","4,7","9,2","0,3","15,9",,"1,3"
26/01/2009 6.00,"0,2","6,8","11,4","0,2","15,6",,"1,4"
26/01/2009 7.00,"0,2","10,6","15,0","0,1","12,5",,"1,2"
26/01/2009 8.00,"0,1","14,1","19,4","0,2","11,2",,"1,3"
26/01/2009 9.00,"0,2","18,8","30,0","0,3","13,1",,"1,3"
26/01/2009 10.00,"0,3","16,1","26,7","0,4","28,3",,"1,6"
26/01/2009 11.00,"0,3","6,5","12,9","0,5","51,0",,"1,7"
26/01/2009 12.00,"0,4","3,5","9,4","0,5","61,9",,"1,2"
26/01/2009 13.00,"0,4","3,3","9,7","0,5","61,6",,"0,7"
26/01/2009 14.00,"0,2","3,3","10,4","0,6","64,0",,"0,8"
26/01/2009 15.00,"0,2","3,6","10,9","0,5","65,6",,"0,7"
26/01/2009 16.00,"0,3","4,2","9,6","0,5","61,2",,"0,5"
26/01/2009 17.00,"0,2","6,3","11,8","0,3","56,7",,"0,7"
26/01/2009 18.00,"0,2","10,0","15,7","0,3","48,6",,"0,9"
26/01/2009 19.00,"0,3","10,4","16,1","0,2","51,3",,"1,0"
26/01/2009 20.00,"0,4","12,8","18,5","0,3","50,7",,"1,2"
26/01/2009 21.00,"0,2","9,8","15,5","0,3","53,9",,"1,2"
26/01/2009 22.00,"0,2","8,3","13,9","0,3","53,5",,"1,1"
26/01/2009 23.00,"0,2","4,7","10,2","0,2","58,2",,"1,0"
27/01/2009 0.00,"0,1","3,5","9,1","0,3","61,1",,"0,7"
27/01/2009 1.00,"0,2","2,9","8,7","0,2","60,0",,"0,6"
27/01/2009 2.00,"0,1","5,8","11,6","0,3","57,7",,"0,5"
27/01/2009 3.00,"0,1","5,5","11,4","0,3","61,3",,"0,5"
27/01/2009 4.00,"0,1","2,6","8,5","0,3","64,7",,"0,4"
27/01/2009 5.00,"0,1","3,8","9,3","0,2","57,1",,"0,4"
27/01/2009 6.00,"0,1","6,0","11,5","0,3","48,5",,"0,6"
27/01/2009 7.00,"0,1","7,2","12,7","0,2","41,0",,"0,7"
27/01/2009 8.00,"0,1","8,0","13,5","0,1","38,4",,"0,7"
27/01/2009 9.00,"0,1","16,3","23,5","0,2","31,5",,"0,8"
27/01/2009 10.00,"0,1","14,0","21,0","0,3","40,0",,"1,0"
27/01/2009 11.00,"0,1","8,4","14,9","0,2","51,9",,"1,5"
27/01/2009 12.00,"0,2","3,7","10,0","0,2","64,1",,"0,9"
27/01/2009 13.00,"0,1","3,3","9,5",,"67,4",,"0,7"
27/01/2009 14.00,"0,1","2,8","8,6",,"69,2",,"0,6"
27/01/2009 15.00,"0,8","3,2","10,2","0,6","68,7",,"0,6"
27/01/2009 16.00,"5,5","4,4","12,4","0,7","67,4",,"0,8"
27/01/2009 17.00,"1,9","5,8","13,2","0,5","61,0",,"0,6"
27/01/2009 18.00,"1,7","8,9","15,5","0,4","39,6",,"1,0"
27/01/2009 19.00,"1,6","14,3","20,5","0,3","30,0",,"0,8"
27/01/2009 20.00,"1,5","19,8","25,9","0,4","20,5",,"1,1"
27/01/2009 21.00,"1,6","34,9","42,1","0,3","7,1",,"1,6"
27/01/2009 22.00,"1,2","31,7","39,9","0,4","4,9",,"2,2"
27/01/2009 23.00,"1,5","22,0","27,5","0,4","13,3",,"2,6"
28/01/2009 0.00,"1,4","15,6","20,7","0,5","11,1",,"2,9"
28/01/2009 1.00,,"18,3","23,5","0,9","9,6",,"5,8"
28/01/2009 2.00,"0,9",,,"0,8","9,2",,"6,1"
28/01/2009 3.00,"0,7","14,0","17,1",,"13,1",,"4,7"
28/01/2009 4.00,"1,0","12,2","15,6","0,7",,,"2,8"
28/01/2009 5.00,"0,6","9,8","13,5","0,6","10,7",,"2,7"
28/01/2009 6.00,"0,8","12,9","16,8","0,7","15,5",,"2,6"
28/01/2009 7.00,"1,1","11,0","15,4","0,7","10,5",,"3,0"
28/01/2009 8.00,"1,5","11,3","19,2","0,6","14,4",,"2,9"
28/01/2009 9.00,"1,5","12,2","20,2",,,,"1,6"
28/01/2009 10.00,"1,1","6,7","12,2",,"36,5",,"1,6"
28/01/2009 11.00,"1,4","5,3","10,8",,"49,3",,"1,2"
28/01/2009 12.00,"2,0","4,4","10,3",,"50,5",,"1,2"
28/01/2009 13.00,"2,2","6,3","12,9",,"56,8",,"1,2"
28/01/2009 14.00,"2,1","3,4","9,9",,"60,5",,"0,9"
28/01/2009 15.00,"1,8","4,3","10,9",,"59,0",,"0,8"
28/01/2009 16.00,"1,5","5,0","11,7",,"59,6",,"0,8"
28/01/2009 17.00,"1,0","6,0","12,4",,"55,7",,"0,9"
28/01/2009 18.00,"1,2","8,0","13,8",,"45,4",,"0,9"
28/01/2009 19.00,"1,6","11,3","17,4",,"26,6",,"0,9"
28/01/2009 20.00,"2,1","11,4","17,0",,"20,0",,"1,0"
28/01/2009 21.00,"1,6","14,7","20,2",,"29,4",,"1,5"
28/01/2009 22.00,"1,3","10,2","15,5",,"34,0",,"1,5"
28/01/2009 23.00,"1,4","8,5","13,4",,"35,5",,"1,1"
29/01/2009 0.00,"1,6","8,9","13,8",,"32,2",,"1,1"
29/01/2009 1.00,"0,7","8,7","13,5",,"30,0",,"1,3"
29/01/2009 2.00,"1,5","7,2","12,0",,"34,0",,"1,4"
29/01/2009 3.00,"1,6","5,2","10,0",,"37,0",,"1,5"
29/01/2009 4.00,"1,5","4,6","9,6",,"34,6",,"1,2"
29/01/2009 5.00,"1,7","4,2","9,1",,"25,3",,"1,1"
29/01/2009 6.00,"1,7","4,7","9,7",,"28,6",,"1,1"
29/01/2009 7.00,"1,6","6,7","11,4",,"40,8",,"1,0"
29/01/2009 8.00,"1,8","7,4","12,5",,"48,7",,"0,8"
29/01/2009 9.00,"1,2","8,5","13,9",,"44,5",,"0,8"
29/01/2009 10.00,"1,2","10,7","17,4",,"42,1",,"1,3"
29/01/2009 11.00,"1,1","7,7","14,2",,"39,4",,"1,4"
29/01/2009 12.00,"1,0","10,5","19,8",,"35,8",,"1,6"
29/01/2009 13.00,"1,2","12,1","21,0",,"33,8",,"2,0"
29/01/2009 14.00,"1,1","9,3","17,0",,"40,0",,"2,2"
29/01/2009 15.00,"1,8","9,2","16,8",,"42,6",,"2,1"
29/01/2009 16.00,"3,0","7,0","13,8",,"48,6",,"2,2"
29/01/2009 17.00,"3,0","9,3","15,8",,"44,8",,"1,7"
29/01/2009 18.00,"2,4","8,0","14,0",,"43,7",,"1,7"
29/01/2009 19.00,"2,0","8,9","14,5",,"36,2",,"1,7"
29/01/2009 20.00,"1,7","8,2","13,3",,"34,0",,"1,9"
29/01/2009 21.00,"1,5","9,3","14,2",,"34,6",,"1,9"
29/01/2009 22.00,"1,3","9,0","14,0",,"35,2",,"2,2"
29/01/2009 23.00,"1,2","8,0","12,9",,"38,9",,"2,1"
30/01/2009 0.00,"1,5","6,7","11,8",,"39,0",,"2,2"
30/01/2009 1.00,,"5,6","10,4",,"37,9",,"2,1"
30/01/2009 2.00,"1,6",,,,"40,5",,"2,0"
30/01/2009 3.00,"1,5","4,9","7,8",,"39,2",,"1,9"
30/01/2009 4.00,"1,5","5,5","8,9",,,,"1,8"
30/01/2009 5.00,"2,1","5,6","9,3",,"33,3",,"1,8"
30/01/2009 6.00,"1,7","4,8","8,5",,"33,5",,"1,9"
30/01/2009 7.00,"1,5","4,7","8,7",,"37,7",,"1,9"
30/01/2009 8.00,"1,8","8,0","12,3",,"31,5",,"1,9"
30/01/2009 9.00,"1,5","10,8","16,4",,"25,9",,"1,9"
30/01/2009 10.00,"1,2","7,3","13,0",,"34,3",,"2,2"
30/01/2009 11.00,"1,8","5,7","11,5",,"37,3",,"2,0"
30/01/2009 12.00,"1,8","6,7","13,0",,"36,7",,"2,0"
30/01/2009 13.00,"3,3","11,9","19,3",,"33,2",,"2,3"
30/01/2009 14.00,"3,6","7,6","13,4",,"40,1",,"2,3"
30/01/2009 15.00,"3,1","4,3","10,0",,"46,2",,"2,2"
30/01/2009 16.00,"2,5","4,2","10,4",,"45,9",,"2,0"
30/01/2009 17.00,"1,9","6,0","12,1",,"39,5",,"1,8"
30/01/2009 18.00,"1,9","9,8","15,5",,"39,2",,"2,1"
30/01/2009 19.00,"1,6","5,2","10,4",,"48,4",,"1,9"
30/01/2009 20.00,"1,8","8,3","13,4",,"44,5",,"1,7"
30/01/2009 21.00,"1,7","6,5","11,7",,"44,1",,"1,7"
30/01/2009 22.00,"1,3","5,5","10,7",,"37,4",,"1,7"
30/01/2009 23.00,"1,1","9,6","14,7",,"30,2",,"2,0"
31/01/2009 0.00,"1,1","6,4","11,5",,"34,5",,"2,5"
31/01/2009 1.00,"1,7","6,9","11,9",,"30,3",,"2,1"
31/01/2009 2.00,"1,2","6,9","11,8",,"32,7",,"2,2"
31/01/2009 3.00,"1,8","4,7","9,7",,"36,2",,"2,2"
31/01/2009 4.00,"1,5","5,8","10,5",,"36,5",,"2,0"
31/01/2009 5.00,"1,4","5,1","9,7",,"38,5",,"1,9"
