NetC,ARPA Puglia,CERRATE,,,,,
Stat,Cerrate,,,,,,
Parm,SO2,NO2,NOx,CO,O3,PM10,BENZENE
,,,,,,,
,,,,,
,,,,,,,
,,,,,,,,,,,
,,,,,,,
13/01/2009 12.00,"1,6","3,4","8,5","0,6","58,2",,
13/01/2009 13.00,"2,6","3,7","8,3","0,5","58,3",,
13/01/2009 14.00,"2,4","3,3","8,0","0,5","60,6",,
13/01/2009 15.00,"2,9","2,9","7,6","0,5","61,0",,
13/01/2009 16.00,"2,5","3,9","8,5","0,5","60,0",,
13/01/2009 17.00,"2,4","2,8","7,4","0,5","59,3",,
13/01/2009 18.00,"1,3","3,0","7,7","0,5","58,5",,
13/01/2009 19.00,"1,3","3,3","8,0","0,6","59,9",,
13/01/2009 20.00,"1,3","2,5","7,4","0,7","60,9",,
13/01/2009 21.00,"1,4","2,4","7,3","0,7","58,4",,
13/01/2009 22.00,"1,0","2,6","8,0","0,8","57,0",,
13/01/2009 23.00,"1,1","2,8","8,0","0,8","58,6",,
14/01/2009 0.00,"1,0","2,2","7,7","0,9","63,0",,
14/01/2009 1.00,,"2,2","7,5","0,8",,,
14/01/2009 2.00,"1,5",,,"0,6","63,9",,
14/01/2009 3.00,"1,2","2,4","5,7",,"58,0",,
14/01/2009 4.00,"1,0","2,7","6,6","0,6",,,
14/01/2009 5.00,"1,2","2,9","7,0","0,5","63,8",,
14/01/2009 6.00,"1,1","2,4","6,8","0,4","62,0",,
14/01/2009 7.00,"0,7","3,2","7,5","0,3","54,8",,
14/01/2009 8.00,"0,9","6,0","10,5","0,3","50,8",,
14/01/2009 9.00,"1,1","6,9","11,6","0,3","51,5",,
14/01/2009 10.00,"0,9","4,5","9,4","0,3","54,5",,
14/01/2009 11.00,"0,5","3,9","9,2","0,5","55,2",,
14/01/2009 12.00,"0,8","4,1","9,9","0,6","54,9",,
14/01/2009 13.00,"1,4","4,6","10,5","0,6","53,5",,
14/01/2009 14.00,"1,1","3,6","9,6","0,6","54,1",,
14/01/2009 15.00,"1,4","3,7","9,8","0,7","54,4",,
14/01/2009 16.00,"0,9","5,2","11,2","0,6","52,7",,
14/01/2009 17.00,"1,4","7,3","13,1","0,6","50,0",,
14/01/2009 18.00,"0,9","7,8","13,3","0,5","46,3",,
14/01/2009 19.00,"0,8","7,3","12,4","0,4","45,9",,
14/01/2009 20.00,"1,0","5,0","10,2","0,5","49,4",,
14/01/2009 21.00,"0,7","5,0","10,4","0,5","45,9",,
14/01/2009 22.00,"0,9","5,3","10,5","0,4","50,1",,
14/01/2009 23.00,"0,9","3,9","8,9","0,4","57,5",,
15/01/2009 0.00,"0,5","5,0","10,2","0,4","44,6",,
15/01/2009 1.00,"0,7","3,4","8,5","0,4","47,6",,
15/01/2009 2.00,"0,9","3,4","8,6","0,3","51,1",,
15/01/2009 3.00,"0,6","3,0","7,9","0,3","51,5",,
15/01/2009 4.00,"1,0","3,1","8,1","0,3","49,2",,
15/01/2009 5.00,"0,8","2,7","7,7","0,3","38,8",,
15/01/2009 6.00,"1,0","2,8","7,9","0,3","26,0",,
15/01/2009 7.00,"0,9","5,7","10,7","0,2","21,6",,
15/01/2009 8.00,"1,1","22,4","33,7","0,4","9,5",,
15/01/2009 9.00,"1,0","27,0","48,5","0,5","8,0",,
15/01/2009 10.00,"1,5","23,9","42,3","0,6","27,8",,
15/01/2009 11.00,"1,6","8,9","16,1","0,6","48,3",,
15/01/2009 12.00,"1,8","6,2","12,9","0,6","57,2",,
15/01/2009 13.00,"1,9","5,1","11,7",,"59,0",,
15/01/2009 14.00,"2,1","5,0","12,1",,"63,4",,
15/01/2009 15.00,"2,3","6,1","13,4","0,3","60,4",,
15/01/2009 16.00,"2,2","8,6","16,0","0,3","55,6",,
15/01/2009 17.00,"2,3","18,3","25,8","0,2","39,0",,
15/01/2009 18.00,"1,9","16,2","21,9","0,0","22,9",,"1,2"
15/01/2009 19.00,"2,2","21,4","27,3","0,0","12,6",,"1,1"
