, Brindisi,,,,,,,
,Terminale Passeggeri,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10-FAI,BENZ,PM2.5-FAI
,,,,,,
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,
10/01/2010 0.00,"4,20751816","13,47394622","16,79420114","0,78870384",,"34,29999161","1,5825537","12,60000038"
10/01/2010 1.00,"5,66864816","13,40099003","15,94143958",,,"10,60000038","2,3691015","5,19999981"
10/01/2010 2.00,,"12,74926189","15,18919377","0,82816821",,"10,60000038","2,2344507","5,19999981"
10/01/2010 3.00,"7,08468337","13,79981029","18,10090209","0,82984581",,"10,60000038","1,5332292","5,19999981"
10/01/2010 4.00,"6,80733832","11,75221125","14,25537297","0,77942927",,"10,60000038","1,4021379","5,19999981"
10/01/2010 5.00,"10,54584252","10,8346023","13,16915621","0,77360777",,"10,60000038","2,1687525","5,19999981"
10/01/2010 6.00,"4,94484926","9,06909591","11,38419522","0,77656803",,"10,60000038","1,3592205","5,19999981"
10/01/2010 7.00,"7,06439015","18,73155808","23,93080232","0,82471515",,"10,60000038","1,3870863","5,19999981"
10/01/2010 8.00,"7,24026708","14,7076929","19,39624576","0,78623637",,"10,60000038","1,38530655","5,19999981"
10/01/2010 9.00,"17,24495373","10,59628297","12,93894376","0,72999949",,"10,60000038","1,308879","5,19999981"
10/01/2010 10.00,"8,90207864","8,00881926","10,86540653","0,8009375",,"10,60000038","2,0189484","5,19999981"
10/01/2010 11.00,"2,55246965","8,29577413","11,64034778","0,85559581",,"10,60000038","2,01106665","5,19999981"
10/01/2010 12.00,"1,75876929","11,00482957","16,89147414","0,80596914",,"10,60000038","1,69010145","5,19999981"
10/01/2010 13.00,"1,7880833","8,87941213","13,28426243","0,74914044",,"10,60000038","1,36333935","5,19999981"
10/01/2010 14.00,"1,68886986","12,13968187","20,13389536","0,75663838",,"10,60000038","1,35123705","5,19999981"
10/01/2010 15.00,"1,72700533","8,0677471","10,94872193","0,73928337",,"10,60000038","1,4529879","5,19999981"
10/01/2010 16.00,"3,13196134","6,84154134","8,66216878","0,71983719",,"10,60000038","1,2080943","5,19999981"
10/01/2010 17.00,"7,1027219","10,69679872","13,10268744","0,84503974",,"10,60000038","1,45364895","5,19999981"
10/01/2010 18.00,"8,90433333","12,04078941","14,38020745","0,88933887",,"10,60000038","1,67901615","5,19999981"
10/01/2010 19.00,"9,49284275","13,28264297","17,90311334","0,86171322",,"10,60000038","1,4814639","5,19999981"
10/01/2010 20.00,"11,55150297","9,18744489","11,55604387","0,79728756",,"10,60000038","1,5069906","5,19999981"
10/01/2010 21.00,"13,15693917","9,57491551","11,90946942","0,82530697",,"10,60000038","1,6135722","5,19999981"
10/01/2010 22.00,"16,69251933","10,09046337","12,42501728","0,85608977",,"10,60000038","1,72589985","5,19999981"
10/01/2010 23.00,"13,60790748","10,39038925","12,79789743","0,84089584",,"10,60000038","1,631268","5,19999981"
11/01/2010 0.00,"16,34978016","9,49223298","12,01647068","0,81455286",,"10,60000038","1,54161945","5,19999981"
11/01/2010 1.00,"15,55157754","9,00748936","12,08131998","0,80853447",,"17,10000038","1,5538743","12,19999981"
11/01/2010 2.00,"17,79062508","9,26364191","11,95162138","0,78130376",,"17,10000038","1,55097585","12,19999981"
11/01/2010 3.00,"18,48059856","10,30608534","12,71197215","0,79916204",,"17,10000038","2,3230314","12,19999981"
11/01/2010 4.00,"19,35773055","9,24256594","11,57874122","0,7756803",,"17,10000038","1,58341815","12,19999981"
