"NetC","Provincia Bari","","","","","","","","","","",""
"Stat","Altamura","","","","","","","","","","",""
Parm,NO2,NOX,CO,O3,PM10,BENZENE
07/01/2012 1.00,"8,47185977","12,7466673","0,36203773","50,79000675",,
07/01/2012 2.00,"5,27520035","7,00106906","0,36089603","51,0407583","10,98900986",
07/01/2012 3.00,"4,75215937","5,99461712","0,30365958","49,0915635",,
07/01/2012 4.00,"3,3712231","4,16199189","0,28960269","50,2080852","16,84980965",
07/01/2012 5.00,"3,26479736","3,87925106","0,30096727","49,7971551",,
07/01/2012 6.00,"3,096723","3,80661992","0,31577209","49,9857225","14,65200996",
07/01/2012 7.00,"5,3744886","7,37394922","0,33942508","48,708324",,
07/01/2012 8.00,"6,36022211","8,48675425","0,32294965","49,7957985","8,05860806",
07/01/2012 9.00,"13,10849992","18,1946073","0,37471876","43,16352075",,"0,29754369"
07/01/2012 10.00,"13,00986558","20,667286","0,40733876","44,6112324","13,67521","1,34673784"
07/01/2012 11.00,"11,83659354","20,40335352","0,39357545","49,0584465",,"1,10082826"
07/01/2012 12.00,"13,48813517","23,12504728","0,40987496","47,99732595","17,33819962","1,1163009"
07/01/2012 13.00,"13,37066954","24,18337752","0,41152693","46,08260475",,"1,23498581"
07/01/2012 14.00,"17,48816918","28,8771272","0,42296956","45,31480905","21,97801971","1,13526896"
07/01/2012 15.00,"10,8177614","15,54489078","0,38940708","50,8711035",,"1,02279588"
07/01/2012 16.00,"9,70873257","13,61174788","0,39241511","49,5984531","11,72161007","0,62852939"
07/01/2012 17.00,"15,5141114","21,13029592","0,44416557","42,7167804",,"1,08690756"
07/01/2012 18.00,"24,0320236","35,25951704","0,49459959","33,8757783","6,83760691","1,4394679"
07/01/2012 19.00,"33,721944","52,48852992","0,568174","25,6829118",,"2,0200793"
07/01/2012 20.00,"36,33910872","56,14603296","0,5626484","21,4621302","10,25640965","3,08668856"
07/01/2012 21.00,"38,58442768","60,936396","0,5800104","19,51699323",,"2,1917845"
07/01/2012 22.00,"37,06396704","54,52932224","0,52426864","21,73654245","12,45421028","2,41994743"
07/01/2012 23.00,"27,4765872","38,70754136","0,49473589","29,76649725",,"2,31424045"
08/01/2012 0.00,"25,6796896","33,34453432","0,42652864","28,67295795","11,72161007","1,37762922"
08/01/2012 1.00,"22,26627248","27,68455544","0,42405068","30,3964185",,"1,95214065"
08/01/2012 2.00,"17,25195879","22,1607492","0,42045316","32,3854734","13,67521","1,48305957"
08/01/2012 3.00,"20,3558212","25,09062152","0,38073598",,,"1,39820516"
08/01/2012 4.00,,,"0,35765267","34,06703895","10,7448101","1,01591893"
08/01/2012 5.00,"21,65888744","23,86627232",,"34,5252705",,
08/01/2012 6.00,"12,5082409","13,56116592","0,34274883","40,6303695","6,10500622",
08/01/2012 7.00,"12,84438962","14,05272009","0,34508815","41,7408264",,"0,43059272"
08/01/2012 8.00,"14,40702898","16,28740642","0,40639511","39,5598126","3,90720391","0,50612937"
08/01/2012 9.00,"22,57905656","28,25978064","0,50079156","31,63190205",,"0,51372738"
08/01/2012 10.00,"24,86982376","34,17397904","0,52293239","30,0381963","7,57020807","1,15967086"
08/01/2012 11.00,"17,41289757","23,86172176","0,4169337","40,6533519",,"1,71355144"
08/01/2012 12.00,"16,5095789","23,57444376","0,42886912","45,7304673","4,88400507","1,23742661"
08/01/2012 13.00,"21,91909152","33,33742168","0,42603701","44,5118814",,"1,34923356"
08/01/2012 14.00,"24,61478208","37,47087888","0,53024509","37,8410802","7,57020807","1,65581736"
08/01/2012 15.00,"14,07347294","17,99941313","0,40364221","49,46057865",,"1,79352527"
08/01/2012 16.00,"15,16108737","19,14397648","0,39618971","46,5300234","4,88400507","1,19483262"
08/01/2012 17.00,"17,64132803","21,36635144","0,42733482","40,6898604",,"1,04020997"
08/01/2012 18.00,"23,72444016","30,66501928","0,51577463","30,6147114","7,57020807","1,41245842"
08/01/2012 19.00,"32,07840792","43,88827744","0,55599276","24,70119225",,"2,06240176"
08/01/2012 20.00,"33,66225136","46,2883728","0,52835779","22,3252071","8,30280876","2,15346089"
08/01/2012 21.00,"42,06596936","61,23921856","0,52841721","14,64129702",,"2,12284715"
08/01/2012 22.00,"42,27753216","59,32035448","0,57517332","17,05277921","12,21000957","2,44368421"
08/01/2012 23.00,"32,17358728","42,71390792","0,54188577","27,5003169",,"2,08396928"
09/01/2012 0.00,"21,16503696","26,6203936","0,42385496","34,53203355","7,81440783","3,99717714"
09/01/2012 1.00,"19,20330584","24,4298152","0,38818732","34,82063025",,"1,55354886"
09/01/2012 2.00,"10,97999269","12,65004247","0,35543102","40,2816435","8,79120922",
09/01/2012 3.00,"7,4731476","8,54511805","0,33331116","43,7704596",,
09/01/2012 4.00,"7,75154054","8,71242761","0,3388752","40,92640755","5,61660624","0,32848998"
09/01/2012 5.00,"7,76776577","8,78441058","0,33977924","40,510071",,"0,41927859"
09/01/2012 6.00,"7,14219187","8,3687284","0,36188046","38,31080295","3,41880298",
09/01/2012 7.00,"16,73670538","20,57843536","0,40096854","28,42896945",,
09/01/2012 8.00,"20,5576328","28,4880352","0,38004747","27,29756505","8,54700947","0,45466205"
09/01/2012 9.00,"29,96201512","48,18714176","0,56327867","23,6647698",,"0,96073549"
09/01/2012 10.00,"25,32407672","42,26126104","0,51632567","29,19133875","9,52380943","2,30486778"
09/01/2012 11.00,"21,0839108","34,31730256","0,47409093","35,05312755",,"1,69036892"
09/01/2012 12.00,"21,35906672","34,30301992","0,44703613","34,6841124","11,96580982","1,83179192"
09/01/2012 13.00,"21,66016848","34,19472424","0,48132674","34,76453085",,"1,90294735"
