,,Lecce,,,
,GALATINA FRAZ SANTA BARBARA,,,
Parm,SO2,NO2,NOX,O3,PM10
,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,
17/01/2009 2.00,"0,9","10,4","22,0",,
17/01/2009 3.00,"0,9","11,0","21,2",,
17/01/2009 4.00,"0,8","13,0","22,4",,
17/01/2009 5.00,"0,8","13,8","21,3",,
17/01/2009 6.00,"0,9","13,9","20,5",,
17/01/2009 7.00,"0,9","15,0","20,4",,
17/01/2009 8.00,"0,8","18,0","23,7",,
17/01/2009 9.00,"1,1","17,3","23,6",,
17/01/2009 10.00,"1,2","14,7","24,8",,
17/01/2009 11.00,"1,5","11,0","24,0",,
17/01/2009 12.00,"1,5","9,3","21,9",,
17/01/2009 13.00,"1,5","6,4","18,0",,
17/01/2009 14.00,"1,3","6,6","16,7",,
17/01/2009 15.00,"1,2","6,7","15,8",,
17/01/2009 16.00,"1,0","7,1","15,5",,
17/01/2009 17.00,"1,3","7,6","15,3",,
17/01/2009 18.00,"1,0","11,8","21,5",,
17/01/2009 19.00,"1,3","11,9","24,6",,
17/01/2009 20.00,"1,4","18,8","33,7",,
17/01/2009 21.00,"1,1","24,9","37,7",,
17/01/2009 22.00,"1,2","23,7","34,9",,
17/01/2009 23.00,"1,1","26,0","35,9",,
18/01/2009 0.00,"1,2","21,2","29,9",,
18/01/2009 1.00,,"23,8","31,1",,
18/01/2009 2.00,"0,6",,,,
18/01/2009 3.00,"0,6","36,4","69,4",,
18/01/2009 4.00,"0,5","31,0","50,1",,
18/01/2009 5.00,"0,5","27,1","35,6",,
18/01/2009 6.00,"0,5","18,9","22,1",,
18/01/2009 7.00,"0,6","14,0","15,0",,
18/01/2009 8.00,"0,5","14,4","16,1",,
18/01/2009 9.00,"0,5","29,2","43,3",,
18/01/2009 10.00,"0,6","21,9","31,2",,
18/01/2009 11.00,"0,9","14,5","24,6",,
18/01/2009 12.00,"0,8","13,4","25,4",,
18/01/2009 13.00,"0,7","12,3","22,5",,
18/01/2009 14.00,"0,7","10,1","19,9",,
18/01/2009 15.00,"0,7","6,5","14,1",,
18/01/2009 16.00,"0,5","6,0","12,9",,
18/01/2009 17.00,"0,4","6,2","13,1",,
18/01/2009 18.00,"0,6","7,1","14,4",,
18/01/2009 19.00,"0,5","8,5","18,5",,
18/01/2009 20.00,"0,6","13,1","26,1",,
18/01/2009 21.00,"0,5","12,4","26,9",,
18/01/2009 22.00,"0,6","20,9","35,1",,
18/01/2009 23.00,"0,7","18,4","30,9",,
19/01/2009 0.00,"0,5","12,2","25,7",,
19/01/2009 1.00,"0,8","10,7","24,5",,
19/01/2009 2.00,"0,6","8,8","23,0",,
19/01/2009 3.00,"0,4","7,2","21,3",,
19/01/2009 4.00,"0,6","6,4","21,3",,
19/01/2009 5.00,"0,6","5,9","20,8",,
19/01/2009 6.00,"0,6","6,2","19,6",,
19/01/2009 7.00,"0,5","7,5","20,5",,
19/01/2009 8.00,"0,6","11,7","26,8",,
19/01/2009 9.00,"0,7","15,4","30,4",,
19/01/2009 10.00,"0,5","10,3","23,3",,
19/01/2009 11.00,"0,6","6,4","16,0",,
19/01/2009 12.00,"0,5","5,4","13,6",,
19/01/2009 13.00,"0,5","6,7","14,8",,
19/01/2009 14.00,"0,5","5,6","13,0",,
19/01/2009 15.00,"0,6","5,3","12,2",,
19/01/2009 16.00,"0,5","5,4","12,5",,
19/01/2009 17.00,"0,4","4,9","11,4",,
19/01/2009 18.00,"0,6","8,3","16,5",,
19/01/2009 19.00,"0,6","26,7","36,1",,
19/01/2009 20.00,"0,6","32,9","46,5",,
19/01/2009 21.00,"0,7","19,9","32,4",,
19/01/2009 22.00,"0,6","26,1","39,7",,
19/01/2009 23.00,"0,7","22,6","36,1",,
20/01/2009 0.00,"0,6","21,6","37,3",,
20/01/2009 1.00,,"18,8","34,4",,
20/01/2009 2.00,"0,9",,,,
20/01/2009 3.00,"1,0","6,1","19,3",,
20/01/2009 4.00,"0,9","36,6","55,9",,
20/01/2009 5.00,"0,9","7,6","20,3",,
20/01/2009 6.00,"1,0","25,0","42,6",,
20/01/2009 7.00,"0,8","14,0","28,8",,
20/01/2009 8.00,"0,8","19,7","33,9",,
20/01/2009 9.00,"0,9","22,5","38,9",,
20/01/2009 10.00,"1,1","22,1","42,6",,
20/01/2009 11.00,"0,9","15,7","29,6",,
20/01/2009 12.00,"1,1","14,2","25,5",,
20/01/2009 13.00,"1,1","13,6","24,6",,
20/01/2009 14.00,"1,0","12,7","22,0",,
20/01/2009 15.00,"0,9","8,1","17,1",,
20/01/2009 16.00,"0,9","22,9","34,5",,
20/01/2009 17.00,"0,9","26,5","40,2",,
20/01/2009 18.00,"0,9","21,2","34,1",,
20/01/2009 19.00,"0,9","8,2","19,0",,
20/01/2009 20.00,"0,7","7,3","17,9",,
20/01/2009 21.00,"0,7","14,0","25,0",,
20/01/2009 22.00,"0,7","13,7","24,1",,
20/01/2009 23.00,"0,7","7,7","18,1",,
21/01/2009 0.00,"0,5","4,9","15,1",,
21/01/2009 1.00,"0,6","4,7","14,7",,
21/01/2009 2.00,"0,6","4,5","14,1",,
21/01/2009 3.00,"0,6","4,0","13,9",,
21/01/2009 4.00,"0,5","4,3","14,0",,
21/01/2009 5.00,"0,6","4,1","14,3",,
21/01/2009 6.00,"0,7","4,1","15,7",,
21/01/2009 7.00,"0,5","4,5","16,0",,
21/01/2009 8.00,"0,5","6,6","19,0",,
21/01/2009 9.00,"0,5","8,9","21,5",,
21/01/2009 10.00,"0,6","7,6","19,6",,
21/01/2009 11.00,"0,5","6,8","18,0",,
21/01/2009 12.00,"0,6","7,8","19,5",,
21/01/2009 13.00,"0,6","9,8","26,5",,
21/01/2009 14.00,"0,6","5,8","17,2",,
21/01/2009 15.00,"0,6","6,9","18,4",,
21/01/2009 16.00,"0,8","5,4","15,9",,
21/01/2009 17.00,"0,7","5,1","15,5",,
21/01/2009 18.00,"0,6","6,6","17,3",,
21/01/2009 19.00,"0,6","5,8","16,7",,
21/01/2009 20.00,"0,5","5,5","16,8",,
21/01/2009 21.00,"0,6","5,1","16,5",,
21/01/2009 22.00,"0,6","5,7","16,9",,
21/01/2009 23.00,"0,6","5,5","17,0",,
22/01/2009 0.00,"0,6","4,4","15,9",,
22/01/2009 1.00,,"4,2","15,6",,
22/01/2009 2.00,"0,5",,,,
22/01/2009 3.00,"0,4","4,3","15,3",,
22/01/2009 4.00,"0,6","10,0","21,5",,
22/01/2009 5.00,"0,6","9,3","20,8",,
22/01/2009 6.00,"0,5","4,5","15,2",,
22/01/2009 7.00,"0,5","4,7","15,5",,
22/01/2009 8.00,"0,4","6,0","16,9",,
22/01/2009 9.00,"0,6","7,0","18,5",,
22/01/2009 10.00,"0,5","7,4","18,4",,
22/01/2009 11.00,"0,6","9,2","20,7",,
22/01/2009 12.00,"0,7","9,3","21,5",,
22/01/2009 13.00,"0,4","10,0","22,7",,
22/01/2009 14.00,"0,5","7,7","19,1",,
22/01/2009 15.00,"0,7","8,8","20,0",,
22/01/2009 16.00,"0,4","9,0","20,1",,
22/01/2009 17.00,"0,6","7,2","17,7",,
22/01/2009 18.00,"0,6","10,7","21,6",,
22/01/2009 19.00,"0,6","6,5","16,9",,
22/01/2009 20.00,"0,5","6,6","17,5",,
22/01/2009 21.00,"0,6","8,6","19,6",,
