NetC,SIMAGE Brindisi,
Stat,Mesagne,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3 293K,ug/m3 293K
Field,Aver,Aver
23/01/2006 8.00,"0,541349","15,569273"
23/01/2006 9.00,"0,359994","18,502465"
23/01/2006 10.00,"0,541711","13,224013"
23/01/2006 11.00,"0,658206","14,808713"
23/01/2006 12.00,"0,316874","13,320055"
23/01/2006 13.00,"0,568706","12,828164"
23/01/2006 14.00,"0,525769","13,436868"
23/01/2006 15.00,"0,57396","11,107182"
23/01/2006 16.00,"1,293223","11,945615"
23/01/2006 17.00,"1,348119","12,919009"
23/01/2006 18.00,"1,589806","12,219462"
23/01/2006 19.00,"1,45791","10,737292"
23/01/2006 20.00,"1,556832","9,80802"
23/01/2006 21.00,"1,313333","7,91702"
23/01/2006 22.00,"1,366599","7,55232"
23/01/2006 23.00,"1,175098","6,747637"
24/01/2006 0.00,"1,237965","6,116872"
24/01/2006 1.00,,"5,721019"
24/01/2006 2.00,"1,997575",
24/01/2006 3.00,"1,710632","5,653531"
24/01/2006 4.00,"2,317277","5,492594"
24/01/2006 5.00,"2,482614","5,236914"
24/01/2006 6.00,"2,748977","5,91051"
24/01/2006 7.00,"2,767169","9,528978"
24/01/2006 8.00,"2,97551","12,691882"
24/01/2006 9.00,"1,906793","15,605606"
24/01/2006 10.00,"2,661005","11,426465"
24/01/2006 11.00,"2,711896","11,45631"
24/01/2006 12.00,"4,005424","12,106544"
24/01/2006 13.00,"3,599261","11,175974"
24/01/2006 14.00,"3,769705","10,47902"
24/01/2006 15.00,"3,073425","8,543892"
24/01/2006 16.00,"3,113316","9,727552"
24/01/2006 17.00,"3,519479","8,56985"
24/01/2006 18.00,"2,741664","8,186977"
24/01/2006 19.00,"2,217308","8,773615"
24/01/2006 20.00,"2,486602","9,108468"
24/01/2006 21.00,"2,533868","7,586063"
24/01/2006 22.00,"2,949248","6,111679"
24/01/2006 23.00,"2,64937","5,378381"
25/01/2006 0.00,"2,80419","4,854042"
25/01/2006 1.00,"2,785241","4,468573"
25/01/2006 2.00,"2,91661","4,513999"
25/01/2006 3.00,"2,872156","4,164871"
25/01/2006 4.00,"3,114252","4,101276"
25/01/2006 5.00,"2,652755","4,31802"
25/01/2006 6.00,"2,779741","4,494531"
25/01/2006 7.00,"2,677445","8,70353"
25/01/2006 8.00,"2,03816","11,644508"
25/01/2006 9.00,"2,408906","14,772379"
25/01/2006 10.00,"2,455173","11,100691"
25/01/2006 11.00,"2,131391","10,943659"
25/01/2006 12.00,"2,859523","9,822298"
25/01/2006 13.00,"2,927489","10,741187"
25/01/2006 14.00,"2,777868","9,220082"
25/01/2006 15.00,"2,696272","7,445892"
25/01/2006 16.00,"2,843326","8,752849"
25/01/2006 17.00,"2,842328","9,567913"
25/01/2006 18.00,"2,382886","15,518656"
25/01/2006 19.00,"2,13121","20,386966"
25/01/2006 20.00,"2,119454","23,67966"
25/01/2006 21.00,"2,289656","22,020981"
25/01/2006 22.00,"2,24088","30,608997"
25/01/2006 23.00,"1,813622","25,163124"
26/01/2006 0.00,"1,67062","8,755445"
26/01/2006 1.00,,"6,016936"
26/01/2006 2.00,"0,801434",
26/01/2006 3.00,"1,266401",
