,Regione Puglia,,,,,,,,
,Liceo Scientifico Via dei Mandorli,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,
07/01/2006 21.00,"1,65392981","56,81915256","13,14330518","36,91796672","1,33952982","3,40109994",,"6,64937019","29,47673035"
07/01/2006 22.00,"1,60250521","55,98131416","14,0988314","34,48314944","1,31306801","2,72505828",,"6,00549507","29,47673035"
07/01/2006 23.00,"1,69790387","40,94678016","9,16492003","26,89579808","1,11578341","3,81299363",,"4,73870707","29,47673035"
08/01/2006 0.00,"1,72121962","38,67836424","8,03113266","26,36755072","1,00966589","2,89668015",,"4,84208393","29,47673035"
08/01/2006 1.00,,"24,41035104","5,48137929","16,00665216","0,90432077","6,96636045",,"4,67819881","72,17324066"
08/01/2006 2.00,"1,31130149",,,,"0,88138425","5,63517077",,"6,29955292","72,17324066"
08/01/2006 3.00,"1,2329986","26,88887664","6,74442943","16,54656272",,"6,69922796",,"5,53771591","72,17324066"
08/01/2006 4.00,"1,22198144","18,1343009","5,49489802","9,7054879","0,73881504","11,57477654",,"5,15778112","72,17324066"
08/01/2006 5.00,"1,3686369","14,51444323","5,13330169","6,63861505","0,65063037",,,"4,56295013","72,17324066"
08/01/2006 6.00,"1,34568016","22,48823656","6,69627278","12,22076406","0,60159552","14,84175861",,"6,06824112","72,17324066"
08/01/2006 7.00,"1,28378758","27,84084232","6,8491899","17,33826647","0,57329767","9,16493424",,"5,86107779","72,17324066"
08/01/2006 8.00,"1,72350888","25,01215304","6,85594864","14,49723141","0,6871438","1,72055982",,"5,39960718","72,17324066"
08/01/2006 9.00,"1,839334","45,09708208","12,19116207","26,39999736","0,88525904","7,23804554",,"5,56790209","72,17324066"
08/01/2006 10.00,"2,42351914","76,19853448","28,38352815","32,69598392","0,92921565","23,72164725",,"7,53201818","72,17324066"
08/01/2006 11.00,"2,2751185","121,6069284","51,85174393","43,04391912","0,99286426","32,28322965",,"10,57359982","72,17324066"
08/01/2006 12.00,"2,0473349","66,28058896","23,80868419","30,05610464","1,08833718","35,48847645",,"9,97212124","72,17324066"
08/01/2006 13.00,"1,69898088","56,84249808","18,8308223","28,71541024","0,99387315","38,77216665",,"10,21753979","72,17324066"
08/01/2006 14.00,"1,45302553","51,03334496","14,87102368","28,27932128","1,01530799","33,93840135",,"12,18871021","72,17324066"
08/01/2006 15.00,"1,63580484","62,86692328","27,98476249","26,7758392","0,79827664","45,6682233",,"11,3966198","72,17324066"
08/01/2006 16.00,"1,43527379","34,3516612","9,64141494","19,7704624","0,65260737","58,17230475",,"9,94003582","72,17324066"
08/01/2006 17.00,"1,45893837","31,5229528","7,6078647","19,85742016","0,60062624","42,55329015",,"9,38936424","72,17324066"
08/01/2006 18.00,"1,22666777","58,92933136","12,12442138","40,3534292","0,71629326","26,1777516",,"7,55284309","72,17324066"
08/01/2006 19.00,"1,23667607","59,70489592","13,54376676","38,94004056","0,94216346","18,67915308",,"7,38787222","72,17324066"
08/01/2006 20.00,"1,46613364","75,6680692","21,02405837","43,4851896","1,15651997","7,75028972",,"7,45441723","72,17324066"
08/01/2006 21.00,"1,66050675","119,7898592","38,09168502","61,37116568","1,17175351","6,17802423",,"8,03310299","72,17324066"
08/01/2006 22.00,"1,70887324","80,10893776","18,86293255","51,24257512","1,11485025","6,24168468",,"8,85626221","72,17324066"
08/01/2006 23.00,"1,28023926","28,05355232","7,94411451","16,35967428","1,03007669","7,14329501",,"8,79568672","72,17324066"
09/01/2006 0.00,"1,26860275","13,82315581","5,35803104","5,62108498","0,89177139","15,61161515",,"8,82499027","72,17324066"
09/01/2006 1.00,"1,30484151","14,22910974","5,60641723","5,68857475","0,84246626","13,09480095",,"8,63926315","83,36087036"
09/01/2006 2.00,"1,07921904","18,56619302","6,44704113","8,72559364","0,70113778","24,05030355",,"8,2859869","83,36087036"
09/01/2006 3.00,"1,05369438","17,19140002","5,7500417","8,51144582","0,59628428","22,7208555",,"7,6515398","83,36087036"
09/01/2006 4.00,"1,30595106","19,2094816","5,08683473","11,40828834","0,51596802","30,96265935",,"7,51139593","83,36087036"
09/01/2006 5.00,"1,35828384","12,9671515","4,97954035","5,32646872","0,46080993","35,4410952",,"7,93752623","83,36087036"
09/01/2006 6.00,"1,31427215","12,3446043","5,10711219","4,5412543","0,44759184","30,8160867",,"8,15737438","83,36087036"
09/01/2006 7.00,"1,49722537","49,22015712","11,72903634","31,25014864","0,51589113","16,78267017",,"8,1852541","83,36087036"
09/01/2006 8.00,"1,79764513","75,58506928","14,59559879","53,21533848","0,71586804","8,28918311",,"7,75383282","83,36087036"
09/01/2006 9.00,"1,77572573","133,46387136","44,31568648","65,65544144","1,28059946","8,53494117",,"8,00189972","83,36087036"
09/01/2006 10.00,"2,22209517","132,99304136","48,97503963","58,37827384","1,46530205","10,82967596",,"8,29202366","83,36087036"
09/01/2006 11.00,"1,89994313","104,6632624","34,5112238","51,72927472","1,26323397","23,8563696",,"8,8932991","83,36087036"
09/01/2006 12.00,"1,51734061","59,58818744","19,81253552","30,1430624","1,07670815","29,57988495",,"9,80687904","83,36087036"
