TARANTO -  V. Machiavelli,,,,,,
,SO2,NO2,CO,PM10,BENZENE,PM2.5
10/01/2011 14.00,"3,281626","39,603254","0,518527","54,099991","2,029932","29,1"
10/01/2011 15.00,"3,317748","26,804938","0,448061","54,099991","1,714662","29,1"
10/01/2011 16.00,"2,895127","25,770547","0,426597","54,099991","1,262605","29,1"
10/01/2011 17.00,"3,20216","23,766618","0,400762","54,099991","1,212772","29,1"
10/01/2011 18.00,"3,099213","21,805536","0,415863","54,099991","1,213281","29,1"
10/01/2011 19.00,"3,063092","23,752355","0,471814","54,099991","1,236163","29,1"
10/01/2011 20.00,"3,064898","20,603711","0,408235","54,099991","1,346508","29,1"
10/01/2011 21.00,"3,11005","20,170223","0,393009","54,099991","1,050256","29,1"
10/01/2011 22.00,"2,960146","21,797736","0,423923","54,099991","1,089309","29,1"
10/01/2011 23.00,"3,220219","19,874303","0,402992","54,099991","1,092055","29,1"
11/01/2011 0.00,"2,922218","29,752401","0,443761","54,099991","1,054782","29,1"
11/01/2011 1.00,"2,748836","21,697816","0,365368","38,900002","1,215823","26,5"
11/01/2011 2.00,"3,203966","15,057904","0,334679","38,900002","0,831957","26,5"
11/01/2011 3.00,"3,054062","7,676913","0,330218","38,900002","0,782632","26,5"
11/01/2011 4.00,"3,38999","12,969634","0,332919","38,900002","0,389664","26,5"
11/01/2011 5.00,"3,24731","15,016372","0,361871","38,900002","0,389308","26,5"
11/01/2011 6.00,"3,348451","15,13578","0,336204","38,900002","0,468939","26,5"
11/01/2011 7.00,"3,417081","18,545289","0,344108","38,900002","0,776022","26,5"
11/01/2011 8.00,"3,565179","49,16597","0,683521","38,900002","1,077105","26,5"
11/01/2011 9.00,"3,55073","57,947385","0,651047","38,900002","2,419443","26,5"
11/01/2011 10.00,"3,608524",,"0,586372","38,900002","2,090952","26,5"
11/01/2011 11.00,"3,408051","41,752532","0,466687","38,900002","1,536178","26,5"
11/01/2011 12.00,"3,267177","35,17233","0,447947","38,900002","1,364814","26,5"
11/01/2011 13.00,"2,978207","41,258052","0,419502","38,900002","0,618844","26,5"
11/01/2011 14.00,"3,373736","29,569404","0,412304","38,900002","0,552739","26,5"
11/01/2011 15.00,"3,05045","26,603758","0,386872","38,900002","1,35261","26,5"
11/01/2011 16.00,"2,980012","22,296138","0,375878","38,900002","0,66766","26,5"
11/01/2011 17.00,"2,974595","24,882787","0,388437","38,900002","0,922165","26,5"
11/01/2011 18.00,"2,775927","40,158749","0,46481","38,900002","1,030984","26,5"
11/01/2011 19.00,"3,054062","38,074363","0,505891","38,900002","1,291081","26,5"
11/01/2011 20.00,"2,972788","46,870041","0,638449","38,900002","1,557535","26,5"
11/01/2011 21.00,"3,677156","66,497773","0,925786","38,900002","2,621318","26,5"
11/01/2011 22.00,"3,884853","61,106408","1,007323","38,900002","3,300165","26,5"
11/01/2011 23.00,"3,193129","45,849911","0,743852","38,900002","3,040321","26,5"
