,Provincia Bari,,,,,
,Monopoli,,,,,
Parm,O3,NO2,CO,Benzene,PM10,BENZENE
,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
09/01/2010 18.00,"44,3206407","31,62004416","0,49094498","8,13334461","9,27960968",
09/01/2010 19.00,"23,9376858","57,23354032","0,68242555","8,41892838",,
09/01/2010 20.00,"22,16742255","53,4749116","0,8142185","9,47617718","28,32722092",
09/01/2010 21.00,"37,88937915","39,62272016","0,55652283","9,70654802",,
09/01/2010 22.00,"61,8157134","9,13053038","0,31324054","7,51072399","52,2588501",
09/01/2010 23.00,"61,5739992","6,27391443","0,27123414","6,08136405",,
10/01/2010 0.00,"61,73892585","5,77423235","0,23400423","5,28480389","50,30524063",
10/01/2010 1.00,"58,94205555","10,24540229","0,2368713",,,
10/01/2010 2.00,,"4,71127507","0,20800376",,"26,37360954",
10/01/2010 3.00,"54,7959867",,"0,25606351",,,
10/01/2010 4.00,"66,95537205","18,75165511",,,"17,09399986",
10/01/2010 5.00,"64,72560045","11,05916096","0,21009727",,,
10/01/2010 6.00,"69,88060065","4,34916904","0,18683338",,"13,67521",
10/01/2010 7.00,"72,28210185","0,80078766","0,17931797",,,
10/01/2010 8.00,"69,4477056","0,45555312","0,19386765",,"11,72161007",
10/01/2010 9.00,"67,46916435","1,67036144","0,21393478",,,
10/01/2010 10.00,"64,86185895","2,37121269","0,23228236",,"9,76801014",
10/01/2010 11.00,"62,2360998","8,80087099","0,2793705",,,
10/01/2010 12.00,"67,76155155","4,34787079","0,24927039",,"8,79120922",
10/01/2010 13.00,"69,7358235","2,98640251","0,2622217",,,
10/01/2010 14.00,"70,74355785","4,39719083","0,26785797",,"5,37240601",
10/01/2010 15.00,"63,8356908","4,01302032","0,21269522",,,
10/01/2010 16.00,"68,4768987","0,88385068","0,17899876",,"10,25640965",
10/01/2010 17.00,"54,0664551","12,71654948","0,38326054",,,
10/01/2010 18.00,"43,10498745","28,58952416","0,51329085",,"8,30280876",
10/01/2010 19.00,"52,0424877","10,60490609","0,40524409",,,
10/01/2010 20.00,"53,9515032","5,4964895","0,37710351",,"19,04759979",
10/01/2010 21.00,"57,0257583","1,7741926","0,37510554",,,
10/01/2010 22.00,"59,2342233",,"0,37250642",,"22,46640968",
10/01/2010 23.00,"56,24936415","0,78521251","0,36922928",,,
11/01/2010 0.00,"51,3753996","2,88776434","0,38945601",,"18,07081032",
11/01/2010 1.00,"46,7739321","5,30699882","0,38909602",,,
11/01/2010 2.00,"52,87988895","2,24402071","0,34304707",,"31,25761986",
11/01/2010 3.00,"59,13912165","9,62501947","0,36183386",,,
11/01/2010 4.00,"58,16121255","1,22129765","0,30235478",,"21,97801971",
11/01/2010 5.00,"58,74881985","0,91889382","0,28428796",,,
11/01/2010 6.00,"53,73007815","3,08633893","0,29903686",,"16,11721039",
11/01/2010 7.00,"49,07610225","8,87614643","0,32601943",,,
11/01/2010 8.00,"45,100566","18,93205422","0,37222682",,"14,16361046",
11/01/2010 9.00,"42,4520838","27,5745772","0,49894038",,,
11/01/2010 10.00,"45,8187261","21,55764704","0,37118764",,"11,72161007",
11/01/2010 11.00,"53,3071182","17,65624928","0,35515957",,,
11/01/2010 12.00,"58,4323131","9,70289332","0,30583231",,"11,72161007",
11/01/2010 13.00,"53,2773129","19,02160657","0,40440529",,,
11/01/2010 14.00,"37,3410933","41,04130944","0,58144568",,"18,07081032",
11/01/2010 15.00,"52,51229025","16,66467843","0,36715092",,,
11/01/2010 16.00,"52,34905935","17,63547922","0,37006924",,"15,14041042",
11/01/2010 17.00,"41,3946939","29,01003032","0,48762939",,,
11/01/2010 18.00,"35,7386694","35,74208672","0,58704117",,"19,04759979",
11/01/2010 19.00,"36,84715125","38,84790128","0,60630794",,,
11/01/2010 20.00,"23,40611805","56,43795712","0,73622059",,"19,53602028",
11/01/2010 21.00,"20,78321175","56,36008136","0,71123716",,,
11/01/2010 22.00,"20,8811463","45,9005236","0,63285014",,"24,42000961",
11/01/2010 23.00,"29,6014908","41,8109468","0,63768722",,,
12/01/2010 0.00,"31,8383646","25,60959568","0,58280407",,"50,30524063",
12/01/2010 1.00,"31,6651986","19,73673472","0,55921981",,,
12/01/2010 2.00,,"10,7437823","0,39593108",,"48,84004974",
12/01/2010 3.00,"53,32473405",,"0,30043603",,,
12/01/2010 4.00,"46,3437303","18,55048786",,,"28,32722092",
12/01/2010 5.00,"42,98835975","9,58997634","0,27099415",,,
12/01/2010 6.00,"34,61769885","13,09812541","0,33173026",,"22,95482063",
12/01/2010 7.00,"37,60752555","10,4141229","0,34531183",,,
12/01/2010 8.00,"29,1643065","24,55962088","0,43453568",,"22,46640968",
12/01/2010 9.00,"25,6823532","36,8206268","0,61322105",,,
12/01/2010 10.00,"29,2667298","30,30789592","0,49531257",,"11,72161007",
12/01/2010 11.00,"33,79272645","23,50704576","0,53581729",,,
12/01/2010 12.00,"37,2320067","29,30074992","0,51470283",,"11,72161007",
12/01/2010 13.00,"47,63950275","16,59069742","0,40901519",,,
12/01/2010 14.00,"57,58900665","10,41152832","0,24371101",,"11,72161007",
12/01/2010 15.00,"55,56356295","8,07406243","0,21049686",,,
12/01/2010 16.00,"41,35688865","27,06451296","0,24270911",,"16,60560989",
12/01/2010 17.00,"35,8992669","35,52794272","0,28962366",,,
12/01/2010 18.00,"46,25840415","22,58815768","0,44907838",,"22,46640968",
12/01/2010 19.00,"31,5154938","42,98162616","0,67051342",,,
12/01/2010 20.00,"26,07351285","44,23276248","0,72275668",,"25,39682007",
12/01/2010 21.00,"27,7661307","33,0515968","0,69134595",,,
12/01/2010 22.00,"39,2603232","17,6458633","0,56967102",,"21,0012207",
12/01/2010 23.00,"48,5171232","5,16423361","0,46245957",,,
13/01/2010 0.00,"45,8103471","5,45236054","0,38485542",,"11,23320961",
13/01/2010 1.00,"49,71190875","2,50100116","0,27864587",,,
13/01/2010 2.00,"55,8266835",,"0,23910227",,"11,23320961",
13/01/2010 3.00,"53,5864581","1,2225959","0,25801255",,,
13/01/2010 4.00,"51,96210915","0,99027642","0,25661106",,"11,23320961",
13/01/2010 5.00,"50,41315125","2,88257518","0,26542428",,,
13/01/2010 6.00,"34,7400123","20,68416896","0,39599399",,"6,34920597",
13/01/2010 7.00,"18,53209365","40,5948192","0,56746801",,,
13/01/2010 8.00,"6,59127651","56,36138152","0,73846088",,"4,39560509",
13/01/2010 9.00,"12,67191282","52,9544652","0,87488005",,,
13/01/2010 10.00,"13,12138632","58,6858764","0,82932739",,"14,16361046",
13/01/2010 11.00,"25,4761101","54,3626532","0,64278875",,,
13/01/2010 12.00,"47,4773691","29,03727632","0,45689087",,"26,86202049",
13/01/2010 13.00,"50,1073377","21,3655484","0,53621805",,,
13/01/2010 14.00,"40,71968565","33,99384952","0,67327797",,"35,16482162",
13/01/2010 15.00,"37,0442772","38,64023896","0,57279672",,,
13/01/2010 16.00,"37,5079551","42,51957224","0,63978305",,,
13/01/2010 17.00,"31,5937377","45,06081144","0,77532032",,,
13/01/2010 18.00,"13,56374765","67,14928704","1,05644996",,"21,0012207",
13/01/2010 19.00,"5,99245731","75,98391248","1,2705525",,,
13/01/2010 20.00,"6,5258465","77,34927168","1,31823012",,"46,88644028",
13/01/2010 21.00,"6,44050439","82,02420728","1,30689118",,,
13/01/2010 22.00,"8,78030822","65,19080632","0,90116245",,"66,91085052",
13/01/2010 23.00,"13,38595125","49,90058056","0,65540803",,,
14/01/2010 0.00,"23,351076","27,97950056","0,5985572",,"80,58608246",
14/01/2010 1.00,"31,19830875","16,88920077","0,58918244",,,
14/01/2010 2.00,,"21,27600944","0,49342993",,"63,00365067",
14/01/2010 3.00,"34,49999385",,"0,44743573",,,
14/01/2010 4.00,"45,78207795","19,32141008",,,"42,97924042",
14/01/2010 5.00,"42,07301385","12,33497355","0,36798739",,,
14/01/2010 6.00,"36,0063585","15,17990527","0,36619678",,"26,37360954",
14/01/2010 7.00,"43,3434897","13,35640028","0,38846343",,,
14/01/2010 8.00,"38,61547935","15,38237651","0,45872108",,"16,60560989",
14/01/2010 9.00,"29,71231305","30,17420888","0,61164131",,,
14/01/2010 10.00,"33,18261555","25,08006728","0,46957539",,"32,23442078",
14/01/2010 11.00,"28,58964675","30,88805408","0,53076818",,,
14/01/2010 12.00,"39,0702396","26,2248008","0,52850109",,"21,97801971",
14/01/2010 13.00,"46,1174574","19,6913056","0,45208175",,,
14/01/2010 14.00,"43,8692919","23,4810808","0,47335348",,"19,53602028",
14/01/2010 15.00,"50,14769655","15,89762992","0,37979583",,,
14/01/2010 16.00,"39,86746155","26,25722832","0,51088745",,"32,72283173",
14/01/2010 17.00,"27,2822235","43,22561648","0,58305338",,,
14/01/2010 18.00,"28,50438045","42,14579536","0,59840109",,"44,4444313",
14/01/2010 19.00,"13,79743397","70,08766776","1,06912982",,,
14/01/2010 20.00,"6,52710335","69,01434744","1,28030005",,"52,2588501",
14/01/2010 21.00,"8,21110479","58,52882472","1,24753676",,,
14/01/2010 22.00,"15,58943873","38,85178264","0,97159602",,"86,93527985",
14/01/2010 23.00,"18,44442936","35,11649944","0,80996858",,,
15/01/2010 0.00,"15,79550427","36,75703368","0,72973154",,"99,14530182",
15/01/2010 1.00,"23,8175868","27,00222","0,61955399",,,
15/01/2010 2.00,"30,18979635","18,37397393","0,51999309",,"81,07447052",
15/01/2010 3.00,"23,1283542","27,70696408","0,46011326",,,
15/01/2010 4.00,"26,9894772","14,59716018","0,37108862",,"60,07326126",
15/01/2010 5.00,"24,32349885","19,4888248","0,3425799",,,
15/01/2010 6.00,"28,39920405","25,7588464","0,3707298",,"48,84004974",
15/01/2010 7.00,"22,71907995","32,0353688","0,45951678",,,
15/01/2010 8.00,"6,26988401","63,58015664","0,68178014",,"33,21123123",
15/01/2010 9.00,"4,76352135","85,3947956","1,38598419",,,
15/01/2010 10.00,"12,91066844","84,33571968","1,20900904",,"32,23442078",
15/01/2010 11.00,"52,55502315","29,63689864","0,40548175",,,
15/01/2010 12.00,"60,2019579","16,4089905","0,28289812",,"61,53845978",
15/01/2010 13.00,"67,80767595","5,98448926","0,26095068",,,
15/01/2010 14.00,"67,01897265","8,09872341","0,30480711",,"32,23442078",
15/01/2010 15.00,"70,49781375","2,49580817","0,24600024",,,
15/01/2010 16.00,"70,3230318","1,58729651","0,239877",,"16,60560989",
15/01/2010 17.00,"67,87590495","2,62429648","0,28039337",,,
