NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NOX,NO2,PM10
PtId,1,2,4,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver,Aver
18/01/2007 19.00,"1,758735",,,"46,193851"
18/01/2007 20.00,"2,406441",,,"46,193851"
18/01/2007 21.00,"2,569757","38,552534","42,437815","46,193851"
18/01/2007 22.00,"2,815052","35,843154","38,875145","46,193851"
18/01/2007 23.00,"2,641431","22,480454","31,352688","46,193851"
19/01/2007 0.00,"3,015482","19,734765","29,167062","46,193851"
19/01/2007 1.00,"2,869126","20,646522","28,82053","43,141891"
19/01/2007 2.00,"2,831374","7,36941","17,660143","43,141891"
19/01/2007 3.00,"2,738181","4,120488","13,773017","43,141891"
19/01/2007 4.00,"2,885175","5,595148","14,942402","43,141891"
19/01/2007 5.00,"2,936331","2,951914","12,585464","43,141891"
19/01/2007 6.00,"2,835569","6,855809","16,219506","43,141891"
19/01/2007 7.00,"2,828456","7,138549","16,202632","43,141891"
