,ARPA Puglia,,
,Verdi,,
Parm,SO2,NO2,PM10



12/01/2010 16.00,"12,08982141","50,33701368","25,70000076"
12/01/2010 17.00,"12,84836103","61,09474784","25,70000076"
12/01/2010 18.00,"14,74474059","68,32950728","25,70000076"
12/01/2010 19.00,"14,60566584","70,83153136","25,70000076"
12/01/2010 20.00,"15,53940405","72,343388","25,70000076"
12/01/2010 21.00,"15,66041688","69,29172128","25,70000076"
12/01/2010 22.00,"14,84407098","65,84845784","25,70000076"
12/01/2010 23.00,"14,46660126","60,66959552","25,70000076"
13/01/2010 0.00,"14,4431289","55,21940128","25,70000076"
13/01/2010 1.00,"14,36185026","47,9748524","44,59999084"
13/01/2010 2.00,"14,06023857","38,10659976","44,59999084"
13/01/2010 3.00,"13,91214303","35,218562","44,59999084"
13/01/2010 4.00,"14,02953534","32,58367304","44,59999084"
13/01/2010 5.00,"14,09275206","29,20335264","44,59999084"
13/01/2010 6.00,"14,10900372","36,76537","44,59999084"
13/01/2010 7.00,"14,52258711","48,99580304","44,59999084"
13/01/2010 8.00,"15,91146333","56,65431904","44,59999084"
13/01/2010 9.00,"17,14860315","62,53247624","44,59999084"
13/01/2010 10.00,"16,45870086","63,53245224","44,59999084"
13/01/2010 11.00,"15,61887243","62,15766688","44,59999084"
13/01/2010 12.00,"15,62068269","62,13667312","44,59999084"
13/01/2010 13.00,"15,62790339","63,09330408","44,59999084"
13/01/2010 14.00,"15,57552789","61,50452768","44,59999084"
13/01/2010 15.00,"15,69834081","59,9605112","44,59999084"
13/01/2010 16.00,"15,64235496","59,5982828","44,59999084"
13/01/2010 17.00,"16,3069848","61,03321968","44,59999084"
13/01/2010 18.00,"16,80906753","63,54922048","44,59999084"
13/01/2010 19.00,"16,9662042","65,95755656","44,59999084"
13/01/2010 20.00,"17,02940058","67,16869384","44,59999084"
13/01/2010 21.00,"16,22571633","64,91700792","44,59999084"
13/01/2010 22.00,"16,47314226","64,63732056","44,59999084"
13/01/2010 23.00,"15,82115373","63,60376984","44,59999084"
14/01/2010 0.00,"15,82296399","60,9758788","44,59999084"
14/01/2010 1.00,,"54,85856864","35,20000076"
14/01/2010 2.00,"15,74710596",,"35,20000076"
14/01/2010 3.00,"15,66763758","43,67898992","35,20000076"
14/01/2010 4.00,"15,69834081","35,16122112","35,20000076"
14/01/2010 5.00,"15,70556151","30,21497272","35,20000076"
14/01/2010 6.00,"15,77961945","31,79453328","35,20000076"
14/01/2010 7.00,"15,75252657","37,24803528","35,20000076"
14/01/2010 8.00,"15,90784281","45,39051672","35,20000076"
14/01/2010 9.00,"17,36895654","51,66747888","35,20000076"
14/01/2010 10.00,"17,2353024","57,89771176","35,20000076"
14/01/2010 11.00,"17,1829269","60,48495368","35,20000076"
14/01/2010 12.00,"17,32922235","61,41288552","35,20000076"
14/01/2010 13.00,"16,94814228","63,35123288","35,20000076"
14/01/2010 14.00,"16,31601576","61,7703148","35,20000076"
14/01/2010 15.00,"15,73265439","54,83484072","35,20000076"
14/01/2010 16.00,"15,91687377","52,50468632","35,20000076"
14/01/2010 17.00,"16,31601576","54,20384248","35,20000076"
14/01/2010 18.00,"17,06913477","59,4222832","35,20000076"
14/01/2010 19.00,"18,2015541","66,38938176","35,20000076"
14/01/2010 20.00,"18,4634316","64,50738104","35,20000076"
14/01/2010 21.00,"18,55554129","61,01283776","35,20000076"
14/01/2010 22.00,"17,94508704","55,64180032","35,20000076"
14/01/2010 23.00,"17,36353593","49,37307888","35,20000076"
15/01/2010 0.00,"16,97884551","44,64541032","35,20000076"
15/01/2010 1.00,"16,67362347","39,68954456",49
15/01/2010 2.00,"16,79101578","38,00551232",49
15/01/2010 3.00,"17,22266109","37,411626",49
15/01/2010 4.00,"16,87409451","36,4850708",49
15/01/2010 5.00,"16,35574995","36,80951808",49
15/01/2010 6.00,"16,56887247","37,18618208",49
15/01/2010 7.00,"17,0637345","41,09587792",49
15/01/2010 8.00,"18,26838117","50,37112376",49
15/01/2010 9.00,"19,20391947","59,01812464",49
15/01/2010 10.00,"19,53262404","59,90756792",49
15/01/2010 11.00,"18,96913485","60,32136296",49
15/01/2010 12.00,"9,8882249","61,2424116",49
15/01/2010 13.00,"7,97379155","61,48299856",49
15/01/2010 14.00,"7,67217884","58,58507576",49
15/01/2010 15.00,"7,18815295","56,75533",49
15/01/2010 16.00,"6,32123978","52,79613248",49
15/01/2010 17.00,"6,5506109","48,74345728",49
15/01/2010 18.00,"6,59395646","49,44869848",49
15/01/2010 19.00,"6,63368963","54,42242232",49
15/01/2010 20.00,"6,81068425","56,25492136",49
15/01/2010 21.00,"6,95697563","52,78924928",49
15/01/2010 22.00,"6,84680605","53,03258952",49
15/01/2010 23.00,"7,0346368","61,6080816",49
16/01/2010 0.00,"6,79442954","59,47864896",49
16/01/2010 1.00,,"44,74852448","38,40000153"
16/01/2010 2.00,"6,82693896",,"38,40000153"
16/01/2010 3.00,"7,00032119","33,4075156","38,40000153"
16/01/2010 4.00,"7,2134376","24,25456128","38,40000153"
16/01/2010 5.00,"7,09604326","22,63767848","38,40000153"
16/01/2010 6.00,"7,23510987","22,747064","38,40000153"
16/01/2010 7.00,"7,23149851","29,09817352","38,40000153"
