Parm,Foggia,,,
,Unit,monte Sant'Angelo - Suolo Giuffreda,,,
01/01/2009 1.00,SO2,NO2,O3,PM10
,,,,,,,
,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
15/01/2009 19.00,"7,39765597","11,37324711",,
15/01/2009 20.00,"6,87209071","2,73591522",,
15/01/2009 21.00,"6,91543626","0,74627654",,
15/01/2009 22.00,"6,60659777","7,67431868",,
15/01/2009 23.00,"6,79804192","5,23042514",,
16/01/2009 0.00,"6,98406647","1,28489268",,
16/01/2009 1.00,"6,53074279","0,92278665",,
16/01/2009 2.00,"6,35916676","1,11097907",,
16/01/2009 3.00,,"0,9837871",,
16/01/2009 4.00,"6,60659777",,,
16/01/2009 5.00,"6,34652443","0,55938237",,
16/01/2009 6.00,"5,84805002","0,49578734",,
16/01/2009 7.00,"6,23274247","1,27451052",,
16/01/2009 8.00,"6,30679126","1,89619158",,
16/01/2009 9.00,"6,6029864","2,46855261",,
16/01/2009 10.00,"6,4440527","4,26870061",,
16/01/2009 11.00,"5,63673979","8,67757376",,
16/01/2009 12.00,"6,53435518","6,48676592",,
16/01/2009 13.00,"6,88834542","2,798212",,
16/01/2009 14.00,"7,73900286","3,32904247",,
16/01/2009 15.00,"7,45003248","0,69825475",,
16/01/2009 16.00,"7,15203114","0,85529878",,
16/01/2009 17.00,"7,14661257","1,03699997",,
16/01/2009 18.00,"7,30915866","1,20442425",,
16/01/2009 19.00,"7,09604326","1,16419194",,
16/01/2009 20.00,"7,24052845","1,28099985",,
16/01/2009 21.00,"6,81429561","4,6152334",,
16/01/2009 22.00,"6,2634457","6,73465863",,
16/01/2009 23.00,"6,85944838","5,6729996",,
17/01/2009 0.00,"6,68606513","3,44195754",,
17/01/2009 1.00,"7,09784945","3,87155335",,
17/01/2009 2.00,"6,46572497","7,65095595",,
17/01/2009 3.00,"6,13160284","7,21227623",,
17/01/2009 4.00,"6,18397834","6,05846645",,
17/01/2009 5.00,"6,33026972","5,05780786",,
17/01/2009 6.00,"6,06116542","4,58278676",,
17/01/2009 7.00,"6,04852309","3,97927543",,
17/01/2009 8.00,"5,86069234","3,47570243",,
17/01/2009 9.00,"6,41696083","3,7080219",,
17/01/2009 10.00,"6,3862576","3,83780846",,
17/01/2009 11.00,"6,48920444","1,5185104",,
17/01/2009 12.00,"6,29956649","1,45361712",,
17/01/2009 13.00,"6,99490261","11,53028923",,
17/01/2009 14.00,"7,6270271","10,69186576",,
17/01/2009 15.00,"8,03519903","4,97863768",,
17/01/2009 16.00,"7,2676193","3,00976524",,
17/01/2009 17.00,"6,98045409","2,85012662",,
17/01/2009 18.00,"7,15925489","2,16355228",,
17/01/2009 19.00,"6,88473303","3,38744642",,
17/01/2009 20.00,"7,43377777","3,66519119",,
17/01/2009 21.00,"7,3759837","2,54512821",,
17/01/2009 22.00,"6,6571681","1,8624467",,
17/01/2009 23.00,"6,45308264","6,40629749",,
18/01/2009 0.00,"6,61201635","3,92346798",,
18/01/2009 1.00,"6,51268291","1,63921305",,
18/01/2009 2.00,"6,17494839","2,7527867",,
18/01/2009 3.00,,"2,5139779",,
18/01/2009 4.00,"6,37000391",,,
18/01/2009 5.00,"7,15925489","1,15770262",,
18/01/2009 6.00,"6,25802712","1,32902164",,
18/01/2009 7.00,"6,64452577","1,56263745",,
18/01/2009 8.00,"6,41334947","1,65738278",,
18/01/2009 9.00,"6,66981042","1,9935315",,
18/01/2009 10.00,"6,52713143","6,85925411",,
18/01/2009 11.00,"6,32304495","8,4141059",,
18/01/2009 12.00,"6,25260855","8,63085022",,
18/01/2009 13.00,"7,01115732","11,38493326",,
18/01/2009 14.00,"6,95878182","14,6036495",,
18/01/2009 15.00,"7,01115732","9,0825105",,
18/01/2009 16.00,"7,7155244","14,14810403",,
18/01/2009 17.00,"8,25373301","7,85342528",,
18/01/2009 18.00,"7,23510987","6,52959472",,
18/01/2009 19.00,"7,18995812","9,84565854",,
18/01/2009 20.00,"7,37778989","7,82097673",,
18/01/2009 21.00,"7,23872226","4,01172207",,
18/01/2009 22.00,"7,34889183","4,44001963",,
18/01/2009 23.00,"6,76914488","3,88453201",,
19/01/2009 0.00,"7,16106109","2,35953037",,
19/01/2009 1.00,"6,77817482","2,0558302",,
19/01/2009 2.00,"7,19718289","1,54836246",,
19/01/2009 3.00,"6,76733869","2,32189265",,
19/01/2009 4.00,"6,44766406","1,98704218",,
19/01/2009 5.00,"7,23691607","1,23946738",,
19/01/2009 6.00,"6,855836","0,74368005",,
19/01/2009 7.00,"6,52171285","2,9630417",,
19/01/2009 8.00,"6,75650154","0,38417051",,
19/01/2009 9.00,"6,39167618","0,41661715",,
19/01/2009 10.00,"6,95697563","1,00714791",,
19/01/2009 11.00,"6,87931446","6,93453146",,
19/01/2009 12.00,"6,34471824","11,92094907",,
19/01/2009 13.00,"7,46989958","11,75222846",,
19/01/2009 14.00,"7,45003248","2,93968088",,
19/01/2009 15.00,"7,5168565","2,01819057",,
19/01/2009 16.00,"7,29471014","3,97148977",,
19/01/2009 17.00,"7,43377777","3,34202113",,
19/01/2009 18.00,"7,5367236","3,26804202",,
19/01/2009 19.00,"7,7353915","2,07789277",,
19/01/2009 20.00,"6,81249044","4,26480778",,
19/01/2009 21.00,"6,86667213","4,80212758",,
19/01/2009 22.00,"6,96058801","5,27714868",,
19/01/2009 23.00,"7,04005436","4,33229755",,
20/01/2009 0.00,"6,75650154","3,51593474",,
20/01/2009 1.00,"6,58673169","2,47634018",,
20/01/2009 2.00,"6,44044031","1,80923382",,
20/01/2009 3.00,,"1,23167981",,
20/01/2009 4.00,"6,84680605",,,
20/01/2009 5.00,"6,40973708","0,88774351",,
20/01/2009 6.00,"6,58311931","0,56068062",,
20/01/2009 7.00,"6,27608803","0,43089406",,
20/01/2009 8.00,"6,02143224","0,37768118",,
20/01/2009 9.00,"6,14063278","0,36989361",,
20/01/2009 10.00,"6,2977603","2,4399988",,
20/01/2009 11.00,"6,50365195","7,24991395",,
20/01/2009 12.00,"6,10812336","4,5412543",,
20/01/2009 13.00,"7,07075759","4,22327531",,
20/01/2009 14.00,"7,48615327","7,39008458",,
20/01/2009 15.00,"8,04603516","8,18048818",,
20/01/2009 16.00,"8,12369633","9,36804094",,
20/01/2009 17.00,"9,38794327","17,41743474",,
20/01/2009 18.00,"7,72997292","8,97478651",,
20/01/2009 19.00,"7,95753786","5,00848974",,
20/01/2009 20.00,"7,14841876","5,493893",,
20/01/2009 21.00,"7,06714622","5,9689141",,
20/01/2009 22.00,"7,28206781","6,41148857",,
20/01/2009 23.00,"7,16286728","5,1979785",,
21/01/2009 0.00,"6,67884138","3,03312606",,
21/01/2009 1.00,"7,08881849","3,94423421",,
