Stat,Maglie,,,,,,,  ,
,,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,
,,,,
08/01/2014 13.00,,"12,5","21,0","0,2","61,5","16,3",,,
08/01/2014 14.00,,"12,3","20,6","0,2","65,2","16,3",,,
08/01/2014 15.00,,"9,4","15,9","0,2","69,7","16,3",,,
08/01/2014 16.00,,"10,3","18,7","0,2","66,8","16,3",,,
08/01/2014 17.00,,"12,0","20,4","0,3","63,2","16,3",,,
08/01/2014 18.00,,"19,7","29,9","0,4","49,7","16,3",,,
08/01/2014 19.00,,"22,9","34,0","0,4","44,5","16,3",,,
08/01/2014 20.00,,"28,0","40,9","0,5","36,9","16,3",,,
08/01/2014 21.00,,"27,6","39,8","0,5","33,5","16,3",,,
08/01/2014 22.00,,"18,6","27,9","0,4","41,0","16,3",,,
08/01/2014 23.00,,"14,4","22,4","0,4","35,2","16,3",,,
09/01/2014 0.00,,"11,4","18,9","0,4","37,6","16,3",,,
09/01/2014 1.00,,"7,7","13,6","0,3","38,7","25,7",,,
09/01/2014 2.00,,"6,9","12,6","0,3","41,0","25,7",,,
09/01/2014 3.00,,"6,1","10,9","0,3","37,4","25,7",,,
09/01/2014 4.00,,"6,8","12,9","0,3","44,0","25,7",,,
09/01/2014 5.00,,"7,0","11,5","0,3","36,4","25,7",,,
09/01/2014 6.00,,"6,6","12,4","0,3","39,9","25,7",,,
09/01/2014 7.00,,"11,4","19,7","0,3","32,0","25,7",,,
09/01/2014 8.00,,"21,6","41,7","0,3","23,5","25,7",,,
09/01/2014 9.00,,"21,7","38,8","0,3","30,8","25,7",,,
09/01/2014 10.00,,"16,8","30,4","0,3","46,9","25,7",,,
09/01/2014 11.00,,"11,3","20,0","0,3","58,5","25,7",,,
09/01/2014 12.00,,"9,8","18,0","0,2","61,9","25,7",,,
09/01/2014 13.00,,"10,6","18,9","0,2","64,3","25,7",,,
09/01/2014 14.00,,"12,6","23,1","0,3","63,0","25,7",,,
09/01/2014 15.00,,"9,8","17,0","0,3","69,1","25,7",,,
09/01/2014 16.00,,"11,1","19,1","0,3","65,7","25,7",,,
09/01/2014 17.00,,"24,5","37,3","0,4","44,7","25,7",,,
09/01/2014 18.00,"2,3","43,5","69,2","0,5","18,8","25,7",,,
09/01/2014 19.00,"3,5","34,4","52,2","0,5","24,2","25,7",,,
09/01/2014 20.00,"4,6","32,4","51,1","0,5","21,6","25,7",,,
09/01/2014 21.00,"5,2","36,5","57,7","0,8","14,3","25,7",,,
09/01/2014 22.00,"5,2","26,3","39,7","0,7","17,1","25,7",,,
09/01/2014 23.00,"5,7","24,2","39,8","0,7","12,6","25,7",,,
10/01/2014 0.00,"5,9","21,2","33,3","0,7","16,9","25,7",,,
10/01/2014 1.00,"6,9","17,4","28,1","0,7",,"38,0",,,
10/01/2014 2.00,"7,5",,,"0,5","27,8","38,0",,,
10/01/2014 3.00,"7,9","9,8","15,0",,"22,6","38,0",,,
10/01/2014 4.00,"8,0","8,5","16,4","0,5","34,1","38,0",,,
10/01/2014 5.00,,"9,4","15,6","0,4","18,0","38,0",,,
10/01/2014 6.00,"0,3","15,2","33,0","0,5","6,8","38,0",,,
10/01/2014 7.00,"0,6","19,2","57,5","0,6","5,2","38,0",,,
10/01/2014 8.00,"2,1","31,7","164,7","0,9","6,8","38,0",,,
