,TARANTO,,,
,S.VITO Colonia Marina,,,
Parm,SO2,NOX,NO2,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3


16/01/2009 2.00,"0,773056",,,
16/01/2009 3.00,"0,891062","15,894426","8,363487",
16/01/2009 4.00,"0,875709","12,150058","6,240169",
16/01/2009 5.00,"0,852379","11,758371","6,589297",
16/01/2009 6.00,"0,616368","20,036956","15,031945",
16/01/2009 7.00,"0,566546","15,948897","11,288891",
16/01/2009 8.00,"0,694185","19,710118","13,682162",
16/01/2009 9.00,"0,628409","17,402805","10,205162",
16/01/2009 10.00,"0,596651","18,286045","10,206464",
16/01/2009 11.00,,"18,524689","9,410872",
16/01/2009 12.00,"0,578287","11,177326","5,05651",
16/01/2009 13.00,"0,586715","14,36529","7,149977",
16/01/2009 14.00,"0,773959","11,292757","5,561383",
16/01/2009 15.00,"1,057834","10,854382","5,744382",
16/01/2009 16.00,"0,964815","10,646864","5,987084",
16/01/2009 17.00,"0,944495","10,754514","6,793062",
16/01/2009 18.00,"0,958041","9,369344","4,79434",
16/01/2009 19.00,"0,754543","9,601504","5,273254",
16/01/2009 20.00,"0,869237","8,976361","5,053915",
16/01/2009 21.00,"0,569557","10,310949","6,57502",
16/01/2009 22.00,"0,8003","9,709153","5,914403",
16/01/2009 23.00,"0,629613","10,033396","6,285595",
17/01/2009 0.00,"0,59936","9,582049","6,185658",
17/01/2009 1.00,"0,644063","7,453714","4,81251",
17/01/2009 2.00,"0,68696","6,303296","4,101276",
17/01/2009 3.00,"0,545323","5,106189","3,444552",
17/01/2009 4.00,"0,486321","4,002464","3,123979",
17/01/2009 5.00,"0,489633","3,168509","3,500361",
17/01/2009 6.00,"0,52982","1,922116","2,887764",
17/01/2009 7.00,"0,497008","1,189325","2,920213",
17/01/2009 8.00,"0,656255","2,875394","3,814446",
17/01/2009 9.00,"0,591081","4,028402","4,097381",
17/01/2009 10.00,"0,643913","4,544598","4,268702",
17/01/2009 11.00,"0,603273","5,901235","4,520488",
17/01/2009 12.00,"0,593941","6,399273","4,406277",
17/01/2009 13.00,"0,565794","6,6016","4,084403",
17/01/2009 14.00,"0,603273","6,742972","4,216786",
17/01/2009 15.00,"0,780281","9,416036","5,640551",
17/01/2009 16.00,"1,010573","13,485942","9,462786",
17/01/2009 17.00,"1,192397","20,529813","14,811308",
17/01/2009 18.00,"1,599245","51,939918","34,111954",
17/01/2009 19.00,"1,200073","27,082122","18,690654",
17/01/2009 20.00,"1,045944","30,098876","19,375921",
17/01/2009 21.00,"1,081917","31,503507","22,044347",
17/01/2009 22.00,"1,263592","41,648444","27,481137",
