,Foggia,,
,Manfredonia - Capitaneria di Porto,,
Parm,SO2,NO2,PM10



20/01/2009 13.00,,"16,87103486",
20/01/2009 14.00,,"19,11376114",
20/01/2009 15.00,,"11,4861641",
20/01/2009 16.00,,"24,6907076",
20/01/2009 17.00,,"29,24105728",
20/01/2009 18.00,,"32,24303112",
20/01/2009 19.00,,"41,60328448",
20/01/2009 20.00,,"32,36761704",
20/01/2009 21.00,,"32,5493144",
20/01/2009 22.00,,"28,05479512",
20/01/2009 23.00,,"25,04243912",
21/01/2009 0.00,,"16,19873742",
21/01/2009 1.00,,"13,20065641",
21/01/2009 2.00,,"9,37972326",
21/01/2009 3.00,,"8,59970182",
21/01/2009 4.00,,"6,99942474",
21/01/2009 5.00,,"5,7327018",
21/01/2009 6.00,,"9,05914778",
21/01/2009 7.00,,"13,9170809",
21/01/2009 8.00,"0,45640418","30,19887368",
21/01/2009 9.00,"0,5389561","33,78620632",
21/01/2009 10.00,"0,39603506","27,2319468",
21/01/2009 11.00,"0,33802944","24,34677704",
21/01/2009 12.00,"0,31693686","30,44806464",
21/01/2009 13.00,"0,3387566","35,24630512",
21/01/2009 14.00,"0,27620601","32,68820208",
21/01/2009 15.00,"0,26838732","32,57787968",
21/01/2009 16.00,"0,26511461","16,23118406",
21/01/2009 17.00,,"18,4781741",
21/01/2009 18.00,,"24,70238992",
21/01/2009 19.00,"1,22270859","37,24243312",
21/01/2009 20.00,"1,09989567","30,69207408",
21/01/2009 21.00,"1,40692695","37,38910264",
21/01/2009 22.00,"1,59475872","46,64681544",
21/01/2009 23.00,"1,50264903","37,55131672",
22/01/2009 0.00,"1,53335226","33,30208792",
22/01/2009 1.00,,"27,6148248",
22/01/2009 2.00,"1,24979944","21,03980096",
22/01/2009 3.00,"1,19019917","22,45057016",
22/01/2009 4.00,"0,98611371","20,87366728",
22/01/2009 5.00,"1,2010353","18,34671454",
22/01/2009 6.00,"1,28592124","20,56216424",
22/01/2009 7.00,"1,05293773","19,34607488",
22/01/2009 8.00,"1,44846734","24,5466384",
22/01/2009 9.00,"1,77536571","26,80884032",
22/01/2009 10.00,"1,64894041","28,50384744",
22/01/2009 11.00,"1,58934014","28,0794408",
22/01/2009 12.00,"1,82232264","32,85301648",
22/01/2009 13.00,"1,4719458","28,36887936",
22/01/2009 14.00,"1,28953261","23,40580536",
22/01/2009 15.00,"1,25702319","18,64392538",
22/01/2009 16.00,"1,38886707","22,40386",
22/01/2009 17.00,"1,3617752","24,57520368",
22/01/2009 18.00,"1,40331559","22,63356768",
22/01/2009 19.00,"1,28230886","22,6582516",
22/01/2009 20.00,"1,43943638","22,8749768",
22/01/2009 21.00,"1,33107299","25,86398728",
22/01/2009 22.00,"1,33829674","30,97111136",
22/01/2009 23.00,"1,46291585","24,9230156",
23/01/2009 0.00,"1,30217494","22,08069376",
23/01/2009 1.00,"0,86691317","16,05597411",
23/01/2009 2.00,"0,85968841","12,28305702",
23/01/2009 3.00,"1,12698652","9,53935996",
23/01/2009 4.00,"0,95541048","7,77425318",
23/01/2009 5.00,"0,97166519","5,96242478",
23/01/2009 6.00,"0,93373719","8,2518727",
23/01/2009 7.00,"0,8614946","15,05790438",
23/01/2009 8.00,"1,11976277","19,57060104",
23/01/2009 9.00,"1,03487683","19,93401488",
23/01/2009 10.00,"1,06919244","21,4667888",
23/01/2009 11.00,"1,07641721","18,91129182",
23/01/2009 12.00,"1,08183477","17,68999034",
23/01/2009 13.00,"1,19200536","17,75618952",
23/01/2009 14.00,"1,32384822","17,96903336",
23/01/2009 15.00,"1,16491451","16,96058911",
23/01/2009 16.00,"1,20826007","19,9391964",
23/01/2009 17.00,"1,21006626","20,08066528",
23/01/2009 18.00,"1,41776411","30,87247128",
23/01/2009 19.00,"1,57127924","33,8783456",
23/01/2009 20.00,"1,88553529","43,93426104",
23/01/2009 21.00,"1,64894041","42,588366",
23/01/2009 22.00,"1,75549862","47,29186688",
23/01/2009 23.00,"1,48097574","33,94973968",
24/01/2009 0.00,"1,150466","20,36230288",
24/01/2009 1.00,,"15,9196944",
24/01/2009 2.00,"1,41234553",,
24/01/2009 3.00,"1,19922911","9,9274233",
24/01/2009 4.00,"1,34190913","9,12923405",
24/01/2009 5.00,"1,33287817","6,93712605",
24/01/2009 6.00,"1,41595791","5,9260853",
24/01/2009 7.00,"1,3617752","8,29729799",
24/01/2009 8.00,"1,59114633","24,79324816",
24/01/2009 9.00,"1,90901477","31,10607944",
24/01/2009 10.00,"3,00349186","38,73237824",
24/01/2009 11.00,"3,14255949","36,06397192",
24/01/2009 12.00,"2,21965844","35,51366008",
24/01/2009 13.00,"2,15463959","27,50838376",
24/01/2009 14.00,"1,9216571","18,6400402",
24/01/2009 15.00,"1,86928058","20,17540488",
24/01/2009 16.00,"1,78439566","21,8587488",
24/01/2009 17.00,"1,38525468","19,68352376",
24/01/2009 18.00,"1,34190913","13,06308418",
24/01/2009 19.00,"1,43943638","12,28435718",
24/01/2009 20.00,"1,50987278","23,25655464",
24/01/2009 21.00,"1,71937681","22,2416268",
24/01/2009 22.00,"1,85483206","20,95024288",
24/01/2009 23.00,"2,56281152","42,47156192",
25/01/2009 0.00,"1,89456625","29,45910176",
25/01/2009 1.00,"1,62546195","22,40516016",
25/01/2009 2.00,"1,55321935","18,52971589",
25/01/2009 3.00,"1,51348516","10,67369794",
25/01/2009 4.00,"1,30036976","7,40436149",
25/01/2009 5.00,"1,20826007","6,39980816",
25/01/2009 6.00,"1,24799324","7,4588707",
25/01/2009 7.00,"0,97347138","9,52508497",
25/01/2009 8.00,"1,07280482","13,61987006",
25/01/2009 9.00,"1,51348516","24,43761616",
25/01/2009 10.00,"1,5243213","22,9580532",
25/01/2009 11.00,"1,66338893","21,1604864",
25/01/2009 12.00,"1,48639432","23,44735312",
