,Comune Bari,,,,
,Via M.L.King,,,,
Parm,SO2,NO2,CO,PM10,BENZENE



11/01/2009 10.00,"0,57330121","39,06852696","0,69220456","23,44322014","2,52826403"
11/01/2009 11.00,"0,82860075","40,31450088","0,64129406",,"2,74759941"
11/01/2009 12.00,"0,83625164","32,197602","0,46756227","24,90842056","3,41922011"
11/01/2009 13.00,"0,40272895","35,2774516","0,54794494",,"2,34751161"
11/01/2009 14.00,"0,58860502","33,89520944","0,52264696","29,7924099","2,18767175"
11/01/2009 15.00,"0,55016039","25,05930296","0,43363397",,"1,93072772"
11/01/2009 16.00,"0,13921916","25,88085112","0,47874277","35,65322113","0,95304392"
11/01/2009 17.00,"0,25361946","35,75896968","0,52064899",,
11/01/2009 18.00,"0,98685612","51,18028216","0,70491238","35,16482162",
11/01/2009 19.00,"1,52339583","65,06620128","0,90534946",,
11/01/2009 20.00,"1,7292407","66,03701928","0,83725754","40,04883957",
11/01/2009 21.00,"2,01309353","70,24861992","0,92660838",,
11/01/2009 22.00,"0,5988696","62,94938784","0,90202455","47,86323166",
11/01/2009 23.00,"0,90642362","66,2381808","0,77807205",,
12/01/2009 0.00,"0,40198349","59,66705744","0,5852762","39,56044006",
12/01/2009 1.00,"0,56882234","46,9751632","0,56128535",,
12/01/2009 2.00,,"39,60455616","0,53590932","38,58362961",
12/01/2009 3.00,"0,26459391",,"0,45623963",,
12/01/2009 4.00,"0,55633765","36,78427968","0,44159209","30,28083038",
12/01/2009 5.00,"0,50039146","30,18200984","0,55616052",,
12/01/2009 6.00,"2,8545756","59,10768272",,"35,16482162",
12/01/2009 7.00,"3,72046364","66,7313812","0,9543016",,
12/01/2009 8.00,"5,16657154","75,39467232","1,24734919","40,53723145",
12/01/2009 9.00,"10,17796311","106,3942916","1,7847602",,
12/01/2009 10.00,"5,39219807","78,97550416","1,05649656","65,44566345",
12/01/2009 11.00,"2,97503722","53,86038992","0,67016043",,
12/01/2009 12.00,"3,84327249","56,56774368","0,64605658","57,14284134","3,52604985"
12/01/2009 13.00,"2,78598302","43,63314016","0,58261068",,"3,26505308"
12/01/2009 14.00,"3,54638782","45,51246408","0,66180971","52,7472496","2,7840731"
12/01/2009 15.00,"3,95941898","49,34118672","0,58795453",,"2,66929956"
12/01/2009 16.00,"3,21018389","52,6027528","0,62753308","50,79365158","2,49924699"
12/01/2009 17.00,"4,92285664","79,46350392","0,95184811",,"2,69410317"
12/01/2009 18.00,"8,75946982","101,55719928","1,26749437","63,49206161","3,40625132"
12/01/2009 19.00,"7,72558355","90,74330968","1,1604332",,"5,5101121"
12/01/2009 20.00,"7,06298262","88,35912216","1,21164777","74,23686981","4,68497322"
12/01/2009 21.00,"10,57210146","92,96786432","1,56034392",,"5,40149854"
12/01/2009 22.00,"11,3479911","86,97169848","1,60554359",,"7,46839849"
12/01/2009 23.00,"9,54868826","68,35241304","1,42648542",,"6,25095389"
13/01/2009 0.00,"10,18748223","59,91626752","1,57700691","95,72647858","6,88156101"
13/01/2009 1.00,"7,89789793","52,28216776","1,20234757",,"6,41630588"
13/01/2009 2.00,,"46,17958","1,04490015","80,09767151","4,51475793"
13/01/2009 3.00,"1,0619992",,"0,89912836",,"4,14352649"
13/01/2009 4.00,"0,01969115","45,7538732","0,61265137","58,6080513","3,31401044"
13/01/2009 5.00,"0,37823959","33,58890704","0,56709521",,"2,37085583"
13/01/2009 6.00,"0,89974804","37,51498872",,"48,84004974","2,11861338"
13/01/2009 7.00,"4,2870079","55,30232472","1,29560233",,"4,02210686"
13/01/2009 8.00,"6,10284716","65,63209592","1,12854832","47,37483978","6,23393236"
13/01/2009 9.00,"6,49383688","79,95020352","1,1522316",,"4,55204318"
13/01/2009 10.00,"4,85243244","78,75615952","1,00565363","39,56044006","4,55528538"
13/01/2009 11.00,"3,0193113","68,72490888","0,69249581",,"3,65184767"
13/01/2009 12.00,"2,9470626","59,26601544","0,52516336","27,35042","2,70107369"
13/01/2009 13.00,"3,38291321","52,09268856","0,4306772",,"2,0114582"
13/01/2009 14.00,"3,88723435","39,0828096","0,38695009","18,07081032","1,49497678"
13/01/2009 15.00,"3,83717965","27,90294408","0,32002084",,"1,2539193"
13/01/2009 16.00,"4,21400459","31,4383468","0,35126148","11,72161007","0,9776838"
13/01/2009 17.00,"2,80280217","29,5888692","0,36130262",,"1,07381572"
13/01/2009 18.00,"6,03957044","25,99895536","0,34211623","21,48962021","0,97071328"
13/01/2009 19.00,"7,68569681","26,07813128","0,33894394",,"0,99389478"
13/01/2009 20.00,"8,62445188","22,46745312","0,33283002","25,39682007","1,02437223"
13/01/2009 21.00,"9,74925591","23,30588424","0,32266656",,"1,05257873"
13/01/2009 22.00,"9,40926468","25,23191832","0,35319072","18,07081032","1,00491906"
13/01/2009 23.00,"10,07885951","24,31693072","0,35385594",,"1,15179013"
14/01/2009 0.00,"9,4083209","12,92810272","0,22426017","31,25761986","1,00654016"
14/01/2009 1.00,"9,88053027","10,08706383","0,18994277",,"1,19961252"
14/01/2009 2.00,,"12,52965148","0,27550969","28,32722092","0,71571477"
14/01/2009 3.00,"0,03478343",,"0,20794318",,"0,53496234"
14/01/2009 4.00,"0,00160889","16,34410104","0,22625931","50,79365158","0,46930787"
14/01/2009 5.00,"0,13254764","14,95018421","0,20496777",,"0,38111973"
14/01/2009 6.00,"1,24550465","47,77076552",,"74,23686981","0,54566118"
14/01/2009 7.00,"0,15284696","37,85111832","0,36762857",,"1,31584545"
14/01/2009 8.00,"0,55744618","42,90115008","0,39489423","85,47006989","1,17675545"
14/01/2009 9.00,"1,13993598","56,0589796","0,53374592",,"1,20382697"
14/01/2009 10.00,"0,97337985","27,403262","0,26959032","89,86569214","1,85939941"
14/01/2009 11.00,"0,86527784","20,90611392","0,21217097",,"0,67210682"
14/01/2009 12.00,"1,32465064","14,38041777","0,1824192","66,91085052","0,76240219"
14/01/2009 13.00,"2,30720993","14,87361052","0,15605408",,"0,65427475"
14/01/2009 14.00,"2,26331113","18,31167141","0,18617516","51,77045059","0,69237055"
14/01/2009 15.00,"0,92963462","16,11177774","0,17548162",,"0,88155289"
14/01/2009 16.00,"2,25327537","18,29869275","0,20218342","42,97924042","0,64098256"
14/01/2009 17.00,"1,03045593","27,27865696","0,2888769",,"0,77018325"
14/01/2009 18.00,"1,09228444","33,1009264","0,33081923","33,69963074","1,11758537"
14/01/2009 19.00,"2,64867378","37,20218552","0,38196389",,"1,40127752"
14/01/2009 20.00,"2,4894726","43,84730328","0,51179615","32,72283173","1,5235077"
14/01/2009 21.00,"3,48620481","58,00837832","0,73989267",,"2,2497596"
14/01/2009 22.00,"4,05344571","57,2192768","0,71637714","30,28083038","2,60769784"
14/01/2009 23.00,"4,78800956","66,30827472","1,05093252",,"2,83108595"
15/01/2009 0.00,"2,73877083","66,67687008","0,79614702","32,72283173","3,76418956"
15/01/2009 1.00,"1,12139607","53,5268224","0,60723412",,"3,70955835"
15/01/2009 2.00,,"51,53589504","0,48109025","23,93161964","1,77672341"
15/01/2009 3.00,"0,28667094",,"0,4050472",,"2,10613073"
15/01/2009 4.00,"0,99105938","24,26630096","0,24188779","19,04759979","1,40565367"
15/01/2009 5.00,"1,03438867","19,13971272","0,23485352",,"0,88041792"
15/01/2009 6.00,"0,93202558","28,06907776",,"11,23320961","0,92905086"
15/01/2009 7.00,"1,22696474","40,31450088","0,49118497",,"1,51361941"
15/01/2009 8.00,"4,32545762","63,360812","0,60251354","13,67521","1,67880868"
15/01/2009 9.00,"4,81971555","65,98380832","0,83465493",,"2,24668013"
15/01/2009 10.00,"3,71941308","63,71254352","0,7763828","28,32722092","3,52264595"
15/01/2009 11.00,"3,36650391","49,72924624","0,77266412",,"3,31546983"
15/01/2009 12.00,"4,13144961","55,80718832","0,45250231","29,30401993","3,15400786"
15/01/2009 13.00,"5,59667101","54,21730296","0,48377324",,"2,98152365"
15/01/2009 14.00,"5,44700827","56,72479536","0,46755994","37,6068306","3,26327027"
15/01/2009 15.00,"4,53517115","43,52153672","0,36031819",,"2,82768104"
15/01/2009 16.00,"5,2927253","45,08675728","0,41778182","35,16482162","1,67216259"
15/01/2009 17.00,"4,92872981","63,04672776","0,57272565",,"1,73343989"
15/01/2009 18.00,"7,5293595","87,21050728","1,04633077","33,21123123","2,2134466"
15/01/2009 19.00,"14,74921539","132,26606072","2,55591331",,"6,69675584"
15/01/2009 20.00,"16,73272134","135,06564936","2,14429551","70,32967377","9,91301427"
15/01/2009 21.00,"16,01396676","123,52233176","1,859573",,"8,14925965"
15/01/2009 22.00,"10,80808614","87,3078472","1,32757692","85,47006989","7,56728546"
15/01/2009 23.00,"11,27925207","75,2610044","1,31884641",,"6,20069985"
16/01/2009 0.00,"8,28506678","56,31855272","0,96960853","80,58608246","6,54923592"
16/01/2009 1.00,"7,00276605","51,47360208","0,71530534",,"4,99622404"
16/01/2009 2.00,,"52,43921944","0,54874529","64,46884918","3,77553724"
16/01/2009 3.00,"0,33747416",,"0,47502642",,"3,03258823"
