,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO2,PM10,O3
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3 293K
,,,,,
,,,,,
17/01/2009 23.00,"1,708541","63,353298","43,669485","28,58499",
18/01/2009 0.00,"1,41957","59,142039","41,090618","28,58499",
18/01/2009 1.00,,"45,636647","31,095695","40,450142",
18/01/2009 2.00,"1,136017",,,"40,450142",
18/01/2009 3.00,"1,372612","33,594221","18,751655","40,450142",
18/01/2009 4.00,"1,085447","27,375231","11,522507","40,450142",
18/01/2009 5.00,"1,31843","26,179429","8,85668","40,450142",
18/01/2009 6.00,"1,490007","27,988697","9,353766","40,450142",
18/01/2009 7.00,"1,522516","36,867795","17,190309","40,450142",
18/01/2009 8.00,"1,222709","38,848264","18,457037","40,450142",
18/01/2009 9.00,"1,434019","34,992373","14,951486","40,450142",
18/01/2009 10.00,"1,509873","34,635707","12,94627","40,450142",
18/01/2009 11.00,"1,672419","43,684666","17,140994","40,450142",
18/01/2009 12.00,"1,995706","55,186264","21,074828","40,450142",
18/01/2009 13.00,"2,00293","75,280293","32,760876","40,450142",
18/01/2009 14.00,"2,156446","71,874412","25,716016","40,450142",
18/01/2009 15.00,"2,013767","53,513169","8,943638","40,450142",
18/01/2009 16.00,"1,735631","51,344617","8,040317","40,450142",
18/01/2009 17.00,"1,634492","57,161551","12,802207","40,450142",
18/01/2009 18.00,"2,129355","62,008339","20,085846","40,450142",
18/01/2009 19.00,"2,546557","123,791041","64,04997","40,450142",
18/01/2009 20.00,"2,328022","115,744601","53,983675","40,450142",
18/01/2009 21.00,"2,008348","90,550867","49,163388","40,450142",
18/01/2009 22.00,"1,863863","60,988917","34,817999","40,450142",
18/01/2009 23.00,"1,491813","46,49265","23,135849","40,450142",
19/01/2009 0.00,"1,266054","38,023369","14,656868","40,450142",
19/01/2009 1.00,"1,345521","36,040321","12,033865","24,739651",
19/01/2009 2.00,"1,387061","39,990914","15,2448","24,739651",
19/01/2009 3.00,"1,468333","39,953304","14,480358","24,739651",
19/01/2009 4.00,"1,432213","34,961243","8,960509","24,739651",
19/01/2009 5.00,"1,173944","36,129822","10,16753","24,739651",
19/01/2009 6.00,"1,061969","34,299788","9,635403","24,739651",
19/01/2009 7.00,"1,388867","52,853013","26,502538","24,739651",
19/01/2009 8.00,"1,361775","76,003989","42,261297","24,739651",
19/01/2009 9.00,"1,446661","82,280051","41,210023","24,739651",
19/01/2009 10.00,"1,405122","52,567646","24,515491","24,739651",
19/01/2009 11.00,"1,616431","61,715228","26,028821","24,739651",
19/01/2009 12.00,"2,243137","102,846172","45,685099","24,739651",
19/01/2009 13.00,"2,037245","83,051753","35,633062","24,739651",
19/01/2009 14.00,"1,932493","55,999457","16,823012","24,739651",
19/01/2009 15.00,"1,629073","65,239121","25,268265","24,739651",
19/01/2009 16.00,"1,811486","61,464893","21,757507","24,739651",
19/01/2009 17.00,"1,735631","64,803337","27,215063","24,739651",
19/01/2009 18.00,"1,508068","69,063887","38,871265","24,739651",
