NetC,Foggia,,,
,Stat,Manfredonia - Zona 167 - Viale Michelangelo,,,
Parm,SO2,NO2,CO,PM10



13/01/2009 6.00,"2,44902855","12,66333087",,"18,92794991"
13/01/2009 7.00,"2,07697842","19,3175096",,"18,92794991"
13/01/2009 8.00,"1,91262614","27,0969596",,"18,92794991"
13/01/2009 9.00,"2,24674928","29,51489392",,"18,92794991"
13/01/2009 10.00,"2,29190103","22,38307656",,"18,92794991"
13/01/2009 11.00,"2,01557196","19,83277448",,"18,92794991"
13/01/2009 12.00,"1,73021396","17,94566872",,"18,92794991"
13/01/2009 13.00,"2,48515035","29,24233832",,"18,92794991"
13/01/2009 14.00,"1,84760831","19,83925616",,"18,92794991"
13/01/2009 15.00,"1,91443233","9,95727536",,"18,92794991"
13/01/2009 16.00,"1,80787412","8,49716891",,"18,92794991"
13/01/2009 17.00,"1,68325602","8,23370105",,"18,92794991"
13/01/2009 18.00,"1,68686841","11,2512443",,"18,92794991"
13/01/2009 19.00,"1,69589835","9,9871255",,"18,92794991"
13/01/2009 20.00,"1,63087951","10,97090878",,"18,92794991"
13/01/2009 21.00,"1,37983611","13,22272089",,"18,92794991"
13/01/2009 22.00,"1,36538759","9,11884998",,"18,92794991"
13/01/2009 23.00,"1,39789701","5,29402017",,"18,92794991"
14/01/2009 0.00,"1,18658678","5,54450938",,"18,92794991"
14/01/2009 1.00,,"7,18631892",,"37,81819153"
14/01/2009 2.00,"1,22451478",,,"37,81819153"
14/01/2009 3.00,"1,14324123","8,2349993",,"37,81819153"
14/01/2009 4.00,"1,26966653","5,68597826",,"37,81819153"
14/01/2009 5.00,"1,13601748","2,95785062",,"37,81819153"
14/01/2009 6.00,"1,18478059","5,69116934",,"37,81819153"
14/01/2009 7.00,"1,07822238","13,82103922",,"37,81819153"
14/01/2009 8.00,"2,10587546","18,21433722","0,65292891","37,81819153"
14/01/2009 9.00,"1,48639432","22,32598424","0,84387358","37,81819153"
14/01/2009 10.00,"1,34732669","19,11376114","0,21357829","37,81819153"
14/01/2009 11.00,"1,25160563","20,27664528","0,32446415","37,81819153"
14/01/2009 12.00,"1,34913288","17,01769099","0,24878808","37,81819153"
14/01/2009 13.00,"1,39247843","20,54920088","0,36920015","37,81819153"
14/01/2009 14.00,"1,15227219","16,84248105","0,31211748","37,81819153"
14/01/2009 15.00,"1,04752017","18,56605918","0,39636795","37,81819153"
14/01/2009 16.00,"1,07280482","20,83602","0,42688979","37,81819153"
14/01/2009 17.00,"1,26063557","21,24874432","0,49418368","37,81819153"
14/01/2009 18.00,"1,37261236","33,40850984","0,61131861","37,81819153"
14/01/2009 19.00,"0,99875604","18,31297348","0,35277598","37,81819153"
14/01/2009 20.00,"1,13240509","14,37652302","0,52207611","37,81819153"
14/01/2009 21.00,"1,13601748","18,16371129","0,37758233","37,81819153"
14/01/2009 22.00,"1,37802992","16,78407518","0,42349847","37,81819153"
14/01/2009 23.00,"1,40692695","11,66267611","0,29603815","37,81819153"
15/01/2009 0.00,"1,65255279","14,5179919","0,33517167","37,81819153"
15/01/2009 1.00,"1,68144983","13,34082513","0,4585941","23,84708977"
15/01/2009 2.00,"1,55141316","8,78529584","0,36626552","23,84708977"
15/01/2009 3.00,"1,64171666","6,04159496","0,41511513","23,84708977"
15/01/2009 4.00,"1,78620185","4,86702086","0,28254862","23,84708977"
15/01/2009 5.00,"1,87469915","4,20121274","0,3523193","23,84708977"
15/01/2009 6.00,"1,7031221","12,69188277","0,38707125","23,84708977"
15/01/2009 7.00,"1,96319646","24,828276","0,37598278","23,84708977"
15/01/2009 8.00,"2,10587546","33,222912","0,52744909","23,84708977"
15/01/2009 9.00,"2,41471395","34,34948152","0,59767762","23,84708977"
15/01/2009 10.00,"2,15644578","20,71921592","0,28632089","23,84708977"
15/01/2009 11.00,"2,27564632","15,13188348","0,27149743","23,84708977"
15/01/2009 12.00,"1,8313536","22,24810848","0,33143668","23,84708977"
15/01/2009 13.00,"2,28106388","25,97689088","0,36451219","23,84708977"
15/01/2009 14.00,"2,1329663","23,53819224","0,50393939","23,84708977"
15/01/2009 15.00,"1,86747439","14,5738051","0,25709453","23,84708977"
15/01/2009 16.00,"2,14380346","32,99190416","0,62606634","23,84708977"
15/01/2009 17.00,"2,89512746","54,19263816","2,06045279","23,84708977"
15/01/2009 18.00,"2,32982801","38,185986","0,70368563","23,84708977"
15/01/2009 19.00,"2,67659348","51,21662928","1,11651503","23,84708977"
15/01/2009 20.00,"2,52488353","42,66234128","1,07635282","23,84708977"
15/01/2009 21.00,"2,03905144","27,46945544","0,43813087","23,84708977"
15/01/2009 22.00,"1,96500265","18,87105186","0,58003486","23,84708977"
15/01/2009 23.00,"2,16547573","15,3940531","0,34706049","23,84708977"
16/01/2009 0.00,"1,9216571","17,49800642","0,36855125","23,84708977"
16/01/2009 1.00,,"11,62892549","0,35254764","16,06023026"
16/01/2009 2.00,"2,06433609",,"0,420565","16,06023026"
16/01/2009 3.00,"2,08600938","5,35112587",,"16,06023026"
16/01/2009 4.00,"2,06614229","3,38744642","0,33395657","16,06023026"
16/01/2009 5.00,"2,00473583","9,10457307","0,40831736","16,06023026"
16/01/2009 6.00,"2,09142694","13,37197161","0,3881349","16,06023026"
16/01/2009 7.00,"2,15825198","14,34018929","0,3162544","16,06023026"
16/01/2009 8.00,"2,17450669","14,30774074","0,32674522","16,06023026"
16/01/2009 9.00,"2,33524659","21,58489304","0,51564415","16,06023026"
16/01/2009 10.00,"1,9920935","11,73665522","0,61659722","16,06023026"
16/01/2009 11.00,"2,19437276","12,23374271","0,60644891","16,06023026"
16/01/2009 12.00,"2,29731859","6,54516987","0,494659","16,06023026"
16/01/2009 13.00,"2,14922102","5,0162754","0,4805427","16,06023026"
16/01/2009 14.00,"1,80787412","6,00914832","0,45532161","16,06023026"
16/01/2009 15.00,"1,86566819","5,66131919","0,39076663","16,06023026"
16/01/2009 16.00,"1,98306356","6,32323256","0,42872932","16,06023026"
16/01/2009 17.00,"1,99570588","16,07673652","0,53906997","16,06023026"
16/01/2009 18.00,"2,34427653","17,34086297","0,69847342","16,06023026"
16/01/2009 19.00,"2,24855547","15,14357154","0,60610523","16,06023026"
16/01/2009 20.00,"1,95597169","13,6730791","0,4940101","16,06023026"
16/01/2009 21.00,"2,044469","17,41224749","0,33704732","16,06023026"
16/01/2009 22.00,"2,31718568","13,77950676","0,41922991","16,06023026"
16/01/2009 23.00,"2,07878461","10,11431748","0,49297907","16,06023026"
17/01/2009 0.00,"2,25036065","9,56272269","0,39553614","16,06023026"
17/01/2009 1.00,"1,93249323","7,48223342","0,58370811","26,0975399"
17/01/2009 2.00,"1,90720858","5,16034078","0,61438489","26,0975399"
17/01/2009 3.00,"1,93249323","5,66521202","0,61594832","26,0975399"
17/01/2009 4.00,"1,93610561","5,2524877","0,5805428","26,0975399"
17/01/2009 5.00,"2,18353663","5,84691321","0,60060993","26,0975399"
17/01/2009 6.00,"2,19798515","6,87872401","0,56955452","26,0975399"
17/01/2009 7.00,"1,91804471","7,43940271","0,61362181","26,0975399"
17/01/2009 8.00,"1,96500265","8,25965836","0,65497931","26,0975399"
17/01/2009 9.00,"2,12754875","9,99750958","0,64257905","26,0975399"
17/01/2009 10.00,"1,94874794","8,99295625","0,58904963","26,0975399"
17/01/2009 11.00,"2,17450669","8,16491302","0,50518827","26,0975399"
17/01/2009 12.00,"1,79884418","11,0539737","0,4122469","26,0975399"
17/01/2009 13.00,"2,26481018","10,77752336","0,45261415","26,0975399"
17/01/2009 14.00,"1,99931725","15,39276058","0,50633463","26,0975399"
17/01/2009 15.00,"2,15463959","10,26616278","0,46600583","26,0975399"
17/01/2009 16.00,"2,082397","11,40959041","0,60442647","26,0975399"
17/01/2009 17.00,"2,22507599","14,63609806","0,7323924","26,0975399"
17/01/2009 18.00,"2,55739295","38,46890464","1,11903959","26,0975399"
17/01/2009 19.00,"2,48515035","32,94905624","1,02159549","26,0975399"
17/01/2009 20.00,"2,31537949","21,89509592","0,63422367","26,0975399"
17/01/2009 21.00,"2,47070183","22,54660992","0,63414795","26,0975399"
17/01/2009 22.00,"2,0282153","16,70490691","0,89244592","26,0975399"
17/01/2009 23.00,"2,30634955","19,69650624","0,7040829","26,0975399"
18/01/2009 0.00,"2,10768165","22,04174632","0,76825692","26,0975399"
18/01/2009 1.00,,"24,03529312","0,91095078","27,70479012"
18/01/2009 2.00,"2,07878461",,"0,76932523","27,70479012"
18/01/2009 3.00,"2,00654202","24,94508008",,"27,70479012"
18/01/2009 4.00,"2,17631288","9,15778594","0,71509448","27,70479012"
18/01/2009 5.00,"2,04266281","12,50758891","0,57644433","27,70479012"
18/01/2009 6.00,"2,03182667","17,8626057","0,39175455","27,70479012"
18/01/2009 7.00,"2,06975467","18,91648098","0,47771757","27,70479012"
18/01/2009 8.00,"2,21243367","20,26236264","0,78069796","27,70479012"
18/01/2009 9.00,"2,19798515","25,30459344","0,99931021","27,70479012"
18/01/2009 10.00,"2,00654202","20,37788568","0,73165728","27,70479012"
18/01/2009 11.00,"2,05169377","19,0436787","0,37633228","27,70479012"
