NetC,Regione Puglia,,,
Stat,Capitaneria di Porto,,,
Parm,SO2,NOX,NO,NO2



31/01/2006 2.00,1,97,2,95
31/01/2006 3.00,2,85,1,83
31/01/2006 4.00,2,78,"0,0844855",77
31/01/2006 5.00,1,78,"0,16896975",78
31/01/2006 6.00,1,99,4,93
31/01/2006 7.00,2,171,25,133
31/01/2006 8.00,2,341,112,169
31/01/2006 9.00,3,525,225,180
31/01/2006 10.00,2,335,109,168
31/01/2006 11.00,2,122,8,112
31/01/2006 12.00,2,62,0.00,66
31/01/2006 13.00,2,55,0.00,60
31/01/2006 14.00,2,77,"0,01267326",79
31/01/2006 15.00,2,88,1,88
31/01/2006 16.00,2,111,2,109
31/01/2006 17.00,2,118,2,115
31/01/2006 18.00,2,95,"0,77726134",95
31/01/2006 19.00,2,111,1,109
31/01/2006 20.00,2,87,"0,19431502",87
31/01/2006 21.00,2,112,2,109
31/01/2006 22.00,2,111,2,108
31/01/2006 23.00,2,67,"0,00844843",70
01/02/2006 0.00,2,84,"0,09293392",84
01/02/2006 1.00,,79,"0,29569737",80
01/02/2006 2.00,1,,,
01/02/2006 3.00,"0,92849659",37,0.00,42
01/02/2006 4.00,"0,92129115",34,0.00,39
01/02/2006 5.00,"0,86954009",28,0.00,32
01/02/2006 6.00,"0,98492179",37,0.00,41
01/02/2006 7.00,"0,88698062",61,"0,06336381",63
01/02/2006 8.00,1,76,"0,21543671",77
01/02/2006 9.00,1,77,"0,51958126",77
01/02/2006 10.00,1,92,2,89
01/02/2006 11.00,1,81,"0,22388513",81
01/02/2006 12.00,1,89,"0,44776902",88
01/02/2006 13.00,1,91,"0,22810872",91
01/02/2006 14.00,1,106,2,104
01/02/2006 15.00,1,100,"0,66320697",99
01/02/2006 16.00,1,115,3,110
01/02/2006 17.00,1,190,18,163
01/02/2006 18.00,1,179,14,158
01/02/2006 19.00,2,263,59,172
01/02/2006 20.00,2,312,86,181
01/02/2006 21.00,1,200,25,162
01/02/2006 22.00,1,109,"0,35061276",109
01/02/2006 23.00,1,86,"0,01267326",88
02/02/2006 0.00,1,153,15,130
02/02/2006 1.00,1,240,60,148
02/02/2006 2.00,"0,91983785",131,5,124
02/02/2006 3.00,"0,96761346",125,6,116
02/02/2006 4.00,"0,94417873",113,5,105
02/02/2006 5.00,1,115,7,104
02/02/2006 6.00,1,164,34,112
02/02/2006 7.00,2,301,106,138
02/02/2006 8.00,3,512,230,158
02/02/2006 9.00,3,728,361,174
02/02/2006 10.00,2,555,241,184
02/02/2006 11.00,2,211,48,137
02/02/2006 12.00,2,162,19,132
02/02/2006 13.00,2,176,20,145
02/02/2006 14.00,2,128,4,121
02/02/2006 15.00,1,125,4,118
02/02/2006 16.00,1,123,4,118
02/02/2006 17.00,1,121,3,116
02/02/2006 18.00,1,140,7,129
02/02/2006 19.00,1,244,46,174
02/02/2006 20.00,3,470,184,188
02/02/2006 21.00,2,457,178,184
02/02/2006 22.00,2,357,118,175
02/02/2006 23.00,1,299,81,175
03/02/2006 0.00,1,221,35,168
03/02/2006 1.00,,201,34,149
03/02/2006 2.00,1,,,
03/02/2006 3.00,1,159,30,113
03/02/2006 4.00,1,118,12,100
03/02/2006 5.00,1,98,5,90
03/02/2006 6.00,1,111,10,95
03/02/2006 7.00,1,227,65,127
03/02/2006 8.00,2,382,151,150
03/02/2006 9.00,3,634,299,176
03/02/2006 10.00,2,539,239,172
03/02/2006 11.00,1,284,100,131
03/02/2006 12.00,1,172,29,127
03/02/2006 13.00,1,159,14,138
03/02/2006 14.00,1,166,12,148
03/02/2006 15.00,1,158,8,146
03/02/2006 16.00,1,140,4,134
03/02/2006 17.00,1,111,"0,21121187",111
03/02/2006 18.00,1,121,2,118
03/02/2006 19.00,1,147,6,138
03/02/2006 20.00,2,343,103,184
03/02/2006 21.00,2,407,141,191
03/02/2006 22.00,1,266,62,170
03/02/2006 23.00,1,262,58,174
04/02/2006 0.00,1,248,53,167
04/02/2006 1.00,1,176,22,143
04/02/2006 2.00,"0,97625796",123,6,114
04/02/2006 3.00,1,126,6,116
04/02/2006 4.00,"0,92171422",97,4,92
04/02/2006 5.00,1,85,4,78
04/02/2006 6.00,"0,93338328",96,8,84
04/02/2006 7.00,1,101,9,87
04/02/2006 8.00,1,135,24,99
04/02/2006 9.00,2,318,127,123
04/02/2006 10.00,2,356,141,139
04/02/2006 11.00,2,230,55,145
04/02/2006 12.00,1,170,29,125
04/02/2006 13.00,1,161,25,122
04/02/2006 14.00,1,155,18,128
04/02/2006 15.00,1,144,9,130
04/02/2006 16.00,"0,99999576",128,4,123
04/02/2006 17.00,1,121,"0,2872477",121
04/02/2006 18.00,1,168,10,153
04/02/2006 19.00,2,278,51,200
04/02/2006 20.00,1,206,24,170
04/02/2006 21.00,2,240,37,183
04/02/2006 22.00,2,312,69,206
04/02/2006 23.00,1,265,53,183
05/02/2006 0.00,1,247,56,161
05/02/2006 1.00,,145,8,133
05/02/2006 2.00,1,,,
05/02/2006 3.00,1,103,"0,64208529",103
05/02/2006 4.00,1,86,"0,52802968",86
05/02/2006 5.00,1,94,"0,62518844",93
05/02/2006 6.00,1,90,"0,46466712",90
05/02/2006 7.00,1,91,"0,01689685",91
05/02/2006 8.00,1,89,"0,03379495",89
05/02/2006 9.00,1,122,3,118
05/02/2006 10.00,1,140,4,134
05/02/2006 11.00,1,143,6,135
05/02/2006 12.00,1,177,15,154
05/02/2006 13.00,1,182,17,156
05/02/2006 14.00,1,134,6,126
05/02/2006 15.00,1,63,0.00,67
05/02/2006 16.00,1,53,0.00,57
05/02/2006 17.00,1,64,0.00,68
05/02/2006 18.00,1,62,0.00,65
05/02/2006 19.00,1,79,0.00,80
05/02/2006 20.00,1,80,"0,00844843",82
05/02/2006 21.00,1,67,0.00,70
05/02/2006 22.00,1,69,0.00,72
05/02/2006 23.00,1,70,0.00,72
06/02/2006 0.00,1,83,"0,00844843",85
06/02/2006 1.00,2,61,0.00,65
06/02/2006 2.00,2,54,0.00,58
06/02/2006 3.00,2,56,0.00,60
06/02/2006 4.00,2,46,0.00,50
06/02/2006 5.00,2,30,0.00,35
06/02/2006 6.00,2,45,0.00,50
06/02/2006 7.00,2,71,0.00,75
06/02/2006 8.00,2,102,"0,40975173",101
06/02/2006 9.00,2,121,2,119
06/02/2006 10.00,2,122,2,119
06/02/2006 11.00,3,141,4,135
06/02/2006 12.00,4,197,16,172
06/02/2006 13.00,4,155,6,146
06/02/2006 14.00,4,103,"0,07603583",103
06/02/2006 15.00,3,75,"0,67587899",77
06/02/2006 16.00,2,132,3,128
06/02/2006 17.00,2,97,"0,52802968",98
06/02/2006 18.00,2,120,1,118
06/02/2006 19.00,2,126,2,123
06/02/2006 20.00,2,111,"0,40130331",110
06/02/2006 21.00,2,130,3,126
06/02/2006 22.00,3,134,2,131
06/02/2006 23.00,2,107,"0,12250279",108
07/02/2006 0.00,2,74,0.00,78
07/02/2006 1.00,,58,0.00,63
07/02/2006 2.00,2,,,
07/02/2006 3.00,2,48,0.00,53
07/02/2006 4.00,3,53,0.00,58
07/02/2006 5.00,3,47,0.00,51
07/02/2006 6.00,2,54,0.00,58
07/02/2006 7.00,2,64,"0,05069055",67
07/02/2006 8.00,2,88,"0,1858666",89
07/02/2006 9.00,2,144,12,126
07/02/2006 10.00,3,147,5,139
07/02/2006 11.00,3,112,"0,93778266",111
07/02/2006 12.00,3,104,"0,45199386",104
07/02/2006 13.00,3,96,"0,42242499",96
07/02/2006 14.00,3,82,0.00,84
07/02/2006 15.00,2,57,0.00,61
07/02/2006 16.00,2,60,0.00,64
07/02/2006 17.00,2,62,0.00,66
07/02/2006 18.00,2,74,"0,00844843",77
07/02/2006 19.00,2,61,0.00,65
07/02/2006 20.00,2,48,0.00,52
07/02/2006 21.00,2,58,0.00,62
07/02/2006 22.00,2,77,0.00,81
07/02/2006 23.00,2,48,0.00,53
08/02/2006 0.00,1,52,0.00,57
08/02/2006 1.00,2,45,0.00,49
08/02/2006 2.00,1,37,0.00,42
08/02/2006 3.00,1,24,0.00,29
08/02/2006 4.00,1,24,0.00,29
08/02/2006 5.00,2,22,0.00,27
08/02/2006 6.00,2,45,"0,04224213",48
08/02/2006 7.00,2,57,0.00,61
08/02/2006 8.00,2,91,4,86
08/02/2006 9.00,2,201,37,144
08/02/2006 10.00,2,175,20,145
08/02/2006 11.00,2,117,3,112
08/02/2006 12.00,2,88,"0,22810872",88
08/02/2006 13.00,3,88,"0,22810872",90
08/02/2006 14.00,3,83,"0,00422484",86
08/02/2006 15.00,3,103,"0,18164301",103
08/02/2006 16.00,2,115,"0,37173319",114
08/02/2006 17.00,2,99,0.00,100
08/02/2006 18.00,2,121,2,118
08/02/2006 19.00,2,234,31,187
08/02/2006 20.00,3,400,123,211
08/02/2006 21.00,3,482,185,199
08/02/2006 22.00,2,439,165,187
08/02/2006 23.00,2,212,39,152
09/02/2006 0.00,2,149,9,135
09/02/2006 1.00,,113,2,109
09/02/2006 2.00,1,,,
09/02/2006 3.00,1,78,"0,35905993",78
09/02/2006 4.00,1,79,"0,51113408",79
09/02/2006 5.00,1,59,"0,00844843",62
09/02/2006 6.00,1,37,0.00,42
09/02/2006 7.00,1,46,0.00,51
09/02/2006 8.00,1,87,"0,38018162",88
09/02/2006 9.00,1,167,15,144
09/02/2006 10.00,2,176,19,146
09/02/2006 11.00,1,101,"0,97580119",99
09/02/2006 12.00,1,114,3,109
09/02/2006 13.00,1,76,"0,21121187",77
09/02/2006 14.00,1,82,"0,27457568",82
09/02/2006 15.00,1,70,"0,07603583",73
09/02/2006 16.00,2,90,"0,59139349",90
09/02/2006 17.00,1,96,"0,61251518",96
09/02/2006 18.00,1,132,4,126
09/02/2006 19.00,1,214,24,177
09/02/2006 20.00,1,221,28,179
09/02/2006 21.00,2,236,35,183
09/02/2006 22.00,2,215,23,179
09/02/2006 23.00,1,230,36,175
10/02/2006 0.00,2,323,95,177
10/02/2006 1.00,1,242,55,157
10/02/2006 2.00,1,176,28,133
10/02/2006 3.00,1,116,7,104
10/02/2006 4.00,1,91,3,86
10/02/2006 5.00,1,85,3,81
10/02/2006 6.00,1,106,8,95
10/02/2006 7.00,2,170,31,123
10/02/2006 8.00,2,261,71,152
10/02/2006 9.00,4,617,281,187
10/02/2006 10.00,2,438,161,191
10/02/2006 11.00,1,149,10,133
10/02/2006 12.00,2,102,"0,81527987",101
10/02/2006 13.00,1,81,"0,00844843",84
10/02/2006 14.00,1,123,2,119
10/02/2006 15.00,1,93,"0,05069055",94
10/02/2006 16.00,1,94,"0,04646571",95
10/02/2006 17.00,1,93,"0,12250279",94
10/02/2006 18.00,1,109,"0,35483634",109
10/02/2006 19.00,1,122,"0,57027305",122
10/02/2006 20.00,1,103,"0,08870909",104
10/02/2006 21.00,1,169,10,153
10/02/2006 22.00,1,192,16,167
10/02/2006 23.00,1,208,22,174
11/02/2006 0.00,1,166,7,156
11/02/2006 1.00,,148,6,138
11/02/2006 2.00,2,,,
11/02/2006 3.00,2,105,2,102
11/02/2006 4.00,2,81,"0,13517605",81
11/02/2006 5.00,2,76,0.00,79
11/02/2006 6.00,2,104,2,102
11/02/2006 7.00,2,111,1,110
11/02/2006 8.00,2,104,"0,69700067",105
11/02/2006 9.00,2,131,2,128
11/02/2006 10.00,2,86,"0,1858666",88
11/02/2006 11.00,2,85,"0,27035209",86
11/02/2006 12.00,2,104,"0,23233356",104
11/02/2006 13.00,2,88,"0,02534528",90
11/02/2006 14.00,2,79,0.00,81
11/02/2006 15.00,2,65,"0,00844843",69
11/02/2006 16.00,2,86,"0,49846082",87
11/02/2006 17.00,2,132,3,128
11/02/2006 18.00,2,103,"0,38018162",103
11/02/2006 19.00,2,110,"0,6209636",109
11/02/2006 20.00,2,108,"0,98424837",107
11/02/2006 21.00,2,172,12,154
11/02/2006 22.00,2,269,56,183
11/02/2006 23.00,2,165,16,142
12/02/2006 0.00,2,120,3,115
12/02/2006 1.00,2,100,"0,76036324",99
12/02/2006 2.00,2,98,"0,70122426",98
12/02/2006 3.00,2,114,3,109
12/02/2006 4.00,2,122,4,117
12/02/2006 5.00,2,57,0.00,62
12/02/2006 6.00,2,73,"0,1858666",75
12/02/2006 7.00,2,79,0.00,80
12/02/2006 8.00,2,86,"0,05913898",86
12/02/2006 9.00,2,122,4,116
12/02/2006 10.00,2,90,"0,70967269",90
12/02/2006 11.00,2,81,"0,18164301",82
12/02/2006 12.00,3,102,1,100
12/02/2006 13.00,3,123,3,118
12/02/2006 14.00,3,111,1,110
12/02/2006 15.00,2,53,0.00,57
12/02/2006 16.00,2,44,0.00,48
12/02/2006 17.00,2,60,0.00,64
12/02/2006 18.00,2,99,"0,1520729",99
12/02/2006 19.00,2,127,2,125
12/02/2006 20.00,2,121,1,119
12/02/2006 21.00,2,107,"0,61674001",106
12/02/2006 22.00,2,128,"0,93778266",127
12/02/2006 23.00,2,116,"0,2196603",116
13/02/2006 0.00,2,100,"0,2196603",101
13/02/2006 1.00,,92,"0,16896975",93
13/02/2006 2.00,2,,,
13/02/2006 3.00,2,60,0.00,63
13/02/2006 4.00,2,62,0.00,66
13/02/2006 5.00,2,63,0.00,67
13/02/2006 6.00,2,80,"0,62518844",80
13/02/2006 7.00,2,169,20,139
13/02/2006 8.00,3,295,78,175
13/02/2006 9.00,3,476,175,207
13/02/2006 10.00,2,200,27,159
13/02/2006 11.00,2,114,1,112
13/02/2006 12.00,2,117,2,114
13/02/2006 13.00,2,131,3,127
13/02/2006 14.00,2,104,"0,27457568",104
13/02/2006 15.00,2,107,"0,50268565",108
13/02/2006 16.00,2,71,0.00,75
13/02/2006 17.00,2,,,
13/02/2006 18.00,2,,,
13/02/2006 19.00,2,67,2,64
13/02/2006 20.00,2,74,2,70
13/02/2006 21.00,2,82,3,78
13/02/2006 22.00,2,135,6,125
13/02/2006 23.00,2,137,7,127
14/02/2006 0.00,2,190,24,154
14/02/2006 1.00,2,96,3,91
14/02/2006 2.00,2,69,3,64
14/02/2006 3.00,2,50,2,47
14/02/2006 4.00,2,37,1,35
14/02/2006 5.00,2,28,1,27
14/02/2006 6.00,2,40,2,38
14/02/2006 7.00,2,90,6,81
14/02/2006 8.00,2,194,36,140
14/02/2006 9.00,2,275,73,163
14/02/2006 10.00,2,112,6,103
14/02/2006 11.00,2,81,3,77
14/02/2006 12.00,2,83,3,78
14/02/2006 13.00,2,75,3,71
14/02/2006 14.00,2,71,2,67
14/02/2006 15.00,2,68,2,65
14/02/2006 16.00,2,56,1,54
14/02/2006 17.00,2,72,2,69
14/02/2006 18.00,2,141,8,129
14/02/2006 19.00,2,209,20,178
14/02/2006 20.00,2,239,34,187
14/02/2006 21.00,2,216,30,170
14/02/2006 22.00,2,269,64,171
14/02/2006 23.00,2,263,61,169
15/02/2006 0.00,2,222,39,162
15/02/2006 1.00,,162,15,139
15/02/2006 2.00,1,,,
15/02/2006 3.00,1,,,
15/02/2006 4.00,1,,,
15/02/2006 5.00,1,,,
15/02/2006 6.00,1,,,
15/02/2006 7.00,1,,,
15/02/2006 8.00,2,,,
15/02/2006 9.00,3,,,
15/02/2006 10.00,2,,,
15/02/2006 11.00,2,,,
15/02/2006 12.00,2,,,
15/02/2006 13.00,2,,,
15/02/2006 14.00,2,,,
15/02/2006 15.00,1,,,
15/02/2006 16.00,2,,,
15/02/2006 17.00,2,,,
15/02/2006 18.00,1,,,
15/02/2006 19.00,2,,,
15/02/2006 20.00,4,,,
15/02/2006 21.00,2,,,
15/02/2006 22.00,2,,,
15/02/2006 23.00,2,,,
16/02/2006 0.00,1,,,
16/02/2006 1.00,1,,,
16/02/2006 2.00,2,,,
16/02/2006 3.00,2,,,
16/02/2006 4.00,1,,,
16/02/2006 5.00,1,,,
16/02/2006 6.00,1,,,
16/02/2006 7.00,1,,,
16/02/2006 8.00,2,,,
16/02/2006 9.00,2,,,
16/02/2006 10.00,1,,,
16/02/2006 11.00,1,188,28,146
16/02/2006 12.00,1,112,8,100
16/02/2006 13.00,1,33,"0,57449789",32
16/02/2006 14.00,"0,90545951",43,"0,89554053",41
16/02/2006 15.00,"0,93148352",31,"0,31259422",31
16/02/2006 16.00,1,27,"0,33793949",27
16/02/2006 17.00,"0,9927476",31,"0,34638792",31
16/02/2006 18.00,"0,92173761",32,"0,37173319",31
16/02/2006 19.00,1,40,"0,68432741",39
16/02/2006 20.00,1,85,4,79
16/02/2006 21.00,1,131,8,119
16/02/2006 22.00,1,188,25,150
16/02/2006 23.00,"0,96787687",100,4,94
17/02/2006 0.00,"0,90464489",95,4,89
17/02/2006 1.00,,80,3,75
17/02/2006 2.00,"0,93744518",,,
17/02/2006 3.00,"0,89204426",28,2,26
17/02/2006 4.00,"0,89449116",50,2,46
17/02/2006 5.00,"0,95401617",18,"0,55759979",18
17/02/2006 6.00,"0,91461861",28,"0,79838177",27
17/02/2006 7.00,"0,90273802",55,4,50
17/02/2006 8.00,1,212,43,147
17/02/2006 9.00,1,207,36,152
17/02/2006 10.00,"0,99816923",102,5,95
17/02/2006 11.00,"0,92363635",67,3,63
17/02/2006 12.00,"0,91625801",37,2,34
17/02/2006 13.00,"0,87465356",45,2,42
17/02/2006 14.00,"0,86167664",33,2,30
17/02/2006 15.00,"0,7654003",29,1,27
17/02/2006 16.00,"0,96331054",27,2,24
17/02/2006 17.00,"0,83487666",32,2,29
17/02/2006 18.00,"0,72576273",43,2,41
17/02/2006 19.00,"0,7979504",45,2,42
17/02/2006 20.00,"0,76662477",56,2,52
17/02/2006 21.00,1,129,18,102
17/02/2006 22.00,1,194,32,145
17/02/2006 23.00,"0,87235819",163,22,129
18/02/2006 0.00,"0,89722791",78,5,71
18/02/2006 1.00,"0,820121",26,2,22
18/02/2006 2.00,"0,82217636",61,3,56
18/02/2006 3.00,"0,78825229",63,3,58
18/02/2006 4.00,"0,93184557",66,4,60
18/02/2006 5.00,"0,85334029",73,6,64
18/02/2006 6.00,"0,81860771",74,5,67
18/02/2006 7.00,"0,90749351",78,4,73
18/02/2006 8.00,2,192,44,125
18/02/2006 9.00,1,211,50,134
18/02/2006 10.00,1,111,12,92
18/02/2006 11.00,"0,9073674",60,3,56
18/02/2006 12.00,1,96,5,88
18/02/2006 13.00,2,143,11,126
18/02/2006 14.00,2,108,5,101
18/02/2006 15.00,2,97,4,92
18/02/2006 16.00,3,89,3,85
18/02/2006 17.00,3,82,2,78
18/02/2006 18.00,1,116,4,109
18/02/2006 19.00,"0,85852394",74,2,71
18/02/2006 20.00,1,140,16,115
18/02/2006 21.00,1,145,13,125
18/02/2006 22.00,1,212,43,146
18/02/2006 23.00,1,245,58,155
19/02/2006 0.00,1,235,52,156
19/02/2006 1.00,,207,36,152
19/02/2006 2.00,1,,,
19/02/2006 3.00,1,107,8,95
19/02/2006 4.00,1,93,7,83
19/02/2006 5.00,1,87,5,79
19/02/2006 6.00,1,86,9,72
19/02/2006 7.00,2,126,22,91
19/02/2006 8.00,1,90,8,78
19/02/2006 9.00,1,89,8,77
19/02/2006 10.00,1,95,11,79
19/02/2006 11.00,1,59,5,51
19/02/2006 12.00,1,78,7,67
19/02/2006 13.00,1,91,7,80
19/02/2006 14.00,1,69,5,60
19/02/2006 15.00,1,64,5,57
19/02/2006 16.00,1,70,5,63
19/02/2006 17.00,1,74,4,67
19/02/2006 18.00,1,85,5,77
19/02/2006 19.00,1,109,6,100
19/02/2006 20.00,2,151,16,126
19/02/2006 21.00,2,345,105,184
19/02/2006 22.00,1,218,43,153
19/02/2006 23.00,1,125,8,114
20/02/2006 0.00,1,132,10,117
20/02/2006 1.00,1,144,13,125
20/02/2006 2.00,1,112,8,100
20/02/2006 3.00,1,82,5,75
20/02/2006 4.00,1,76,4,70
20/02/2006 5.00,1,82,6,74
20/02/2006 6.00,1,94,7,83
20/02/2006 7.00,2,186,38,128
20/02/2006 8.00,3,466,198,163
20/02/2006 9.00,2,390,144,168
20/02/2006 10.00,2,175,27,133
20/02/2006 11.00,1,91,4,85
20/02/2006 12.00,1,73,4,67
20/02/2006 13.00,2,79,3,73
20/02/2006 14.00,2,95,4,90
20/02/2006 15.00,1,38,"0,75613965",37
20/02/2006 16.00,1,47,2,44
20/02/2006 17.00,2,67,3,63
20/02/2006 18.00,2,83,6,75
20/02/2006 19.00,2,99,7,87
20/02/2006 20.00,2,111,9,97
20/02/2006 21.00,2,224,54,141
20/02/2006 22.00,1,159,20,129
20/02/2006 23.00,1,73,4,67
21/02/2006 0.00,1,81,5,74
21/02/2006 1.00,,70,5,62
21/02/2006 2.00,1,,,
21/02/2006 3.00,1,78,11,62
21/02/2006 4.00,1,77,10,61
21/02/2006 5.00,1,80,10,65
21/02/2006 6.00,1,99,12,81
21/02/2006 7.00,1,143,23,108
21/02/2006 8.00,2,245,77,127
21/02/2006 9.00,2,225,59,135
21/02/2006 10.00,2,263,79,142
21/02/2006 11.00,2,181,39,121
21/02/2006 12.00,1,97,9,84
21/02/2006 13.00,1,89,7,78
21/02/2006 14.00,1,72,5,64
21/02/2006 15.00,1,71,6,62
21/02/2006 16.00,"0,98272303",55,5,48
21/02/2006 17.00,1,22,3,18
21/02/2006 18.00,1,36,4,30
21/02/2006 19.00,1,92,8,81
21/02/2006 20.00,1,117,12,99
21/02/2006 21.00,1,98,11,82
21/02/2006 22.00,1,193,35,139
21/02/2006 23.00,2,213,46,142
22/02/2006 0.00,1,172,30,126
22/02/2006 1.00,1,113,14,92
22/02/2006 2.00,1,73,7,62
22/02/2006 3.00,1,74,8,61
22/02/2006 4.00,2,73,9,60
22/02/2006 5.00,1,75,11,58
22/02/2006 6.00,1,73,9,59
22/02/2006 7.00,2,145,30,99
22/02/2006 8.00,2,208,61,114
22/02/2006 9.00,3,482,234,122
22/02/2006 10.00,3,444,200,137
22/02/2006 11.00,2,187,56,100
22/02/2006 12.00,2,88,12,70
22/02/2006 13.00,2,67,7,56
22/02/2006 14.00,1,59,7,49
22/02/2006 15.00,1,67,7,56
22/02/2006 16.00,1,56,10,40
22/02/2006 17.00,1,37,8,25
22/02/2006 18.00,1,76,15,53
22/02/2006 19.00,2,6,2,3
22/02/2006 20.00,2,118,39,59
22/02/2006 21.00,2,140,49,65
22/02/2006 22.00,2,180,73,68
22/02/2006 23.00,2,141,51,63
23/02/2006 0.00,1,75,15,52
23/02/2006 1.00,,48,4,43
23/02/2006 2.00,1,34,"0,15629649",34
23/02/2006 3.00,1,29,0.00,29
23/02/2006 4.00,1,26,"0,00422484",26
23/02/2006 5.00,1,26,0.00,26
23/02/2006 6.00,1,37,3,33
23/02/2006 7.00,1,35,1,33
23/02/2006 8.00,"0,97513418",35,"0,02534528",35
23/02/2006 9.00,1,34,"0,30836938",34
23/02/2006 10.00,1,50,9,37
23/02/2006 11.00,2,79,23,43
23/02/2006 12.00,2,82,20,51
23/02/2006 13.00,1,64,8,52
23/02/2006 14.00,1,45,1,44
23/02/2006 15.00,1,38,"0,38018162",38
23/02/2006 16.00,"0,86886276",28,0.00,29
23/02/2006 17.00,"0,95268492",27,0.00,27
23/02/2006 18.00,"0,9399175",28,0.00,28
23/02/2006 19.00,"0,9580618",28,0.00,28
23/02/2006 20.00,"0,91455556",28,0.00,29
23/02/2006 21.00,"0,89948362",28,0.00,29
23/02/2006 22.00,"0,82058781",25,0.00,27
23/02/2006 23.00,"0,91716416",23,0.00,25
24/02/2006 0.00,"0,7820669",21,0.00,24
24/02/2006 1.00,"0,81960132",19,0.00,24
24/02/2006 2.00,"0,73524218",19,0.00,23
24/02/2006 3.00,"0,75853148",19,0.00,23
24/02/2006 4.00,"0,82297776",19,0.00,23
24/02/2006 5.00,"0,74269171",18,0.00,22
24/02/2006 6.00,"0,80106548",19,0.00,23
24/02/2006 7.00,"0,78199367",20,0.00,24
24/02/2006 8.00,"0,77647238",25,0.00,27
24/02/2006 9.00,"0,96788907",40,2,37
24/02/2006 10.00,"0,92807759",41,"0,97580119",40
24/02/2006 11.00,"0,75977629",32,"0,07181224",32
24/02/2006 12.00,"0,99266929",44,"0,93355782",43
24/02/2006 13.00,1,60,5,52
24/02/2006 14.00,1,79,13,59
24/02/2006 15.00,"0,92107758",73,11,57
24/02/2006 16.00,"0,76693496",45,2,42
24/02/2006 17.00,"0,79890638",42,1,40
24/02/2006 18.00,"0,84435408",44,1,42
24/02/2006 19.00,"0,9186144",60,8,47
24/02/2006 20.00,1,76,16,51
24/02/2006 21.00,1,61,9,47
24/02/2006 22.00,1,76,20,45
24/02/2006 23.00,1,54,10,39
25/02/2006 0.00,"0,98966914",51,8,38
25/02/2006 1.00,,52,10,37
25/02/2006 2.00,1,28,1,26
25/02/2006 3.00,1,24,"0,43087342",24
25/02/2006 4.00,1,21,"0,00422484",21
25/02/2006 5.00,1,18,0.00,18
25/02/2006 6.00,1,15,0.00,16
25/02/2006 7.00,1,22,"0,29147253",22
25/02/2006 8.00,2,38,5,30
25/02/2006 9.00,2,46,8,33
25/02/2006 10.00,2,42,6,32
25/02/2006 11.00,1,26,"0,24500682",26
25/02/2006 12.00,1,17,"0,05069055",20
25/02/2006 13.00,1,22,"0,09293392",23
25/02/2006 14.00,1,23,"0,08026066",26
25/02/2006 15.00,1,11,0.00,16
25/02/2006 16.00,2,15,0.00,20
25/02/2006 17.00,1,23,0.00,25
25/02/2006 18.00,2,27,"0,02112169",28
25/02/2006 19.00,2,44,2,42
25/02/2006 20.00,2,33,"0,03379495",34
25/02/2006 21.00,2,26,"0,01267326",28
25/02/2006 22.00,2,37,"0,70122426",36
25/02/2006 23.00,2,50,2,46
26/02/2006 0.00,2,43,"0,87019401",42
26/02/2006 1.00,1,32,"0,00422484",32
26/02/2006 2.00,1,17,0.00,21
26/02/2006 3.00,1,23,0.00,25
26/02/2006 4.00,1,15,0.00,19
26/02/2006 5.00,1,10,0.00,14
26/02/2006 6.00,1,12,0.00,16
26/02/2006 7.00,2,16,"0,75191481",19
26/02/2006 8.00,2,14,0.00,18
26/02/2006 9.00,1,20,"0,00844843",22
26/02/2006 10.00,1,19,0.00,22
26/02/2006 11.00,2,15,0.00,19
26/02/2006 12.00,1,17,0.00,20
26/02/2006 13.00,2,19,0.00,22
26/02/2006 14.00,2,19,"0,01267326",22
26/02/2006 15.00,2,24,"0,33793949",25
26/02/2006 16.00,1,13,0.00,18
26/02/2006 17.00,1,14,0.00,18
26/02/2006 18.00,1,19,0.00,23
26/02/2006 19.00,2,33,"0,57449789",33
26/02/2006 20.00,2,57,5,50
26/02/2006 21.00,2,62,10,46
26/02/2006 22.00,2,78,16,53
26/02/2006 23.00,2,93,25,55
27/02/2006 0.00,2,96,29,51
27/02/2006 1.00,,72,14,49
27/02/2006 2.00,2,41,"0,69700067",39
27/02/2006 3.00,2,28,0.00,28
27/02/2006 4.00,2,35,2,32
27/02/2006 5.00,2,30,"0,37595803",29
27/02/2006 6.00,2,35,2,32
27/02/2006 7.00,2,63,13,43
27/02/2006 8.00,2,99,30,53
27/02/2006 9.00,2,112,33,61
27/02/2006 10.00,2,82,14,61
27/02/2006 11.00,2,73,9,59
27/02/2006 12.00,3,44,"0,21121187",44
27/02/2006 13.00,3,27,0.00,30
27/02/2006 14.00,3,27,"0,0675874",29
27/02/2006 15.00,2,45,"0,78570976",44
27/02/2006 16.00,2,37,0.00,37
27/02/2006 17.00,1,36,"0,00422484",37
27/02/2006 18.00,2,52,"0,29147253",51
27/02/2006 19.00,2,64,3,60
27/02/2006 20.00,2,54,1,52
27/02/2006 21.00,2,53,3,48
27/02/2006 22.00,2,81,20,50
27/02/2006 23.00,2,86,25,47
28/02/2006 0.00,2,127,47,54
28/02/2006 1.00,2,60,10,44
28/02/2006 2.00,1,27,"0,02534528",27
28/02/2006 3.00,2,27,"0,03379495",28
28/02/2006 4.00,2,21,0.00,23
28/02/2006 5.00,1,15,0.00,20
