,Foggia,,
,Capitaneria di Porto,,
Parm,SO2,NO2,PM10
,,,,
,,,,,
,,,,
,,,,
,,,,
14/01/2010 12.00,"5,39472633","44,36644952","29,39999962"
14/01/2010 13.00,"5,23940501","36,75573352","29,39999962"
14/01/2010 14.00,"5,06963415","34,08080728","29,39999962"
14/01/2010 15.00,"5,21231315","30,09375192","29,39999962"
14/01/2010 16.00,"5,23579262","32,67131912","29,39999962"
14/01/2010 17.00,"5,16355003","31,09701656","29,39999962"
14/01/2010 18.00,"5,32970749","30,86208912","29,39999962"
14/01/2010 19.00,"5,82457054","52,85712528","29,39999962"
14/01/2010 20.00,"5,95460822","59,86953824","29,39999962"
14/01/2010 21.00,"5,55004766","61,08044608","29,39999962"
14/01/2010 22.00,"6,20023305","72,57439584","29,39999962"
14/01/2010 23.00,"6,0647778","78,00210496","29,39999962"
15/01/2010 0.00,"6,10451199","71,04940376","29,39999962"
15/01/2010 1.00,"5,61867889","55,56837952","29,5"
15/01/2010 2.00,"5,45974518","44,60655848","29,5"
15/01/2010 3.00,"5,34776839","36,72198672","29,5"
15/01/2010 4.00,"5,26107728","27,44479064","29,5"
15/01/2010 5.00,"5,4741937","24,72965504","29,5"
15/01/2010 6.00,"5,2032832","23,784802","29,5"
15/01/2010 7.00,"5,45613279","26,62194232","29,5"
15/01/2010 8.00,"5,65480069","36,5571532","29,5"
15/01/2010 9.00,"6,2074568","53,92138272","29,5"
15/01/2010 10.00,"6,83777509","61,2699444","29,5"
15/01/2010 11.00,"7,71191202","76,23180328","29,5"
15/01/2010 12.00,"6,14966272","60,95325984","29,5"
15/01/2010 13.00,"5,66924819","41,87972144","29,5"
15/01/2010 14.00,"5,66744302","49,4579908","29,5"
15/01/2010 15.00,"5,24843495","43,03741832","29,5"
15/01/2010 16.00,"5,17438616","28,48568344","29,5"
15/01/2010 17.00,"5,24662876","27,0541308","29,5"
15/01/2010 18.00,"5,43987808","54,91944672","29,5"
15/01/2010 19.00,"5,55004766","65,15835968","29,5"
15/01/2010 20.00,"5,53198777","68,28103808","29,5"
15/01/2010 21.00,"5,28997432","61,09600976","29,5"
15/01/2010 22.00,"5,22856786","56,39124696","29,5"
15/01/2010 23.00,"5,32970749","57,50739608","29,5"
16/01/2010 0.00,"5,28275057","52,81819696","29,5"
16/01/2010 1.00,,"34,25084144","34,90000153"
16/01/2010 2.00,"7,69023975",,"34,90000153"
16/01/2010 3.00,"5,06602176","27,4707556","34,90000153"
16/01/2010 4.00,"5,02809478","15,68737875","34,90000153"
16/01/2010 5.00,"4,96488213","14,94369488","34,90000153"
16/01/2010 6.00,"5,24662876","18,33632856","34,90000153"
16/01/2010 7.00,"5,12923442","28,2546756","34,90000153"
16/01/2010 8.00,"5,77038884","45,18281616","34,90000153"
16/01/2010 9.00,"5,72704329","51,14783552","34,90000153"
16/01/2010 10.00,"6,94613949","65,79821048","34,90000153"
16/01/2010 11.00,"6,45308264","59,5982828","34,90000153"
16/01/2010 12.00,"6,00698372","49,66825344","34,90000153"
16/01/2010 13.00,"5,90584409","49,93172704","34,90000153"
16/01/2010 14.00,"5,98169907","52,12383504","34,90000153"
16/01/2010 15.00,"5,67647296","54,6442908","34,90000153"
16/01/2010 16.00,"5,25746489","36,97375888","34,90000153"
16/01/2010 17.00,"5,37305305","32,95555704","34,90000153"
16/01/2010 18.00,"5,32428993","29,64468048","34,90000153"
16/01/2010 19.00,"5,3640231","29,15928104","34,90000153"
16/01/2010 20.00,"5,30984141","31,0801336","34,90000153"
16/01/2010 21.00,"5,33873845","41,14253072","34,90000153"
16/01/2010 22.00,"5,56449719","58,47561376","34,90000153"
16/01/2010 23.00,"5,87514086","64,48346192","34,90000153"
17/01/2010 0.00,"6,46572497","75,3713268","34,90000153"
17/01/2010 1.00,"5,65118831","56,70661224","42,5"
17/01/2010 2.00,"5,58978185","51,69812824","42,5"
17/01/2010 3.00,"5,69272767","53,7474672","42,5"
17/01/2010 4.00,"5,6150665","46,85057728","42,5"
17/01/2010 5.00,"5,37486026","33,5473784","42,5"
17/01/2010 6.00,"5,39472633","27,56289488","42,5"
17/01/2010 7.00,"5,50489693","36,75703368","42,5"
17/01/2010 8.00,"5,73607323","37,23593232","42,5"
17/01/2010 9.00,"5,92390499","41,421568","42,5"
17/01/2010 10.00,"6,00878992","43,06468344","42,5"
17/01/2010 11.00,"5,96002578","37,71615024","42,5"
17/01/2010 12.00,"5,84263144","38,86606528","42,5"
17/01/2010 13.00,"5,57172095","40,87907624","42,5"
17/01/2010 14.00,"5,82095917","37,78624416","42,5"
17/01/2010 15.00,"5,59881179","40,74278888","42,5"
17/01/2010 16.00,"5,20508939","28,22481016","42,5"
17/01/2010 17.00,"5,44168427","28,06907776","42,5"
