, Brindisi,,,,,
,Via Taranto,,,,,
Parm,SO2,NOX,NO2,CO,O3,BENZENE
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,
,,,,,,,,
11/01/2007 3.00,"1,64899228","63,34421584","52,52487704","0,76293176","14,24251847","1,60686"
11/01/2007 4.00,"1,57094668","48,46921912","46,32363008","0,94359099","14,93044833","1,446174"
11/01/2007 5.00,"2,11615123","35,68493704","38,77910752","0,76941416","19,44078423","1,797039"
11/01/2007 6.00,"2,0013126","56,53252464","49,41388096","0,58475453","16,89435825","1,9521315"
11/01/2007 7.00,"2,57141738","135,04358488","70,41473448","0,91117899","11,88263097","1,524483"
11/01/2007 8.00,"4,55749125","196,3593408","95,57269664","0,99751288","12,8923284","1,635336"
11/01/2007 9.00,"4,10111047","156,8716652","81,83862856","1,0446008","15,86801853","1,1354805"
11/01/2007 10.00,"5,26213191","160,13485648","79,64001976","0,9886244","17,32569321","1,887552"
11/01/2007 11.00,"2,63311063","134,60780184","77,90476504","0,90086438","19,87975605","1,5595695"
11/01/2007 12.00,"4,43670725","72,40357776","46,20942632","0,61754379","33,39272895","0,6585075"
11/01/2007 13.00,"3,92569424","64,97322072","39,09319176","0,54500515","42,3246432","5,21466852"
11/01/2007 14.00,"3,71013906","68,78504128","39,6097568","0,52232026","54,71006205","2,071629"
11/01/2007 15.00,"5,90433588","68,6320048","44,09389392","0,54575968","58,7849094","1,8300915"
11/01/2007 16.00,"3,44255415","68,00683816","43,6201768","0,58412498","52,3092591","1,3582035"
11/01/2007 17.00,"3,18797668","83,48753736","58,55608984","0,76425744","39,0563145","1,5134994"
11/01/2007 18.00,"4,69946039","112,47881096","80,55240704","0,90442795","22,34433915","1,0438488"
11/01/2007 19.00,"2,76355817","106,5723944","75,17794712","0,89872694","19,62524193","1,4761755"
11/01/2007 20.00,"3,35707632","117,52016224","78,84961808","0,8798579","18,50321603","1,593639"
11/01/2007 21.00,"3,41579587","185,69173832","87,26761872","1,17550557","14,36456658","2,209941"
11/01/2007 22.00,"3,46373826","152,12342352","87,94639784","1,03055443","13,85834132","3,606282"
11/01/2007 23.00,"4,02789664","171,7414804","81,28183504","1,16737162","13,78275077","3,326607"
12/01/2007 0.00,"4,99194552","166,57820088","80,54332504","1,03210554","12,27929882","4,25411202"
12/01/2007 1.00,,"100,12124904","64,44323344","0,84446867","13,54350039","3,8437515"
12/01/2007 2.00,"0,27924379",,,"0,82908027","14,51228436","2,134683"
12/01/2007 3.00,"1,65669503","39,54214848","35,8926376",,"18,4033563","1,5107535"
12/01/2007 4.00,"0,60792802","25,19113536","28,40392632","0,53613186",,"1,859076"
12/01/2007 5.00,"0,46647451","31,19483448","34,9218196","0,57998909","19,552199","1,1009025"
12/01/2007 6.00,"3,20855974","52,3640396","44,45470744","0,64451525","15,79013373","1,0744605"
12/01/2007 7.00,"0,73976783","91,31736856","52,27308576","0,802416","12,89499971","1,0878849"
12/01/2007 8.00,"0,44770577","265,75366","76,09423488","1,26613886","11,70209345","2,6925075"
12/01/2007 9.00,"0,90914512","262,1522168","75,86580824","1,40642968","12,28098459","1,797039"
12/01/2007 10.00,,"127,58598184","45,2671736","1,17809269",,
12/01/2007 11.00,"0,53285207","208,3043696","88,66282424","0,86228885","15,2583186",
12/01/2007 12.00,,,,,"33,72860715",
12/01/2007 13.00,"0,47416913",,,,"54,090834",
12/01/2007 14.00,"1,5369921",,,"0,42778","46,9826091",
12/01/2007 15.00,"0,49153949","59,33656824","32,27807808","0,42942221","47,27908605",
12/01/2007 16.00,"0,45254161","62,07965728","35,13208224","0,47336237","50,12012565",
12/01/2007 17.00,"0,16527572","65,16256608","37,3774012","0,48913154","45,352734","0,81446445"
12/01/2007 18.00,"0,72672481","58,71922168","39,1074744","0,46744294","51,78020505","0,597996"
12/01/2007 19.00,"0,94990139","58,66993032","41,35539368","0,55394035","49,1408001","0,72740925"
12/01/2007 20.00,"1,45470663","57,12652568","40,15874936","0,47923858","51,0889176","0,7720047"
