Stat,TA-Paolo VI -CISI,,,,,,,
,,,,,
Parm,SO2,NOX,NO2,PM10 biorario,IPA TOT,PM10,PM2.5,CO
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,ng/m3,ug/m3,ug/m3,mg/m3 293K
,,,,,,
,,,,
,,,,
,,,,
12/01/2014 3.00,"0,9","16,7","15,5",,"8,2","25,0","21,1",
12/01/2014 4.00,"0,4","10,7","9,6","39,6","7,0","25,0","21,1","0,3"
12/01/2014 5.00,"1,2","11,9","10,9",,"8,3","25,0","21,1","0,3"
12/01/2014 6.00,"0,3","7,4","6,3","26,6","5,5","25,0","21,1","0,3"
12/01/2014 7.00,"0,5","5,8","4,2",,"3,2","25,0","21,1","0,2"
12/01/2014 8.00,"1,0","11,4","9,6","23,0","9,4","25,0","21,1","0,2"
12/01/2014 9.00,,"6,2","4,5",,"6,6","25,0","21,1","0,2"
12/01/2014 10.00,"1,3","36,0","18,5","20,8","28,0","25,0","21,1","0,4"
12/01/2014 11.00,"1,2","21,7","14,2",,"15,5","25,0","21,1","0,3"
12/01/2014 12.00,"0,6","6,8","5,2","11,2","2,9","25,0","21,1","0,2"
12/01/2014 13.00,"1,1","8,8","6,6",,"3,0","25,0","21,1","0,2"
12/01/2014 14.00,"1,2","10,9","9,0","6,8","2,3","25,0","21,1","0,3"
12/01/2014 15.00,"1,3","8,4","6,8",,"2,1","25,0","21,1","0,3"
12/01/2014 16.00,"1,3","8,4","7,4","22,5","2,4","25,0","21,1","0,2"
12/01/2014 17.00,"1,2","7,5","6,3",,"2,3","25,0","21,1","0,2"
12/01/2014 18.00,"1,1","9,3","8,3","24,4","4,4","25,0","21,1","0,3"
12/01/2014 19.00,"1,1","12,9","11,9",,"9,2","25,0","21,1","0,3"
12/01/2014 20.00,"1,0","19,2","18,2","32,2","14,7","25,0","21,1","0,4"
12/01/2014 21.00,"1,1","9,5","8,5",,"3,6","25,0","21,1","0,4"
12/01/2014 22.00,"0,8","8,1","7,0","44,0","3,5","25,0","21,1","0,4"
12/01/2014 23.00,"1,3","7,6","6,6",,"3,0","25,0","21,1","0,4"
13/01/2014 0.00,"0,7","14,4","13,2","40,8","9,4","25,0","21,1","0,4"
13/01/2014 1.00,"1,0","14,9","13,9",,"6,9","24,0","19,7","0,3"
13/01/2014 2.00,"0,6","5,9","5,0","42,0","3,1","24,0","19,7","0,3"
13/01/2014 3.00,"1,1","4,9","4,0",,"3,1","24,0","19,7","0,3"
13/01/2014 4.00,"1,1","14,8","13,8","33,9","6,7","24,0","19,7","0,3"
13/01/2014 5.00,"1,1","5,8","4,7",,"2,9","24,0","19,7","0,2"
13/01/2014 6.00,"1,1","5,3","4,4","25,4","2,0","24,0","19,7","0,2"
13/01/2014 7.00,"1,1","24,9","22,1",,"13,5","24,0","19,7","0,2"
13/01/2014 8.00,"0,6","18,1","15,1","23,0","10,5","24,0","19,7","0,2"
13/01/2014 9.00,"1,2","7,9","6,5",,"3,4","24,0","19,7","0,2"
13/01/2014 10.00,"1,3","9,2","7,1","13,7","3,7","24,0","19,7","0,2"
13/01/2014 11.00,"1,3","29,6","19,0",,"16,0","24,0","19,7","0,2"
13/01/2014 12.00,"1,4","19,1","12,8","9,0","9,9","24,0","19,7","0,2"
13/01/2014 13.00,"4,2","23,7","17,2",,"8,7","24,0","19,7","0,2"
13/01/2014 14.00,"3,3","30,5","22,7","12,5","14,4","24,0","19,7","0,2"
