"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10
20/01/2012 9.00,"21,4207096","49,5625772",
20/01/2012 10.00,"8,19281675","12,82772846","8,05860806"
20/01/2012 11.00,"2,89944666","5,38698352",
20/01/2012 12.00,"3,85143529","6,59122613","26,61782074"
20/01/2012 13.00,"7,25899786","11,1468491",
20/01/2012 14.00,"6,17397802","9,56453909","14,65200996"
20/01/2012 15.00,"16,0488347","24,9771252",
20/01/2012 16.00,"23,6621472","27,63333296","8,79120922"
20/01/2012 17.00,"12,71914215","15,69793299",
20/01/2012 18.00,"9,65811619","13,10463194","19,78022003"
20/01/2012 19.00,"16,27596118","20,5298132",
20/01/2012 20.00,"13,49850968","17,53380098","14,40781021"
20/01/2012 21.00,"9,87550868","12,32644794",
20/01/2012 22.00,"8,47250985","10,46982902","18,80340958"
20/01/2012 23.00,"2,09801083","3,61142575",
21/01/2012 0.00,"0,99676575","3,13802985","15,62880993"
21/01/2012 1.00,"1,46529753","3,59456574",
21/01/2012 2.00,"2,13500038","5,54780949","13,18680954"
21/01/2012 3.00,"1,01883023","2,64453118",
21/01/2012 4.00,"0,32122365","1,97399469","14,16361046"
21/01/2012 5.00,"0,45749954","1,51292162",
21/01/2012 6.00,"1,1745741","3,72750518","7,81440783"
21/01/2012 7.00,"4,8157544","8,64303922",
21/01/2012 8.00,"19,2441844","36,0480832","9,03540897"
21/01/2012 9.00,"31,43249608","65,97189656",
21/01/2012 10.00,"17,28310718","33,25375256","11,47741032"
21/01/2012 11.00,"22,54922936","39,0058516",
21/01/2012 12.00,"14,45439878","25,1749216","11,96580982"
21/01/2012 13.00,"11,60751491","23,04722888",
21/01/2012 14.00,"16,75227862","27,5425512","28,57142067"
21/01/2012 15.00,"15,72501456","23,5822256",
