"NetC","Provincia di TARANTO","","","","","",""
"Stat","Massafra (TA) Via Frappietro","","","","","",""
,SO2,NO2,NOX,O3,BENZENE
14/01/2012 23.00,,"23,744554","29,840142","25,103264","2,919502"
15/01/2012 0.00,,"19,210438","23,698952","29,63808","2,407392"
15/01/2012 1.00,,"12,0767","15,445668","38,410272","1,990676"
15/01/2012 2.00,,"8,102616","10,982782","48,456653","1,735765"
15/01/2012 3.00,,"5,463393","7,618429","53,96906","1,079139"
15/01/2012 4.00,,"3,594457","5,189197","52,152431","0,922673"
15/01/2012 5.00,,"5,697659","7,201452","50,024866","0,869891"
15/01/2012 6.00,,"6,118168","7,794168","46,883379","0,936657"
15/01/2012 7.00,,"8,530913","10,52884","48,008816","0,993914"
15/01/2012 8.00,,"12,713956","16,060436","43,234904","1,178398"
15/01/2012 9.00,,"11,656187","15,480689","43,190973","1,509787"
15/01/2012 10.00,,"9,910551","15,088354","52,470135","1,514059"
15/01/2012 11.00,,"10,320673","15,416488","51,541542","1,502719"
15/01/2012 12.00,,"9,588029","14,142861","48,615496","1,745782"
15/01/2012 13.00,,"9,891734","13,674004","51,903177","1,939877"
15/01/2012 14.00,,"9,766488","12,872472","52,54026","2,233281"
15/01/2012 15.00,,"7,142192","9,374532","57,012553","1,952538"
15/01/2012 16.00,,"9,623073","12,105314","55,353092","2,083985"
15/01/2012 17.00,,"15,964469","19,302212","44,605408","3,145072"
15/01/2012 18.00,,"22,69783","28,676099","37,486748","3,740577"
15/01/2012 19.00,,"26,462289","34,702474","27,934669","4,214753"
15/01/2012 20.00,,"32,028887","42,441543","21,524075","4,669454"
15/01/2012 21.00,,"31,321541","42,90067","18,260916","5,464239"
15/01/2012 22.00,,"26,825054","35,330873","22,207642","3,945757"
15/01/2012 23.00,,"19,231201","25,195016","29,74537","3,275604"
16/01/2012 0.00,,"11,421266","15,125317","39,092983","2,143022"
16/01/2012 1.00,,"6,517914","8,934858","46,798033","1,523618"
16/01/2012 2.00,,"4,951382","6,801984","48,572406","1,172855"
16/01/2012 3.00,,,,"48,526778","0,997067"
16/01/2012 4.00,,"3,985765","5,142505",,"0,990507"
16/01/2012 5.00,,"4,305042","5,275445","47,560998","0,96198"
16/01/2012 6.00,,"6,023425","7,302616","47,668311","1,060375"
16/01/2012 7.00,,"19,708818","26,73647","36,416212","1,283454"
16/01/2012 8.00,,"27,589509","40,212037","21,658418","3,005235"
16/01/2012 9.00,,"28,293603","39,688072","23,034828","2,425596"
16/01/2012 10.00,,"13,920325","20,197124","37,07949","1,930469"
16/01/2012 11.00,,"9,47252","13,094255","47,050658","1,382866"
16/01/2012 12.00,,"7,320648","10,169578","52,589278","1,305523"
