"NetC","Provincia di TARANTO","","","","",""
"Stat","MARTINA FRANCA","","","","",""
,NO2,NOX,CO,O3,PM10
08/01/2012 21.00,"22,68934","41,010314","0,326132","53,795735",
08/01/2012 22.00,"18,278808","33,16622","0,31361","53,724673","7,8125"
08/01/2012 23.00,"14,59954","25,292299","0,2702","55,448312",
09/01/2012 0.00,"14,791065","24,857815","0,276967","47,593536","14,16015"
09/01/2012 1.00,"9,48056","15,660969","0,247131","59,276559",
09/01/2012 2.00,"2,310289","5,069874","0,185737","77,875046","12,20703"
09/01/2012 3.00,"1,226422","3,429201","0,187376","75,712223",
09/01/2012 4.00,"1,274304","3,503128","0,192587","71,007614","7,324219"
09/01/2012 5.00,"2,210173","4,846794","0,177165","64,061004",
09/01/2012 6.00,"9,776555","22,765781","0,196537","52,603342","5,371094"
09/01/2012 7.00,"24,147546","50,195505","0,4169","38,551778",
09/01/2012 8.00,"42,5602","131,122815","0,698951","22,413864","7,324219"
09/01/2012 9.00,"45,669246","156,166117","0,644659","26,089851",
09/01/2012 10.00,"27,447026","70,154645","0,413286","45,093702","6,835938"
09/01/2012 11.00,"22,412941","55,872368","0,384082","54,220052",
09/01/2012 12.00,"29,906413","85,36816","0,432659","54,337795","14,16015"
09/01/2012 13.00,"27,154299","76,683609","0,441567","65,585663",
09/01/2012 14.00,"27,558018","82,309897","0,425724","65,823212","14,64843"
09/01/2012 15.00,"22,80035","61,84232","0,39051","70,934516",
09/01/2012 16.00,"27,895372","70,774609","0,464385","62,407091","8,300781"
09/01/2012 17.00,"37,970103","98,69327","0,572465","47,85137",
09/01/2012 18.00,"43,046653","114,983263","0,59003","42,893657","13,18359"
09/01/2012 19.00,"46,77597","127,889474","0,747193","35,753513",
09/01/2012 20.00,"44,137047","115,4009","0,639869","38,197187","17,08984"
09/01/2012 21.00,"37,353081","100,293749","0,562842","40,948074",
09/01/2012 22.00,"29,007545","65,246903","0,483336","49,114128","15,625"
09/01/2012 23.00,"12,39045","26,628175","0,311467","64,675484",
10/01/2012 0.00,"7,750292","18,597318","0,262091","66,162921","11,71875"
10/01/2012 1.00,"4,698927","12,277162","0,246879","67,226053",
10/01/2012 2.00,"1,414685","4,557569","0,201201","70,819486","10,74218"
10/01/2012 3.00,"0,786782","3,503128",,"72,407768",
10/01/2012 4.00,"0,043529","1,586199","0,218198",,"10,74218"
10/01/2012 5.00,"0,981573","3,341006","0,235336","68,83059",
10/01/2012 6.00,"5,560797","12,384812","0,269359","65,180322","7,324219"
10/01/2012 7.00,"20,866573","51,44318","0,515122","48,052347",
10/01/2012 8.00,"39,173687","122,089399","0,624284","31,017102","5,859375"
10/01/2012 9.00,"39,717783","119,911784","0,658941","24,299898",
10/01/2012 10.00,"30,131666","82,185386","0,520736","38,788627","12,20703"
10/01/2012 11.00,"23,592568","68,267538","0,495155","58,778486",
10/01/2012 12.00,"25,167216","71,010648","0,438295","61,132145","16,11327"
10/01/2012 13.00,"22,491296","62,882504","0,421789","64,668726",
10/01/2012 14.00,"26,964955","78,023367","0,443445","61,249892","15,625"
10/01/2012 15.00,"17,80434","44,683364","0,298064","67,623974",
10/01/2012 16.00,"23,735127","60,803453","0,335381","59,537764","9,765625"
10/01/2012 17.00,"33,88819","85,14897","0,492834","41,819011",
10/01/2012 18.00,"33,196106","83,857182","0,513181","39,638597","13,18359"
10/01/2012 19.00,"43,616868","111,009341","0,658814","29,60612",
10/01/2012 20.00,"39,776559","101,418197","0,597774","32,635169","10,74218"
10/01/2012 21.00,"44,269796","116,172603","0,601742","28,720279",
10/01/2012 22.00,"33,174327","72,621469","0,417653","36,941176","13,67187"
10/01/2012 23.00,"19,892619","35,587674","0,310855","47,029809",
11/01/2012 0.00,"15,895604","31,809599","0,302792","52,187822","12,20703"
11/01/2012 1.00,"9,575234","22,367607","0,293759","60,763988",
11/01/2012 2.00,"5,039538","10,990562","0,243568","65,30281","12,20703"
11/01/2012 3.00,"2,279817","5,173631","0,232508","63,26111",
11/01/2012 4.00,"0,383054","1,944166","0,230397","69,931613","6,835938"
11/01/2012 5.00,"2,216702","4,50958","0,188185","62,063314",
11/01/2012 6.00,"4,53896","8,683245","0,175182","60,213149","6,835938"
11/01/2012 7.00,"26,785398","56,881386","0,410814","40,05952",
11/01/2012 8.00,"42,562381","113,605876","0,578104","40,410759","6,347656"
11/01/2012 9.00,"46,223151","141,900688","0,715886","40,497365",
11/01/2012 10.00,"25,891978","73,504737","0,469236","59,14323","11,71875"
11/01/2012 11.00,"23,910323","67,549029","0,416301","66,907995",
11/01/2012 12.00,"23,781914","66,37785","0,399586","66,364595","11,71875"
11/01/2012 13.00,"25,820144","73,508617","0,453154","66,913421",
11/01/2012 14.00,"29,317689","86,918028","0,503261","65,055795","12,69531"
11/01/2012 15.00,"18,419177","48,138499","0,314865","75,01721",
11/01/2012 16.00,"22,620775","60,014905","0,397222","68,632311","10,2539"
11/01/2012 17.00,"27,880152","70,76291","0,416809","63,149451",
11/01/2012 18.00,"39,451173","99,947429","0,627451","48,874566","12,69531"
11/01/2012 19.00,"35,552091","87,255245","0,531036","51,982777",
11/01/2012 20.00,"36,555431","92,161688","0,533527","53,657002","9,277344"
11/01/2012 21.00,"34,813177","83,757302","0,533864","54,460287",
11/01/2012 22.00,"22,195299","49,209794","0,370332","66,82747","16,11327"
11/01/2012 23.00,"9,879934","21,307977","0,304143","74,512395",
12/01/2012 0.00,"8,760159","19,943575","0,286751","71,372384","16,601561"
12/01/2012 1.00,"6,560869","13,74015","0,231326","79,225801",
12/01/2012 2.00,"2,025175","5,046529","0,186623","84,223416","8,789063"
12/01/2012 3.00,"2,048027","4,889594",,"73,434355",
12/01/2012 4.00,"6,220258","10,457506","0,335672",,"6,835938"
12/01/2012 5.00,"3,456181","6,045199","0,245539","66,674518",
12/01/2012 6.00,"5,0526","9,749359","0,233888","70,052747","12,20703"
12/01/2012 7.00,"26,968204","61,457111","0,406918","44,955651",
