"NetC","ENEL Brindisi","","","","","","","","","","","","","","",""
"Stat","Terminale Passeggeri","","","","","","","","","","","","","","",""
,SO2,NO2,NOX,CO,O3,PM10,BENZENE,PM2.5
11/01/2012 21.00,,"5,874607","12,86649","0,711036","60,268233","7,7","0,278963","3,4"
11/01/2012 22.00,,"35,212004","63,360905","0,806854","38,218416","7,7","0,329661","3,4"
11/01/2012 23.00,,"15,509092","25,19863","0,814066","48,584274","7,7","0,340288","3,4"
12/01/2012 0.00,,"9,002981","16,370528","0,808435","48,7019","7,7","0,352136","3,4"
12/01/2012 1.00,,"12,672181","22,704999",,"43,589773","15,3","0,370798","10,5"
12/01/2012 2.00,,"20,055903","36,442623",,"41,838543","15,3","0,41219","10,5"
12/01/2012 3.00,"0,039868",,,,"50,575903","15,3","0,36373","10,5"
12/01/2012 4.00,"0,284824","3,811694","7,500325",,,"15,3","0,35478","10,5"
12/01/2012 5.00,"0,440887","2,522777","4,996977",,"54,053268","15,3","0,350814","10,5"
12/01/2012 6.00,"0,994923","2,160069","4,495014",,"53,37052","15,3","0,354475","10,5"
12/01/2012 7.00,"0,007543","2,836911","6,434864",,"52,310995","15,3","0,362866","10,5"
12/01/2012 8.00,"0,068962","4,125826","8,750381",,"56,570279","15,3","0,318728","10,5"
12/01/2012 9.00,,"12,643034","22,096161",,"54,143462","15,3","0,29315","10,5"
12/01/2012 10.00,"2,563666","11,53821","20,42276",,"55,494735","15,3","0,298489","10,5"
12/01/2012 11.00,,"2,078476","4,811408",,"60,359245","15,3","0,334847","10,5"
12/01/2012 12.00,,"7,370787","14,411246",,"61,158621","15,3","0,615488","10,5"
12/01/2012 13.00,"2,345607","3,293537","6,668035",,"68,118918","15,3","0,482058","10,5"
12/01/2012 14.00,"5,505501","2,594024","6,519065",,"69,90895","15,3","0,409393","10,5"
12/01/2012 15.00,"2,840966","6,049486","10,845679",,"68,465607","15,3","0,268946","10,5"
12/01/2012 16.00,"0,054285","4,967831","8,828103",,"66,746298","15,3","0,377053","10,5"
12/01/2012 17.00,"1,515482","5,18481","8,329377",,"66,695027","15,3","0,388291","10,5"
12/01/2012 18.00,"1,092503","13,860705","21,373979",,"59,000669","15,3","0,384324","10,5"
12/01/2012 19.00,"0,135716","58,765491","93,747557","0,23661","10,910065","15,3","0,627235","10,5"
12/01/2012 20.00,"0,614514","73,028917","137,654339","0,324419","3,757668","15,3","0,989032","10,5"
12/01/2012 21.00,"1,762031","44,312147","50,474982","0,131624","22,179192","15,3","0,830787","10,5"
12/01/2012 22.00,"1,327744","38,126636","41,122243","0,221567","20,66862","15,3","0,96198","10,5"
12/01/2012 23.00,"1,879652","41,948054","52,356523","0,251169","14,113394","15,3","1,073596","10,5"
13/01/2012 0.00,"2,160128","46,339442","60,005825","0,26286","7,475021","15,3","1,026407","10,5"
13/01/2012 1.00,"1,318697","46,112736","63,373852","0,315185","6,367743","31,5","1,05651","25,1"
13/01/2012 2.00,"1,345838","29,768119","33,009839","0,213458","19,297797","31,5","0,974591","25,1"
13/01/2012 3.00,"3,858825","24,029537","26,490778","0,190643","17,923427","31,5","1,019543","25,1"
13/01/2012 4.00,"1,090243","25,716782","29,08804","0,229391","15,710635","31,5","1,042018","25,1"
13/01/2012 5.00,"3,849778","31,309648","37,083852","0,292464","7,35828","31,5","0,999711","25,1"
13/01/2012 6.00,"0,470478","27,867131","31,753309","0,197438","13,833921","31,5","1,01222","25,1"
13/01/2012 7.00,"3,313704","33,181478","43,424806",,"14,930588","31,5","1,406613","25,1"
13/01/2012 8.00,"1,868342","32,679522","39,677861",,"26,772799","31,5","2,302691","25,1"
13/01/2012 9.00,"1,24179","44,895078","56,210332",,"23,1662","31,5","3,616045","25,1"
13/01/2012 10.00,"2,50603","33,323271","45,400648",,"29,847972","31,5","1,621708","25,1"
13/01/2012 11.00,"6,28718","32,819021","45,375849","0,187796","32,276327","31,5","1,088292","25,1"
13/01/2012 12.00,"3,078844","26,830809","35,322095","0,157181","43,259961","31,5","0,835669","25,1"
13/01/2012 13.00,"1,86941","20,619409","32,255247","0,135291","51,463738","31,5","0,576385","25,1"
13/01/2012 14.00,"1,882945","31,426223","48,493002","0,107361","54,592756","31,5","0,437259","25,1"
13/01/2012 15.00,"3,024692","29,518755","41,008899",,"56,112187","31,5","0,432581","25,1"
13/01/2012 16.00,"4,324384","25,357306","30,96633",,"60,776538","31,5","0,478702","25,1"
13/01/2012 17.00,"3,918231","18,825297","21,335109",,"65,028801","31,5","0,504686","25,1"
