,ARPA Puglia,
,S.Barbara,
Parm,SO2,NO2



23/01/2008 21.00,"0,396014","3,79984384"
23/01/2008 22.00,"0,357995","4,73575984"
23/01/2008 23.00,"0,422268","4,49316163"
24/01/2008 0.00,"0,40491","3,84197824"
24/01/2008 1.00,,"4,39867712"
24/01/2008 2.00,"0,125963",
24/01/2008 3.00,"0,127708",
24/01/2008 4.00,"0,14487199",
24/01/2008 5.00,"0,167272",
24/01/2008 6.00,"0,228071",
24/01/2008 7.00,"0,159126",
24/01/2008 8.00,"0,232435",
24/01/2008 9.00,"0,175708",
24/01/2008 10.00,"0,461088",
24/01/2008 11.00,"1,00566804",
24/01/2008 12.00,"1,15199399",
24/01/2008 13.00,"1,35097504",
24/01/2008 14.00,"1,46064699",
24/01/2008 15.00,"1,28115702",
24/01/2008 16.00,"1,53017402",
24/01/2008 17.00,"0,96028602",
24/01/2008 18.00,"0,44712499",
24/01/2008 19.00,"0,46632501",
24/01/2008 20.00,"0,30516201",
24/01/2008 21.00,"0,37701601",
24/01/2008 22.00,"0,242908",
24/01/2008 23.00,"0,241744",
25/01/2008 0.00,"0,197235",
25/01/2008 1.00,"0,175126",
25/01/2008 2.00,"0,194326",
25/01/2008 3.00,"0,133526",
25/01/2008 4.00,"0,28916201",
25/01/2008 5.00,"0,205671",
25/01/2008 6.00,"0,189962",
25/01/2008 7.00,"0,149235",
25/01/2008 8.00,"0,21410801",
25/01/2008 9.00,"0,121308",
25/01/2008 10.00,"0,354325",
25/01/2008 11.00,"0,37381601",
25/01/2008 12.00,"0,59956002",
25/01/2008 13.00,"0,74123198","14,98102888"
25/01/2008 14.00,"0,76421398","9,51876288"
25/01/2008 15.00,"0,47534299","7,83207018"
25/01/2008 16.00,"0,694978","7,63288545"
25/01/2008 17.00,"0,52479702","9,10506891"
25/01/2008 18.00,"0,467197","9,23658278"
25/01/2008 19.00,"0,50152397","11,45059879"
25/01/2008 20.00,"0,37614301","10,36274689"
25/01/2008 21.00,"0,40814301","10,93859435"
25/01/2008 22.00,"0,295562","12,44524525"
25/01/2008 23.00,"0,36479801","12,50780919"
26/01/2008 0.00,"0,37498","11,0279663"
26/01/2008 1.00,,"12,43120735"
26/01/2008 2.00,"0,52041101",
26/01/2008 3.00,"0,539141","12,06348125"
26/01/2008 4.00,"0,52321202",
26/01/2008 5.00,"0,55340701",
26/01/2008 6.00,"0,42474899",
26/01/2008 7.00,"0,470698",
26/01/2008 8.00,"0,49721801",
26/01/2008 9.00,"0,59953201",
26/01/2008 10.00,"0,76223701","12,53462849"
26/01/2008 11.00,"0,93378198","13,29944685"
26/01/2008 12.00,"1,43099999","14,18173743"
26/01/2008 13.00,"1,53812802","8,37216923"
26/01/2008 14.00,"1,48447704","6,6803715"
26/01/2008 15.00,"1,49051595","6,92169063"
26/01/2008 16.00,"1,78240502","7,24855953"
26/01/2008 17.00,"1,37717295","5,31160918"
26/01/2008 18.00,"0,92327899","5,15200633"
26/01/2008 19.00,"0,76276201","6,40968243"
26/01/2008 20.00,"0,74175698","7,20004101"
26/01/2008 21.00,"0,82218999","17,66237369"
26/01/2008 22.00,"0,72232699","18,98389845"
26/01/2008 23.00,"0,74140698","16,54132026"
27/01/2008 0.00,"0,65528399","13,66078695"
27/01/2008 1.00,"0,61826199","14,67076545"
27/01/2008 2.00,"0,48207599",
27/01/2008 3.00,"0,55148202",
27/01/2008 4.00,"0,373198",
27/01/2008 5.00,"0,33670101",
27/01/2008 6.00,"0,367771",
27/01/2008 7.00,"0,18187299",
27/01/2008 8.00,"0,29223901",
27/01/2008 9.00,"0,3802",
27/01/2008 10.00,"0,65764701",
27/01/2008 11.00,"0,99889898",
27/01/2008 12.00,"1,81601405","9,78945195"
27/01/2008 13.00,"2,40863204","7,58819665"
27/01/2008 14.00,"2,58892894","6,38159346"
27/01/2008 15.00,"1,72472703","4,57487791"
27/01/2008 16.00,"1,06935501","5,81723327"
27/01/2008 17.00,"1,04948699","5,80446692"
27/01/2008 18.00,"1,06130302","7,29452552"
27/01/2008 19.00,"1,07233095","14,97464476"
27/01/2008 20.00,"1,19722605","28,62904572"
27/01/2008 21.00,"0,89413399","13,85614197"
27/01/2008 22.00,"0,82166499","15,74202693"
27/01/2008 23.00,"0,978944","13,87912779"
28/01/2008 0.00,"0,75961101","8,23044153"
28/01/2008 1.00,,"7,4285938"
28/01/2008 2.00,"1,39159596",
28/01/2008 3.00,"1,49073398","11,65361888"
28/01/2008 4.00,"1,26795697","8,1270185"
28/01/2008 5.00,"1,217646","7,04171348"
28/01/2008 6.00,"1,31382","6,1645317"
28/01/2008 7.00,"1,13960898","7,17322736"
28/01/2008 8.00,"1,36064303","8,84076584"
28/01/2008 9.00,"1,39682806","10,64747386"
28/01/2008 10.00,"1,45559502","9,56089728"
28/01/2008 11.00,"1,73513496","11,6561714"
28/01/2008 12.00,"2,41872692","6,87572652"
28/01/2008 13.00,"2,05426097","4,40506123"
28/01/2008 14.00,"2,045542","4,8493967"
28/01/2008 15.00,"2,23562193","4,76895761"
28/01/2008 16.00,"2,30886412","3,28272872"
28/01/2008 17.00,"2,37512994","4,82896904"
28/01/2008 18.00,"1,72292805","5,2324473"
28/01/2008 19.00,"1,68779004","6,64078962"
28/01/2008 20.00,"1,90777695","3,87134629"
28/01/2008 21.00,"1,77873194","5,49675037"
28/01/2008 22.00,"1,76826894","6,71229207"
28/01/2008 23.00,"1,48837996","4,11266731"
29/01/2008 0.00,"1,72214401","4,03861046"
