,Provincia di TARANTO,,,,
,STATTE sc.elementare,,,,
Parm,SO2,NOX,NO,NO2,PM10



10/01/2008 9.00,"2,854089","75,931351","28,040291","32,960756","40,13377"
10/01/2008 10.00,"64,233947","22,302633","30,069086","40,13377",
10/01/2008 11.00,"1,493273","34,511178","7,331301","23,2864","40,13377"
10/01/2008 12.00,"1,098616","34,752435","6,903282","24,184543","40,13377"
10/01/2008 13.00,"1,218451","28,353161","8,260084","15,699055","40,13377"
10/01/2008 14.00,"1,542262","32,722657","8,381045","19,885986","40,13377"
10/01/2008 15.00,"1,358036","33,521605","8,086678","21,13714","40,13377"
10/01/2008 16.00,"1,485764","16,919034","5,857765","7,942977","40,13377"
10/01/2008 17.00,"1,414087","16,000775","5,781636","7,140893","40,13377"
10/01/2008 18.00,"1,319432","19,121281","6,563235","9,064339","40,13377"
10/01/2008 19.00,"1,420382","25,368818","6,535321","15,35901","40,13377"
10/01/2008 20.00,"1,778482","35,530619","6,937117","24,911351","40,13377"
10/01/2008 21.00,"1,958394","55,239439","13,354847","34,786851","40,13377"
10/01/2008 22.00,"2,237178","66,197571","19,162711","36,84137","40,13377"
10/01/2008 23.00,"1,988752","55,354865","15,984719","30,867289","40,13377"
11/01/2008 0.00,"1,33033","36,25043","6,559006","26,211818","40,13377"
11/01/2008 1.00,"1,42885","31,717497","6,239261","22,16635","39,00312"
11/01/2008 2.00,"1,097562","24,91487","5,290177","16,815232","39,00312"
11/01/2008 3.00,"1,32135","36,046801","5,979573","26,897098","39,00312"
11/01/2008 4.00,"1,819162","45,7741","7,84137","33,774503","39,00312"
11/01/2008 5.00,"1,895153","56,370403","12,55295","37,148992","39,00312"
11/01/2008 6.00,"1,317579","25,472581","5,409446","17,190309","39,00312"
11/01/2008 7.00,"1,177612","13,832234","4,835935","6,421871","39,00312"
11/01/2008 8.00,"1,162912","25,101635","6,245182","15,536825","39,00312"
11/01/2008 9.00,"1,375547","45,137309","9,102588","31,202139","39,00312"
11/01/2008 10.00,"1,624357","55,047472","14,016329","33,579824","39,00312"
11/01/2008 11.00,"1,632602","33,79785","7,027626","23,038509","39,00312"
11/01/2008 12.00,"1,374685","27,351885","6,498949","17,399268","39,00312"
11/01/2008 13.00,"1,203911","29,708484","7,395588","18,381757","39,00312"
11/01/2008 14.00,"0,995878","27,820095","6,733259","17,508288","39,00312"
11/01/2008 15.00,"1,332248","31,866654","7,355832","20,602411","39,00312"
11/01/2008 16.00,"1,41936","31,487943","7,366828","20,206551","39,00312"
11/01/2008 17.00,"1,392996","27,62295","7,128288","16,704906","39,00312"
11/01/2008 18.00,"1,588471","26,709894","6,927812","16,098797","39,00312"
11/01/2008 19.00,"1,508517","37,570762","7,354985","26,311738","39,00312"
11/01/2008 20.00,"1,561212","35,6214","7,49794","24,141694","39,00312"
11/01/2008 21.00,"1,326846","45,233272","8,531615","32,174236","39,00312"
11/01/2008 22.00,"1,350654","40,076513","7,866747","28,034031","39,00312"
11/01/2008 23.00,"1,584859","34,796526","7,365136","23,520027","39,00312"
12/01/2008 0.00,"1,482057","22,724291","7,403201","11,381038","39,00312"
12/01/2008 1.00,"22,514181","8,109516","10,087064","18,42626",
12/01/2008 2.00,"1,076801","18,42626",,,
12/01/2008 3.00,"1,100993","18,506532","8,055379","6,159701","18,42626"
12/01/2008 4.00,"1,143732","18,800944","8,053687","6,456914","18,42626"
12/01/2008 5.00,"1,267729","16,251093","8,100211","3,833913","18,42626"
12/01/2008 6.00,"1,26232","16,23942","8,301532","3,51334","18,42626"
12/01/2008 7.00,"1,116567","24,230068","9,466318","9,722361","18,42626"
12/01/2008 8.00,"1,156691","25,494627","8,947791","11,783374","18,42626"
12/01/2008 9.00,"1,068181","22,84102","8,02831","10,538718","18,42626"
12/01/2008 10.00,"1,248173","31,332306","8,593364","18,16891","18,42626"
12/01/2008 11.00,"1,400821","25,934291","8,176341","13,407014","18,42626"
12/01/2008 12.00,"1,158831","27,222194","7,536005","15,678292","18,42626"
12/01/2008 13.00,"1,196874","38,863807","8,639041","25,635559","18,42626"
12/01/2008 14.00,"1,041194","33,229755","8,298994","20,519354","18,42626"
12/01/2008 15.00,"1,187126","21,746361","6,978566","11,053973","18,42626"
12/01/2008 16.00,"1,259526","17,218636","6,76371","6,852767","18,42626"
12/01/2008 17.00,"1,167569","15,055283","6,798391","4,634701","18,42626"
12/01/2008 18.00,"1,029306","15,216107","6,802621","4,789149","18,42626"
12/01/2008 19.00,"1,093979","17,55974","7,238253","6,465999","18,42626"
12/01/2008 20.00,"0,889795","16,529942","6,903282","5,949446","18,42626"
12/01/2008 21.00,"0,901207","16,415809","6,962493","5,744382","18,42626"
12/01/2008 22.00,"1,031505","15,859405","7,255171","4,738532","18,42626"
12/01/2008 23.00,"0,867087","15,055281","7,332147","3,815744","18,42626"
13/01/2008 0.00,"0,995007","14,990434","7,746631","3,114893","18,42626"
13/01/2008 1.00,"1,023064","15,909989","8,053687","3,563956","19,59882"
13/01/2008 2.00,"0,894609","15,795855","8,604359","2,604828","19,59882"
13/01/2008 3.00,"0,935565","15,046202","8,079064","2,660638","19,59882"
13/01/2008 4.00,"20,209458","10,496602","5,987084","19,59882",
13/01/2008 5.00,"0,943598","45,849338","21,796798","13,221418","19,59882"
13/01/2008 6.00,"1,580516","24,217104","14,256564","2,990297","19,59882"
13/01/2008 7.00,"26,148301","11,981982","7,782042","19,59882",
13/01/2008 8.00,"0,8294","24,268977","11,120866","7,222658","19,59882"
13/01/2008 9.00,"0,958569","26,481619","10,998218","9,625019","19,59882"
13/01/2008 10.00,"0,946324","23,0991","10,098196","7,621106","19,59882"
13/01/2008 11.00,"0,963741","27,57886","10,494914","11,495247","19,59882"
13/01/2008 12.00,"1,094395","26,64892","9,903642","11,471893","19,59882"
13/01/2008 13.00,"1,034893","20,157565","8,447026","7,210978","19,59882"
13/01/2008 14.00,"1,037568","15,788073","7,166353","4,803424","19,59882"
13/01/2008 15.00,"1,077929","13,815374","6,660512","3,605489","19,59882"
13/01/2008 16.00,"0,86572","16,959241","7,014939","6,207723","19,59882"
13/01/2008 17.00,"1,044523","19,282118","7,864208","7,229148","19,59882"
13/01/2008 18.00,"1,112525","25,792917","7,843063","13,776902","19,59882"
13/01/2008 19.00,"1,657434","47,16967","10,289367","31,41498","19,59882"
13/01/2008 20.00,"1,292635","45,792283","10,438235","29,808212","19,59882"
13/01/2008 21.00,"1,341795","36,769231","7,374441","25,479808","19,59882"
13/01/2008 22.00,"1,570411","53,061824","10,423011","37,106146","19,59882"
13/01/2008 23.00,"1,550081","34,098759","7,177349","23,109904","19,59882"
14/01/2008 0.00,"1,246449","18,891732","5,736803","10,102636","19,59882"
14/01/2008 1.00,"15,417137","5,286792","7,316105",,
14/01/2008 2.00,"0,464015",,,,
14/01/2008 3.00,"0,672298","17,436528","5,283409","9,342083",
14/01/2008 4.00,"0,5092","14,300442","5,097313","6,48936",
14/01/2008 5.00,"0,640698","13,111117","5,066016","5,347233",
14/01/2008 6.00,"0,610983","11,024284","4,725122","3,781999",
14/01/2008 7.00,"0,513445","12,622157","4,043339","6,427063",
14/01/2008 8.00,"0,606173","14,274502","3,435147","9,013722",
14/01/2008 9.00,"0,572308","23,935658","4,107627","17,649759",
14/01/2008 10.00,"0,628906","24,086113","4,622771","17,00991",
14/01/2008 11.00,"0,885393","12,967151","2,601101","8,985169",
14/01/2008 12.00,"0,546743","20,873494","4,764879","13,577035",
14/01/2008 13.00,"0,791816","18,58435","5,511797","10,140275",
14/01/2008 14.00,"0,863036","16,989072","6,883825","6,438742",
14/01/2008 15.00,"1,029248","15,570181","6,822923","5,112317",
14/01/2008 16.00,"0,918786","16,223855","6,728183","5,911806",
14/01/2008 17.00,"0,739745","16,711521","7,090222","5,844319",
14/01/2008 18.00,"0,881242","20,265211","7,069076","9,432934",
14/01/2008 19.00,"1,318467","39,451366","7,889585","27,373415",
14/01/2008 20.00,"1,011796","41,021999","7,602831","29,385107",
14/01/2008 21.00,"1,171028","52,006053","9,609273","37,298243",
14/01/2008 22.00,"1,657588","60,933164","13,172135","40,764852",
