,,,ARPA Puglia,,,,
,,,De Santis,,,,
Field,,,Aver,Aver,Aver,Aver,Aver



12/01/2008 7.00,,,"15,56199077","0,2584924","21,55594464",,"0,51700503"
12/01/2008 8.00,,,"27,16581582","0,35905415","14,46644403","30,76922989","0,70977199"
12/01/2008 9.00,,,"26,9078931","0,47597005","23,18424768",,"1,50184798"
12/01/2008 10.00,,,"19,4141772","0,35108925","38,00378304","30,76922989","2,75375009"
12/01/2008 11.00,,,"15,08828538","0,3846359","42,52829238",,"1,707178"
12/01/2008 12.00,,,"11,46336701","0,3663693","46,16277966","32,23442078","2,78948689"
12/01/2008 13.00,,,"11,75831158","0,41665075","47,2716432",,"1,80161202"
12/01/2008 14.00,,,"14,39114351","0,69942195","44,16242256","29,30401993","1,76782298"
12/01/2008 15.00,,,"7,78355167","0,3158958","49,87751274",,"5,45508385"
12/01/2008 16.00,,,"7,29707992","0,3292427","48,80657466","32,23442078","0,81070399"
12/01/2008 17.00,,,"11,53614667","0,3713097","45,00282564",,"1,05956805"
12/01/2008 18.00,,,"16,50046118","0,37594305","38,32621812","28,81562042","1,21161497"
12/01/2008 19.00,,,"17,32912444","0,4470579","38,81793456",,"1,53801894"
12/01/2008 20.00,,,"14,84951876","0,49101895","42,44949846","35,16482162","1,96947002"
12/01/2008 21.00,,,"15,4968762","0,46367655","42,02199828",,"2,07235098"
12/01/2008 22.00,,,"10,46616803","0,4101406","46,375794","35,16482162","1,92268598"
12/01/2008 23.00,,,"10,73174078","0,5596061","42,05994336",,"2,17674899"
13/01/2008 0.00,,,"8,39515317","0,4302449","44,6045004","30,28083038","2,419765"
13/01/2008 1.00,,,"6,45181871","0,36232935","45,79655274",,"1,55339706"
13/01/2008 2.00,,,"6,03429503","0,34974835","42,3079794","37,11843109","0,84644097"
13/01/2008 3.00,,,"3,25846759","0,2763956","46,35536958",,"0,74312699"
13/01/2008 4.00,,,"0,2311053","0,1945202","47,582424","20,51280975","0,32272199"
13/01/2008 5.00,,,,"0,1895798","51,66630738",,"0,072775"
13/01/2008 6.00,,,,"0,1877605","51,30300384","14,16361046","0,05718"
13/01/2008 7.00,,,"1,38663746","0,20204465","47,5138521",,"0,055231"
13/01/2008 8.00,,,"3,66577745","0,2164438","49,84396254","15,14041042","0,10613"
13/01/2008 9.00,,,"8,08743662","0,2534761","47,90050344",,"0,24821401"
13/01/2008 10.00,,,"10,09333126","0,30243505","46,39621842","18,07081032","0,592812"
13/01/2008 11.00,,,"11,71618282","0,3561435","43,618203",,"0,573102"
