,,,ARPA Puglia,,
,,,Viale Pitagora,,
Parm,NO2,CO,O3,PM2.5,Benzene



12/01/2008 5.00,,"0,51887885","33,96834144","9,09347439","0,247116"
12/01/2008 6.00,,"0,4704604","37,34345232","9,09347439","0,247116"
12/01/2008 7.00,,"0,5432899","21,35148462","9,09347439","0,251876"
12/01/2008 8.00,,"1,0889879","20,33734644","9,09347439","0,530801"
12/01/2008 9.00,,"0,688988","45,77334228","9,09347439","0,75281602"
12/01/2008 10.00,,"0,8036522","51,79162032","9,09347439","0,52366"
12/01/2008 11.00,,"0,68682025","58,15195344","9,09347439","0,44814101"
12/01/2008 12.00,,"0,67405295","58,77216126","9,09347439","0,490769"
12/01/2008 13.00,,"0,745798","56,47104918","9,09347439","0,714948"
12/01/2008 14.00,,"0,6480365","58,00821732","9,09347439","0,90580201"
12/01/2008 15.00,,"0,443279","63,56868228","9,09347439","0,32198599"
12/01/2008 16.00,,"0,4569295","66,23845416","9,09347439","0,193884"
12/01/2008 17.00,,"0,41292705","68,01785082","9,09347439","0,14086901"
12/01/2008 18.00,,"0,44103075","64,89691704","9,09347439","0,16185901"
12/01/2008 19.00,,"0,42481115","66,92919588","9,09347439","0,349251"
12/01/2008 20.00,,"0,4424763","65,67016086","9,09347439",
12/01/2008 21.00,,"0,45668915","66,33427824","9,09347439",
12/01/2008 22.00,,"0,4490612","64,60675686","9,09347439",
12/01/2008 23.00,,"0,3712936","66,61776762","9,09347439",
13/01/2008 0.00,,"0,3219908","69,4192878","9,09347439",
13/01/2008 1.00,,"0,3165306","68,61941964","5,94953203",
13/01/2008 2.00,,"0,3022384","67,9020732","5,94953203",
13/01/2008 3.00,,"0,2609649","70,90587558","5,94953203",
13/01/2008 4.00,,"0,265903","71,1973503","5,94953203",
13/01/2008 5.00,,"0,2428984","73,73802258","5,94953203",
13/01/2008 6.00,,"0,2439426","71,4555495","5,94953203",
13/01/2008 7.00,,"0,2583958","66,55121658","5,94953203",
13/01/2008 8.00,,"0,35418965","66,96243216","5,94953203",
13/01/2008 9.00,,"0,51474345","53,56968282","5,94953203",
13/01/2008 10.00,,"0,6486391","54,15928344","5,94953203",
13/01/2008 11.00,,"0,83267935","44,8629939","5,94953203",
13/01/2008 12.00,,"1,0084902","39,64324986","5,94953203",
13/01/2008 13.00,,"0,9013332","38,11938408","5,94953203",
13/01/2008 14.00,,"0,762059","45,10653696","5,94953203",
13/01/2008 15.00,,"0,52819385","61,52310108","5,94953203",
13/01/2008 16.00,,"0,6073265","47,30252508","5,94953203",
13/01/2008 17.00,,"1,12797175","20,2987539","5,94953203",
13/01/2008 18.00,,"1,1071349","16,95422471","5,94953203",
13/01/2008 19.00,,"1,33032","12,98816924","5,94953203",
13/01/2008 20.00,,"1,0928818","15,83095421","5,94953203",
13/01/2008 21.00,,"1,06642375","20,37327066","5,94953203",
13/01/2008 22.00,,"0,8408294","33,77932236","5,94953203",
13/01/2008 23.00,,"0,31805665","62,55056124","5,94953203",
14/01/2008 0.00,,"0,29083615","63,41962914","5,94953203",
14/01/2008 1.00,,"0,24912105","63,68312574",,
14/01/2008 2.00,,"0,30898315","73,41786342",,
14/01/2008 3.00,,,"66,41679996",,
14/01/2008 4.00,,"0,2307245","60,32930256",,
14/01/2008 5.00,,"0,4177306","43,8315705",,
14/01/2008 6.00,,"0,3890726","47,31184458",,
14/01/2008 7.00,,"0,5227279","33,9603561",,
14/01/2008 8.00,,"1,41411475","13,36880313",,"0,61540902"
14/01/2008 9.00,,"1,50822845","19,95548238",,"2,51508904"
14/01/2008 10.00,,"1,2361465","23,28260274",,"1,27020097"
14/01/2008 11.00,,"0,97815205","31,49153226",,"1,47144198"
14/01/2008 12.00,,"1,01572715","32,83042068",,"1,40046704"
14/01/2008 13.00,,"0,8340329","42,19855866",,"0,97374898"
14/01/2008 14.00,,"0,87093525","42,35426298",,"1,01269805"
14/01/2008 15.00,,"0,509013","56,36056896",,"0,47497299"
14/01/2008 16.00,,,,,
14/01/2008 17.00,,,,,
14/01/2008 18.00,,,,,
14/01/2008 19.00,,,,,
14/01/2008 20.00,,,,,
14/01/2008 21.00,,,,,
14/01/2008 22.00,,,,,
14/01/2008 23.00,,,,,
15/01/2008 0.00,,,,,
15/01/2008 1.00,,,,,
15/01/2008 2.00,,,,,
15/01/2008 3.00,,,,,
15/01/2008 4.00,,,,,
15/01/2008 5.00,,,,,
15/01/2008 6.00,,,,,
15/01/2008 7.00,,,,,
15/01/2008 8.00,,,,,
15/01/2008 9.00,,,,,
15/01/2008 10.00,,,,,
15/01/2008 11.00,,,,,
15/01/2008 12.00,,,,,
15/01/2008 13.00,,,,,
15/01/2008 14.00,,,,,
15/01/2008 15.00,,,,,
15/01/2008 16.00,,,,,
15/01/2008 17.00,,,,,
15/01/2008 18.00,,,,,
15/01/2008 19.00,,,,,
15/01/2008 20.00,,,,,
15/01/2008 21.00,,,,,
15/01/2008 22.00,,,,,
15/01/2008 23.00,,,,,
16/01/2008 0.00,,,,,
16/01/2008 1.00,,,,,
16/01/2008 2.00,,,,,
16/01/2008 3.00,,,,,
16/01/2008 4.00,,,,,
16/01/2008 5.00,,,,,
16/01/2008 6.00,,,,,
16/01/2008 7.00,,,,,
16/01/2008 8.00,,,,,
16/01/2008 9.00,,,,,
16/01/2008 10.00,,,,,
16/01/2008 11.00,,,,,
16/01/2008 12.00,,,,,
16/01/2008 13.00,,,,,
16/01/2008 14.00,,,,,
16/01/2008 15.00,,,,,
16/01/2008 16.00,,,,,
16/01/2008 17.00,,,,,
16/01/2008 18.00,,,,,
16/01/2008 19.00,,,,,
16/01/2008 20.00,,,,,
16/01/2008 21.00,,,,,
16/01/2008 22.00,,,,,
16/01/2008 23.00,,,,,
17/01/2008 0.00,,,,,
17/01/2008 1.00,,,,"6,24854183",
17/01/2008 2.00,,,,"6,24854183",
17/01/2008 3.00,,,,"6,24854183",
17/01/2008 4.00,,,,"6,24854183",
17/01/2008 5.00,,,,"6,24854183",
17/01/2008 6.00,,,,"6,24854183",
17/01/2008 7.00,,,,"6,24854183",
17/01/2008 8.00,,,,"6,24854183",
17/01/2008 9.00,,,,"6,24854183",
17/01/2008 10.00,,,,"6,24854183",
17/01/2008 11.00,,,,"6,24854183",
17/01/2008 12.00,,,,"6,24854183",
17/01/2008 13.00,,,,"6,24854183",
17/01/2008 14.00,,,,"6,24854183",
17/01/2008 15.00,,,,"6,24854183",
17/01/2008 16.00,,,,"6,24854183",
17/01/2008 17.00,,,,"6,24854183",
17/01/2008 18.00,,,,"6,24854183",
17/01/2008 19.00,,,,"6,24854183",
17/01/2008 20.00,,,,"6,24854183",
17/01/2008 21.00,,,,"6,24854183",
17/01/2008 22.00,,,,"6,24854183",
17/01/2008 23.00,,,,"6,24854183",
18/01/2008 0.00,,,,"6,24854183",
18/01/2008 1.00,,,,"16,77709961",
18/01/2008 2.00,,,,"16,77709961",
18/01/2008 3.00,,,,"16,77709961",
18/01/2008 4.00,,,,"16,77709961",
18/01/2008 5.00,,,,"16,77709961",
18/01/2008 6.00,,,,"16,77709961",
18/01/2008 7.00,,,,"16,77709961",
18/01/2008 8.00,,,,"16,77709961",
18/01/2008 9.00,,,,"16,77709961",
18/01/2008 10.00,,,,"16,77709961",
18/01/2008 11.00,,,,"16,77709961",
18/01/2008 12.00,,,,"16,77709961",
18/01/2008 13.00,,,,"16,77709961",
18/01/2008 14.00,,,,"16,77709961",
18/01/2008 15.00,,,,"16,77709961",
