, Brindisi,,,,
,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE



13/01/2008 16.00,"0,719572","1,901383","1,953602","0,168288","0,22887"
13/01/2008 17.00,"0,702312","5,835235",,"0,186484","0,236132"
13/01/2008 18.00,"0,685821","13,689954","1,465201","0,217277","0,280146"
13/01/2008 19.00,"0,703082","15,747075",,"0,270467","0,240093"
13/01/2008 20.00,"0,712175","9,619828","8,791209","0,335294","0,527501"
13/01/2008 21.00,"0,403478","18,083253",,"0,468788","0,630713"
13/01/2008 22.00,"0,388375","23,278618","21,97802","0,525618","1,033655"
13/01/2008 23.00,"0,382981","25,361704",,"0,534535","0,873006"
14/01/2008 0.00,"0,393769","6,192147","17,094","0,244112","0,913279"
14/01/2008 1.00,,"2,350446",,"0,14961","0,346386"
14/01/2008 2.00,"0,485132",,"8,302809","0,20212","0,330101"
14/01/2008 3.00,"0,336299","20,35192",,,"0,39414"
14/01/2008 4.00,"0,416973","10,868378","4,884005","0,199515","0,345725"
14/01/2008 5.00,"0,526805","18,127378",,"0,208148","0,324599"
14/01/2008 6.00,"0,57759","20,411614","4,884005","0,216422","0,336483"
14/01/2008 7.00,"0,758376","35,85501",,"0,245877","0,36091"
14/01/2008 8.00,"1,606537","41,762915","3,418803","0,285804","0,239653"
14/01/2008 9.00,"1,992772","41,285298",,"0,42409","0,6558"
14/01/2008 10.00,"1,706164","36,06137","6,837607","0,413819","0,672525"
14/01/2008 11.00,"0,505665","17,853521",,"0,259906","0,775737"
14/01/2008 12.00,"0,43058","21,27989","8,791209","0,286163","0,565573"
14/01/2008 13.00,"0,333384","11,551059",,"0,201634","0,612667"
14/01/2008 14.00,"2,216324","12,14419","5,860806","0,18093","0,436173"
14/01/2008 15.00,"5,408987","14,763286",,"0,195638","0,450698"
14/01/2008 16.00,"2,719559","12,963146","2,442003","0,202593","0,399642"
14/01/2008 17.00,"2,807886","22,228644",,"0,226973","0,397442"
14/01/2008 18.00,"2,181941","40,680493","7,814408","0,317938","0,601444"
14/01/2008 19.00,"1,348845","45,756471",,"0,429566","0,468963"
