NetC,ARPA Puglia,
Stat,Suolo Giuffreda,
Parm,SO2,NO2
PtId,1,4
Unit,ug/m3,ug/m3
Field,Aver,Aver
20/01/2008 6.00,"3,6068089","4,76768041"
20/01/2008 7.00,"4,05610704","3,27506741"
20/01/2008 8.00,"3,34753108","5,99216063"
20/01/2008 9.00,"4,31005716","39,17438316"
20/01/2008 10.00,"3,82169104","26,05623273"
20/01/2008 11.00,"5,4039979","17,84112888"
20/01/2008 12.00,"5,38624001","12,29586376"
20/01/2008 13.00,"5,85152006","13,39266169"
20/01/2008 14.00,"5,67570782","10,74068681"
20/01/2008 15.00,"5,66149998","8,00188874"
20/01/2008 16.00,"5,54655313","7,02023999"
20/01/2008 17.00,,"6,27721301"
20/01/2008 18.00,"4,62616301","6,40968243"
20/01/2008 19.00,"4,22126293","14,90442703"
20/01/2008 20.00,"4,22126293","10,70493277"
20/01/2008 21.00,"4,18574619","6,00237446"
20/01/2008 22.00,"3,96731305","5,26436599"
20/01/2008 23.00,"3,652982","4,8034307"
21/01/2008 0.00,"3,47716999","3,91858949"
21/01/2008 1.00,"3,47716999",
21/01/2008 2.00,"3,59615397",
21/01/2008 3.00,"3,45941091",
21/01/2008 4.00,"3,03675199",
21/01/2008 5.00,"3,62101603",
21/01/2008 6.00,"3,10245991",
21/01/2008 7.00,"3,37061691",
21/01/2008 8.00,"3,04918289",
21/01/2008 9.00,"3,55886102",
21/01/2008 10.00,"3,72224092",
21/01/2008 11.00,"3,76308703",
21/01/2008 12.00,"4,10227919",
21/01/2008 13.00,"3,6654129",
21/01/2008 14.00,"3,78262091",
21/01/2008 15.00,"4,10583115",
21/01/2008 16.00,"4,37576485",
21/01/2008 17.00,"3,84655309",
21/01/2008 18.00,"4,15733099",
21/01/2008 19.00,"3,70448303",
21/01/2008 20.00,"4,00638199",
21/01/2008 21.00,"4,05433083",
21/01/2008 22.00,"3,95488095",
21/01/2008 23.00,"4,06853819",
22/01/2008 0.00,"3,93179488",
22/01/2008 1.00,,
22/01/2008 2.00,"3,60148191",
22/01/2008 3.00,"3,81813908",
22/01/2008 4.00,"3,43810105",
22/01/2008 5.00,"3,56241202",
22/01/2008 6.00,"3,29070306",
22/01/2008 7.00,"3,30135798",
22/01/2008 8.00,"3,20901299",
22/01/2008 9.00,"3,63344693",
22/01/2008 10.00,"4,09695101",
22/01/2008 11.00,"3,94777799",
22/01/2008 12.00,"3,94245005",
22/01/2008 13.00,"4,16621113",
22/01/2008 14.00,"4,11470985",
22/01/2008 15.00,"4,887218","16,6013298"
22/01/2008 16.00,"4,98133898","23,23700874"
22/01/2008 17.00,"4,69542313","17,99435514"
22/01/2008 18.00,"4,36155701","8,90971389"
22/01/2008 19.00,"4,16798687","6,11728851"
22/01/2008 20.00,"3,93889904","6,17602273"
22/01/2008 21.00,"3,92824292","6,4914006"
22/01/2008 22.00,"3,8749671","5,06645845"
22/01/2008 23.00,"3,89450097","8,99653897"
23/01/2008 0.00,"3,87851906","7,06724994"
23/01/2008 1.00,"4,30472898","4,4816706"
23/01/2008 2.00,"3,51446295","4,64638037"
23/01/2008 3.00,"3,92646694","4,63872093"
23/01/2008 4.00,"3,83234596","4,23651987"
23/01/2008 5.00,"3,40968704","3,79090721"
23/01/2008 6.00,"3,64943004","3,58533648"
23/01/2008 7.00,"4,12536621","3,43467026"
23/01/2008 8.00,"3,39370394","3,51766374"
23/01/2008 9.00,"3,54110193","4,02967194"
23/01/2008 10.00,"3,54465294","4,91706943"
23/01/2008 11.00,"4,74514723","4,07180822"
23/01/2008 12.00,"4,64925003","3,9683852"
23/01/2008 13.00,"5,04882193","3,74110961"
23/01/2008 14.00,"4,80019999","3,93646463"
23/01/2008 15.00,"5,67215586","3,84836235"
23/01/2008 16.00,"5,151824","3,53809328"
23/01/2008 17.00,"4,887218","3,47936094"
23/01/2008 18.00,"4,65457821","3,61981145"
23/01/2008 19.00,"4,45745516","3,66194585"
23/01/2008 20.00,"4,38819599","3,48574317"
23/01/2008 21.00,"3,95310497","3,52787945"
23/01/2008 22.00,"4,29229784","3,38487455"
23/01/2008 23.00,"3,91403604","2,9877804"
24/01/2008 0.00,"3,88562202","3,11801708"
24/01/2008 1.00,,"2,80647081"
24/01/2008 2.00,"3,54642892",
24/01/2008 3.00,"3,88917398",
24/01/2008 4.00,"3,69737911",
24/01/2008 5.00,"3,7542069",
24/01/2008 6.00,"3,76486206",
24/01/2008 7.00,"3,91403604",
24/01/2008 8.00,"3,73644805",
24/01/2008 9.00,"3,94600201",
24/01/2008 10.00,"4,43969584",
