,ARPA Puglia,,,,
,Baldassarre,,,,
Parm,SO2,NO2,,,PM10


19/01/2008 15.00,"0,149395","6,71612179",,,
19/01/2008 16.00,"0,14599399","6,55013294",,,
19/01/2008 17.00,"0,192635","5,38566603",,,
19/01/2008 18.00,"0,103564","6,05727708",,,
19/01/2008 19.00,"0,116277","5,23627701",,,
19/01/2008 20.00,"0,26785901","18,43612868",,,
19/01/2008 21.00,"0,52073801","23,1425073",,,
19/01/2008 22.00,"0,46875301","21,77885754",,,
19/01/2008 23.00,"0,009636","13,84720534",,,
20/01/2008 0.00,"0,025506","16,3715017",,,
20/01/2008 1.00,,"16,57324083",,,
20/01/2008 2.00,"3,02329111",,,,
20/01/2008 3.00,"4,90864611","39,99092526",,,
20/01/2008 4.00,"3,43770909","49,0991787",,,
20/01/2008 5.00,"1,75622404","30,7868913",,,
20/01/2008 6.00,"4,93217421","22,90247289",,,
20/01/2008 7.00,"5,11446524","18,44634627",,,
20/01/2008 8.00,"4,357131","16,00121744",,,
20/01/2008 9.00,"3,79684591","19,00176795",,,
20/01/2008 10.00,"6,13117886","32,89748616",,,
20/01/2008 11.00,"6,04257011","21,12129756",,,
20/01/2008 12.00,"6,53700018","16,56557387",,,
20/01/2008 13.00,"4,39501619","12,77212355",,,
20/01/2008 14.00,"3,91884089","12,12093264",,,
20/01/2008 15.00,"2,87312508","11,54381362",,,
20/01/2008 16.00,"1,92980301","10,84666047",,,
20/01/2008 17.00,"2,87424302","10,56703666",,,
20/01/2008 18.00,"2,72679901","11,94217745",,,
20/01/2008 19.00,"2,47232008","9,95671423",,,
20/01/2008 20.00,"2,535882","11,37909821",,,
20/01/2008 21.00,"0,77773899","7,30090964",,,
20/01/2008 22.00,"0,78762501","12,76829007",,,
20/01/2008 23.00,"0,61645401","9,00930908",,,
21/01/2008 0.00,"3,22297692","8,72074487",,,
21/01/2008 1.00,"4,53730106","6,93701326",,,
21/01/2008 2.00,"3,67909098","5,92321069",,,
21/01/2008 3.00,"1,84841502","4,90046961",,,
21/01/2008 4.00,"3,534199","4,51869809",,,
21/01/2008 5.00,"6,65271902","4,49699323",,,
21/01/2008 6.00,"5,67993689","4,19949239",,,
21/01/2008 7.00,"3,21778989","5,15583605",,,
21/01/2008 8.00,"2,80792904","8,51900574",,,
21/01/2008 9.00,"5,21204376","16,4698178",,,
21/01/2008 10.00,"5,78889322","13,03004063",,,
21/01/2008 11.00,"2,74333501","14,39114351",,,
21/01/2008 12.00,"0,51629502","11,15182263",,,
21/01/2008 13.00,"0,365614","26,41503348",,,
21/01/2008 14.00,"0,175642","10,66534524",,,
21/01/2008 15.00,"0,201434","10,55426843",,,
21/01/2008 16.00,"0,220893","12,52952534",,,
21/01/2008 17.00,"0,227226","16,81967064",,,
21/01/2008 18.00,"0,249751","15,45218552",,,
21/01/2008 19.00,"0,40670899","12,8857604",,,
21/01/2008 20.00,"0,91953599","16,54898533",,,
21/01/2008 21.00,"0,31761199","11,67787437",,,
21/01/2008 22.00,"0,279383","13,41818874",,,
21/01/2008 23.00,"0,42645401","10,5619241",,,
22/01/2008 0.00,"0,55736202","7,69034247",,,
22/01/2008 1.00,,"9,57366551",,,
22/01/2008 2.00,"0,74955601",,,,
22/01/2008 3.00,"0,19158299","7,89974292",,,
22/01/2008 4.00,"0,29920301","7,22302307",,,
22/01/2008 5.00,"0,67763799","6,05472457",,,
22/01/2008 6.00,"0,41568401","6,71739899",,,
22/01/2008 7.00,"1,59322703","7,97635229",,,
22/01/2008 8.00,"8,46414566","13,38499661",,,
22/01/2008 9.00,"7,91494703","22,03550118",,,
22/01/2008 10.00,"7,3229928","22,36238136",,,
22/01/2008 11.00,"5,87661505","21,78653202",,,
22/01/2008 12.00,"5,34513807","17,2027156",,,
22/01/2008 13.00,"9,11597443","8,24831667",,,
22/01/2008 14.00,"9,24673653","9,76263641",,,
22/01/2008 15.00,"8,36633205","11,82088492",,,
22/01/2008 16.00,"9,77812767","13,45777627",,,
22/01/2008 17.00,"10,10476971","12,27670953",,,
22/01/2008 18.00,"10,36112976","12,595919",,,
22/01/2008 19.00,"11,45540047","19,76914071",,,
22/01/2008 20.00,"11,14741993","24,13334286",,,
22/01/2008 21.00,"11,69283009","32,62808934",,,
22/01/2008 22.00,"11,09064007","27,55651833",,,
22/01/2008 23.00,"9,28260994","16,03568677",,,
23/01/2008 0.00,"10,55554962","13,46799386",,,
23/01/2008 1.00,"11,14914036","12,85510951",,,
23/01/2008 2.00,"10,49016953","10,37040068",,,
23/01/2008 3.00,"9,48537636","9,12039153",,,
23/01/2008 4.00,"7,141819","6,22198873",,,
23/01/2008 5.00,"1,60673296","5,0843336",,,
23/01/2008 6.00,"0,162678","4,98729469",,,
23/01/2008 7.00,"0,30462301","5,46738232",,,
23/01/2008 8.00,"0,65965801","5,85298544",,,
23/01/2008 9.00,"2,7777369","6,4441574",,,
23/01/2008 10.00,"1,77001297","6,87955623",,,
23/01/2008 11.00,"1,409042","7,5166942",,,
23/01/2008 12.00,"0,40441501","9,053996",,,
23/01/2008 13.00,"3,00037599","9,51110157",,,
23/01/2008 14.00,"3,92362189","9,19061679",,,
23/01/2008 15.00,"6,36869097","5,60017339",,,
23/01/2008 16.00,"8,68902111","7,04299068",,,
23/01/2008 17.00,"9,32536507","5,29628656",,,
23/01/2008 18.00,"9,76066399","5,2260613",,,
23/01/2008 19.00,"9,42687798","6,41734375",,,
23/01/2008 20.00,"7,86479282","6,35988484",,,
23/01/2008 21.00,"2,27748799","8,11297308",,,
23/01/2008 22.00,"3,24976897","7,09534079",,,
23/01/2008 23.00,"2,17976093","6,99064057",,,
24/01/2008 0.00,"0,91980499","7,60862619",,,
24/01/2008 1.00,,"4,4803934",,,
24/01/2008 2.00,"0,58074099",,,,
24/01/2008 3.00,"0,493368","4,50848426",,,
24/01/2008 4.00,"0,82363898","3,72195727",,,
24/01/2008 5.00,"1,44340706","3,81771898",,,
24/01/2008 6.00,"2,02007103","5,95640846",,,
24/01/2008 7.00,"8,56840706","6,74931956",,,
24/01/2008 8.00,"4,24401188","8,15000056",,,
24/01/2008 9.00,,"8,08105251",,,
