, Brindisi,,
,Quartiere Bozzano,,
Parm,SO2,NO2,PM10



13/01/2008 23.00,"1,080853","41,500761",
14/01/2008 0.00,"0,661093","1,068148","26,86202"
14/01/2008 1.00,,"5,780723",
14/01/2008 2.00,"0,440135",,"4,395605"
14/01/2008 3.00,"1,461029","1,985744",
14/01/2008 4.00,"0,927753","31,242367","3,418803"
14/01/2008 5.00,"0,451092","4,833276",
14/01/2008 6.00,"1,65279","25,891232","2,442003"
14/01/2008 7.00,"0,6739","8,671084",
14/01/2008 8.00,"1,053768","47,394389","6,349206"
14/01/2008 9.00,"1,448246","49,756508",
14/01/2008 10.00,"1,059246","58,4211","6,837607"
14/01/2008 11.00,"0,421872","35,665508",
14/01/2008 12.00,"0,725036","21,905477","0,976801"
14/01/2008 13.00,"0,757909","14,174051",
14/01/2008 14.00,"0,078531","14,144207","6,349206"
14/01/2008 15.00,"0,246548","23,744554",
14/01/2008 16.00,"0,193586","47,897949","0,4884"
14/01/2008 17.00,"0,536928","60,82087",
14/01/2008 18.00,"4,359347","80,07871","30,28083"
14/01/2008 19.00,"8,570766","107,465069",
14/01/2008 20.00,"5,959175","76,952126","37,118431"
14/01/2008 21.00,"4,39222","61,467205",
14/01/2008 22.00,"4,251596","51,313969","59,096451"
14/01/2008 23.00,"2,328516","51,260739",
15/01/2008 0.00,"1,603479","51,105004","60,073261"
15/01/2008 1.00,"1,210828","18,536206",
15/01/2008 2.00,"0,840092","27,013901","89,865692"
15/01/2008 3.00,"0,003653","52,273083",
15/01/2008 4.00,"0,001827","9,343381","99,145302"
15/01/2008 5.00,"0,003653","16,458309",
15/01/2008 6.00,"0,557017","42,226251","63,003651"
15/01/2008 7.00,"3,027984","32,676521",
15/01/2008 8.00,"6,052315","50,362615","63,492062"
15/01/2008 9.00,"4,454314","69,873538",
15/01/2008 10.00,"1,040983","60,436693","62,515251"
15/01/2008 11.00,"0,007305","41,39692",
15/01/2008 12.00,"0,023742","3,068169","32,722832"
15/01/2008 13.00,"0,257506","0,95134",
15/01/2008 14.00,"0,144277","23,539492","3,907204"
15/01/2008 15.00,"0,354299","6,501041",
15/01/2008 16.00,"0,219154","18,322056","0,4884"
15/01/2008 17.00,"0,49675","40,332664",
15/01/2008 18.00,"0,116883","38,838819","3,418803"
15/01/2008 19.00,"0,195412","27,639469",
15/01/2008 20.00,"0,259333","43,411215","6,837607"
15/01/2008 21.00,"0,257506","45,551391",
15/01/2008 22.00,"2,019873","53,177688","23,44322"
15/01/2008 23.00,"1,855507","39,931623",
16/01/2008 0.00,"1,640005","36,501341","30,76923"
16/01/2008 1.00,,"7,279766",
16/01/2008 2.00,"1,420028",,"31,746031"
16/01/2008 3.00,"0,964239","2,776147",
16/01/2008 4.00,"0,938816","3,178488","26,86202"
16/01/2008 5.00,"1,113142","9,665253",
16/01/2008 6.00,"1,247518","9,460189","5,860806"
