,,,Provincia di Lecce,,,
,,,Galatina,,,
Parm,SO2,NO2,NOX,CO,O3,PM2.5
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,
10/01/2009 23.00,"0,5","26,4","55,4","0,5","16,3","16,3"
11/01/2009 0.00,"0,5","26,1","55,7","0,4","16,4","16,3"
11/01/2009 1.00,"0,3","24,0","53,2","0,4","17,0",
11/01/2009 2.00,"0,2","20,4","45,5","0,4","20,2",
11/01/2009 3.00,"0,3","18,5","41,6","0,3","21,4",
11/01/2009 4.00,"0,2","19,2","40,5","0,3","22,1",
11/01/2009 5.00,"0,2","17,6","37,1","0,3","25,5","20,5"
11/01/2009 6.00,"0,3","18,5","39,4","0,3","24,6","20,5"
11/01/2009 7.00,"0,2","18,2","41,1","0,3","25,0","20,5"
11/01/2009 8.00,"0,3","20,3","46,7","0,3","24,4","20,5"
11/01/2009 9.00,"0,5","20,8","49,3","0,3","24,5","20,5"
11/01/2009 10.00,"0,6","16,5","46,3","0,3","34,7","20,5"
11/01/2009 11.00,"0,7","16,8","44,7","0,2","39,2","20,5"
11/01/2009 12.00,"0,8","16,4","42,7","0,2","43,3","20,5"
11/01/2009 13.00,"0,7","18,2","44,6","0,2","42,8","20,5"
11/01/2009 14.00,"0,7","17,0","43,5","0,2","45,0","20,5"
11/01/2009 15.00,"0,7","16,3","40,5","0,2","47,1","20,5"
11/01/2009 16.00,"0,3","18,0","42,2","0,3","44,6","20,5"
11/01/2009 17.00,"0,2","27,4","53,1","0,4","34,0","20,5"
11/01/2009 18.00,"0,2","32,1","57,8","0,5","32,1","20,5"
11/01/2009 19.00,"0,3","40,9","70,3","0,6","23,5","20,5"
11/01/2009 20.00,"0,3","41,0","72,6","0,6","19,3","20,5"
11/01/2009 21.00,"0,3","39,4","72,1","0,6","14,5","20,5"
11/01/2009 22.00,"0,5","32,4","68,1","0,6","9,7","20,5"
11/01/2009 23.00,"0,5","25,2","67,0","0,7","6,3","20,5"
12/01/2009 0.00,"0,5","22,5","66,0","0,7","5,7","20,5"
12/01/2009 1.00,"0,6","19,6","66,0","0,8","5,3",
12/01/2009 2.00,"0,5",,,"0,8","5,1",
12/01/2009 3.00,"0,5","15,0","63,1",,"4,8",
12/01/2009 4.00,,"13,1","60,5","0,7","4,9",
12/01/2009 5.00,"0,8","11,8","62,0","0,6",,"44,6"
12/01/2009 6.00,"0,7","11,9","59,4","0,6","4,7","44,6"
12/01/2009 7.00,"1,2","12,6","63,5","0,6","4,7","44,6"
12/01/2009 8.00,"1,2","13,4","74,7","0,7","4,9","44,6"
12/01/2009 9.00,"2,5","20,0","116,9","0,9","5,3","44,6"
12/01/2009 10.00,"3,3","37,0","162,4","1,2","6,2","44,6"
12/01/2009 11.00,"3,6","49,9","175,3","1,3","7,5","44,6"
12/01/2009 12.00,"2,6","35,0","91,0","0,7","27,8","44,6"
12/01/2009 13.00,"1,9","20,1","53,3","0,3","40,4","44,6"
12/01/2009 14.00,"1,2","20,9","49,8","0,3","39,3","44,6"
12/01/2009 15.00,"1,1","21,3","48,6","0,3","35,9","44,6"
12/01/2009 16.00,"1,1","19,8","46,8","0,3","37,3","44,6"
12/01/2009 17.00,"1,1","30,6","61,7","0,3","23,4","44,6"
12/01/2009 18.00,"1,2","38,0","79,8","0,5","13,2","44,6"
12/01/2009 19.00,"1,7","45,1","101,9","0,7","6,9","44,6"
12/01/2009 20.00,"1,7","44,8","105,1","0,9","6,6","44,6"
12/01/2009 21.00,"2,3","36,7","105,9","2,0","5,9","44,6"
12/01/2009 22.00,"3,6","40,9","159,4","1,5","5,8","44,6"
12/01/2009 23.00,"2,4","31,0","115,2","1,2","6,1","44,6"
13/01/2009 0.00,"2,1","27,0","103,3","1,2","6,2","44,6"
13/01/2009 1.00,"2,2","26,4","103,6","1,2","6,0",
13/01/2009 2.00,"1,7","24,9","85,0","1,0","5,2",
13/01/2009 3.00,"1,1","21,1","62,8","0,7","8,3",
13/01/2009 4.00,"1,0","24,1","59,5","0,4","21,2",
13/01/2009 5.00,"0,7","20,4","45,6","0,2","35,0","24,1"
13/01/2009 6.00,"0,6","18,2","38,9","0,2","36,9","24,1"
13/01/2009 7.00,"0,5","20,5","40,1","0,2","32,7","24,1"
13/01/2009 8.00,"0,7","21,9","44,8","0,2","29,7","24,1"
13/01/2009 9.00,"1,1","34,4","77,0","0,4","19,3","24,1"
13/01/2009 10.00,"0,9","31,3","63,2","0,4","20,3","24,1"
13/01/2009 11.00,"1,2","24,1","56,3","0,3","26,6","24,1"
13/01/2009 12.00,"0,9","25,7","52,0","0,2","32,4","24,1"
13/01/2009 13.00,"0,7","21,5","40,7","0,2","38,5","24,1"
13/01/2009 14.00,"1,0","26,2","55,5","0,3","35,3","24,1"
13/01/2009 15.00,"1,0","20,5","41,2","0,3","39,0","24,1"
13/01/2009 16.00,"1,1","33,9","61,4","0,2","25,8","24,1"
13/01/2009 17.00,"0,9","24,7","47,4","0,3","34,0","24,1"
13/01/2009 18.00,"0,6","17,9","28,9","0,2","41,7","24,1"
13/01/2009 19.00,"0,6","15,1","22,3","0,2","44,9","24,1"
13/01/2009 20.00,"0,7","15,3","21,9","0,3","43,7","24,1"
13/01/2009 21.00,"0,6","15,6","23,6","0,3","42,5","24,1"
13/01/2009 22.00,"0,6","15,5","23,3","0,2","42,4","24,1"
13/01/2009 23.00,"0,5","12,2","17,3","0,2","50,5","24,1"
14/01/2009 0.00,"0,6","10,0","13,9","0,2","54,8","24,1"
14/01/2009 1.00,"0,7","11,0","15,5","0,1","54,1",
14/01/2009 2.00,"0,8",,,"0,1","54,4",
14/01/2009 3.00,"0,7","12,6","18,7",,"49,9",
14/01/2009 4.00,,"13,6","20,4","0,1","50,3",
14/01/2009 5.00,"0,2","13,2","20,5","0,1",,"16,6"
14/01/2009 6.00,"0,4","15,0","32,5","0,1","46,9","16,6"
14/01/2009 7.00,"0,5","16,0","35,4","0,1","43,4","16,6"
14/01/2009 8.00,"0,2","14,5","30,6","0,1","48,5","16,6"
14/01/2009 9.00,"0,3","21,6","43,7","0,2","39,3","16,6"
14/01/2009 10.00,"0,3","20,8","40,4","0,2","38,5","16,6"
14/01/2009 11.00,"0,3","18,1","35,5","0,1","42,1","16,6"
14/01/2009 12.00,"0,3","15,3","30,2","0,1","44,8","16,6"
14/01/2009 13.00,"0,3","10,5","19,0","0,1","51,5","16,6"
14/01/2009 14.00,"0,3","10,5","17,9","0,1","52,0","16,6"
14/01/2009 15.00,"0,1","10,3","17,5","0,1","53,0","16,6"
14/01/2009 16.00,"0,2","10,5","18,9","0,1","52,2","16,6"
14/01/2009 17.00,"0,2","12,2","23,2","0,1","48,5","16,6"
14/01/2009 18.00,"0,3","12,1","25,2","0,1","48,0","16,6"
14/01/2009 19.00,"0,1","11,3","23,0","0,1","50,6","16,6"
14/01/2009 20.00,"0,2","13,0","26,3","0,2","48,1","16,6"
14/01/2009 21.00,"0,3","12,6","29,0","0,2","45,2","16,6"
14/01/2009 22.00,"0,4","14,5","36,9","0,2","37,5","16,6"
14/01/2009 23.00,"0,5","15,7","44,6","0,3","29,0","16,6"
15/01/2009 0.00,"0,4","13,6","46,2","0,3","27,2","16,6"
15/01/2009 1.00,"0,4","11,8","45,5","0,3","25,0",
