,ARPA Puglia,,,
,Molfetta ASM,,,
Parm,SO2,NO2,O3,PM10
,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
18/01/2009 4.00,"9,47644058","7,42123298","37,2969639",
18/01/2009 5.00,"10,78764444","5,24210554","42,82899915",
18/01/2009 6.00,"8,11827776","6,0597647","43,5800169",
18/01/2009 7.00,"18,66029229","6,27131794","44,66914725",
18/01/2009 8.00,"8,62758932","9,17855218","42,69736905",
18/01/2009 9.00,"9,96227368","8,4854885","43,15159065",
18/01/2009 10.00,"8,70524948","9,83397622","44,66914725",
18/01/2009 11.00,"12,46728096","13,90020558","42,65092545",
18/01/2009 12.00,"12,86462286","17,49920716","40,65851895",
18/01/2009 13.00,"3,06670451","8,04940337","53,8259379",
18/01/2009 14.00,"9,33015021","5,35891345","58,76438085",
18/01/2009 15.00,"11,41074","5,10972249","57,29458455",
18/01/2009 16.00,"11,01881871","13,60169267","44,565906",
18/01/2009 17.00,"9,85932786","45,67859776","11,30449992",
18/01/2009 18.00,"15,21973044","35,83034464","13,13323463",
18/01/2009 19.00,"19,79089119","13,67048452","37,02211275",
18/01/2009 20.00,"7,36153518","7,91831665","43,41485085",
18/01/2009 21.00,"8,0929931","7,82487147","44,5104051",
18/01/2009 22.00,"12,38962284","10,9683161","43,3232205",
18/01/2009 23.00,"18,23946786","8,00787282","49,48240395",
19/01/2009 0.00,"14,78627487","7,40176499","49,2023658",
19/01/2009 1.00,"10,9989567","5,79629683","53,7524022",
19/01/2009 2.00,"13,71889269","4,8994675","52,4568093",
19/01/2009 3.00,"7,63063948","6,85795586","44,2562022",
19/01/2009 4.00,"10,63051794","7,17074377","38,50092645",
19/01/2009 5.00,"10,89961614","19,50830808","23,0838657",
19/01/2009 6.00,"12,29029245","13,72628815","29,38541235",
19/01/2009 7.00,"12,11329377","29,47076496","21,1422519",
19/01/2009 8.00,"14,38713288","50,23931048","9,534905",
19/01/2009 9.00,"17,88368058","61,22709648","4,56937194",
19/01/2009 10.00,"20,75714289","56,00058712","9,11810162",
19/01/2009 11.00,"25,16394627","43,58382968","23,22365535",
19/01/2009 12.00,"14,79891618","39,26580712","28,5027645",
19/01/2009 13.00,"14,06745927","14,76458828","49,82434695",
19/01/2009 14.00,"7,19898908","7,66004178","57,2378268",
19/01/2009 15.00,"10,07786183","8,59580708","57,09715935",
19/01/2009 16.00,"8,13272628","22,5751752","42,64446165",
19/01/2009 17.00,"18,51218658","73,54911432","4,33456044",
