,SIMAGE Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,PM10,NOX



10/01/2010 13.00,"0,15990698","8,79957274","24,10000038","12,91786778"
10/01/2010 14.00,"0,11250766","8,58282842","24,10000038","11,59754766"
10/01/2010 15.00,"0,22223789","6,83199855","24,10000038","9,63003656"
10/01/2010 16.00,"0,20348645","8,2038509","24,10000038","10,96202945"
10/01/2010 17.00,"0,13125911","10,95533554","24,10000038","14,04364191"
10/01/2010 18.00,"0,07188054","20,48818896","24,10000038","24,61916056"
10/01/2010 19.00,"0,24394169","26,27151096","24,10000038","32,87829312"
10/01/2010 20.00,"0,30401486","26,58949568","24,10000038","32,73041904"
10/01/2010 21.00,"0,13282223","23,54079256","24,10000038","29,72534776"
10/01/2010 22.00,"0,17813772","17,99499258","24,10000038","23,70608496"
10/01/2010 23.00,"0,10313295","14,12733206","24,10000038","19,481846"
11/01/2010 0.00,"0,11771673","16,74384479","24,10000038","22,51028192"
11/01/2010 1.00,"0,13924662","21,78737384","38,20000076","27,33244152"
11/01/2010 2.00,"0,34846285","22,08587528","38,20000076","27,80843392"
11/01/2010 3.00,"0,4444768","18,43108154","38,20000076","24,31178744"
11/01/2010 4.00,"0,16737278","15,37459276","38,20000076","20,37935792"
11/01/2010 5.00,"0,20157754","12,38040076","38,20000076","16,979994"
11/01/2010 6.00,"0,19272252","16,16369428","38,20000076","21,8643892"
11/01/2010 7.00,"0,32085638","30,97759304","38,20000076","46,99717032"
11/01/2010 8.00,"0,31026534","48,05112208","38,20000076","62,44412272"
11/01/2010 9.00,"0,37971526","33,6979484","38,20000076","70,18965384"
11/01/2010 10.00,"0,29342382","41,85895712","38,20000076","89,1280712"
11/01/2010 11.00,"0,85457595","49,60986096","38,20000076","76,97411816"
11/01/2010 12.00,"0,35592864","24,86850448","38,20000076","33,28422984"
11/01/2010 13.00,"0,39047918","16,44402981","38,20000076","21,28723288"
11/01/2010 14.00,"0,53562949","21,1669872","38,20000076","27,1949496"
11/01/2010 15.00,"0,5757359","22,26369128","38,20000076","27,86160664"
11/01/2010 16.00,"0,99555859","20,2454988","38,20000076","25,46479992"
11/01/2010 17.00,"0,781654","21,23446168","38,20000076","27,32465968"
11/01/2010 18.00,"0,9195114","25,70565456","38,20000076","31,59040816"
11/01/2010 19.00,"0,66341554","14,09098877","38,20000076","20,250948"
11/01/2010 20.00,"0,63372626","15,8223583","38,20000076","22,8578644"
11/01/2010 21.00,"0,54569881","18,52841573","38,20000076","26,34284768"
11/01/2010 22.00,"1,23429019","26,25982864","38,20000076","35,10388024"
11/01/2010 23.00,"0,9740287","19,88338512","38,20000076","26,51404816"
12/01/2010 0.00,"0,7826954","19,20848736","38,20000076","27,31687784"
12/01/2010 1.00,,"14,17665593",,"20,57390392"
12/01/2010 2.00,"0,75080025",,,
12/01/2010 3.00,"0,68329688","8,83980887",,"14,46386127"
12/01/2010 4.00,"0,44339369","12,23892997",,"17,61940122"
12/01/2010 5.00,"0,32114318","8,36219127",,"13,68826994"
12/01/2010 6.00,,,,
12/01/2010 7.00,,,,
12/01/2010 8.00,,,,
12/01/2010 9.00,,,,
12/01/2010 10.00,,,,
12/01/2010 11.00,,,,
12/01/2010 12.00,,,,
12/01/2010 13.00,,,,
12/01/2010 14.00,,,,
12/01/2010 15.00,,,,
12/01/2010 16.00,,,,
12/01/2010 17.00,,,,
12/01/2010 18.00,,,,
12/01/2010 19.00,,,,
12/01/2010 20.00,,,,
12/01/2010 21.00,,,,
12/01/2010 22.00,,,,
12/01/2010 23.00,,,,
13/01/2010 0.00,,,,
13/01/2010 1.00,,,"54,6928215",
13/01/2010 2.00,,,"54,6928215",
13/01/2010 3.00,,,"54,6928215",
13/01/2010 4.00,,,"54,6928215",
13/01/2010 5.00,,,"54,6928215",
13/01/2010 6.00,,,"54,6928215",
13/01/2010 7.00,,,"54,6928215",
13/01/2010 8.00,,,"54,6928215",
13/01/2010 9.00,,,"54,6928215",
13/01/2010 10.00,,,"54,6928215",
13/01/2010 11.00,,,"54,6928215",
13/01/2010 12.00,,,"54,6928215",
13/01/2010 13.00,,,"54,6928215",
13/01/2010 14.00,,,"54,6928215",
13/01/2010 15.00,,,"54,6928215",
13/01/2010 16.00,,,"54,6928215",
13/01/2010 17.00,,,"54,6928215",
13/01/2010 18.00,,,"54,6928215",
13/01/2010 19.00,,,"54,6928215",
13/01/2010 20.00,,,"54,6928215",
13/01/2010 21.00,,,"54,6928215",
13/01/2010 22.00,,,"54,6928215",
13/01/2010 23.00,,,"54,6928215",
14/01/2010 0.00,,,"54,6928215",
14/01/2010 1.00,,,"38,90000153",
14/01/2010 2.00,,,"38,90000153",
14/01/2010 3.00,,,"38,90000153",
14/01/2010 4.00,,,"38,90000153",
14/01/2010 5.00,,,"38,90000153",
14/01/2010 6.00,,,"38,90000153",
