Stat,LECCE-Via Garigliano,,,,,,,,  ,
Parm,SO2,NO2,NOX,CO,PM10,BENZENE,PM2.5,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,Aver,Aver,,,
12/01/2014 13.00,,"18,8","22,2","0,7","37,4","0,7","23,5",,,
12/01/2014 14.00,,"11,3","13,2","0,7","37,4","0,9","23,5",,,
12/01/2014 15.00,,"12,5","14,5","0,7","37,4","0,9","23,5",,,
12/01/2014 16.00,,"15,5","17,3","0,8","37,4","0,9","23,5",,,
12/01/2014 17.00,,"23,0","24,8","1,0","37,4","1,4","23,5",,,
12/01/2014 18.00,,"22,6","24,7","1,0","37,4","3,5","23,5",,,
12/01/2014 19.00,,"30,8","34,2","1,1","37,4","3,4","23,5",,,
12/01/2014 20.00,,"32,0","35,4","1,0","37,4","3,6","23,5",,,
12/01/2014 21.00,,"29,8","33,0","0,9","37,4","3,2","23,5",,,
12/01/2014 22.00,,"34,2","37,8","1,1","37,4","3,3","23,5",,,
12/01/2014 23.00,,"23,7","26,2","1,0","37,4","3,4","23,5",,,
13/01/2014 0.00,,"20,8","23,0","1,0","37,4","2,7","23,5",,,
13/01/2014 1.00,,"21,6","24,0","1,0","35,1","2,7","24,0",,,
13/01/2014 2.00,,"22,3","24,9","1,0","35,1","3,2","24,0",,,
13/01/2014 3.00,,"15,8","18,1","0,9","35,1","2,3","24,0",,,
13/01/2014 4.00,,"15,1","17,1","0,9","35,1","2,0","24,0",,,
13/01/2014 5.00,,"16,5","18,8","0,9","35,1","1,8","24,0",,,
13/01/2014 6.00,,"32,0","40,6","0,9","35,1","2,0","24,0",,,
13/01/2014 7.00,,"28,7","35,6","0,9","35,1","2,3","24,0",,,
13/01/2014 8.00,,"32,1","43,3","1,0","35,1","2,1","24,0",,,
13/01/2014 9.00,,"25,9","33,6","0,9","35,1","2,4","24,0",,,
13/01/2014 10.00,,"18,9","24,2","0,8","35,1","2,1","24,0",,,
13/01/2014 11.00,,"12,5","16,9","0,8","35,1","2,0","24,0",,,
13/01/2014 12.00,,"10,3","20,2","0,8","35,1","1,3","24,0",,,
13/01/2014 13.00,,,,,"35,1","1,5","24,0",,,
13/01/2014 14.00,"6,3","22,4","24,2","0,8","35,1","1,3","24,0",,,
13/01/2014 15.00,"5,4","23,8","24,6","0,8","35,1","1,5","24,0",,,
13/01/2014 16.00,"5,8","34,0","35,4","0,8","35,1","1,9","24,0",,,
13/01/2014 17.00,"5,9","53,0","56,1","0,9","35,1","2,0","24,0",,,
13/01/2014 18.00,"5,4","63,1","71,0","1,1","35,1","2,5","24,0",,,
13/01/2014 19.00,"6,2","63,1","72,6","1,0","35,1","3,4","24,0",,,
13/01/2014 20.00,"6,8","69,9","80,0","1,0","35,1","3,1","24,0",,,
13/01/2014 21.00,"6,5","69,5","76,8","1,1","35,1","3,2","24,0",,,
13/01/2014 22.00,"7,3","65,7","71,0","1,1","35,1","3,9","24,0",,,
