,BAT,,,,
,Andria,,,,
Parm,O3,NO2,CO,Benzene,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
15/01/2010 0.00,"22,56797865","48,7234004","0,79704058",,"39,56044006"
15/01/2010 1.00,"35,80823505",,"0,522619",,
15/01/2010 2.00,"35,523369",,"0,48517474",,"37,11843109"
15/01/2010 3.00,"26,71678065","30,03794064","0,55263639",,
15/01/2010 4.00,"38,69336415",,"0,47036526",,"27,8388195"
15/01/2010 5.00,"29,79091605","29,00354864","0,56843496",,
15/01/2010 6.00,"31,6459269","34,00943232","0,56199717",,"23,93161964"
15/01/2010 7.00,"10,16071455","73,54261352","1,172456",,
15/01/2010 8.00,"10,05811569","70,18630784","1,22668442",,"21,48962021"
15/01/2010 9.00,"10,59679163","69,38164264","1,80771769",,
15/01/2010 10.00,"12,6516137","67,14280536","1,5584939",,"32,23442078"
15/01/2010 11.00,"32,18731005","45,41902464","0,87074081",,
15/01/2010 12.00,"52,1496192","27,51746576","0,60129495",,"56,65444183"
15/01/2010 13.00,"56,17961895","25,25658312","0,62005727",,
15/01/2010 14.00,"55,51269045","31,86015312","0,67965634",,"46,39804077"
15/01/2010 15.00,"69,09046095",,"0,52652874",,
15/01/2010 16.00,"60,0354552",,"0,66204154",,"37,11843109"
15/01/2010 17.00,"52,7558199","38,69214976","0,73518956",,
15/01/2010 18.00,"50,2109181","42,18862416","0,83527355",,"23,44322014"
15/01/2010 19.00,"53,1689445","39,98223352","0,78369084",,
15/01/2010 20.00,"37,5147381","56,73905888","0,92157325",,"18,55920982"
15/01/2010 21.00,"38,52865695","55,554116","0,78139929",,
15/01/2010 22.00,"24,96165945","80,91322056","1,57330571",,"31,25761986"
15/01/2010 23.00,"35,80823505","66,11099456","0,99871023",,
16/01/2010 0.00,"31,635114","52,99859416","0,75458099",,"23,44322014"
16/01/2010 1.00,"39,48721455",,"0,63905376",,
16/01/2010 2.00,,,"0,65039038",,"26,37360954"
16/01/2010 3.00,"40,5497316",,"0,5885382",,
16/01/2010 4.00,"38,07096405",,,,"26,86202049"
16/01/2010 5.00,"36,7924284",,"0,47581513",,
16/01/2010 6.00,"29,53439895",,"0,55117432",,"21,97801971"
16/01/2010 7.00,"17,25945722","42,77914536","0,74376047",,
16/01/2010 8.00,"13,43467314","43,75256368","0,95526389",,"25,88521957"
16/01/2010 9.00,"16,23338682","43,14774072","1,07493851",,
16/01/2010 10.00,"28,59204075","35,40723816","0,94594272",,"33,69963074"
16/01/2010 11.00,"38,743299","28,61937048","0,744668",,
16/01/2010 12.00,"45,37222515","25,36040472","0,68174985",,"40,04883957"
16/01/2010 13.00,"53,50647855","21,39281352","0,61369754",,
16/01/2010 14.00,"63,3161529","18,93594897","0,54394666",,"32,23442078"
16/01/2010 15.00,"65,36559645",,"0,50314603",,
16/01/2010 16.00,"66,33764025",,"0,50381823",,"30,76922989"
16/01/2010 17.00,"49,8949899",,"0,69549452",,
16/01/2010 18.00,"34,4378895",,"0,75572735",,"24,42000961"
16/01/2010 19.00,"27,6132339","54,556052","0,87030626",,
16/01/2010 20.00,"22,5531159","58,30559872","0,86078821",,"34,67642975"
16/01/2010 21.00,"20,20127025","61,30497224","1,04768567",,
16/01/2010 22.00,"16,09973579","59,59438232","1,05787592",,"35,16482162"
16/01/2010 23.00,"24,10165485","46,64421512","0,83325926",,
17/01/2010 0.00,"30,99517785","35,29173424","0,63731558",,"42,97924042"
17/01/2010 1.00,"36,03773985",,"0,53814146",,
17/01/2010 2.00,"40,1392803",,"0,51949797",,"37,6068306"
17/01/2010 3.00,"44,9833797",,"0,4707998",,
17/01/2010 4.00,"47,5714932",,"0,43849086",,"34,18803024"
17/01/2010 5.00,"50,6145864",,"0,40847347",,
17/01/2010 6.00,"41,6972955","23,61086736","0,49473356",,"30,76922989"
17/01/2010 7.00,"22,37625915","44,93750656","0,57297613",,
17/01/2010 8.00,"22,6881375","43,6811696","0,70039218",,"28,32722092"
17/01/2010 9.00,"28,0331016","47,34635888","0,83452329",,
17/01/2010 10.00,"30,52535535","54,62222632","1,0654193",,"33,69963074"
17/01/2010 11.00,"40,54161195","50,14198968","1,0642741",,
17/01/2010 12.00,"60,95620755",,"0,79364344",,"47,37483978"
17/01/2010 13.00,"52,5141456","33,66938312","0,82994134",,
17/01/2010 14.00,"52,8935148","39,31901808","0,72262853",,"56,65444183"
17/01/2010 15.00,"65,79220725",,"0,47597357",,
17/01/2010 16.00,"54,6648354",,"0,56649873",,"46,39804077"
17/01/2010 17.00,"37,1259126","39,36314704","0,70039218",,
17/01/2010 18.00,"14,93056005","74,24475728","1,30867829",,"34,67642975"
17/01/2010 19.00,"27,03809535","60,26149824","1,06312891",,
17/01/2010 20.00,"36,4549143","56,9129744","0,79798889",,"43,46763992"
17/01/2010 21.00,"36,9989907","60,11482872","0,78183383",,
17/01/2010 22.00,"12,2803442","92,70050936","1,29090621",,"39,56044006"
17/01/2010 23.00,"10,05406584","91,15213352","1,74661693",,
18/01/2010 0.00,"25,2087402","55,52425056","0,75537202",,"40,04883957"
18/01/2010 1.00,"33,3807789",,"0,6704144",,
18/01/2010 2.00,,,"0,59347547",,"34,67642975"
18/01/2010 3.00,"35,53551855",,"0,4326845",,
18/01/2010 4.00,"38,32883775",,,,"34,18803024"
18/01/2010 5.00,"38,5704921",,"0,46361059",,
18/01/2010 6.00,"32,65848915","22,81916552","0,53308536",,"26,86202049"
18/01/2010 7.00,"19,39933412","44,6273228","0,59406845",,
18/01/2010 8.00,"19,34398085","48,31975808","0,804782",,"26,86202049"
18/01/2010 9.00,"21,48385575","47,39698864","0,94985246",,
18/01/2010 10.00,"23,4603621","44,95048904","0,94396688",,"33,21123123"
18/01/2010 11.00,"27,2730066","47,80063096","0,85719419",,
