"NetC","SIMAGE Brindisi","","",""
"Stat","S. Pancrazio S.","","",""
Parm,SO2,NOX,NO2,PM10
,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,,
22/01/2011 7.00,"0,3","20,1","7,8","25,3"
22/01/2011 8.00,"0,3","23,5","10,1","25,3"
22/01/2011 9.00,"0,2","21,7","9,7","25,3"
22/01/2011 10.00,"0,2","23,4","10,9","25,3"
22/01/2011 11.00,"0,2","32,1","17,8","25,3"
22/01/2011 12.00,"0,5","38,4","23,7","25,3"
22/01/2011 13.00,"0,3","24,2",14,"25,3"
22/01/2011 14.00,"0,3","18,4","10,1","25,3"
22/01/2011 15.00,"0,4","14,5","6,8","25,3"
22/01/2011 16.00,"0,9","16,8","8,3","25,3"
22/01/2011 17.00,"0,5","16,9","8,7","25,3"
22/01/2011 18.00,"0,6","26,7","18,3","25,3"
22/01/2011 19.00,"1,1","44,2",31,"25,3"
