, Brindisi,
,S. Pietro  Vernotico,
Parm,SO2,NO2
,,,,,,,,
,,,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,
18/01/2008 17.00,,
18/01/2008 18.00,,
18/01/2008 19.00,"2,89704","51,561838"
18/01/2008 20.00,"1,863995","46,209425"
18/01/2008 21.00,"1,671868","39,901774"
18/01/2008 22.00,"4,163358","43,316473"
18/01/2008 23.00,"1,924624","36,520804"
19/01/2008 0.00,"0,786452","28,242973"
19/01/2008 1.00,"0,482221","20,363603"
19/01/2008 2.00,"0,520192","16,023526"
19/01/2008 3.00,"0,590428","14,912548"
19/01/2008 4.00,"0,504787","14,342781"
19/01/2008 5.00,"0,490831","14,146801"
19/01/2008 6.00,"0,392863","15,972912"
19/01/2008 7.00,"0,606469","19,242233"
19/01/2008 8.00,"0,727998","18,505058"
19/01/2008 9.00,"0,601303","17,526455"
19/01/2008 10.00,"0,547743","14,999508"
19/01/2008 11.00,"0,541581","17,340862"
19/01/2008 12.00,"0,449505","17,701675"
19/01/2008 13.00,"0,521825","16,712699"
19/01/2008 14.00,"0,471798","14,263615"
19/01/2008 15.00,"0,359966","13,887227"
19/01/2008 16.00,"0,725551","15,02806"
19/01/2008 17.00,"0,585443","14,389501"
19/01/2008 18.00,"0,423857","14,045571"
19/01/2008 19.00,"0,580549","14,851548"
19/01/2008 20.00,"0,378997","13,477099"
19/01/2008 21.00,"0,312388","11,972867"
19/01/2008 22.00,"0,493095","11,918354"
19/01/2008 23.00,"0,426032","15,523846"
20/01/2008 0.00,"0,385795","13,846996"
20/01/2008 1.00,,"13,767818"
20/01/2008 2.00,"0,156964",
20/01/2008 3.00,"0,125294","14,312927"
20/01/2008 4.00,"0,093476","13,307074"
20/01/2008 5.00,"0,17427","12,146785"
20/01/2008 6.00,"0,190586","11,802843"
20/01/2008 7.00,"0,168351","11,815823"
20/01/2008 8.00,"0,217027","12,42712"
20/01/2008 9.00,"0,115199","11,926147"
20/01/2008 10.00,"0,140138","12,288244"
20/01/2008 11.00,"0,166578","12,647757"
20/01/2008 12.00,"0,12848","12,967031"
20/01/2008 13.00,"0,125655","13,179886"
20/01/2008 14.00,"0,136382","12,084482"
20/01/2008 15.00,"0,080195","11,205826"
20/01/2008 16.00,"0,136231","12,824269"
20/01/2008 17.00,"0,207051","14,606253"
20/01/2008 18.00,"0,232801","17,610821"
20/01/2008 19.00,"0,206991","19,12803"
20/01/2008 20.00,"0,192118","18,188379"
20/01/2008 21.00,"0,231719","27,382497"
20/01/2008 22.00,"0,209545","24,742617"
20/01/2008 23.00,"0,146176","18,982677"
21/01/2008 0.00,"0,167029","12,891759"
