NetC,Provincia di TARANTO,,,,
Stat,GROTTAGLIE,,,,
Parm,SO2,NOX,NO2,CO,O3
PtId,1,2,4,5,6
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
,,,,,
,,,,,
16/01/2007 21.00,"0,397335",,,"0,247868","60,014048"
16/01/2007 22.00,"0,195056","52,737568","51,398324","0,318359","58,920529"
16/01/2007 23.00,"0,718816","45,682039","44,890796","0,276983","55,601729"
17/01/2007 0.00,"0,036122","35,316589","34,455903","0,190905","62,332677"
17/01/2007 1.00,"0,335928","25,59709","24,812711","0,137344","67,496196"
17/01/2007 2.00,"0,37205","21,65946","20,93726","0,17358","77,749643"
17/01/2007 3.00,"0,502087","18,515611","17,747104","0,174924","79,549073"
17/01/2007 4.00,"0,426232","16,204401","16,046892","0,149607","76,278385"
17/01/2007 5.00,"0,906646","16,204401","15,517354","0,159337","72,146163"
17/01/2007 6.00,"0,805507","21,996681","21,004754","0,206411","57,024882"
17/01/2007 7.00,"0,415396","51,264218","47,447596","0,298897","28,741607"
17/01/2007 8.00,"1,834966","130,659811","71,375166","0,651515","9,377772"
17/01/2007 9.00,"1,58934","135,424873","67,735922","1,088153","11,308773"
17/01/2007 10.00,"2,615187","131,961955","56,301668","0,807531","20,315902"
17/01/2007 11.00,"0,368438","36,346412","29,552541","0,209023","54,520938"
17/01/2007 12.00,"8,986996","73,78488","49,75261","0,587985","38,549427"
17/01/2007 13.00,"24,880396","90,938658","63,927983","0,573032","40,462053"
17/01/2007 14.00,"44,52319","61,663355","46,62215","0,561878","59,165258"
17/01/2007 15.00,"25,660617","23,459666","20,244198","0,268517","85,100193"
17/01/2007 16.00,"10,179","17,42615","15,847015","0,180541","87,014219"
17/01/2007 17.00,"5,270108","30,676012","29,121653","0,223501","67,211852"
17/01/2007 18.00,"3,630198","69,515235","65,59703","0,352776","27,614132"
