,Provincia di TARANTO,Provincia di TARANTO
Stazione,TA V. Machiavelli,TA V. Machiavelli
,IPA TOT,IPA TOT 2
Unit,ng/m3,ng/m3
30/09/2013 07.00.00,,14
30/09/2013 08.00.00,,13
30/09/2013 09.00.00,,6
30/09/2013 10.00.00,,3
30/09/2013 11.00.00,,5
30/09/2013 12.00.00,,8
30/09/2013 13.00.00,,15
30/09/2013 14.00.00,,17
30/09/2013 15.00.00,,4
30/09/2013 16.00.00,,14
30/09/2013 17.00.00,,5
30/09/2013 18.00.00,,18
30/09/2013 19.00.00,,22
30/09/2013 20.00.00,,27
30/09/2013 21.00.00,,8
30/09/2013 22.00.00,,12
30/09/2013 23.00.00,,12
01/10/2013 00.00.00,,3
01/10/2013 01.00.00,,1
01/10/2013 02.00.00,,1
01/10/2013 03.00.00,,1
01/10/2013 04.00.00,,1
01/10/2013 05.00.00,,6
01/10/2013 06.00.00,,8
01/10/2013 07.00.00,,25
01/10/2013 08.00.00,,22
01/10/2013 09.00.00,,17
01/10/2013 10.00.00,,14
01/10/2013 11.00.00,,11
01/10/2013 12.00.00,,10
01/10/2013 13.00.00,,6
01/10/2013 14.00.00,,6
01/10/2013 15.00.00,,6
01/10/2013 16.00.00,,6
01/10/2013 17.00.00,,6
01/10/2013 18.00.00,,9
01/10/2013 19.00.00,,7
01/10/2013 20.00.00,,10
01/10/2013 21.00.00,,9
01/10/2013 22.00.00,,4
01/10/2013 23.00.00,,4
02/10/2013 00.00.00,,3
02/10/2013 01.00.00,,2
02/10/2013 02.00.00,,2
02/10/2013 03.00.00,,2
02/10/2013 04.00.00,,3
02/10/2013 05.00.00,,5
02/10/2013 06.00.00,,6
02/10/2013 07.00.00,,17
02/10/2013 08.00.00,,19
02/10/2013 09.00.00,,16
02/10/2013 10.00.00,,7
02/10/2013 11.00.00,,9
02/10/2013 12.00.00,,8
02/10/2013 13.00.00,,9
02/10/2013 14.00.00,,4
02/10/2013 15.00.00,,5
02/10/2013 16.00.00,,4
02/10/2013 17.00.00,,6
02/10/2013 18.00.00,,5
02/10/2013 19.00.00,,5
02/10/2013 20.00.00,,4
02/10/2013 21.00.00,,5
02/10/2013 22.00.00,,2
02/10/2013 23.00.00,,2
03/10/2013 00.00.00,,3
03/10/2013 01.00.00,,2
03/10/2013 02.00.00,,1
03/10/2013 03.00.00,,1
03/10/2013 04.00.00,,1
03/10/2013 05.00.00,,2
03/10/2013 06.00.00,,11
03/10/2013 07.00.00,,9
03/10/2013 08.00.00,,8
03/10/2013 09.00.00,,5
03/10/2013 10.00.00,,7
03/10/2013 11.00.00,,4
03/10/2013 12.00.00,,7
03/10/2013 13.00.00,,5
03/10/2013 14.00.00,,4
03/10/2013 15.00.00,,4
03/10/2013 16.00.00,,3
03/10/2013 17.00.00,,5
03/10/2013 18.00.00,,5
03/10/2013 19.00.00,,5
03/10/2013 20.00.00,,5
03/10/2013 21.00.00,,4
03/10/2013 22.00.00,,2
03/10/2013 23.00.00,,3
04/10/2013 00.00.00,,2
04/10/2013 01.00.00,,2
04/10/2013 02.00.00,,2
04/10/2013 03.00.00,,3
04/10/2013 04.00.00,,4
04/10/2013 05.00.00,,6
04/10/2013 06.00.00,,17
04/10/2013 07.00.00,,22
04/10/2013 08.00.00,,27
04/10/2013 09.00.00,,15
04/10/2013 10.00.00,,9
04/10/2013 11.00.00,,11
04/10/2013 12.00.00,,4
04/10/2013 13.00.00,,6
04/10/2013 14.00.00,,2
04/10/2013 15.00.00,,2
04/10/2013 16.00.00,,4
04/10/2013 17.00.00,,6
04/10/2013 18.00.00,,7
04/10/2013 19.00.00,,5
04/10/2013 20.00.00,,3
04/10/2013 21.00.00,,4
04/10/2013 22.00.00,,4
04/10/2013 23.00.00,,2
05/10/2013 00.00.00,,8
05/10/2013 01.00.00,,3
05/10/2013 02.00.00,,2
05/10/2013 03.00.00,,2
05/10/2013 04.00.00,,2
05/10/2013 05.00.00,,12
05/10/2013 06.00.00,,6
05/10/2013 07.00.00,,23
05/10/2013 08.00.00,,8
05/10/2013 09.00.00,,6
05/10/2013 10.00.00,,5
05/10/2013 11.00.00,,3
05/10/2013 12.00.00,,2
05/10/2013 13.00.00,,4
05/10/2013 14.00.00,,2
05/10/2013 15.00.00,,2
05/10/2013 16.00.00,,2
05/10/2013 17.00.00,,3
05/10/2013 18.00.00,,2
05/10/2013 19.00.00,,3
05/10/2013 20.00.00,,5
05/10/2013 21.00.00,,8
05/10/2013 22.00.00,,8
05/10/2013 23.00.00,,5
06/10/2013 00.00.00,,2
06/10/2013 01.00.00,,2
06/10/2013 02.00.00,,1
06/10/2013 03.00.00,,1
06/10/2013 04.00.00,,1
06/10/2013 05.00.00,,1
06/10/2013 06.00.00,,2
06/10/2013 07.00.00,,3
06/10/2013 08.00.00,,4
06/10/2013 09.00.00,,8
