,Provincia di TARANTO,,,,,,,
,MARTINA FRANCA,,,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene,Toluene,Xylene
,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
09/01/2006 10.00,"135,526037","62,262334","40,088653","1,661027","14,842459","5,809773","23,484116","24,257087"
09/01/2006 11.00,"79,924754","32,673208","29,848441","1,019408","31,846066","4,26226","18,481452","18,676686"
09/01/2006 12.00,"61,793029","23,808322","25,305911","0,729982","40,937599","3,000396","11,383911","10,898223"
09/01/2006 13.00,"68,69554","26,142967","28,631051","0,839351","44,299873","2,933935","11,963174","11,196082"
09/01/2006 14.00,"80,324208","31,135396","32,607726","1,1432","41,175924","3,232346","13,567054","13,777543"
09/01/2006 15.00,"60,812515","22,414302","26,463589","0,741316","47,566006","3,126715","12,389836","11,476601"
09/01/2006 16.00,"68,571029","24,625443","30,834843","0,735135","47,674316","2,559381","10,093542","9,15951"
09/01/2006 17.00,"75,017013","26,271533","34,759605","1,18758","40,970099","2,940978","12,938995","11,089022"
09/01/2006 18.00,"112,281683","41,192984","49,155588","1,390701","25,774223","3,515793","17,85133","19,773632"
09/01/2006 19.00,"129,713001","51,220126","51,214009","1,687101","16,972481","4,113055","16,146756","16,492383"
09/01/2006 20.00,"129,539221","49,51989","53,648825","1,760251","18,869597","4,830034","22,361907","18,880646"
09/01/2006 21.00,"93,498901","33,060626","42,837554","1,206204","29,579286","4,418068","16,910808","18,082759"
09/01/2006 22.00,"105,809771","37,96","47,639676","1,243373","21,808024","3,415002","15,37648","14,085571"
09/01/2006 23.00,"57,07205","13,075705","37,049051","0,843312","29,560313","3,452414","14,114139","14,352331"
10/01/2006 0.00,"43,822178","7,756783","31,950991","0,716035","31,066101","2,969146","11,139953","11,046552"
10/01/2006 1.00,"32,98724","6,268021","23,392841","0,599615","41,383103","2,909288","9,914987","8,165447"
10/01/2006 2.00,,,,"0,508635","45,563266","2,462992","7,879254","6,773636"
10/01/2006 3.00,"28,533425","0,552053","28,165173",,"46,75895","2,288258","5,690918","5,058844"
10/01/2006 4.00,"11,794688","0,054136","12,482931","0,257317",,"1,723125","5,75009","2,512076"
10/01/2006 5.00,"7,462792","0,225006","7,914426","0,23363","49,962781","2,198031","4,661113","3,757349"
10/01/2006 6.00,"10,915338","1,39233","9,401786","0,247843","49,895069","2,132891","4,501245","1,706418"
10/01/2006 7.00,"25,643781","5,794325","16,771096","0,387594","46,136049","2,317307","5,525858","2,71723"
10/01/2006 8.00,"82,918162","28,047898","39,940704","0,794295","21,420735","2,812018","8,465786","6,813709"
10/01/2006 9.00,"231,408782","114,429839","55,995383","2,377198","12,954814","5,007408","18,960033","17,58394"
10/01/2006 10.00,"122,76384","51,864689","43,271044","1,576904","19,947475","5,442701","23,32944","22,280324"
10/01/2006 11.00,"79,883246","28,474223","36,24957","1,014739","34,479823","3,937882","14,934248","15,225578"
10/01/2006 12.00,"85,304588","30,920537","37,921209","0,804875","36,528609","3,291324","16,676196","14,5198"
10/01/2006 13.00,"91,236949","35,506941","36,820626","0,859433","36,582775","3,586655","13,777786","12,640526"
10/01/2006 14.00,"126,771466","51,797027","47,385286","1,387488","24,577184","3,740262","16,809066","15,266848"
10/01/2006 15.00,"109,277874","40,536576","47,156876","0,953943","26,738347","4,474846","22,94534","20,081061"
10/01/2006 16.00,"78,609605","26,215717","38,440357","0,922677","34,696481","3,172928","14,018632","12,750576"
10/01/2006 17.00,"69,209141","21,536275","36,213222","0,93602","38,088538","3,017121","13,487118","12,252347"
10/01/2006 18.00,"74,262173","24,80985","36,246948","1,036846","34,091198","3,095464","13,543175","13,075354"
10/01/2006 19.00,"100,956506","36,100736","45,635768","1,418992","31,36942","3,335338","15,379592","15,837445"
10/01/2006 20.00,"108,878398","37,83989","50,894741","1,375251","25,351741","4,060239","16,035679","17,004962"
10/01/2006 21.00,"93,983939","32,047251","44,877814","1,067955","32,668026","4,138583","15,743973","15,875725"
10/01/2006 22.00,"61,108246","18,007229","33,521412","0,781503","42,746705","3,127154","13,996828","12,540637"
10/01/2006 23.00,"34,395752","7,687418","22,624484","0,495367","53,074543","2,519769","11,312274","9,134988"
11/01/2006 0.00,"22,62701","3,789573","16,8282","0,438047","48,857831","2,285178","7,472314","6,838233"
11/01/2006 1.00,"14,038454","1,69854","11,514715","0,361775","51,101586","2,246885","6,563969","5,654565"
11/01/2006 2.00,"8,09831","0,267301","7,761276","0,286767","54,932386","2,257009","5,545583","4,098872"
11/01/2006 3.00,"6,731299","0,165794","6,870934","0,300584","51,849053","2,159298","5,201969","2,821899"
11/01/2006 4.00,"2,897441","0,001692","3,72749","0,25337","54,48012","2,079635","3,928208","1,843386"
11/01/2006 5.00,"3,888329","0,001692","4,737234","0,274688","47,819213","2,246885","3,736157","1,835611"
11/01/2006 6.00,"7,242306","0,428019","7,016298","0,292294","47,599841","2,143894","4,370443","2,701679"
11/01/2006 7.00,"14,993026","2,738982","10,852805","0,32514","48,555846","2,143455","4,569759","4,070761"
11/01/2006 8.00,"53,004751","16,2833","28,057376","0,705864","30,720806","2,437024","9,427075","7,084057"
11/01/2006 9.00,"152,207738","68,965134","46,497562","1,727313","15,416596","3,141679","13,116513","12,648896"
11/01/2006 10.00,"80,557665","27,452392","38,492288","1,058006","21,707815","4,088848","19,084605","20,185731"
11/01/2006 11.00,,,,"0,791767","28,150686","3,519754","13,354237","9,769587"
11/01/2006 12.00,"113,704553","35,398314","59,470427","0,759474","30,85485","3,588415","11,261413","10,853963"
11/01/2006 13.00,"104,170402","34,090922","51,935636","0,881936","31,235376","3,601619","13,49023","10,930523"
11/01/2006 14.00,"125,87138","47,417024","53,204955","1,02974","28,754634","3,375831","11,855209","11,63211"
