, Brindisi,,,,
,Torchiarolo,,,,
Parm,SO2,NOX,NO2,CO,PM10
,,,,
,,,,,
,,,,
,,,,,
,,,,,
08/01/2007 14.00,,"53,79847936","41,51632672","1,20488544","123,53330231"
08/01/2007 15.00,,"49,2214764","37,80958968","0,98211981","123,53330231"
08/01/2007 16.00,,"71,1014484","57,02977848","1,50951853","123,53330231"
08/01/2007 17.00,,"98,30548","77,4375296","2,48233638","123,53330231"
08/01/2007 18.00,,"117,55517096","86,73028936","2,97555242","123,53330231"
08/01/2007 19.00,,"130,84137216","83,09624656","2,86944546","123,53330231"
08/01/2007 20.00,,"125,4433564","78,82883464","2,60599021","123,53330231"
08/01/2007 21.00,,"123,4356608","76,09423488","2,63106133","123,53330231"
08/01/2007 22.00,,"99,59078376","65,57628464","1,88029078","123,53330231"
08/01/2007 23.00,,"88,5171872","63,51526336","1,56548442","123,53330231"
09/01/2007 0.00,,"61,056374","46,53649304","1,12003024","123,53330231"
09/01/2007 1.00,,"55,38857504","40,0107988","0,97463293","87,20526123"
09/01/2007 2.00,,"50,17734256","35,9782952","0,87208019","87,20526123"
09/01/2007 3.00,,"40,81578904","25,9431632","0,73587154","87,20526123"
09/01/2007 4.00,,"37,31524208","21,44342416","0,57818453","87,20526123"
09/01/2007 5.00,,"37,8716532","21,86264928","0,65687619","87,20526123"
09/01/2007 6.00,,"40,49025192","23,01126416","0,66326749","87,20526123"
09/01/2007 7.00,,"63,81372656","39,21519648","0,94196046","87,20526123"
09/01/2007 8.00,,"141,37410216","46,81423016","1,87942179","87,20526123"
09/01/2007 9.00,,"141,12770272","65,44647896","1,36257245","87,20526123"
09/01/2007 10.00,"3,22390526","104,44017024","64,59638464","1,03536192","87,20526123"
09/01/2007 11.00,"2,05351826","47,30712464","36,54028936","0,68656091","87,20526123"
09/01/2007 12.00,"1,8442278","39,13359232","28,72709256","0,53273181","87,20526123"
09/01/2007 13.00,"4,01263045","40,4811508","28,96978272","0,47756016","87,20526123"
09/01/2007 14.00,"2,56875792","32,60720976","21,05926512","0,38396949","87,20526123"
09/01/2007 15.00,"1,18763023","29,61252064","17,43690464","0,38067923","87,20526123"
09/01/2007 16.00,"1,04344302","21,4960424","17,02028558","0,80548784","87,20526123"
09/01/2007 17.00,"1,69862391","20,01879296","23,75883704","0,76729541","87,20526123"
09/01/2007 18.00,"1,95543573","32,376374","30,43768248","0,90656656","87,20526123"
09/01/2007 19.00,"2,71001312","52,46780384","43,39823184","1,23872941","87,20526123"
09/01/2007 20.00,"3,62168345","125,36035648","69,28300256","1,62621458","87,20526123"
09/01/2007 21.00,"4,82840582","156,99099312","77,39340064","2,71985035","87,20526123"
09/01/2007 22.00,"4,90681448","116,97803376","65,37250368","2,52620062","87,20526123"
09/01/2007 23.00,"3,90663058","87,1320388","53,31527872","2,09598534","87,20526123"
10/01/2007 0.00,"3,11107317","69,96528064","43,29441024","1,66493728","87,20526123"
10/01/2007 1.00,"2,31169185","44,89087288","29,59537","0,93103266","90,82106018"
10/01/2007 2.00,"1,97784024",,,"0,76975288","90,82106018"
10/01/2007 3.00,"1,99423327","45,46932936","28,7192916",,"90,82106018"
10/01/2007 4.00,"1,90134455","41,43833624","25,49799224","0,53246784","90,82106018"
10/01/2007 5.00,"1,82948537","43,29301448","26,1845532","0,43037413","90,82106018"
10/01/2007 6.00,"1,89478897","40,95716232","24,27278264","0,3983207","90,82106018"
10/01/2007 7.00,"2,43408475","45,78060296","27,68229928","0,55972078","90,82106018"
10/01/2007 8.00,"8,84635111","65,53611352","38,79209","1,14072136","90,82106018"
10/01/2007 9.00,"2,1966722","79,48639056","45,37101432","0,68252781","90,82106018"
10/01/2007 10.00,"1,26467001","72,87570792","45,3619132","0,4995828","90,82106018"
10/01/2007 11.00,"0,84347132","72,35302448","50,93369152","0,45724864","90,82106018"
10/01/2007 12.00,"0,03828191","47,53927968","34,15608272","0,37469674","90,82106018"
10/01/2007 13.00,"0,20694221","44,03875184","30,13268024","0,3257844","90,82106018"
10/01/2007 14.00,"1,15795213","41,09463512","25,94186304","0,27713837","90,82106018"
10/01/2007 15.00,"1,08770387","43,04787696","26,36106904","0,28005019","90,82106018"
10/01/2007 16.00,"0,73720194","46,02444032","28,6985464","0,2997415","90,82106018"
10/01/2007 17.00,"0,97734107","40,5174788","24,00022704","0,8311523","90,82106018"
10/01/2007 18.00,"0,42382458","24,94859816","30,43248184","1,36063357","90,82106018"
10/01/2007 19.00,"0,86716031","76,25950816","50,2237468","2,22565203","90,82106018"
10/01/2007 20.00,"1,21366034","119,15823","58,0706904","3,46763549","90,82106018"
10/01/2007 21.00,"1,66611957","91,86211648","51,16341832","3,67114197","90,82106018"
10/01/2007 22.00,"1,15604017","46,42131416","44,12764072","3,02788699","90,82106018"
10/01/2007 23.00,"1,73085976","36,99878696","42,98550752","2,65443885","90,82106018"
11/01/2007 0.00,"2,08411573","25,20669904","42,48584456","1,87790573","90,82106018"
11/01/2007 1.00,"1,96745972","15,86589072","34,5116956","1,63376453","85,65486145"
11/01/2007 2.00,"1,79151974","10,99056222","27,08397712","1,36974163","85,65486145"
11/01/2007 3.00,"1,67950736","11,5858749","24,12483208","1,1972292","85,65486145"
