Lecce,,,,
,Guagnano ,,,,
Parm,SO2,NOX,NO2,PM10
,,,,
,,,,
,,,,,
,,,,,
,,,,,
12/01/2010 3.00,"0,30209883","10,86735103","9,68342342","15,80000019"
12/01/2010 4.00,"0,29496458","6,68979546","6,03770213","15,80000019"
12/01/2010 5.00,"0,29712875","5,32667522","4,93061589","15,80000019"
12/01/2010 6.00,"0,16306273","5,61200871","5,47442502","15,80000019"
12/01/2010 7.00,"0,31984447","6,91287424","6,56074311","15,80000019"
12/01/2010 8.00,"0,2783468","29,38554712","22,16375104","15,80000019"
12/01/2010 9.00,"0,18083887","11,7479972","9,71716831","15,80000019"
12/01/2010 10.00,"0,57477484","9,93741924","8,90080741","15,80000019"
12/01/2010 11.00,"0,27465814","12,86209666","10,78660536","15,80000019"
12/01/2010 12.00,"0,3202411","10,35764051","8,79567991","15,80000019"
12/01/2010 13.00,"0,3886313","6,52637682","5,65353162","15,80000019"
12/01/2010 14.00,"0,45543497","8,30452918","7,28884992","15,80000019"
12/01/2010 15.00,"0,40494296","8,41996044","7,28755167","15,80000019"
12/01/2010 16.00,"0,42088952","5,45637191","5,29531842","15,80000019"
12/01/2010 17.00,"0,47821171","4,42787078","4,24533979","15,80000019"
12/01/2010 18.00,"0,39735105","7,83113327","7,37450943","15,80000019"
12/01/2010 19.00,"0,32335108","11,83100286","11,17467253","15,80000019"
12/01/2010 20.00,"0,3672265","15,10845766","14,05724962","15,80000019"
12/01/2010 21.00,"0,3486276","10,63130125","9,91185006","15,80000019"
12/01/2010 22.00,"0,30679432","7,31753183","7,0124034","15,80000019"
12/01/2010 23.00,"0,26490104","6,80392848","6,60616841","15,80000019"
13/01/2010 0.00,"0,2260252","6,81949216","6,38553126","15,80000019"
13/01/2010 1.00,"0,18583946","8,8661199","8,62955197","62,20000076"
13/01/2010 2.00,"0,2127625","7,67809106","7,63278622","62,20000076"
13/01/2010 3.00,"0,16806332","8,02438294","7,993594","62,20000076"
13/01/2010 4.00,"0,1957786","10,53013733","10,24540229","62,20000076"
13/01/2010 5.00,"0,23803902","8,63007012","8,5140404","62,20000076"
13/01/2010 6.00,"0,14382312","10,09046337","9,76908485","62,20000076"
13/01/2010 7.00,"0,24148462","10,97370221","9,28108509","62,20000076"
13/01/2010 8.00,"0,18382682","15,26668904","12,40895266","62,20000076"
13/01/2010 9.00,"0,39296066","29,8887664","14,81779733","62,20000076"
13/01/2010 10.00,"0,50327465","39,6575568","22,1922972","62,20000076"
13/01/2010 11.00,"0,61307099","75,36975896","33,52273272","62,20000076"
13/01/2010 12.00,"0,65231194","45,91159408","30,74138456","62,20000076"
13/01/2010 13.00,"0,70850627","31,99114424","24,46488128","62,20000076"
13/01/2010 14.00,"0,75335699","23,25733856","18,65950818","62,20000076"
13/01/2010 15.00,"0,94236746","21,58814344","17,72763571","62,20000076"
13/01/2010 16.00,"1,13835963","32,75768416","24,71277208","62,20000076"
13/01/2010 17.00,"1,29477626","35,69011856","26,31173944","62,20000076"
13/01/2010 18.00,"1,99614726","47,6131976","31,05028728","62,20000076"
13/01/2010 19.00,"2,66714962","53,95543544","29,29036776","62,20000076"
13/01/2010 20.00,"1,12558407","35,7523924","18,70622599","62,20000076"
13/01/2010 21.00,"0,79022019","28,12488904","13,66789185","62,20000076"
13/01/2010 22.00,"0,74982088","39,42800208","23,15793368","62,20000076"
13/01/2010 23.00,"0,4157374","24,59063352","16,69192826","62,20000076"
14/01/2010 0.00,"0,55776145","22,56865528","14,9787361","62,20000076"
14/01/2010 1.00,,"17,45727891","12,91512406","31,10000038"
14/01/2010 2.00,"0,73551372",,,"31,10000038"
14/01/2010 3.00,"0,76897099","13,61693705","11,87941661","31,10000038"
14/01/2010 4.00,"0,79136736","9,0671495","8,08314826","31,10000038"
14/01/2010 5.00,"0,71010906","6,70665548","5,91570123","31,10000038"
14/01/2010 6.00,"0,61800344","6,7559411","6,0714451","31,10000038"
14/01/2010 7.00,"0,70916732","10,00356488","8,45953119","31,10000038"
14/01/2010 8.00,"0,65258449","12,12022918","10,14806237","31,10000038"
14/01/2010 9.00,"0,7701263","15,63762469","12,30771226","31,10000038"
14/01/2010 10.00,"0,98879859","14,33805358","12,18311678","31,10000038"
14/01/2010 11.00,"0,59946658","13,0125462","10,98388934","31,10000038"
14/01/2010 12.00,"0,73557474","10,24610017","9,07342468","31,10000038"
14/01/2010 13.00,"0,74776044","10,84011459","9,65616786","31,10000038"
14/01/2010 14.00,"0,82044848","13,41331096","10,95923219","31,10000038"
14/01/2010 15.00,"1,18984627","11,59884399","9,96895577","31,10000038"
14/01/2010 16.00,"1,08048012","10,91404207","9,93780738","31,10000038"
14/01/2010 17.00,"1,06878056","11,23179926","10,30120592","31,10000038"
14/01/2010 18.00,"1,19884163","15,57666439","14,08190677","31,10000038"
14/01/2010 19.00,"0,9082705","20,2185396","17,86520985","31,10000038"
14/01/2010 20.00,"0,7506477","28,5360264","20,1507592","31,10000038"
14/01/2010 21.00,"0,94409839","23,0316652","17,70816773","31,10000038"
14/01/2010 22.00,"0,75742397","20,14070208","17,46026928","31,10000038"
14/01/2010 23.00,"0,65975638","17,09282877","15,46543762","31,10000038"
15/01/2010 0.00,"0,95443009","18,61677498","15,43299098","31,10000038"
15/01/2010 1.00,"0,74064957","19,33917256","14,0481657",34
15/01/2010 2.00,"0,67963059","13,46778384","11,59128968",34
15/01/2010 3.00,"0,5743355","10,42897341","9,28367967",34
15/01/2010 4.00,"0,74229101","8,92707638","8,07536068",34
15/01/2010 5.00,"0,54075619","7,93618811","6,89689374",34
15/01/2010 6.00,"0,61201636","8,00492642","6,75283028",34
15/01/2010 7.00,"0,74390092","13,66492442","7,60423241",34
15/01/2010 8.00,"0,55254729","18,89692122","12,57248602",34
15/01/2010 9.00,"0,80443378","31,85369056","12,35703612",34
15/01/2010 10.00,"1,02939723","40,99733344","15,97161094",34
15/01/2010 11.00,"1,05428525","40,81448888","20,92299688",34
15/01/2010 12.00,"1,16948695","34,15709608","23,588822",34
15/01/2010 13.00,"1,22427579","11,21493925","8,41021115",34
15/01/2010 14.00,"1,05161054","9,93871749","7,67950976",34
15/01/2010 15.00,"1,36685715","11,58846948","9,44072179",34
15/01/2010 16.00,"1,54684581","10,98796955","9,08510509",34
15/01/2010 17.00,"1,32941935","9,32395213","8,01436023",34
15/01/2010 18.00,"1,02225586","8,21244343","7,52895506",34
15/01/2010 19.00,"0,99280964","7,72218751","6,62823289",34
15/01/2010 20.00,"0,91845067","7,63658727","6,50753215",34
15/01/2010 21.00,"0,67491985","7,7286711","6,97606393",34
15/01/2010 22.00,"0,9288739","9,53795273","8,55168003",34
15/01/2010 23.00,"0,8880322","6,03482266","5,61459374",34
16/01/2010 0.00,"0,92613817","6,30070346","5,61459374",34
16/01/2010 1.00,,"5,43173006","5,36410644","24,70000076"
16/01/2010 2.00,"0,98564894",,,"24,70000076"
16/01/2010 3.00,"1,08828051","12,17729474","11,9274384","24,70000076"
16/01/2010 4.00,"1,1225107","6,38241278","6,24406238","24,70000076"
16/01/2010 5.00,"1,16092889","7,19561506","7,16555269","24,70000076"
16/01/2010 6.00,"1,03080374","6,3863037","6,28948958","24,70000076"
16/01/2010 7.00,"1,15285696","5,79488386","5,75995736","24,70000076"
16/01/2010 8.00,"1,24486699","8,82980338","8,2298063","24,70000076"
16/01/2010 9.00,"1,27017605","13,85947042","11,99623025","24,70000076"
16/01/2010 10.00,"1,10909749","13,71291371","11,76131237","24,70000076"
16/01/2010 11.00,"1,148791","10,33559133","8,6334448","24,70000076"
16/01/2010 12.00,"1,41881162","7,60027074","6,49714808","24,70000076"
16/01/2010 13.00,"1,19849789","8,41477127","7,13050955","24,70000076"
16/01/2010 14.00,"1,41110377","10,15271809","7,57957334","24,70000076"
16/01/2010 15.00,"1,33007938","7,69495107","6,43614763","24,70000076"
16/01/2010 16.00,"1,2094225","4,76767907","4,61133866","24,70000076"
16/01/2010 17.00,"1,22629453","7,77276947","6,90078658","24,70000076"
16/01/2010 18.00,"0,98534486","7,30585907","6,49455158","24,70000076"
16/01/2010 19.00,"1,21002965","6,05687184","5,37189402","24,70000076"
16/01/2010 20.00,"0,89254666","4,91942495","4,91633898","24,70000076"
16/01/2010 21.00,"0,89636956","4,94277047","4,92542481","24,70000076"
16/01/2010 22.00,"0,98771243","4,22554294","4,15578554","24,70000076"
16/01/2010 23.00,"0,82985064","3,44995162","3,37965885","24,70000076"
