, Brindisi,,
,Mesagne,,
Parm,SO2,NOX,NO2



13/01/2007 16.00,"0,62918332","20,3469304","10,29081994"
13/01/2007 17.00,"0,6724282","23,47523008","13,42389006"
13/01/2007 18.00,"0,739778","41,5771092","30,37408936"
13/01/2007 19.00,"1,00704764","54,37175432","40,01207984"
13/01/2007 20.00,"0,90035213","49,550914","35,93416624"
13/01/2007 21.00,"0,57459483","56,49359632","40,98159768"
13/01/2007 22.00,"1,14422772","67,12619008","47,58386752"
13/01/2007 23.00,"0,65080576","63,9058276","43,7149164"
14/01/2007 0.00,"0,71850948","53,65194368","41,22818832"
14/01/2007 1.00,,"44,23071664","35,12948192"
14/01/2007 2.00,"0,81370882",,
14/01/2007 3.00,"0,87357249","25,30266232","20,42199552"
14/01/2007 4.00,"0,93831471","22,7683828","19,19682416"
14/01/2007 5.00,"0,93550677","17,19788361","14,32461605"
14/01/2007 6.00,"1,01473412","27,60350576","22,3182024"
14/01/2007 7.00,"0,85731371","33,28422984","27,11902408"
14/01/2007 8.00,"1,14613968","42,05440176","28,7348744"
14/01/2007 9.00,"1,1708243","57,98124704","37,41244816"
14/01/2007 10.00,"1,4073246","63,01869784","47,29574824"
14/01/2007 11.00,"1,36978001","27,24034048","23,74845488"
14/01/2007 12.00,"2,13840624","18,62455682","13,62116257"
14/01/2007 13.00,"1,74906711","21,16920512","14,16627186"
14/01/2007 14.00,"2,47512273","18,04999509","13,52511898"
14/01/2007 15.00,"2,67393098","19,2756368","14,25063503"
14/01/2007 16.00,"2,20373933","26,29873784","18,9255649"
14/01/2007 17.00,"1,95851826","34,8367356","26,09111376"
14/01/2007 18.00,"1,78868129","41,15949016","30,83872448"
14/01/2007 19.00,"2,72817878","82,26448832","48,84800544"
14/01/2007 20.00,"3,6222967","224,4647848","60,51717088"
14/01/2007 21.00,"2,98108532","102,97456488","52,09008824"
14/01/2007 22.00,"2,21896382","44,00116192","33,78748736"
14/01/2007 23.00,"1,71728789","19,79702008","13,87944509"
15/01/2007 0.00,"1,68166442","18,13948816","12,10913767"
15/01/2007 1.00,"1,521731","18,17450644","12,12601298"
15/01/2007 2.00,"1,68565614","16,80100977","10,72950157"
15/01/2007 3.00,"1,27946634","16,21218451","10,84241855"
15/01/2007 4.00,"1,10312566","14,35232093","9,16557352"
15/01/2007 5.00,"1,05390388","13,97619802","9,30574415"
15/01/2007 6.00,"1,16328528","15,86978355","11,15909929"
15/01/2007 7.00,"0,8644083","20,37287624","15,27724902"
15/01/2007 8.00,"1,01429071","21,48047872","15,26557243"
15/01/2007 9.00,"1,13653208","22,67760104","16,6789496"
15/01/2007 10.00,"0,78754548","20,9993048","14,67633801"
15/01/2007 11.00,"0,69723283","20,59076776","13,69514167"
15/01/2007 12.00,"0,58105176","20,2898572","11,7029065"
15/01/2007 13.00,"0,7585742","20,99800464","11,22529655"
15/01/2007 14.00,"0,68171239","23,48431208","13,19805418"
15/01/2007 15.00,"0,72236086","18,60250764","9,7535097"
15/01/2007 16.00,"0,59982355","19,67509184","10,84631521"
15/01/2007 17.00,"0,75753991","22,12118992","12,59844333"
15/01/2007 18.00,"1,20585588","23,44928424","13,21623156"
15/01/2007 19.00,"0,68304263","22,3222176","13,1383558"
15/01/2007 20.00,"0,81503906","22,93440176","14,11045866"
15/01/2007 21.00,"0,53552576","19,14592672","11,42386158"
15/01/2007 22.00,"0,59006849","19,05515261","10,98129476"
15/01/2007 23.00,"0,61445716","16,2316372","9,33819079"
16/01/2007 0.00,"0,59317237","15,50403516","8,54908354"
16/01/2007 1.00,,"13,99435629","7,63148797"
16/01/2007 2.00,"0,38180621",,
16/01/2007 3.00,"0,47550038","17,20177453","10,81905391"
16/01/2007 4.00,"0,61141226","16,68947134","10,46604135"
16/01/2007 5.00,"0,61399341","15,73359944","10,04034029"
16/01/2007 6.00,"0,64087374","16,7828515","11,35507929"
16/01/2007 7.00,"0,48864308","29,08853704","21,18645136"
16/01/2007 8.00,"0,60037578","53,1902148","30,9516472"
16/01/2007 9.00,"0,64547159","68,68645856","34,54934288"
16/01/2007 10.00,"0,55477452","41,1062792","25,5875312"
16/01/2007 11.00,"0,52810268","26,22870128","19,63029368"
16/01/2007 12.00,"0,40005221","29,62030248","19,83407464"
16/01/2007 13.00,"0,27639314","26,77733056","17,63808337"
16/01/2007 14.00,"0,38711698","26,32080232","17,63288273"
16/01/2007 15.00,"0,51584986","22,16139928","13,99106"
16/01/2007 16.00,"0,33807419","25,37141784","16,76850194"
16/01/2007 17.00,"0,59277981","32,25704608","23,37465888"
16/01/2007 18.00,"0,61526873","46,13208592","36,87643808"
16/01/2007 19.00,"0,97218386","57,70756336","46,80644832"
16/01/2007 20.00,"1,02784224","67,97703008","54,66897472"
16/01/2007 21.00,"0,64297994","61,50123904","48,13416024"
16/01/2007 22.00,"0,47846697","42,66654768","31,4630116"
16/01/2007 23.00,"0,30757538","30,12870328","19,7432164"
17/01/2007 0.00,"0,29730978","19,05125978","9,13053038"
17/01/2007 1.00,"0,24497394","17,87750018","7,33687171"
17/01/2007 2.00,"0,31849287","17,64923224","7,07599843"
17/01/2007 3.00,"0,38584166","18,37294336","7,80150874"
17/01/2007 4.00,"0,33780774","17,95142766","7,24083004"
17/01/2007 5.00,"0,35418449","17,08115792","6,53348946"
17/01/2007 6.00,"0,44770069","32,26870928","18,75294571"
17/01/2007 7.00,"0,6271961","50,48991632","36,96079552"
17/01/2007 8.00,"0,82039865","82,36825256","52,76628616"
17/01/2007 9.00,"0,88436388","93,52092944","53,92138272"
17/01/2007 10.00,"0,77441194","61,57645712","39,20091384"
17/01/2007 11.00,"0,1869124","30,50353176","19,9054496"
17/01/2007 12.00,"0,26102525","26,11327384","17,0735061"
17/01/2007 13.00,"0,66048455","39,59922168","27,87827928"
17/01/2007 14.00,"1,58964829","32,88737512","21,22537968"
17/01/2007 15.00,"1,25821918","34,68758048","24,52069256"
17/01/2007 16.00,"0,93281274","34,41129648","24,60635016"
17/01/2007 17.00,"0,6483792","38,48641856","28,96850168"
17/01/2007 18.00,"0,62416951","48,47181944","38,16262136"
17/01/2007 19.00,"0,80663253","46,51077664","35,89523792"
17/01/2007 20.00,"0,94005175","58,91114824","43,6292588"
17/01/2007 21.00,"0,77880335","56,4040956","41,95111552"
17/01/2007 22.00,"0,90430115","44,67946304","33,60060848"
17/01/2007 23.00,"0,73993666","38,90015624","27,33316808"
18/01/2007 0.00,"0,71768571","29,13652824","20,40253136"
18/01/2007 1.00,,"23,2262112","15,46933427"
18/01/2007 2.00,"0,76191504",,
18/01/2007 3.00,"0,89515221","16,53772354","9,07212643"
18/01/2007 4.00,"0,94773518","16,12009877","8,44914903"
18/01/2007 5.00,"0,8855975","17,48062443","9,62112664"
18/01/2007 6.00,"0,95990155","18,64919868","10,49588576"
18/01/2007 7.00,"0,89823881","34,62142528","23,29678312"
18/01/2007 8.00,"0,84120443","55,7971312","35,18011168"
18/01/2007 9.00,"0,94274985","84,49009456","45,05821112"
18/01/2007 10.00,"1,19450616","52,18635744","34,7660872"
18/01/2007 11.00,"0,96797348","43,3941784","30,02885864"
18/01/2007 12.00,"1,07076472","54,19149096","36,54417072"
18/01/2007 13.00,"1,50537357","54,53775416","36,95041336"
18/01/2007 14.00,"1,18192486","29,4516832","19,3940852"
18/01/2007 15.00,"0,77241964","26,2131376","17,29803799"
18/01/2007 16.00,"0,80458735","29,5956568","19,96256104"
18/01/2007 17.00,"0,89022688","52,39256664","37,13081056"
18/01/2007 18.00,"1,03610536","94,69210592","60,67422256"
18/01/2007 19.00,"1,71718823","128,94392248","73,31158656"
18/01/2007 20.00,"2,10419944","116,40215848","67,6528696"
