,Provincia di TARANTO,,,,,,,,,
,TA V. Machiavelli,,,,,,,,,
Parm,SO2,NOX,NO2,CO,O3,CH4,NMHC,PM10,BENZENE,PM2.5
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug-C/m3,ug-C/m3,ug/m3,ug/m3 293K,ug/m3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,
,,,,,,,
07/01/2009 19.00,"2,844558","89,582037","73,237612","1,022781","20,808669","980,052955","45,302384","26,086821","3,880872","17,37443"
07/01/2009 20.00,"2,721745","63,813727","55,276359","1,007628","30,590812","991,209726","41,943316","26,086821","3,364744","17,37443"
07/01/2009 21.00,"2,691042","50,399134","46,009544","0,954472","35,013348","994,715212","36,314978","26,086821","3,443053","17,37443"
07/01/2009 22.00,"2,573648","59,961694","49,486554","1,000091","29,679476","1021,985699","41,129309","26,086821","3,373389","17,37443"
07/01/2009 23.00,"2,620606","66,130134","50,292519","0,982727","27,326034","1014,908572","44,322245","26,086821","3,915958","17,37443"
08/01/2009 0.00,"2,59532","34,805607","33,682366","0,832731","36,072275","998,901746","31,311295","26,086821","3,829005","17,37443"
08/01/2009 1.00,,"26,64892","25,77963","0,780405","44,439344","993,618574","27,45719","34,749691","2,636064","20,59421"
08/01/2009 2.00,"2,405683",,,"0,752267","45,299207","1000,303677","29,879299","34,749691","2,178414","20,59421"
08/01/2009 3.00,"2,647696","18,311985","17,107244","0,771328","38,753414","1007,75261","24,779242","34,749691","1,934842","20,59421"
08/01/2009 4.00,"2,626023","22,794327","20,894431","0,851278",,"1057,86839","34,274972","34,749691","2,037051","20,59421"
08/01/2009 5.00,"2,633248","28,120988","24,741317","0,865405","26,762725","1054,020885","33,979268","34,749691","2,382322","20,59421"
08/01/2009 6.00,"2,974595","94,938524","45,268472","1,10439","14,235813","1067,773663","57,186981","34,749691","2,119428","20,59421"
08/01/2009 7.00,"3,23828","162,051769","59,002558","1,530581","11,166035","1049,592701","89,890425","34,749691","3,032694","20,59421"
08/01/2009 8.00,"5,441684","468,955854","91,288421","2,380122","10,665011","1087,877421","162,164896","34,749691","5,082966","20,59421"
08/01/2009 9.00,"4,733706","357,941496","84,79257","2,066477","10,801778","1054,094935","171,577523","34,749691","9,039604","20,59421"
08/01/2009 10.00,"3,39902","179,643927","65,879967","1,115636","11,421953","1062,08184","77,570569","34,749691","7,601058","20,59421"
08/01/2009 11.00,"4,020308","279,919289","90,043743","1,903182","11,775386","1100,22444","185,498874","34,749691","4,090882","20,59421"
08/01/2009 12.00,"2,956534","126,292897","81,922966","1,205057","18,076076","1015,443194","120,583749","34,749691","7,782084","20,59421"
08/01/2009 13.00,"3,498355","220,712482","99,9063","1,088683","15,453162","1034,956463","92,428816","34,749691","4,747356","20,59421"
08/01/2009 14.00,"3,155202","135,025397","84,373365","0,962601","23,37743","1009,424065","125,059156","34,749691","3,843751","20,59421"
08/01/2009 15.00,"2,710909","102,070589","74,087722","0,849226","26,616472","992,302955","73,952348","34,749691","5,145003","20,59421"
08/01/2009 16.00,"2,913188","122,041392","87,48046","0,865564","19,101149","978,056169","46,059904","34,749691","3,40695","20,59421"
08/01/2009 17.00,"3,361093","158,530472","82,375934","1,12191","24,25489","984,481557","90,960267","34,749691","3,648996","20,59421"
08/01/2009 18.00,"2,575454","68,26624","61,229693","0,902421","32,03565","962,386995","40,20897","34,749691","4,036473","20,59421"
08/01/2009 19.00,"2,828303","115,675865","74,570521","1,169265","21,667197","972,135495","58,741906","34,749691","2,803869","20,59421"
08/01/2009 20.00,"2,943891","117,614844","74,660081","1,153204","18,868242","980,026457","58,861524","34,749691","3,873244","20,59421"
08/01/2009 21.00,"2,94931","117,259459","73,216847","1,085407","19,607583","995,435976","55,977581","34,749691","3,987148","20,59421"
08/01/2009 22.00,"3,088377","102,100435","71,77621","1,136038","15,505968","1090,432336","70,962097","34,749691","3,697303","20,59421"
