, Brindisi,,,
,Via Dei Mille,,,
Parm,SO2,NOX,NO2,PM10



12/01/2007 11.00,"3,7502475","154,3451484","64,70410672",
12/01/2007 12.00,"1,34961595","47,08795208","29,75890336","41,5140419"
12/01/2007 13.00,"0,43277011","39,50192","23,66407832",
12/01/2007 14.00,"0,43147039","26,71897632","16,54786479","28,32722092"
12/01/2007 15.00,"0,60098496","19,3469544","13,39143959",
12/01/2007 16.00,"0,27283059","20,97985976","15,18510209","30,28083038"
12/01/2007 17.00,"0,33158166","24,02904088","19,10337516",
12/01/2007 18.00,"0,2373678","19,83721032","14,18703235","23,44322014"
12/01/2007 19.00,"0,22412748","22,0407712","17,04105563",
12/01/2007 20.00,"0,2550992","26,93684872","15,93526573","25,88521957"
12/01/2007 21.00,"0,28145984","24,87726144","15,56018869",
12/01/2007 22.00,"0,27460424","14,15647859","8,44655254","26,86202049"
12/01/2007 23.00,"0,27614093","14,19538779","8,18957209",
13/01/2007 0.00,"1,10208222","24,4713056","15,00859007","16,11721039"
13/01/2007 1.00,"0,56623102","21,61797064","11,66137404",
13/01/2007 2.00,"1,81394968","21,50772472","12,75548736","18,07081032"
13/01/2007 3.00,"1,84231991","9,88294636","5,19668025",
13/01/2007 4.00,"1,7517703","3,2580002","1,77548894","15,62880993"
13/01/2007 5.00,"1,14014548","1,63289198","0,65023296",
13/01/2007 6.00,"1,2538654","6,72221916","3,16031803","13,18680954"
13/01/2007 7.00,"1,2686414","16,74783322","10,14027479",
13/01/2007 8.00,"3,18815364","27,04061296","15,01248673","10,25640965"
13/01/2007 9.00,"3,0799906","40,55120648","21,29417344",
13/01/2007 10.00,"2,18454143","40,20750536","20,45186096","16,60560989"
13/01/2007 11.00,"2,06573854","29,8978484","17,37979702",
13/01/2007 12.00,"1,95580287","25,92911","15,07608176","16,11721039"
13/01/2007 13.00,"2,34767229","37,2789332","21,68223296",
13/01/2007 14.00,"3,07467068","41,43443576","24,29226592","11,23320961"
13/01/2007 15.00,"1,62835735","15,19794882","8,73338122",
13/01/2007 16.00,"1,24015217","18,4261199","11,23438046","16,11721039"
13/01/2007 17.00,"1,59112091","111,22593472","42,40536848",
13/01/2007 18.00,"1,49938954","74,16101168","27,49282008","18,55920982"
13/01/2007 19.00,"0,06808917","89,00488104","69,81901264",
13/01/2007 20.00,"0,7914233","133,97745368","82,05015312","23,44322014"
13/01/2007 21.00,"6,56071683","354,17888","133,12791384",
13/01/2007 22.00,"1,29724859","146,62168176","76,0202596","37,11843109"
13/01/2007 23.00,"2,51470437","178,08888064","73,190882",
14/01/2007 0.00,"3,34301019","183,81629576","71,72040104","48,84004974"
14/01/2007 1.00,,"196,9272048","78,8028888",
14/01/2007 2.00,"3,00063104",,,"62,51525116"
14/01/2007 3.00,"1,10528679","122,62244896","59,92014888",
14/01/2007 4.00,"0,85279518","79,50065408","48,92586208","60,56166077"
14/01/2007 5.00,"0,37399768","56,55587016","37,96015968",
14/01/2007 6.00,"0,21564265","61,73079376","37,39686536","35,65322113"
14/01/2007 7.00,"0,71884814","94,83346008","46,7000264",
14/01/2007 8.00,"0,38738649","65,78123192","42,94137856","32,23442078"
14/01/2007 9.00,"0,3879194","77,85866672","45,05821112",
14/01/2007 10.00,"2,34683123","133,10200624","73,84501544","33,21123123"
14/01/2007 11.00,"3,5474394","118,77693896","72,86123408",
14/01/2007 12.00,"3,79270319","71,58778472","48,13806072","27,8388195"
14/01/2007 13.00,"8,88281768","82,5679992","55,9058284",
14/01/2007 14.00,"27,6721632","98,78277256","65,97990784","24,90842056"
14/01/2007 15.00,"4,33832674","29,41149296","19,73283424",
14/01/2007 16.00,"4,73821317","66,8058536","45,5241464","21,0012207"
14/01/2007 17.00,"0,89106591","57,79188256","40,4974984",
14/01/2007 18.00,"0,89302058","96,13952816","63,75147184","24,90842056"
14/01/2007 19.00,"1,76015343","171,20453344","94,82252344",
14/01/2007 20.00,"2,88795253","214,0071008","105,99973128","28,32722092"
14/01/2007 21.00,"3,68849526","189,17798352","76,50825936",
14/01/2007 22.00,"0,86150375","73,12990832","46,75063704","41,02563095"
14/01/2007 23.00,"0,03311657","23,74371312","19,57060104",
15/01/2007 0.00,"0,0908781","29,67865672","20,9281784","34,18803024"
15/01/2007 1.00,"0,06777288","26,30651968","18,85028946",
15/01/2007 2.00,"0,0354272","16,79193159","13,01765698","37,11843109"
15/01/2007 3.00,"0,03080595","12,5650904","12,05852321",
15/01/2007 4.00,"0,03773782","11,05411519","10,32716514","29,7924099"
15/01/2007 5.00,"0,00385036","8,88038534","8,68017026",
15/01/2007 6.00,"0,0354272","14,67786187","11,69253008","29,30401993"
15/01/2007 7.00,"0,09549833","29,72794808","23,67577976",
15/01/2007 8.00,"0,0585314","24,49983264","17,04754496","26,86202049"
15/01/2007 9.00,"0,00076987","26,40640256","18,29869275",
15/01/2007 10.00,"0,02541483","21,38321528","14,74642237","27,35042"
15/01/2007 11.00,"0,12707517","26,3960204","16,07414385",
15/01/2007 12.00,"0,11244257","28,46210848","15,25259186","19,53602028"
15/01/2007 13.00,"0,15249","19,74902888","12,39467193",
15/01/2007 14.00,"0,38916319","25,10033448","16,78797184","23,44322014"
15/01/2007 15.00,"0,34579831","19,0616362","12,71006015",
15/01/2007 16.00,"0,15942187","18,21082106","12,72952814","29,7924099"
15/01/2007 17.00,"0,00616099","26,66708464","17,27726602",
15/01/2007 18.00,"0,02849532","21,59720632","14,29735475","22,46640968"
15/01/2007 19.00,"0,22411426","25,07570792","15,70035741",
15/01/2007 20.00,"0,54366786","20,21593928","13,48229592","19,53602028"
15/01/2007 21.00,"0,32654446","11,4691473","7,95725453",
15/01/2007 22.00,"0,41434106","15,62724635","12,01958533","14,65200996"
15/01/2007 23.00,"0,31220781","10,6364885","8,36478586",
16/01/2007 0.00,"0,04235805","7,58989623","6,14023313","18,55920982"
16/01/2007 1.00,,"9,62614564","5,08895626",
16/01/2007 2.00,"0,59193977",,,"19,53602028"
16/01/2007 3.00,"0,49710248","10,1306689","9,33429796",
16/01/2007 4.00,"0,32703466","15,43659127","14,64129678","26,37360954"
16/01/2007 5.00,"0,3235433","12,46522282","10,97740002",
16/01/2007 6.00,"0,24577636","14,73363109","10,92678364","24,42000961"
16/01/2007 7.00,"0,3467309","47,11127848","34,55322424",
16/01/2007 8.00,"2,41872703","121,18410872","63,4373876","26,37360954"
16/01/2007 9.00,"3,74035514","169,58201024","70,30311192",
16/01/2007 10.00,"2,48733385","88,0684408","45,9005236","32,72283173"
16/01/2007 11.00,"2,14448281","55,70116792","31,6862376",
16/01/2007 12.00,"3,55444246","49,95943192","32,66741864","24,42000961"
16/01/2007 13.00,"12,22195005","81,00124904","51,0439948",
16/01/2007 14.00,"12,28282767","56,44432408","35,5500072","17,09399986"
16/01/2007 15.00,"8,04113729","64,76052984","40,88165744",
16/01/2007 16.00,"4,6230725","54,50534576","38,98546968","24,42000961"
16/01/2007 17.00,"4,08413165","122,63801264","77,6763384",
16/01/2007 18.00,"3,29631159","120,47854248","83,07288192","37,11843109"
16/01/2007 19.00,"5,20140379","194,36436","106,76676832",
16/01/2007 20.00,"4,75377836","191,11439976","99,96339432","56,16604996"
