,Regione Puglia,,,,,,
,ARNESANO,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE


14/01/2007 0.00,"1,62615961","18,75424778",,,,"39,03229141",
14/01/2007 1.00,,"15,22922722",,,,"94,36112976",
14/01/2007 2.00,"1,02280605",,,,,"94,36112976",
14/01/2007 3.00,"1,20257402","10,72171973",,,,"94,36112976",
14/01/2007 4.00,"1,15698191","10,66850112",,,,"94,36112976",
14/01/2007 5.00,"0,950297","8,38165734",,,,"94,36112976",
14/01/2007 6.00,"0,93362024","8,14933978",,,,"94,36112976",
14/01/2007 7.00,"1,02556517","9,11236065",,,,"94,36112976",
14/01/2007 8.00,"1,00866569","9,61853014",,,,"94,36112976",
14/01/2007 9.00,"0,84341946","15,50697008",,,,"94,36112976",
14/01/2007 10.00,"0,87189037","21,35516624",,,,"94,36112976",
14/01/2007 11.00,"1,128511","52,82857912",,,,"94,36112976",
14/01/2007 12.00,"1,36040225","35,00619616",,,,"94,36112976",
14/01/2007 13.00,"1,47434999","18,2766321",,,,"94,36112976",
14/01/2007 14.00,"1,73943612","12,11952366",,,,"94,36112976",
14/01/2007 15.00,"1,52761434","12,66333087",,,,"94,36112976",
14/01/2007 16.00,"1,3901729","12,59973584",,,,"94,36112976",
14/01/2007 17.00,"1,27711301","16,52839681",,,,"94,36112976",
14/01/2007 18.00,"1,4922319","26,013238",,,,"94,36112976",
14/01/2007 19.00,"1,3375106","20,35322088",,,,"94,36112976",
14/01/2007 20.00,"1,56718276","17,49141576",,,,"94,36112976",
14/01/2007 21.00,"1,39768751","18,60369499",,,,"94,36112976",
14/01/2007 22.00,"1,95544285","21,72766208",,,,"94,36112976",
14/01/2007 23.00,"1,42926536","18,50246606",,,,"94,36112976",
15/01/2007 0.00,"0,92293564","12,84243556",,,,"94,36112976",
15/01/2007 1.00,"0,88574496","8,4309793",,,,"39,04124069",
15/01/2007 2.00,"1,03583687","7,3135109",,,,"39,04124069",
15/01/2007 3.00,"0,98577505","6,7281693",,,,"39,04124069",
15/01/2007 4.00,"0,85568855","6,80344474",,,,"39,04124069",
15/01/2007 5.00,"0,77246337","6,18825492",,,,"39,04124069",
15/01/2007 6.00,"0,80115599","6,45042454",,,,"39,04124069",
15/01/2007 7.00,"0,89189578","11,53418589",,,,"39,04124069",
15/01/2007 8.00,"0,99195739","10,37128837",,,,"39,04124069",
15/01/2007 9.00,"1,16322833","11,37065253",,,,"39,04124069",
15/01/2007 10.00,"1,32476556","13,80675658",,,,"39,04124069",
15/01/2007 11.00,"1,29705536","14,67373386",,,,"39,04124069",
15/01/2007 12.00,"1,45092034","11,94561578",,,,"39,04124069",
15/01/2007 13.00,"1,46819917","12,45567238",,,,"39,04124069",
15/01/2007 14.00,"1,60516466","12,32718215",,,,"39,04124069",
15/01/2007 15.00,"1,50335991","11,82361489",,,,"39,04124069",
15/01/2007 16.00,"1,2595484","7,69638125",,,,"39,04124069",
15/01/2007 17.00,"1,55155147","8,29729799",,,,"39,04124069",
15/01/2007 18.00,"1,22070917","8,97478651",,,,"39,04124069",
15/01/2007 19.00,"1,221058","13,16301295",,,,"39,04124069",
15/01/2007 20.00,"1,00213451","15,87816194",,,,"39,04124069",
15/01/2007 21.00,"1,27112084","14,01441508",,,,"39,04124069",
15/01/2007 22.00,"1,11731891","14,08320884",,,,"39,04124069",
15/01/2007 23.00,"1,16979103","14,998206",,,,"39,04124069",
16/01/2007 0.00,"0,90245427","8,85148737",,,,"39,04124069",
16/01/2007 1.00,,"6,43614763",,,,"38,16577148",
16/01/2007 2.00,"1,46762863",,,,,"38,16577148",
16/01/2007 3.00,"1,19309253","6,40370099",,,,"38,16577148",
16/01/2007 4.00,"1,3332453","5,51595748",,,,"38,16577148",
16/01/2007 5.00,"1,0197459","5,54580762",,,,"38,16577148",
16/01/2007 6.00,"1,19394376","6,24146779",,,,"38,16577148",
16/01/2007 7.00,"1,10968226","8,05978553",,,,"38,16577148",
16/01/2007 8.00,"1,57572251","14,4440128",,,,"38,16577148",
16/01/2007 9.00,"1,78642355","19,15139504",,,,"38,16577148",
16/01/2007 10.00,"1,6151577","24,25203744",,,,"38,16577148",
16/01/2007 11.00,"1,95854063","27,43180816",,,,"38,16577148",
16/01/2007 12.00,"1,71814421","29,79653152",,,,"38,16577148",
16/01/2007 13.00,"1,72031957","12,91122932",,,,"38,16577148",
16/01/2007 14.00,"1,64712201","13,24866864",,,,"38,16577148",
16/01/2007 15.00,"1,79105701","13,1110945",,,,"38,16577148",
