Stat,Arnesano,,,,,  ,
Parm,SO2,NO2,NOX,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,,,
12/01/2014 13.00,"0,5","14,6","19,9","55,1",,,
12/01/2014 14.00,"0,8","10,5","15,0","55,1",,,
12/01/2014 15.00,"0,4","9,6","13,7","55,1",,,
12/01/2014 16.00,"0,3","8,0","11,3","55,1",,,
12/01/2014 17.00,"0,4","8,6","11,5","55,1",,,
12/01/2014 18.00,"0,4","9,6","11,8","55,1",,,
12/01/2014 19.00,"0,2","10,8","12,5","55,1",,,
12/01/2014 20.00,"0,5","11,7","13,2","55,1",,,
12/01/2014 21.00,"0,5","12,0","13,5","55,1",,,
12/01/2014 22.00,"0,5","18,3","20,9","55,1",,,
12/01/2014 23.00,"0,5","12,9","15,0","55,1",,,
13/01/2014 0.00,"0,5","9,6","12,6","55,1",,,
13/01/2014 1.00,"0,4","9,2","12,8","51,6",,,
13/01/2014 2.00,"0,4","8,8","13,4","51,6",,,
13/01/2014 3.00,"0,6","7,8","12,8","51,6",,,
13/01/2014 4.00,"0,5","6,5","11,9","51,6",,,
13/01/2014 5.00,"0,4","6,0","11,9","51,6",,,
13/01/2014 6.00,"0,4","7,2","13,0","51,6",,,
13/01/2014 7.00,"0,2","11,9","18,7","51,6",,,
13/01/2014 8.00,"0,3","16,3","24,7","51,6",,,
13/01/2014 9.00,"0,3","14,7","20,2","51,6",,,
13/01/2014 10.00,"0,2","21,3","30,0","51,6",,,
13/01/2014 11.00,"0,3","17,3","23,6","51,6",,,
13/01/2014 12.00,"0,4","12,1","16,4","51,6",,,
13/01/2014 13.00,"0,6","9,2","13,2","51,6",,,
13/01/2014 14.00,"0,6","7,8","11,5","51,6",,,
13/01/2014 15.00,"0,5","7,0","10,1","51,6",,,
13/01/2014 16.00,"0,3","7,9","10,7","51,6",,,
13/01/2014 17.00,"0,2","13,0","15,8","51,6",,,
13/01/2014 18.00,"0,5","18,0","20,0","51,6",,,
13/01/2014 19.00,"0,3","28,7","35,0","51,6",,,
13/01/2014 20.00,"0,9","34,6","66,4","51,6",,,
13/01/2014 21.00,"1,5","30,0","69,2","51,6",,,
13/01/2014 22.00,"1,2","32,4","78,8","51,6",,,
13/01/2014 23.00,"1,0","25,8","67,1","51,6",,,
14/01/2014 0.00,"1,3","23,3","79,4","51,6",,,
14/01/2014 1.00,,"20,6","72,0","42,0",,,
14/01/2014 2.00,"2,8",,,"42,0",,,
14/01/2014 3.00,"2,5","18,5","53,5","42,0",,,
14/01/2014 4.00,"2,6","17,1","45,7","42,0",,,
14/01/2014 5.00,"2,7","13,1","42,3","42,0",,,
14/01/2014 6.00,"3,1","12,5","38,7","42,0",,,
14/01/2014 7.00,"3,3","12,1","37,1","42,0",,,
14/01/2014 8.00,"2,4","13,6","46,0","42,0",,,
14/01/2014 9.00,"2,2","18,8","63,9","42,0",,,
14/01/2014 10.00,"2,9","24,8","68,7","42,0",,,
14/01/2014 11.00,"2,7","24,3","49,8","42,0",,,
14/01/2014 12.00,"2,0","24,2","33,2","42,0",,,
14/01/2014 13.00,"2,2","16,1","21,2","42,0",,,
14/01/2014 14.00,"2,1","16,7","21,8","42,0",,,
14/01/2014 15.00,"2,0","15,4","20,5","42,0",,,
14/01/2014 16.00,"2,0","13,1","17,7","42,0",,,
14/01/2014 17.00,"2,2","18,1","25,1","42,0",,,
14/01/2014 18.00,"1,9","26,5","35,1","42,0",,,
14/01/2014 19.00,"2,8","27,1","33,7","42,0",,,
14/01/2014 20.00,"2,6","19,9","24,5","42,0",,,
14/01/2014 21.00,"2,1","18,1","20,3","42,0",,,
14/01/2014 22.00,"2,0","11,5","13,2","42,0",,,
14/01/2014 23.00,"2,1","10,1","12,2","42,0",,,
15/01/2014 0.00,"2,2","10,1","13,1","42,0",,,
15/01/2014 1.00,"2,1","8,0","11,5","35,9",,,
15/01/2014 2.00,"1,9","6,8","11,2","35,9",,,
15/01/2014 3.00,"2,3","5,6","10,6","35,9",,,
15/01/2014 4.00,"2,1","5,1","10,5","35,9",,,
15/01/2014 5.00,"2,2","4,9","10,5","35,9",,,
15/01/2014 6.00,"2,0","6,3","12,2","35,9",,,
15/01/2014 7.00,"1,9","7,7","12,6","35,9",,,
15/01/2014 8.00,"1,9","14,5","20,0","35,9",,,
15/01/2014 9.00,"1,9","18,6","25,8","35,9",,,
15/01/2014 10.00,"2,3","18,4","26,0","35,9",,,
15/01/2014 11.00,"1,7","21,2","28,2","35,9",,,
15/01/2014 12.00,"1,7","17,3","22,3","35,9",,,
15/01/2014 13.00,"2,3","10,2","13,8","35,9",,,
15/01/2014 14.00,"1,9","10,3","14,1","35,9",,,
15/01/2014 15.00,"2,2","8,4","12,8","35,9",,,
15/01/2014 16.00,"2,7","11,6","16,6","35,9",,,
15/01/2014 17.00,"2,5","15,9","20,2","35,9",,,
15/01/2014 18.00,"2,0","13,1","15,4","35,9",,,
15/01/2014 19.00,"2,3","25,1","28,6","35,9",,,
15/01/2014 20.00,"2,5","23,4","26,8","35,9",,,
15/01/2014 21.00,"2,2","32,4","40,3","35,9",,,
15/01/2014 22.00,"2,5","28,7","35,5","35,9",,,
15/01/2014 23.00,"2,8","19,7","25,1","35,9",,,
16/01/2014 0.00,"2,1","14,2","17,4","35,9",,,
16/01/2014 1.00,,"10,3","14,4","55,9",,,
16/01/2014 2.00,"0,8",,,"55,9",,,
16/01/2014 3.00,"0,8","8,9","14,2","55,9",,,
16/01/2014 4.00,"0,6","8,3","14,2","55,9",,,
16/01/2014 5.00,"0,7","8,6","14,8","55,9",,,
16/01/2014 6.00,"0,6","8,3","14,7","55,9",,,
16/01/2014 7.00,"0,6","9,8","16,0","55,9",,,
16/01/2014 8.00,"0,8","9,9","15,8","55,9",,,
16/01/2014 9.00,"0,8","13,4","20,3","55,9",,,
16/01/2014 10.00,"1,0","14,3","22,5","55,9",,,
16/01/2014 11.00,"1,1","16,7","27,4","55,9",,,
16/01/2014 12.00,"1,0","15,4","24,0","55,9",,,
16/01/2014 13.00,"1,0","15,3","23,9","55,9",,,
16/01/2014 14.00,"1,1","10,1","16,1","55,9",,,
16/01/2014 15.00,"0,5","10,6","16,2","55,9",,,
16/01/2014 16.00,"0,9","11,1","16,0","55,9",,,
16/01/2014 17.00,"0,6","7,8","11,4","55,9",,,
16/01/2014 18.00,"0,8","18,4","23,5","55,9",,,
16/01/2014 19.00,"0,8","32,0","47,8","55,9",,,
16/01/2014 20.00,"1,6","26,4","69,7","55,9",,,
16/01/2014 21.00,"2,0","18,3","57,0","55,9",,,
16/01/2014 22.00,"1,4","16,2","57,7","55,9",,,
16/01/2014 23.00,"1,5","18,1","67,7","55,9",,,
17/01/2014 0.00,"1,6","18,1","91,6","55,9",,,
17/01/2014 1.00,"1,9","18,6","103,9","34,9",,,
17/01/2014 2.00,"2,2","20,5","112,9","34,9",,,
17/01/2014 3.00,"1,5","19,7","96,0","34,9",,,
17/01/2014 4.00,"1,7","17,4","48,9","34,9",,,
17/01/2014 5.00,"1,0","16,4","37,9","34,9",,,
17/01/2014 6.00,"1,2","13,0","22,8","34,9",,,
17/01/2014 7.00,"1,0","10,6","18,5","34,9",,,
17/01/2014 8.00,"0,8","19,4","28,6","34,9",,,
17/01/2014 9.00,"0,9","15,5","23,1","34,9",,,
17/01/2014 10.00,"0,9","14,8","22,2","34,9",,,
17/01/2014 11.00,"0,9","17,3","24,4","34,9",,,
17/01/2014 12.00,"0,9","11,5","17,1","34,9",,,
17/01/2014 13.00,"0,8","10,9","16,3","34,9",,,
17/01/2014 14.00,"0,8","9,4","14,0","34,9",,,
17/01/2014 15.00,"0,8","7,8","12,7","34,9",,,
17/01/2014 16.00,"1,0","7,4","11,9","34,9",,,
17/01/2014 17.00,"0,6","7,6","11,3","34,9",,,
17/01/2014 18.00,"0,8","8,7","11,5","34,9",,,
17/01/2014 19.00,"0,6","10,6","12,8","34,9",,,
17/01/2014 20.00,"0,5","10,2","12,0","34,9",,,
17/01/2014 21.00,"0,5","10,1","11,5","34,9",,,
17/01/2014 22.00,"0,7","8,8","10,1","34,9",,,
17/01/2014 23.00,"0,7","6,8","8,1","34,9",,,
18/01/2014 0.00,"0,8","5,4","7,6","34,9",,,
18/01/2014 1.00,,"5,1","8,3","20,2",,,
18/01/2014 2.00,"2,1",,,"20,2",,,
18/01/2014 3.00,"1,8",,,"20,2",,,
18/01/2014 4.00,"2,2",,,"20,2",,,
18/01/2014 5.00,"1,6",,,"20,2",,,
18/01/2014 6.00,"2,0",,,"20,2",,,
18/01/2014 7.00,"2,1",,,"20,2",,,
18/01/2014 8.00,"2,1",,,"20,2",,,
18/01/2014 9.00,"2,3",,,"20,2",,,
18/01/2014 10.00,"2,3",,,"20,2",,,
