Stat,MOLFETTA VERDI,,,
29/07/2014 20.00,"6,4","14,8","20,9","17,4"
29/07/2014 21.00,"7,2","33,5","41,9","17,4"
29/07/2014 22.00,"6,4","29,6","38,9","17,4"
29/07/2014 23.00,"7,1","19,2","27,3","17,4"
30/07/2014 0.00,"6,5","13,5","20,0","17,4"
30/07/2014 1.00,"6,9","10,2","16,4","19,1"
30/07/2014 2.00,"6,6","7,9","14,3","19,1"
30/07/2014 3.00,"6,3","6,2","10,8","19,1"
30/07/2014 4.00,"5,5","3,8","8,1","19,1"
30/07/2014 5.00,"6,1","5,2","10,1","19,1"
30/07/2014 6.00,"6,1","7,0","11,9","19,1"
30/07/2014 7.00,"6,3","9,8","15,8","19,1"
30/07/2014 8.00,"7,0","15,7","21,3","19,1"
30/07/2014 9.00,"7,2","16,8","23,4","19,1"
30/07/2014 10.00,"7,6","24,6","34,7","19,1"
30/07/2014 11.00,"7,6","23,0","33,3","19,1"
30/07/2014 12.00,"7,6","22,6","32,2","19,1"
30/07/2014 13.00,"7,2","19,5","27,2","19,1"
30/07/2014 14.00,"7,7","16,4","22,7","19,1"
30/07/2014 15.00,"6,4","8,9","14,5","19,1"
30/07/2014 16.00,"6,9","7,8","13,5","19,1"
30/07/2014 17.00,"7,3","10,2","16,3","19,1"
30/07/2014 18.00,"7,4","16,0","25,0","19,1"
30/07/2014 19.00,"7,6","21,5","29,6","19,1"
30/07/2014 20.00,"7,6","26,2","35,2","19,1"
30/07/2014 21.00,"7,7","29,7","38,6","19,1"
30/07/2014 22.00,"7,1","31,2","39,7","19,1"
30/07/2014 23.00,"6,5","26,2","34,5","19,1"
31/07/2014 0.00,"6,5","21,7","29,2","19,1"
31/07/2014 1.00,,"14,4","20,8",
31/07/2014 2.00,"6,6",,,
31/07/2014 3.00,"6,1","14,3","20,1",
31/07/2014 4.00,"6,8","10,9","16,8",
31/07/2014 5.00,"6,3","10,9","16,9",
31/07/2014 6.00,"6,0","10,8","17,4",
31/07/2014 7.00,"6,1","10,6","17,3",
31/07/2014 8.00,"6,6","13,3","20,2",
31/07/2014 9.00,"7,8","18,5","25,7",
31/07/2014 10.00,"8,7","23,3","31,1",
31/07/2014 11.00,"7,5","27,4","34,7",
31/07/2014 12.00,"7,9","24,8","32,0",
31/07/2014 13.00,"7,9","18,2","24,7",
31/07/2014 14.00,"7,4","11,4","18,0",
31/07/2014 15.00,"7,8","9,6","15,3",
31/07/2014 16.00,"7,9","5,3","10,4",
31/07/2014 17.00,"8,0","4,5","9,4",
31/07/2014 18.00,"7,8","9,1","15,2",
31/07/2014 19.00,"5,4","15,7","22,1",
31/07/2014 20.00,"5,9","17,5","23,5",
31/07/2014 21.00,"5,3","15,2","21,0",
31/07/2014 22.00,"5,9","13,5","19,5",
31/07/2014 23.00,"7,3","13,7","20,2",
01/08/2014 0.00,"7,9","14,6","21,4",
01/08/2014 1.00,"7,5","15,2","22,2","14,4"
01/08/2014 2.00,"6,3","15,4","22,3","14,4"
01/08/2014 3.00,"7,3","12,6","19,2","14,4"
01/08/2014 4.00,"7,0","9,7","16,1","14,4"
01/08/2014 5.00,"7,6","8,6","14,8","14,4"
01/08/2014 6.00,"7,7","7,2","13,6","14,4"
01/08/2014 7.00,"6,9","7,0","12,9","14,4"
01/08/2014 8.00,"6,7","8,6","14,3","14,4"
01/08/2014 9.00,"6,7","14,4","20,6","14,4"
01/08/2014 10.00,"6,6","22,1","29,1","14,4"
01/08/2014 11.00,"7,9","26,9","34,2","14,4"
01/08/2014 12.00,"7,7","26,0","33,4","14,4"
01/08/2014 13.00,"7,2","13,2","19,2","14,4"
01/08/2014 14.00,"6,5","13,9","19,9","14,4"
01/08/2014 15.00,"6,2","14,6","19,9","14,4"
01/08/2014 16.00,"6,0","15,2","21,0","14,4"
01/08/2014 17.00,"6,3","12,4","18,2","14,4"
01/08/2014 18.00,"7,2","11,1","16,6","14,4"
01/08/2014 19.00,"7,1","13,1","19,2","14,4"
01/08/2014 20.00,"6,2","13,6","19,8","14,4"
01/08/2014 21.00,"6,7","15,0","21,6","14,4"
01/08/2014 22.00,"7,3","22,5","29,8","14,4"
01/08/2014 23.00,"6,7","29,2","38,7","14,4"
02/08/2014 0.00,"7,5","39,1","49,3","14,4"
02/08/2014 1.00,"7,9","30,6","40,3","9,8"
02/08/2014 2.00,"8,4",,,"9,8"
02/08/2014 3.00,"7,7","21,1","28,4","9,8"
02/08/2014 4.00,"8,0","19,6","27,3","9,8"
02/08/2014 5.00,"7,7","16,5","23,2","9,8"
02/08/2014 6.00,"7,8","13,5","20,0","9,8"
02/08/2014 7.00,"6,3","14,1","20,8","9,8"
02/08/2014 8.00,"6,3","19,4","26,8","9,8"
02/08/2014 9.00,"6,1","24,9","34,3","9,8"
02/08/2014 10.00,"6,4","25,3","34,3","9,8"
02/08/2014 11.00,"6,6","20,1","27,7","9,8"
02/08/2014 12.00,"6,4","15,0","21,7","9,8"
02/08/2014 13.00,"7,6","11,4","17,8","9,8"
02/08/2014 14.00,"7,5","7,5","13,4","9,8"
02/08/2014 15.00,"7,4","5,2","10,7","9,8"
02/08/2014 16.00,"7,4","4,9","9,4","9,8"
02/08/2014 17.00,"8,0","4,5","9,4","9,8"
02/08/2014 18.00,"8,0","3,1","8,2","9,8"
02/08/2014 19.00,"8,1","4,1","9,3","9,8"
02/08/2014 20.00,"7,7","6,8","12,4","9,8"
02/08/2014 21.00,"7,6","9,1","15,4","9,8"
02/08/2014 22.00,"6,4","19,4","27,6","9,8"
02/08/2014 23.00,"7,0","33,7","42,9","9,8"
03/08/2014 0.00,"7,1","38,2","49,0","9,8"
03/08/2014 1.00,"7,4","37,9","47,8","23,0"
03/08/2014 2.00,"7,2","36,4","47,8","23,0"
03/08/2014 3.00,"7,8","42,8","57,6","23,0"
03/08/2014 4.00,"7,8","29,4","40,2","23,0"
03/08/2014 5.00,"7,6","24,3","32,4","23,0"
03/08/2014 6.00,"7,3","23,3","30,8","23,0"
03/08/2014 7.00,"7,7","23,0","30,7","23,0"
03/08/2014 8.00,"8,7","21,6","30,7","23,0"
03/08/2014 9.00,"7,8","19,8","28,9","23,0"
03/08/2014 10.00,"7,7","12,8","20,4","23,0"
03/08/2014 11.00,"7,7","12,2","19,2","23,0"
03/08/2014 12.00,"8,0","12,3","18,8","23,0"
03/08/2014 13.00,"7,4","11,4","17,5","23,0"
03/08/2014 14.00,"7,6","10,0","15,7","23,0"
03/08/2014 15.00,"7,6","6,9","12,1","23,0"
03/08/2014 16.00,"7,5","4,1","8,9","23,0"
03/08/2014 17.00,"7,6","4,5","9,4","23,0"
03/08/2014 18.00,"7,8","5,2","9,7","23,0"
03/08/2014 19.00,"8,3","9,1","14,6","23,0"
03/08/2014 20.00,"7,7","13,7","20,6","23,0"
03/08/2014 21.00,"7,7","19,2","25,4","23,0"
03/08/2014 22.00,"7,3","51,5","62,8","23,0"
03/08/2014 23.00,"7,3","55,9","69,6","23,0"
04/08/2014 0.00,"7,6","60,1","72,4","23,0"
04/08/2014 1.00,"6,6","18,0","25,0","21,9"
04/08/2014 2.00,"6,2",,,"21,9"
04/08/2014 3.00,"7,7","41,2","52,0","21,9"
04/08/2014 4.00,"6,9","21,9","28,8","21,9"
04/08/2014 5.00,"7,5","17,8","24,4","21,9"
04/08/2014 6.00,"7,4","14,3","20,7","21,9"
04/08/2014 7.00,"7,4","11,9","18,3","21,9"
04/08/2014 8.00,"7,7","11,6","17,9","21,9"
04/08/2014 9.00,"7,6","18,4","25,9","21,9"
04/08/2014 10.00,"7,6","20,3","27,8","21,9"
04/08/2014 11.00,"7,7","16,1","23,2","21,9"
04/08/2014 12.00,"7,5","12,7","19,9","21,9"
04/08/2014 13.00,"7,6","10,5","16,5","21,9"
04/08/2014 14.00,"7,6","8,7","14,6","21,9"
04/08/2014 15.00,"7,6","7,1","13,2","21,9"
04/08/2014 16.00,"7,4","4,3","9,4","21,9"
04/08/2014 17.00,"7,4","4,8","10,0","21,9"
04/08/2014 18.00,"6,8","8,0","13,9","21,9"
04/08/2014 19.00,"6,8","10,1","16,7","21,9"
04/08/2014 20.00,"6,0","10,0","16,0","21,9"
04/08/2014 21.00,"6,6","12,7","19,1","21,9"
04/08/2014 22.00,"6,8","18,8","27,9","21,9"
04/08/2014 23.00,"7,2","22,2","30,3","21,9"
05/08/2014 0.00,"6,8","29,3","40,0","21,9"
05/08/2014 1.00,"6,8","28,7","37,9","22,1"
05/08/2014 2.00,"7,4","33,2","55,7","22,1"
05/08/2014 3.00,"7,8","26,0","35,0","22,1"
05/08/2014 4.00,"7,6","12,4","18,1","22,1"
05/08/2014 5.00,"7,6","12,2","18,7","22,1"
05/08/2014 6.00,"7,7","11,5","18,1","22,1"
05/08/2014 7.00,"7,7","11,2","17,4","22,1"
05/08/2014 8.00,"7,8","14,0","20,9","22,1"
05/08/2014 9.00,"7,6","19,4","27,5","22,1"
05/08/2014 10.00,"7,9","23,8","31,9","22,1"
05/08/2014 11.00,"4,7","30,1","39,8","22,1"
05/08/2014 12.00,"1,4","22,7","29,3","22,1"
05/08/2014 13.00,"1,6","15,8","23,5","22,1"
05/08/2014 14.00,"1,3","13,0","19,7","22,1"
05/08/2014 15.00,"2,5","9,0","14,0","22,1"
05/08/2014 16.00,"2,4","5,4","10,2","22,1"
05/08/2014 17.00,"2,4","5,7","10,4","22,1"
05/08/2014 18.00,"1,4","7,5","12,4","22,1"
05/08/2014 19.00,"1,0","7,6","13,7","22,1"
05/08/2014 20.00,"0,7","10,9","16,8","22,1"
05/08/2014 21.00,"0,5","15,6","22,4","22,1"
05/08/2014 22.00,"0,6","26,4","35,5","22,1"
05/08/2014 23.00,"1,0","23,2","30,6","22,1"
06/08/2014 0.00,"1,8","16,5","22,6","22,1"
06/08/2014 1.00,"2,3","15,6","22,6","15,5"
06/08/2014 2.00,"2,3",,,"15,5"
06/08/2014 3.00,"2,5","10,6","15,9","15,5"
06/08/2014 4.00,"3,5","6,9","12,2","15,5"
06/08/2014 5.00,"3,6","5,5","11,0","15,5"
06/08/2014 6.00,"3,6","5,3","10,2","15,5"
06/08/2014 7.00,"3,5","5,8","10,9","15,5"
06/08/2014 8.00,"3,6","7,3","12,6","15,5"
06/08/2014 9.00,"2,9","14,4","19,9","15,5"
06/08/2014 10.00,"3,1","20,6","26,6","15,5"
06/08/2014 11.00,"0,8","24,2","30,9","15,5"
06/08/2014 12.00,"0,4","23,4","31,0","15,5"
06/08/2014 13.00,"0,4","21,9","28,6","15,5"
06/08/2014 14.00,"0,6","21,0","27,0","15,5"
06/08/2014 15.00,"1,0","19,1","25,6","15,5"
06/08/2014 16.00,"2,0","14,5","20,1","15,5"
06/08/2014 17.00,"0,9","12,2","16,8","15,5"
06/08/2014 18.00,"0,6","9,8","14,0","15,5"
06/08/2014 19.00,,"13,5","18,5","15,5"
06/08/2014 20.00,,"13,6","18,9","15,5"
06/08/2014 21.00,,"14,3","19,6","15,5"
06/08/2014 22.00,"0,1","14,1","19,3","15,5"
06/08/2014 23.00,"1,3","13,5","19,0","15,5"
07/08/2014 0.00,"1,1","12,4","17,9","15,5"
07/08/2014 1.00,"1,9","13,7","19,4","15,5"
07/08/2014 2.00,"2,1","12,7","18,3","15,5"
07/08/2014 3.00,"1,9","11,0","16,3","15,5"
07/08/2014 4.00,"1,6","7,3","12,7","15,5"
07/08/2014 5.00,"2,0","6,0","11,2","15,5"
07/08/2014 6.00,"2,1","5,7","10,9","15,5"
07/08/2014 7.00,"2,0","6,2","11,5","15,5"
07/08/2014 8.00,"0,5","8,3","13,6","15,5"
07/08/2014 9.00,"1,3","14,8","21,0","15,5"
07/08/2014 10.00,"1,3","21,2","28,5","15,5"
07/08/2014 11.00,"0,1","24,1","31,4","15,5"
07/08/2014 12.00,,"23,5","30,2","15,5"
07/08/2014 13.00,,"19,0","25,6","15,5"
07/08/2014 14.00,,"16,6","24,4","15,5"
07/08/2014 15.00,"1,5","13,2","17,9","15,5"
07/08/2014 16.00,"1,3","7,7","12,5","15,5"
07/08/2014 17.00,,"6,6","11,3","15,5"
07/08/2014 18.00,,"6,9","12,3","15,5"
07/08/2014 19.00,,"9,9","16,4","15,5"
07/08/2014 20.00,,"9,8","14,8","15,5"
07/08/2014 21.00,,"11,0","16,3","15,5"
07/08/2014 22.00,,"13,5","18,8","15,5"
07/08/2014 23.00,"0,3","15,8","22,1","15,5"
08/08/2014 0.00,"0,4","17,1","24,4","15,5"
08/08/2014 1.00,"0,7","17,0","23,4","21,2"
08/08/2014 2.00,"0,9",,,"21,2"
08/08/2014 3.00,"0,3","12,8","18,2","21,2"
08/08/2014 4.00,,"8,7","14,2","21,2"
08/08/2014 5.00,,"6,5","11,7","21,2"
08/08/2014 6.00,"0,3","14,3","22,5","21,2"
08/08/2014 7.00,"0,4","12,2","17,7","21,2"
08/08/2014 8.00,"0,4","12,0","17,6","21,2"
08/08/2014 9.00,"0,4","16,2","22,7","21,2"
08/08/2014 10.00,"0,4","21,6","30,0","21,2"
08/08/2014 11.00,"0,1","24,7","32,9","21,2"
08/08/2014 12.00,,"20,3","28,1","21,2"
08/08/2014 13.00,,"16,2","23,1","21,2"
08/08/2014 14.00,,"13,6","20,0","21,2"
08/08/2014 15.00,,"11,5","17,3","21,2"
08/08/2014 16.00,,"4,8","9,6","21,2"
08/08/2014 17.00,,"4,2","8,9","21,2"
08/08/2014 18.00,,"6,7","11,3","21,2"
08/08/2014 19.00,"0,1","9,2","14,5","21,2"
08/08/2014 20.00,"0,1","11,5","17,2","21,2"
08/08/2014 21.00,"0,2","9,2","14,7","21,2"
08/08/2014 22.00,"0,4","14,8","21,0","21,2"
08/08/2014 23.00,"0,3","25,6","33,5","21,2"
09/08/2014 0.00,"0,1","23,5","30,5","21,2"
09/08/2014 1.00,,"20,9","26,7","23,5"
09/08/2014 2.00,,"20,2","26,7","23,5"
09/08/2014 3.00,,"18,7","25,6","23,5"
09/08/2014 4.00,,"18,3","24,8","23,5"
09/08/2014 5.00,,"14,7","21,0","23,5"
09/08/2014 6.00,"0,3","14,0","20,4","23,5"
09/08/2014 7.00,"0,4","13,2","19,7","23,5"
09/08/2014 8.00,,"19,3","26,3","23,5"
09/08/2014 9.00,,"28,5","38,0","23,5"
09/08/2014 10.00,"0,4","22,4","30,4","23,5"
09/08/2014 11.00,"0,3","16,5","23,0","23,5"
09/08/2014 12.00,"0,1","11,2","17,3","23,5"
09/08/2014 13.00,"0,3","7,1","12,3","23,5"
09/08/2014 14.00,"0,2","5,9","11,4","23,5"
09/08/2014 15.00,"0,2","5,3","10,6","23,5"
09/08/2014 16.00,"0,1","3,2","8,0","23,5"
09/08/2014 17.00,"0,1","4,1","8,9","23,5"
09/08/2014 18.00,"0,3","5,1","10,0","23,5"
09/08/2014 19.00,"0,2","6,2","11,5","23,5"
09/08/2014 20.00,"0,3","8,6","14,2","23,5"
09/08/2014 21.00,"0,4","13,8","21,3","23,5"
09/08/2014 22.00,,"16,2","22,7","23,5"
09/08/2014 23.00,,"24,7","32,1","23,5"
10/08/2014 0.00,"0,1","43,6","53,2","23,5"
10/08/2014 1.00,"0,2","35,7","45,8","26,1"
10/08/2014 2.00,"0,4",,,"26,1"
10/08/2014 3.00,"0,4","56,4","69,4","26,1"
10/08/2014 4.00,"0,5","31,4","38,0","26,1"
10/08/2014 5.00,"0,4","25,8","32,4","26,1"
10/08/2014 6.00,"0,4","23,6","30,6","26,1"
10/08/2014 7.00,"0,4","19,8","26,4","26,1"
10/08/2014 8.00,"0,5","21,0","28,8","26,1"
10/08/2014 9.00,"0,4","18,0","25,3","26,1"
10/08/2014 10.00,"0,4","15,7","23,0","26,1"
10/08/2014 11.00,"0,2","9,6","16,0","26,1"
10/08/2014 12.00,"0,1","8,2","14,2","26,1"
10/08/2014 13.00,,"8,1","13,6","26,1"
10/08/2014 14.00,"0,1","7,8","13,3","26,1"
10/08/2014 15.00,"0,1","5,2","10,6","26,1"
10/08/2014 16.00,,"3,2","7,9","26,1"
10/08/2014 17.00,"0,1","3,1","7,5","26,1"
10/08/2014 18.00,"0,3","4,8","9,3","26,1"
10/08/2014 19.00,"0,4","6,1","10,6","26,1"
10/08/2014 20.00,"0,2","7,3","12,8","26,1"
10/08/2014 21.00,"0,3","9,1","14,2","26,1"
10/08/2014 22.00,"0,3","26,4","33,0","26,1"
10/08/2014 23.00,"0,3","50,6","59,0","26,1"
11/08/2014 0.00,"0,2","41,5","50,2","26,1"
11/08/2014 1.00,"0,4","38,1","49,1","28,7"
11/08/2014 2.00,"0,4","42,2","52,3","28,7"
11/08/2014 3.00,"0,7","52,5","79,3","28,7"
11/08/2014 4.00,"0,4","24,8","32,5","28,7"
11/08/2014 5.00,"0,3","18,5","24,9","28,7"
11/08/2014 6.00,"0,5","17,3","23,0","28,7"
11/08/2014 7.00,"0,4","20,7","26,9","28,7"
11/08/2014 8.00,"0,3","21,4","29,2","28,7"
11/08/2014 9.00,"0,3","33,2","47,2","28,7"
11/08/2014 10.00,"0,3","27,6","39,9","28,7"
11/08/2014 11.00,"0,4","16,0","23,6","28,7"
11/08/2014 12.00,"0,2","13,1","20,2","28,7"
11/08/2014 13.00,"0,3","15,3","22,3","28,7"
11/08/2014 14.00,"0,5","17,9","24,2","28,7"
11/08/2014 15.00,"0,4","12,1","17,3","28,7"
11/08/2014 16.00,"0,4","8,0","13,2","28,7"
11/08/2014 17.00,"0,3","5,9","10,9","28,7"
11/08/2014 18.00,"0,1","7,5","13,0","28,7"
11/08/2014 19.00,"0,1","10,9","17,3","28,7"
11/08/2014 20.00,"0,3","31,8","41,2","28,7"
11/08/2014 21.00,"0,2","46,1","58,2","28,7"
11/08/2014 22.00,"0,2","64,3","79,8","28,7"
11/08/2014 23.00,"0,4","56,0","69,2","28,7"
12/08/2014 0.00,"0,5","34,0","42,1","28,7"
12/08/2014 1.00,"0,5","29,5","37,2","29,4"
12/08/2014 2.00,"2,2",,,"29,4"
12/08/2014 3.00,"1,1","39,6","48,2","29,4"
12/08/2014 4.00,"0,5","21,8","30,1","29,4"
12/08/2014 5.00,"0,5","9,6","14,3","29,4"
12/08/2014 6.00,"0,4","15,4","21,6","29,4"
12/08/2014 7.00,"0,4","19,5","26,4","29,4"
12/08/2014 8.00,"0,4","21,9","31,1","29,4"
12/08/2014 9.00,"0,6","38,0","60,4","29,4"
12/08/2014 10.00,"0,4","33,9","52,2","29,4"
12/08/2014 11.00,"0,3","26,9","41,7","29,4"
12/08/2014 12.00,"0,3","25,6","38,9","29,4"
12/08/2014 13.00,"0,2","20,6","29,9","29,4"
12/08/2014 14.00,"0,1","21,1","31,3","29,4"
12/08/2014 15.00,"0,1","5,5","10,2","29,4"
12/08/2014 16.00,"0,2","5,5","10,2","29,4"
12/08/2014 17.00,"0,1","6,6","11,7","29,4"
12/08/2014 18.00,,"6,4","11,5","29,4"
12/08/2014 19.00,,"8,4","14,0","29,4"
12/08/2014 20.00,"0,1","11,6","17,3","29,4"
12/08/2014 21.00,,"27,3","35,1","29,4"
12/08/2014 22.00,,"65,7","74,6","29,4"
12/08/2014 23.00,"0,2","45,3","54,3","29,4"
13/08/2014 0.00,"0,4","48,2","62,2","29,4"
13/08/2014 1.00,"0,5","39,3","48,4","39,8"
13/08/2014 2.00,"0,5","42,3","50,5","39,8"
13/08/2014 3.00,"0,5","35,9","43,7","39,8"
13/08/2014 4.00,"0,5","26,0","32,0","39,8"
13/08/2014 5.00,"0,4","20,2","28,7","39,8"
13/08/2014 6.00,"0,5","15,0","21,8","39,8"
13/08/2014 7.00,"0,3","12,3","18,2","39,8"
13/08/2014 8.00,"0,4","19,7","26,8","39,8"
13/08/2014 9.00,"0,5","28,7","41,0","39,8"
13/08/2014 10.00,"0,4","32,3","47,4","39,8"
13/08/2014 11.00,,"26,6","38,7","39,8"
13/08/2014 12.00,"0,1","35,9","50,5","39,8"
13/08/2014 13.00,"0,2","21,5","29,1","39,8"
13/08/2014 14.00,"0,2","15,6","21,6","39,8"
13/08/2014 15.00,"0,2","9,4","14,7","39,8"
13/08/2014 16.00,"0,2","4,5","9,4","39,8"
13/08/2014 17.00,"0,3","5,1","10,3","39,8"
13/08/2014 18.00,"0,3","7,0","12,7","39,8"
13/08/2014 19.00,"0,3","8,6","14,0","39,8"
13/08/2014 20.00,"0,3","46,0","62,9","39,8"
13/08/2014 21.00,"0,3","46,8","69,1","39,8"
13/08/2014 22.00,"0,1","44,2","60,9","39,8"
13/08/2014 23.00,"0,1","42,9","59,8","39,8"
14/08/2014 0.00,"0,2","29,8","38,3","39,8"
14/08/2014 1.00,"0,3","12,3","18,9","37,7"
14/08/2014 2.00,"0,1",,,"37,7"
14/08/2014 3.00,,"15,7","24,3","37,7"
14/08/2014 4.00,,"7,8","13,8","37,7"
14/08/2014 5.00,,"7,7","12,6","37,7"
14/08/2014 6.00,,"12,2","17,4","37,7"
14/08/2014 7.00,,"19,7","25,4","37,7"
14/08/2014 8.00,,"35,3","46,3","37,7"
14/08/2014 9.00,,"44,4","64,3","37,7"
14/08/2014 10.00,,"33,8","49,5","37,7"
14/08/2014 11.00,,"25,1","36,6","37,7"
14/08/2014 12.00,,"19,5","28,0","37,7"
14/08/2014 13.00,,"11,6","17,9","37,7"
14/08/2014 14.00,,"8,5","14,1","37,7"
14/08/2014 15.00,,"6,1","11,3","37,7"
14/08/2014 16.00,,"4,7","8,7","37,7"
14/08/2014 17.00,,"5,3","10,0","37,7"
14/08/2014 18.00,,"6,6","11,9","37,7"
14/08/2014 19.00,,"9,2","15,8","37,7"
14/08/2014 20.00,,"25,4","36,6","37,7"
14/08/2014 21.00,,"28,6","36,8","37,7"
14/08/2014 22.00,,"27,3","35,1","37,7"
14/08/2014 23.00,,"21,5","28,0","37,7"
15/08/2014 0.00,,"16,0","22,6","37,7"
15/08/2014 1.00,,"12,0","17,9","16,7"
15/08/2014 2.00,,"10,6","16,1","16,7"
15/08/2014 3.00,,"11,0","16,8","16,7"
15/08/2014 4.00,,"10,0","15,9","16,7"
15/08/2014 5.00,,"7,3","13,1","16,7"
15/08/2014 6.00,,"5,1","10,9","16,7"
15/08/2014 7.00,,"4,6","10,8","16,7"
15/08/2014 8.00,,"5,8","11,9","16,7"
15/08/2014 9.00,,"7,7","13,9","16,7"
15/08/2014 10.00,,"9,6","15,2","16,7"
15/08/2014 11.00,,"10,5","16,4","16,7"
15/08/2014 12.00,,"11,2","17,3","16,7"
15/08/2014 13.00,,"11,5","17,3","16,7"
15/08/2014 14.00,,"11,0","16,5","16,7"
15/08/2014 15.00,,"8,5","13,4","16,7"
15/08/2014 16.00,,"4,4","8,9","16,7"
15/08/2014 17.00,,"2,6","7,3","16,7"
15/08/2014 18.00,,"1,8","6,0","16,7"
15/08/2014 19.00,"0,3","3,5","8,4","16,7"
15/08/2014 20.00,"0,4","3,6","8,2","16,7"
15/08/2014 21.00,"0,2","5,8","10,8","16,7"
15/08/2014 22.00,,"8,2","13,5","16,7"
15/08/2014 23.00,"0,1","14,5","20,6","16,7"
16/08/2014 0.00,"0,2","14,3","20,5","16,7"
16/08/2014 1.00,"0,2","14,0","19,6","15,9"
16/08/2014 2.00,"0,1",,,"15,9"
16/08/2014 3.00,"0,1","13,4","19,0","15,9"
16/08/2014 4.00,"0,4","9,7","15,4","15,9"
16/08/2014 5.00,"0,2","8,4","14,3","15,9"
16/08/2014 6.00,"0,3","6,7","12,7","15,9"
16/08/2014 7.00,"0,1","6,2","12,1","15,9"
16/08/2014 8.00,"0,1","7,8","13,7","15,9"
16/08/2014 9.00,,"10,5","16,9","15,9"
16/08/2014 10.00,,"11,7","17,7","15,9"
16/08/2014 11.00,,"13,4","19,7","15,9"
16/08/2014 12.00,,"13,8","20,6","15,9"
16/08/2014 13.00,,"13,4","20,3","15,9"
16/08/2014 14.00,,"11,9","17,8","15,9"
16/08/2014 15.00,,"7,5","12,9","15,9"
16/08/2014 16.00,,"3,7","8,1","15,9"
16/08/2014 17.00,,"2,1","6,5","15,9"
16/08/2014 18.00,,"3,0","8,0","15,9"
16/08/2014 19.00,,"4,2","9,5","15,9"
16/08/2014 20.00,,"6,0","11,7","15,9"
16/08/2014 21.00,,"6,9","11,7","15,9"
16/08/2014 22.00,,"11,2","16,7","15,9"
16/08/2014 23.00,,"10,9","16,8","15,9"
17/08/2014 0.00,,"14,6","20,6","15,9"
17/08/2014 1.00,,"15,5","21,5","10,3"
17/08/2014 2.00,,"13,1","18,9","10,3"
17/08/2014 3.00,,"11,3","17,4","10,3"
17/08/2014 4.00,,"8,5","14,3","10,3"
17/08/2014 5.00,,"5,8","11,5","10,3"
17/08/2014 6.00,,"4,6","10,2","10,3"
17/08/2014 7.00,,"4,9","10,6","10,3"
17/08/2014 8.00,,"5,3","10,8","10,3"
17/08/2014 9.00,,"6,5","11,6","10,3"
17/08/2014 10.00,,"8,6","14,4","10,3"
17/08/2014 11.00,,"12,0","17,9","10,3"
17/08/2014 12.00,,"12,0","17,7","10,3"
17/08/2014 13.00,,"12,1","17,8","10,3"
17/08/2014 14.00,,"11,3","16,9","10,3"
17/08/2014 15.00,,"10,2","15,2","10,3"
17/08/2014 16.00,,"5,9","10,7","10,3"
17/08/2014 17.00,,"4,1","8,9","10,3"
17/08/2014 18.00,,"4,1","8,4","10,3"
17/08/2014 19.00,,"4,2","9,2","10,3"
17/08/2014 20.00,,"6,1","10,9","10,3"
17/08/2014 21.00,,"8,7","13,8","10,3"
17/08/2014 22.00,,"12,6","18,3","10,3"
17/08/2014 23.00,,"14,2","20,1","10,3"
18/08/2014 0.00,,"18,5","24,7","10,3"
18/08/2014 1.00,,"19,9","26,2","8,6"
18/08/2014 2.00,,,,"8,6"
18/08/2014 3.00,,"16,2","22,2","8,6"
18/08/2014 4.00,,"11,7","17,7","8,6"
18/08/2014 5.00,,"7,8","13,9","8,6"
18/08/2014 6.00,,"6,1","12,2","8,6"
18/08/2014 7.00,,"6,9","12,8","8,6"
18/08/2014 8.00,,"8,8","14,7","8,6"
18/08/2014 9.00,,"14,8","20,8","8,6"
18/08/2014 10.00,,"19,8","26,5","8,6"
18/08/2014 11.00,,"23,1","30,1","8,6"
18/08/2014 12.00,,"18,5","25,7","8,6"
18/08/2014 13.00,,"14,2","20,2","8,6"
18/08/2014 14.00,,"11,8","18,0","8,6"
18/08/2014 15.00,,"8,0","13,7","8,6"
18/08/2014 16.00,,"5,7","10,3","8,6"
18/08/2014 17.00,,"4,3","9,0","8,6"
18/08/2014 18.00,,"4,2","9,2","8,6"
18/08/2014 19.00,,"6,0","11,8","8,6"
18/08/2014 20.00,,"9,1","15,0","8,6"
18/08/2014 21.00,,"13,7","20,2","8,6"
18/08/2014 22.00,,"30,6","38,2","8,6"
18/08/2014 23.00,,"33,3","40,8","8,6"
19/08/2014 0.00,,"21,7","29,0","8,6"
19/08/2014 1.00,,"17,0","23,5","23,1"
19/08/2014 2.00,,"14,7","22,0","23,1"
19/08/2014 3.00,,"13,3","20,2","23,1"
19/08/2014 4.00,,"11,7","18,4","23,1"
19/08/2014 5.00,,"11,0","17,4","23,1"
19/08/2014 6.00,,"11,9","18,7","23,1"
19/08/2014 7.00,,"11,3","17,9","23,1"
19/08/2014 8.00,,"13,5","20,5","23,1"
19/08/2014 9.00,,"15,8","22,9","23,1"
19/08/2014 10.00,,"15,8","23,3","23,1"
19/08/2014 11.00,,"18,1","26,6","23,1"
19/08/2014 12.00,,"20,9","28,5","23,1"
19/08/2014 13.00,"1,0","14,4","20,0","23,1"
19/08/2014 14.00,"1,6","11,7","17,9","23,1"
19/08/2014 15.00,"1,2","9,0","14,5","23,1"
19/08/2014 16.00,"1,4","6,1","10,7","23,1"
19/08/2014 17.00,"1,2","5,5","10,6","23,1"
19/08/2014 18.00,"1,1","7,1","12,7","23,1"
