,TARANTO,,,
,TA V.Archimede,,,
Parm,SO2,NO2,CO,PM10



18/01/2010 9.00,,,,
18/01/2010 10.00,,,,
18/01/2010 11.00,,,,
18/01/2010 12.00,,,,
18/01/2010 13.00,"1,685153",,,
18/01/2010 14.00,"1,636298","10,029956","1,335559",
18/01/2010 15.00,"1,513485","14,058549","1,506036",
18/01/2010 16.00,"1,869281","15,544605","1,720512",
18/01/2010 17.00,"1,699511","18,981375","1,83144",
18/01/2010 18.00,"1,957778","33,293006","2,488012","30,28083"
18/01/2010 19.00,"1,937912","30,263766","2,422149",
18/01/2010 20.00,"2,315379","34,525977","2,451825","34,18803"
18/01/2010 21.00,"2,467089","30,785512","1,417758",
18/01/2010 22.00,"2,096845","29,510992","1,533067","40,537231"
18/01/2010 23.00,"1,860251","33,190464","1,631367",
19/01/2010 0.00,"1,544188","30,243001","1,514243","36,630032"
19/01/2010 1.00,"2,147416","25,038539","1,907129",
19/01/2010 2.00,"2,418325","7,914426","1,55702","37,606831"
19/01/2010 3.00,"1,782589","15,19678","1,99367",
19/01/2010 4.00,"1,269666","24,150777","2,528341","47,37484"
19/01/2010 5.00,"1,674225","22,636167","1,939962",
19/01/2010 6.00,"2,317186","37,446193","2,267063","34,18803"
19/01/2010 7.00,"3,469458","38,226214","2,229851",
19/01/2010 8.00,"3,075734","21,616039","1,68172","44,444431"
19/01/2010 9.00,"2,719939","47,338577","2,428938",
19/01/2010 10.00,"3,126305","38,915374","1,969874","43,956032"
19/01/2010 11.00,"2,756061","21,86523","1,687009",
19/01/2010 12.00,"1,979451","21,124157","1,89454","43,46764"
19/01/2010 13.00,"2,232301","21,077428","1,967664",
19/01/2010 14.00,"2,055306","12,581569","1,625054","49,328442"
19/01/2010 15.00,"1,780783","10,634759","1,655517",
19/01/2010 16.00,"2,230494","16,083225","1,727299","37,118431"
19/01/2010 17.00,"2,179924","14,784057","1,847817",
19/01/2010 18.00,"3,857763","35,203474","2,03542","32,722832"
19/01/2010 19.00,"5,979892","46,846675","2,37365",
19/01/2010 20.00,"6,554222","36,139227","2,782914","38,09523"
19/01/2010 21.00,"5,286362","31,825105","2,974501",
19/01/2010 22.00,"5,871528","32,350751","2,885397","42,490841"
19/01/2010 23.00,"6,48198","33,012669","2,025831",
20/01/2010 0.00,"6,707738","33,864063","3,520777","46,398041"
20/01/2010 1.00,"7,410298","34,041879","2,252937",
20/01/2010 2.00,"8,692607","41,466995","2,821348","38,58363"
20/01/2010 3.00,"11,923663","37,228151","2,518832",
20/01/2010 4.00,"10,708175","35,058107","2,278863","49,328442"
20/01/2010 5.00,"9,759994","43,325554","2,433712",
20/01/2010 6.00,"9,048402","43,248981","2,235138","65,445663"
20/01/2010 7.00,"9,080912","47,367121","2,329453",
20/01/2010 8.00,"8,06229","39,052962","2,043984","66,42247"
20/01/2010 9.00,"10,950191","46,999825","2,388054",
20/01/2010 10.00,"16,238357","47,067321","2,262171","58,608051"
20/01/2010 11.00,"12,333637","32,855617","1,861313",
20/01/2010 12.00,"7,908774","17,304526","1,672131","59,096451"
20/01/2010 13.00,"6,010596","15,064394","1,729825",
20/01/2010 14.00,"7,350699","20,376586","1,907918","46,88644"
20/01/2010 15.00,"5,904038","22,503799","1,838543",
20/01/2010 16.00,"5,775806","12,242826","1,447196","35,653221"
20/01/2010 17.00,"3,966126","19,908049","1,494117",
20/01/2010 18.00,"3,689798","43,284027","1,604533","20,51281"
20/01/2010 19.00,"3,292463","52,439219","1,503549",
20/01/2010 20.00,"2,826497","29,366942","1,503549","25,39682"
20/01/2010 21.00,"2,963759","45,60722","1,639259",
20/01/2010 22.00,"2,961952","53,451545","1,730259","25,88522"
20/01/2010 23.00,"2,597126","35,681073","1,629512",
21/01/2010 0.00,"2,989043","42,810308","1,789886","21,001221"
21/01/2010 1.00,"2,709103","14,919037","1,624579",
21/01/2010 2.00,"2,837333","12,314201","1,756976","31,25762"
21/01/2010 3.00,"1,997512","6,47768","1,678564",
21/01/2010 4.00,"2,163669","4,009127","1,582947","22,954821"
21/01/2010 5.00,"2,217852","2,746297","1,587918",
21/01/2010 6.00,"1,853026","10,915095","1,580026","15,62881"
21/01/2010 7.00,"1,997512","17,011201","1,585907",
21/01/2010 8.00,"1,853026","19,385003","1,536461","15,62881"
21/01/2010 9.00,"1,979451","30,557086","1,701373",
21/01/2010 10.00,"2,109488","24,453197","1,408207","10,25641"
21/01/2010 11.00,"1,63991",,"0,880796",
21/01/2010 12.00,"2,017378",,"0,909287","12,69841"
21/01/2010 13.00,"1,907208",,"1,255727",
21/01/2010 14.00,"2,160058","5,164233","1,599362","20,02442"
21/01/2010 15.00,,"11,931335","1,570359",
21/01/2010 16.00,,"5,03834","1,186471","16,11721"
21/01/2010 17.00,"1,928881","15,351229","1,384018",
21/01/2010 18.00,"2,008348","16,967078","1,41906","18,07081"
21/01/2010 19.00,"1,995706","19,439515","1,378019",
21/01/2010 20.00,"2,02099","16,728271","1,389898","11,23321"
21/01/2010 21.00,"2,257585","11,910563","1,46752",
21/01/2010 22.00,"2,026409","10,33106","1,467323","9,27961"
